"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BARRETT","BLAKE","CRONE","GOTS","NICHOLS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"028","HALDIMAND--NORFOLK","001","U","LANGTON","105","5","6","2","37","0","0","0","155","408","Houghton Public School"
"028","HALDIMAND--NORFOLK","002","U","LANGTON","123","8","20","0","29","0","0","0","180","523","Houghton Public School"
"028","HALDIMAND--NORFOLK","003","U","COURTLAND","59","6","22","2","20","2","0","0","111","329","Courtland Community Centre"
"028","HALDIMAND--NORFOLK","004","U","COURTLAND","60","5","23","1","19","1","0","0","109","283","Courtland Community Centre"
"028","HALDIMAND--NORFOLK","005","U","COURTLAND","65","3","27","0","38","0","0","0","133","314","Courtland Community Centre"
"028","HALDIMAND--NORFOLK","006","U","COURTLAND","95","5","27","0","21","1","2","0","151","321","Courtland Community Centre"
"028","HALDIMAND--NORFOLK","007","U","COURTLAND","91","2","22","0","25","0","1","0","141","302","Courtland Community Centre"
"028","HALDIMAND--NORFOLK","008","U","LANGTON","70","3","27","0","23","0","0","0","123","316","Langton Community Centre"
"028","HALDIMAND--NORFOLK","009","U","LANGTON","112","2","8","0","22","0","0","0","144","302","Langton Community Centre"
"028","HALDIMAND--NORFOLK","010","U","PORT ROWAN","83","4","15","0","14","0","0","0","116","329","Port Rowan Community Centre"
"028","HALDIMAND--NORFOLK","011","U","LANGTON","65","1","19","0","14","0","0","0","99","236","Houghton Public School"
"028","HALDIMAND--NORFOLK","012","U","PORT ROWAN","127","1","31","1","34","0","1","0","195","376","Port Rowan Community Centre"
"028","HALDIMAND--NORFOLK","013","U","PORT ROWAN","107","4","24","0","31","0","0","0","166","312","Port Rowan Community Centre"
"028","HALDIMAND--NORFOLK","014","U","PORT ROWAN","113","1","54","0","37","0","2","0","207","347","Port Rowan Community Centre"
"028","HALDIMAND--NORFOLK","015","U","PORT ROWAN","141","1","55","0","49","0","0","0","246","435","Port Rowan Community Centre"
"028","HALDIMAND--NORFOLK","016","U","PORT ROWAN","137","5","55","1","54","0","0","0","252","389","Port Rowan Community Centre"
"028","HALDIMAND--NORFOLK","017","U","ST WILLIAMS","123","6","23","2","54","1","0","0","209","406","St. Williams Community Centre"
"028","HALDIMAND--NORFOLK","018","U","ST WILLIAMS","62","5","9","0","18","1","1","0","96","288","St. Williams Community Centre"
"028","HALDIMAND--NORFOLK","019","U","LANGTON","99","2","31","0","24","0","0","0","156","319","Langton Community Centre"
"028","HALDIMAND--NORFOLK","020","U","LANGTON","141","3","36","0","36","0","0","0","216","518","Langton Community Centre"
"028","HALDIMAND--NORFOLK","021","U","LANGTON","88","2","12","0","27","0","0","0","129","369","Langton Community Centre"
"028","HALDIMAND--NORFOLK","022","U","LANGTON","89","2","29","1","32","1","2","0","156","355","Langton Community Centre"
"028","HALDIMAND--NORFOLK","023","U","COURTLAND","74","3","30","1","14","0","0","0","122","269","Courtland Community Centre"
"028","HALDIMAND--NORFOLK","024","U","COURTLAND","78","3","28","0","15","0","1","0","125","286","Courtland Community Centre"
"028","HALDIMAND--NORFOLK","025","U","COURTLAND","78","4","23","1","33","0","0","0","139","282","Courtland Community Centre"
"028","HALDIMAND--NORFOLK","026","U","DELHI","84","1","27","0","24","2","0","0","138","345","Delhi Public School"
"028","HALDIMAND--NORFOLK","027","U","DELHI","62","2","37","1","28","2","0","0","132","319","Delhi Public School"
"028","HALDIMAND--NORFOLK","028","U","DELHI","72","2","16","0","20","0","0","0","110","342","St. Frances Cabrini School"
"028","HALDIMAND--NORFOLK","029","U","DELHI","63","2","18","1","28","1","0","0","113","373","Delhi Public School"
"028","HALDIMAND--NORFOLK","030","U","DELHI","46","6","12","1","24","0","0","0","89","240","Delhi Public School"
"028","HALDIMAND--NORFOLK","031","U","DELHI","62","4","29","1","42","0","0","0","138","369","Delhi Public School"
"028","HALDIMAND--NORFOLK","032","U","DELHI","48","1","24","1","22","1","0","0","97","317","Delhi District Secondary School"
"028","HALDIMAND--NORFOLK","033","U","DELHI","41","2","19","1","23","0","0","0","86","280","Delhi District Secondary School"
"028","HALDIMAND--NORFOLK","034","U","DELHI","59","0","26","2","30","0","0","0","117","281","Delhi District Secondary School"
"028","HALDIMAND--NORFOLK","035","U","DELHI","77","1","33","0","28","0","0","0","139","330","St. Frances Cabrini School"
"028","HALDIMAND--NORFOLK","036","U","DELHI","94","5","50","1","47","0","0","0","197","443","St. Frances Cabrini School"
"028","HALDIMAND--NORFOLK","037","U","DELHI","63","2","15","3","25","1","0","0","109","310","Delhi District Secondary School"
"028","HALDIMAND--NORFOLK","038","U","DELHI","68","1","33","0","20","1","0","0","123","291","Delhi District Secondary School"
"028","HALDIMAND--NORFOLK","039","U","DELHI","59","4","15","0","35","0","0","0","113","305","Delhi District Secondary School"
"028","HALDIMAND--NORFOLK","040","U","LANGTON","93","6","32","1","25","0","0","0","157","561","Langton Community Centre"
"028","HALDIMAND--NORFOLK","041","U","ST WILLIAMS","90","4","12","1","28","0","1","0","136","328","St. Williams Community Centre"
"028","HALDIMAND--NORFOLK","042","U","ST WILLIAMS","64","4","22","0","43","1","0","0","134","292","St. Williams Community Centre"
"028","HALDIMAND--NORFOLK","043","U","VITTORIA","63","1","13","1","21","0","0","0","99","234","Vittoria and  Dist Community Centre"
"028","HALDIMAND--NORFOLK","044","U","VITTORIA","136","3","49","0","40","2","0","0","230","475","Vittoria and  Dist Community Centre"
"028","HALDIMAND--NORFOLK","045","U","VITTORIA","114","5","14","0","33","0","0","0","166","431","Vittoria and  Dist Community Centre"
"028","HALDIMAND--NORFOLK","046","U","VITTORIA","77","5","15","0","37","0","0","0","134","357","Vittoria and  Dist Community Centre"
"028","HALDIMAND--NORFOLK","047","U","DELHI","86","1","19","0","21","0","0","0","127","367","St. Frances Cabrini School"
"028","HALDIMAND--NORFOLK","048","U","DELHI","88","2","36","0","30","0","1","0","157","494","St. Frances Cabrini School"
"028","HALDIMAND--NORFOLK","049","U","TEETERVILLE","87","3","23","0","15","0","0","0","128","306","Teeterville Public School"
"028","HALDIMAND--NORFOLK","050","U","TEETERVILLE","101","6","27","1","12","0","0","0","147","326","Teeterville Public School"
"028","HALDIMAND--NORFOLK","051","U","TEETERVILLE","150","7","24","2","26","0","1","0","210","395","Teeterville Public School"
"028","HALDIMAND--NORFOLK","052","U","TEETERVILLE","161","6","30","2","26","1","0","0","226","478","Teeterville Public School"
"028","HALDIMAND--NORFOLK","053","U","SIMCOE","64","1","25","0","16","0","0","0","106","301","Calvary Pentecostal Church (Gym)"
"028","HALDIMAND--NORFOLK","054","U","SIMCOE","70","3","42","1","29","0","0","1","146","419","Calvary Pentecostal Church (Gym)"
"028","HALDIMAND--NORFOLK","055","U","SIMCOE","82","3","31","0","32","1","0","0","149","380","Norview Lodge - Gathering Room"
"028","HALDIMAND--NORFOLK","056","U","VITTORIA","75","3","19","0","24","2","0","0","123","343","Vittoria and  Dist Community Centre"
"028","HALDIMAND--NORFOLK","057","U","VITTORIA","144","8","42","3","46","0","0","0","243","521","Vittoria and  Dist Community Centre"
"028","HALDIMAND--NORFOLK","058","U","VITTORIA","84","7","36","0","34","0","0","0","161","348","Vittoria and  Dist Community Centre"
"028","HALDIMAND--NORFOLK","059","U","VITTORIA","107","11","47","0","29","0","1","0","195","387","Vittoria and  Dist Community Centre"
"028","HALDIMAND--NORFOLK","060","U","SIMCOE","71","1","37","0","31","1","0","0","141","316","Holy Trinity Catholic High School"
"028","HALDIMAND--NORFOLK","061","U","SIMCOE","101","4","44","0","30","1","0","0","180","413","Immanuel Christian Reformed Church"
"028","HALDIMAND--NORFOLK","062","U","SIMCOE","73","4","46","0","29","0","0","0","152","326","Immanuel Christian Reformed Church"
"028","HALDIMAND--NORFOLK","063","U","SIMCOE","46","4","23","2","21","1","0","0","97","326","Norview Lodge - Gathering Room"
"028","HALDIMAND--NORFOLK","064","U","SIMCOE","30","0","8","3","17","0","0","0","58","295","Simcoe Composite School"
"028","HALDIMAND--NORFOLK","065","U","SIMCOE","51","2","24","1","25","0","0","0","103","310","Calvary Pentecostal Church (Gym)"
"028","HALDIMAND--NORFOLK","066","U","SIMCOE","69","1","29","0","33","0","0","0","132","476","Simcoe Composite School"
"028","HALDIMAND--NORFOLK","067","U","SIMCOE","54","3","19","1","20","0","0","0","97","301","Army, Navy and Air Force Building"
"028","HALDIMAND--NORFOLK","068","U","SIMCOE","48","0","31","0","17","0","1","0","97","315","Holy Trinity Catholic High School"
"028","HALDIMAND--NORFOLK","069","U","SIMCOE","79","2","30","2","28","0","0","0","141","317","Immanuel Christian Reformed Church"
"028","HALDIMAND--NORFOLK","070","U","SIMCOE","64","2","15","3","35","0","0","0","119","334","Holy Trinity Catholic High School"
"028","HALDIMAND--NORFOLK","071","U","SIMCOE","73","0","30","1","39","0","0","0","143","316","Immanuel Christian Reformed Church"
"028","HALDIMAND--NORFOLK","072","U","SIMCOE","95","2","29","0","34","1","0","0","161","313","Immanuel Christian Reformed Church"
"028","HALDIMAND--NORFOLK","073","U","SIMCOE","98","2","32","3","45","1","0","0","181","490","Holy Trinity Catholic High School"
"028","HALDIMAND--NORFOLK","074","U","SIMCOE","92","2","45","0","37","0","0","0","176","378","Holy Trinity Catholic High School"
"028","HALDIMAND--NORFOLK","075","U","SIMCOE","62","4","12","2","33","1","0","0","114","409","St. Joseph's School"
"028","HALDIMAND--NORFOLK","076","U","SIMCOE","60","5","30","0","35","0","0","0","130","419","Army, Navy and Air Force Building"
"028","HALDIMAND--NORFOLK","077","U","SIMCOE","53","5","27","1","41","2","0","0","129","435","Army, Navy and Air Force Building"
"028","HALDIMAND--NORFOLK","078","U","SIMCOE","57","3","21","0","18","0","0","0","99","256","Simcoe Composite School"
"028","HALDIMAND--NORFOLK","079","U","SIMCOE","37","3","30","1","27","0","0","0","98","401","St. Joseph's School"
"028","HALDIMAND--NORFOLK","080","U","SIMCOE","50","1","13","0","16","0","1","0","81","284","St. Joseph's School"
"028","HALDIMAND--NORFOLK","081","U","SIMCOE","74","5","31","1","32","0","0","0","143","343","Simcoe Composite School"
"028","HALDIMAND--NORFOLK","082","U","SIMCOE","86","2","59","0","23","0","0","0","170","418","Lynndale Heights Public School"
"028","HALDIMAND--NORFOLK","083","U","SIMCOE","101","1","41","0","24","0","0","0","167","350","Lynndale Heights Public School"
"028","HALDIMAND--NORFOLK","084","U","SIMCOE","62","2","29","0","22","0","0","0","115","275","St. Joseph's School"
"028","HALDIMAND--NORFOLK","085","U","SIMCOE","84","0","42","0","20","0","0","0","146","403","Calvary Penecostal Church (Main Entrance)"
"028","HALDIMAND--NORFOLK","086","U","SIMCOE","73","1","49","1","32","0","0","0","156","365","Calvary Penecostal Church (Main Entrance)"
"028","HALDIMAND--NORFOLK","087","U","SIMCOE","85","5","40","2","30","0","0","0","162","360","Lynndale Heights Public School"
"028","HALDIMAND--NORFOLK","088","U","SIMCOE","116","0","48","3","24","0","0","0","191","397","Lynndale Heights Public School"
"028","HALDIMAND--NORFOLK","089","U","SIMCOE","78","1","47","0","17","1","0","0","144","324","Calvary Penecostal Church (Main Entrance)"
"028","HALDIMAND--NORFOLK","090","U","SIMCOE","90","4","20","2","36","0","0","0","152","351","Calvary Pentecostal Church (Gym)"
"028","HALDIMAND--NORFOLK","091","U","SIMCOE","90","2","25","0","24","1","1","0","143","370","Calvary Pentecostal Church (Gym)"
"028","HALDIMAND--NORFOLK","092","U","WATERFORD","93","1","25","3","32","0","0","0","154","324","Royal Canadian Legion Branch 123"
"028","HALDIMAND--NORFOLK","093","U","WATERFORD","71","2","28","0","27","0","2","0","130","268","Royal Canadian Legion Branch 123"
"028","HALDIMAND--NORFOLK","094","U","WATERFORD","82","5","35","1","34","0","0","0","157","252","Boston Public School"
"028","HALDIMAND--NORFOLK","095","U","WATERFORD","84","3","26","3","44","1","0","0","161","344","Boston Public School"
"028","HALDIMAND--NORFOLK","096","U","WATERFORD","74","6","19","0","41","0","0","0","140","303","Royal Canadian Legion Branch 123"
"028","HALDIMAND--NORFOLK","097","U","WATERFORD","81","2","30","1","43","1","0","0","158","389","Royal Canadian Legion Branch 123"
"028","HALDIMAND--NORFOLK","098","U","WATERFORD","87","2","40","1","70","2","0","0","202","424","Waterford United Church"
"028","HALDIMAND--NORFOLK","099","U","WATERFORD","101","8","45","3","39","2","2","0","200","401","Waterford United Church"
"028","HALDIMAND--NORFOLK","100","U","WATERFORD","102","8","40","0","40","1","0","0","191","459","Waterford United Church"
"028","HALDIMAND--NORFOLK","101","U","WATERFORD","64","5","31","0","48","0","0","1","149","351","Waterford United Church"
"028","HALDIMAND--NORFOLK","102","U","WATERFORD","75","6","21","2","12","0","0","0","116","230","Royal Canadian Legion Branch 123"
"028","HALDIMAND--NORFOLK","103","U","WATERFORD","131","6","36","0","41","0","0","0","214","451","Royal Canadian Legion Branch 123"
"028","HALDIMAND--NORFOLK","104","U","SIMCOE","113","8","36","1","28","0","0","0","186","497","Calvary Pentecostal Church (Gym)"
"028","HALDIMAND--NORFOLK","105","U","JARVIS","170","5","20","4","50","0","0","0","249","496","Jarvis Lions Community Centre"
"028","HALDIMAND--NORFOLK","106","U","PORT DOVER","126","0","34","1","19","2","0","0","182","330","Port Dover Lions Community Centre"
"028","HALDIMAND--NORFOLK","107","U","PORT DOVER","96","4","46","0","51","0","0","0","197","434","Port Dover Lions Community Centre"
"028","HALDIMAND--NORFOLK","108","U","PORT DOVER","68","3","26","1","24","0","0","0","122","293","Port Dover Lions Community Centre"
"028","HALDIMAND--NORFOLK","109","U","PORT DOVER","78","9","18","2","42","0","1","0","150","370","Port Dover Lions Community Centre"
"028","HALDIMAND--NORFOLK","110","U","PORT DOVER","84","7","29","1","34","0","0","0","155","324","Port Dover Lions Community Centre"
"028","HALDIMAND--NORFOLK","111","U","PORT DOVER","96","5","34","2","46","0","0","0","183","407","Port Dover Lions Community Centre"
"028","HALDIMAND--NORFOLK","112","U","PORT DOVER","108","2","42","1","36","1","1","0","191","410","Port Dover Lions Community Centre"
"028","HALDIMAND--NORFOLK","113","U","PORT DOVER","112","6","38","4","42","3","0","0","205","410","Port Dover Lions Community Centre"
"028","HALDIMAND--NORFOLK","114","U","PORT DOVER","78","7","18","0","34","0","1","0","138","368","Doverwood Public School"
"028","HALDIMAND--NORFOLK","115","U","PORT DOVER","56","4","15","0","31","1","0","0","107","268","Port Dover Lions Community Centre"
