"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","ABEL","JOHNSON","OLITO","PAYNE","SCOTT","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","001","U","OXTONGUE LAKE","12","11","0","9","36","0","0","0","68","118","Oxtongue Lake Recreation Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","002","U","DORSET","40","59","1","15","105","1","0","0","221","369","Dorset Recreation Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","003","U","ALGONQUIN HIGHLANDS","37","97","0","7","70","0","0","0","211","372","Club 35"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","004","U","ALGONQUIN HIGHLANDS","36","99","0","12","85","0","0","0","232","474","Stanhope Fire Fighters' Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","005","U","CARNARVON","30","92","1","8","78","0","0","0","209","437","Zion United Church"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","006","U","CARNARVON","4","25","2","3","26","0","0","0","60","189","Zion United Church"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","007","U","CARNARVON","25","84","1","4","64","0","0","0","178","308","Zion United Church"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","008","U","MINDEN","22","39","0","0","68","0","0","1","130","474","Minden Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","009","U","MINDEN","7","15","0","1","19","0","0","0","42","196","Minden Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","010","U","MINDEN","12","25","0","1","34","0","0","0","72","364","Minden Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","011","U","MINDEN","11","51","1","5","42","0","0","0","110","339","Minden Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","012","U","MINDEN","16","19","0","1","36","0","0","0","72","248","Minden Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","013","U","MINDEN","16","85","0","4","72","0","0","0","177","522","Minden Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","014","U","LOCHLIN","17","26","0","1","28","0","0","0","72","175","Lochlin Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","015","U","LOCHLIN","15","28","3","6","56","0","0","0","108","417","Lochlin Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","016","U","MINDEN","33","65","0","5","60","0","0","0","163","431","Minden Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","017","U","MINDEN","33","37","0","4","66","0","0","0","140","432","Minden Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","018","U","IRONDALE","27","26","0","6","45","0","0","0","104","244","Irondale General Store"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","019","U","GOODERHAM","27","49","1","6","79","0","0","0","162","346","Robert McCauland Memorial Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","020","U","HALIBURTON","27","87","1","12","73","0","0","0","200","502","Royal Canadian Legion Branch 129 Haliburton"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","021","U","HALIBURTON","20","92","1","10","61","0","0","0","184","567","Royal Canadian Legion Branch 129 Haliburton"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","022","U","HALIBURTON","25","46","0","1","38","0","0","0","110","265","Royal Canadian Legion Branch 129 Haliburton"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","023","U","HALIBURTON","12","79","0","3","32","0","0","0","126","336","Royal Canadian Legion Branch 129 Haliburton"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","024","U","HALIBURTON","30","37","1","5","53","0","0","0","126","314","Royal Canadian Legion Branch 129 Haliburton"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","025","U","HALIBURTON","32","72","0","7","75","0","0","0","186","445","Royal Canadian Legion Branch 129 Haliburton"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","026","U","HALIBURTON","19","117","0","5","68","0","0","0","209","446","Royal Canadian Legion Branch 129 Haliburton"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","027","U","WEST GUILFORD","41","67","0","9","72","0","0","0","189","373","West Guilford Recreation Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","028","U","EAGLE LAKE","32","105","0","7","72","1","0","0","217","451","Eagle Lake Community Church"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","029","U","EAGLE LAKE","9","38","1","1","26","0","0","0","75","185","Eagle Lake Community Church"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","030","U","WEST GUILFORD","26","77","0","6","94","0","0","0","203","430","West Guilford Recreation Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","031","U","HARCOURT","59","71","1","7","121","1","2","0","262","508","Harcourt Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","032","U","WILBERFORCE","48","67","1","3","77","0","0","0","196","486","Keith Tallman Memorial Arena"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","033","U","GOODERHAM","22","32","1","3","38","1","0","0","97","210","Robert McCauland Memorial Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","034","U","WILBERFORCE","15","45","0","8","39","0","0","0","107","238","Keith Tallman Memorial Arena"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","035","U","CARDIFF","53","43","2","4","60","0","0","1","163","393","Cardiff Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","036","U","CARDIFF","49","64","0","3","130","1","0","0","247","435","Cardiff Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","037","U","GLEN ALDA","28","34","2","7","61","0","0","0","132","297","Chandos Glen Alda Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","038","U","APSLEY","16","30","0","1","35","1","0","0","83","293","North Kawartha Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","039","U","APSLEY","20","36","1","3","41","0","1","0","102","277","North Kawartha Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","040","U","WOODVIEW","46","63","3","18","98","1","0","0","229","339","Wilson Park Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","041","U","BUCKHORN","56","87","2","6","85","0","0","0","236","399","St. Matthew/St. Aidan's Anglican Church"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","042","U","BURLEIGH FALLS","16","26","0","4","27","1","1","0","75","127","The Church on the Rock"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","043","U","BUCKHORN","32","101","0","3","108","0","0","0","244","367","St. Matthew/St. Aidan's Anglican Church"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","044","U","LAKEHURST","52","103","0","8","140","0","1","0","304","524","Lakehurst Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","045","U","LAKEHURST","19","24","2","6","44","0","0","1","96","176","Lakehurst Community Centre"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","046","U","BOBCAYGEON","33","77","0","2","137","0","0","0","249","527","Royal Canadian Legion Branch 239 Bobcaygeon"
"029","HALIBURTON--KAWARTHA LAKES--BROCK","047","U","OAK SHORES","45","59","3","7","90","0","0","0","204","483","Oak Shores Community Centre"
