"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BUCK","CHUDLEIGH","FRASER","NAIDOO-HARRIS","RODRIGUES","SPOHR","VAN DEN BURG","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"030","HALTON","001","U","MILTON","0","79","6","35","1","13","1","0","0","0","135","308","Ontario Electric Railway Historical Association"
"030","HALTON","002","U","MILTON","1","94","4","41","3","27","0","0","0","2","172","408","Ontario Electric Railway Historical Association"
"030","HALTON","003","U","MILTON","2","98","7","50","0","13","0","0","0","0","170","400","Ontario Electric Railway Historical Association"
"030","HALTON","004","U","CAMPBELLVILLE","1","83","7","43","0","14","1","0","0","0","149","331","Brookville Public School"
"030","HALTON","005","U","CAMPBELLVILLE","0","73","1","38","0","7","0","0","0","0","119","377","Brookville Public School"
"030","HALTON","006","U","CAMPBELLVILLE","0","85","5","51","2","13","0","2","0","0","158","466","Brookville Public School"
"030","HALTON","007","U","CAMPBELLVILLE","1","87","9","48","3","20","0","1","0","0","169","441","Brookville Public School"
"030","HALTON","008","U","CAMPBELLVILLE","0","64","3","47","0","19","0","0","0","0","133","296","Nassagaweya Tennis Club"
"030","HALTON","009","U","CAMPBELLVILLE","0","80","0","45","1","16","0","1","0","0","143","357","Nassagaweya Community Centre"
"030","HALTON","010","U","CAMPBELLVILLE","0","112","7","63","0","22","1","0","0","0","205","445","St. David's Presbyterian Church"
"030","HALTON","011","U","CAMPBELLVILLE","0","84","4","44","2","16","0","0","0","0","150","438","St. David's Presbyterian Church"
"030","HALTON","012","U","CAMPBELLVILLE","0","80","6","41","0","12","0","0","0","0","139","379","Nassagaweya Community Centre"
"030","HALTON","013","U","CAMPBELLVILLE","0","85","2","33","0","8","0","0","0","0","128","396","Nassagaweya Community Centre"
"030","HALTON","014","U","KILBRIDE","0","67","7","85","0","14","0","0","0","0","173","292","Kilbride Public School"
"030","HALTON","015","U","KILBRIDE","1","116","10","58","1","20","0","1","0","0","207","478","Kilbride Public School"
"030","HALTON","016","U","BURLINGTON","3","86","10","78","2","14","1","0","0","0","194","412","Lowville United Church"
"030","HALTON","017","U","KILBRIDE","2","93","5","76","3","25","2","0","0","0","206","417","Kilbride Public School"
