"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BALDASARO","GRACEY","HORWATH","KUHLMANN","LAWSON","ORMOND","PASSMORE","SHEPPARD","SZAJKOWSKI","TIQUI-SHEBIB","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"031","HAMILTON CENTRE","001","U","HAMILTON","4","1","134","1","1","7","3","18","0","33","0","0","0","202","564","Hess Street School"
"031","HAMILTON CENTRE","002","U","HAMILTON","1","4","178","8","5","6","2","18","2","88","0","0","0","312","981","Hess Street School"
"031","HAMILTON CENTRE","003","U","HAMILTON","2","0","145","3","2","13","0","21","0","23","1","0","0","210","542","Bennetto Elementary School"
"031","HAMILTON CENTRE","004","U","HAMILTON","2","0","145","4","0","18","0","24","0","40","0","1","0","234","594","Bennetto Elementary School"
"031","HAMILTON CENTRE","005","U","HAMILTON","0","1","90","2","2","6","4","14","0","36","2","0","0","157","437","Christ's Church Cathedral"
"031","HAMILTON CENTRE","006","U","HAMILTON","3","0","103","5","2","4","1","17","1","39","0","0","3","178","554","Christ's Church Cathedral"
"031","HAMILTON CENTRE","007","U","HAMILTON","2","1","64","3","0","5","0","9","0","24","0","1","0","109","456","Hess Street School"
"031","HAMILTON CENTRE","008","U","HAMILTON","2","1","79","0","0","8","1","7","0","14","0","0","0","112","493","Scottish Rite"
"031","HAMILTON CENTRE","009","U","HAMILTON","0","0","64","0","0","4","0","15","0","19","1","0","0","103","365","Scottish Rite"
"031","HAMILTON CENTRE","010","U","HAMILTON","1","1","151","5","0","13","0","25","1","35","0","0","0","232","597","Scottish Rite"
"031","HAMILTON CENTRE","011","U","HAMILTON","1","0","152","2","0","20","1","36","0","31","0","0","0","243","531","Scottish Rite"
"031","HAMILTON CENTRE","012","U","HAMILTON","1","2","172","4","4","19","0","27","0","27","0","1","0","257","570","Erskine Presbyterian Church"
"031","HAMILTON CENTRE","013","U","HAMILTON","2","0","194","4","0","16","0","23","0","42","2","0","0","283","533","Erskine Presbyterian Church"
"031","HAMILTON CENTRE","014","U","HAMILTON","2","1","126","5","0","16","5","22","0","31","1","0","0","209","536","First Unitarian Church of Hamilton"
"031","HAMILTON CENTRE","015","U","HAMILTON","1","0","133","1","0","11","0","22","1","23","0","0","0","192","557","Bennetto Elementary School"
"031","HAMILTON CENTRE","016","U","HAMILTON","0","0","158","1","1","0","1","16","0","18","1","1","0","197","580","Eva Rothwell Residence Centre"
"031","HAMILTON CENTRE","017","U","HAMILTON","1","1","143","2","0","6","2","16","0","14","0","0","0","185","528","Bennetto Recreation Centre"
"031","HAMILTON CENTRE","018","U","HAMILTON","1","0","126","5","4","7","0","19","0","33","0","0","0","195","506","Bennetto Elementary School"
"031","HAMILTON CENTRE","019","U","HAMILTON","1","4","195","1","0","9","0","17","0","29","1","2","0","259","585","Bennetto Recreation Centre"
"031","HAMILTON CENTRE","020","U","HAMILTON","4","0","136","2","1","3","1","10","0","15","0","0","1","173","535","Eva Rothwell Residence Centre"
"031","HAMILTON CENTRE","021","U","HAMILTON","1","2","85","2","0","5","4","11","0","13","1","0","0","124","449","Eva Rothwell Residence Centre"
"031","HAMILTON CENTRE","022","U","HAMILTON","2","1","66","8","0","2","0","10","0","30","1","0","0","120","355","Bennetto Recreation Centre"
"031","HAMILTON CENTRE","023","U","HAMILTON","2","1","77","3","1","1","0","14","1","22","0","1","0","123","462","Eva Rothwell Residence Centre"
"031","HAMILTON CENTRE","024","U","HAMILTON","3","1","66","6","0","5","1","11","0","20","0","0","0","113","453","Eva Rothwell Residence Centre"
"031","HAMILTON CENTRE","025","U","HAMILTON","1","3","97","0","0","1","0","13","0","9","1","0","0","125","546","Eva Rothwell Residence Centre"
"031","HAMILTON CENTRE","026","U","HAMILTON","2","1","76","5","1","5","1","10","1","13","1","0","0","116","554","Cathy Weaver Elementary School"
"031","HAMILTON CENTRE","027","U","HAMILTON","0","0","77","1","1","3","0","8","0","22","1","0","0","113","401","Christ's Church Cathedral"
"031","HAMILTON CENTRE","028","U","HAMILTON","1","2","90","0","1","5","0","4","0","24","0","0","0","127","513","Christ's Church Cathedral"
"031","HAMILTON CENTRE","029","U","HAMILTON","2","0","71","2","3","3","2","6","0","19","0","0","0","108","594","Dr. J. Edgar Davey Elementary School"
"031","HAMILTON CENTRE","030","U","HAMILTON","3","2","88","0","3","9","1","11","0","13","0","2","0","132","558","Dr. J. Edgar Davey Elementary School"
"031","HAMILTON CENTRE","031","U","HAMILTON","6","2","56","4","0","5","1","7","1","12","2","0","1","97","547","Dr. J. Edgar Davey Elementary School"
"031","HAMILTON CENTRE","032","U","HAMILTON","0","0","39","2","0","3","2","5","0","8","0","0","0","59","171","Church of St. John and St. Andrew"
"031","HAMILTON CENTRE","033","U","HAMILTON","0","1","65","3","0","0","2","12","0","24","2","0","0","109","436","Cathy Weaver Elementary School"
"031","HAMILTON CENTRE","034","U","HAMILTON","0","0","96","1","0","4","0","11","0","16","2","1","0","131","480","Church of St. John and St. Andrew"
"031","HAMILTON CENTRE","035","U","HAMILTON","2","1","109","5","0","3","0","13","3","19","0","1","1","157","750","Church of St. John and St. Andrew"
"031","HAMILTON CENTRE","036","U","HAMILTON","0","0","61","2","1","4","0","10","0","16","0","0","0","94","338","First Pilgrim Church"
"031","HAMILTON CENTRE","037","U","HAMILTON","1","0","47","2","0","1","1","4","1","23","0","0","1","81","355","First Pilgrim Church"
"031","HAMILTON CENTRE","038","U","HAMILTON","1","1","114","2","1","2","1","11","0","9","0","0","0","142","520","Polish Veterans Club"
"031","HAMILTON CENTRE","039","U","HAMILTON","0","0","77","1","0","2","0","10","0","10","1","0","0","101","304","Polish Veterans Club"
"031","HAMILTON CENTRE","040","U","HAMILTON","1","0","54","1","0","2","0","13","0","6","0","0","0","77","282","Polish Veterans Club"
"031","HAMILTON CENTRE","041","U","HAMILTON","2","1","84","3","1","1","0","4","0","17","3","0","0","116","312","Polish Veterans Club"
"031","HAMILTON CENTRE","042","U","HAMILTON","1","1","75","3","0","1","0","8","0","22","0","2","0","113","478","Eva Rothwell Residence Centre"
"031","HAMILTON CENTRE","043","U","HAMILTON","3","3","93","5","1","4","0","19","0","17","1","0","0","146","478","Cathy Weaver Elementary School"
"031","HAMILTON CENTRE","044","U","HAMILTON","4","0","85","4","1","4","0","24","0","18","0","0","0","140","487","Cathy Weaver Elementary School"
"031","HAMILTON CENTRE","045","U","HAMILTON","1","0","53","0","1","1","0","8","0","11","0","0","0","75","337","Cathy Weaver Elementary School"
