"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CRIPPS","DOUCETTE","FIORENTINO","INNES","MILLER","PATTINSON","RANDALL","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"032","HAMILTON EAST--STONEY CREEK","001","U","HAMILTON","36","2","26","1","77","0","8","0","0","0","150","334","Hamilton Beach Rescue Unit"
"032","HAMILTON EAST--STONEY CREEK","002","U","HAMILTON","40","1","28","1","106","1","4","0","0","0","181","376","Hamilton Beach Rescue Unit"
"032","HAMILTON EAST--STONEY CREEK","003","U","HAMILTON","26","0","19","0","72","1","5","0","0","0","123","256","Hamilton Beach Rescue Unit"
"032","HAMILTON EAST--STONEY CREEK","004","U","HAMILTON","16","0","14","1","75","1","3","0","1","0","111","394","Royal Canadian Legion Branch 58"
"032","HAMILTON EAST--STONEY CREEK","005","U","HAMILTON","11","0","11","0","84","1","1","1","0","0","109","314","Moose Lodge Family Centre"
"032","HAMILTON EAST--STONEY CREEK","006","U","HAMILTON","7","0","13","0","99","1","6","0","0","0","126","444","Moose Lodge Family Centre"
"032","HAMILTON EAST--STONEY CREEK","007","U","HAMILTON","12","1","22","2","86","1","3","1","0","0","128","372","Moose Lodge Family Centre"
"032","HAMILTON EAST--STONEY CREEK","008","U","HAMILTON","11","0","32","0","122","1","2","0","0","0","168","493","Moose Lodge Family Centre"
"032","HAMILTON EAST--STONEY CREEK","009","U","HAMILTON","5","0","4","1","78","2","3","0","0","0","93","498","Royal Canadian Legion Branch 58"
"032","HAMILTON EAST--STONEY CREEK","010","U","HAMILTON","29","1","11","0","125","1","3","0","0","1","171","558","Royal Canadian Legion Branch 58"
"032","HAMILTON EAST--STONEY CREEK","011","U","HAMILTON","19","0","17","0","124","3","2","0","0","1","166","421","Hamilton East Kiwanis Boys & Girls Inc"
"032","HAMILTON EAST--STONEY CREEK","012","U","HAMILTON","15","2","21","0","108","3","9","0","0","1","159","520","Hamilton East Kiwanis Boys & Girls Inc"
"032","HAMILTON EAST--STONEY CREEK","013","U","HAMILTON","16","1","12","0","93","0","5","1","0","0","128","395","Hamilton East Kiwanis Boys & Girls Inc"
"032","HAMILTON EAST--STONEY CREEK","014","U","HAMILTON","19","0","19","0","93","0","2","1","0","0","134","432","Hamilton East Kiwanis Boys & Girls Inc"
"032","HAMILTON EAST--STONEY CREEK","015","U","HAMILTON","17","0","5","0","72","1","1","0","0","0","96","295","Hamilton East Kiwanis Boys & Girls Inc"
"032","HAMILTON EAST--STONEY CREEK","016","U","HAMILTON","17","0","20","3","97","2","1","0","1","0","141","406","Hamilton East Kiwanis Boys & Girls Inc"
"032","HAMILTON EAST--STONEY CREEK","017","U","HAMILTON","11","0","21","1","73","0","3","0","0","0","109","339","Hamilton East Kiwanis Boys & Girls Inc"
"032","HAMILTON EAST--STONEY CREEK","018","U","HAMILTON","8","1","15","1","88","0","2","0","0","0","115","365","Rhli Vetrans Association"
"032","HAMILTON EAST--STONEY CREEK","019","U","HAMILTON","9","3","17","0","87","1","0","0","1","0","118","437","Rhli Vetrans Association"
"032","HAMILTON EAST--STONEY CREEK","020","U","HAMILTON","22","0","31","1","120","0","2","0","0","0","176","536","Rhli Vetrans Association"
"032","HAMILTON EAST--STONEY CREEK","021","U","HAMILTON","10","2","19","0","113","1","5","0","0","0","150","452","Rhli Vetrans Association"
"032","HAMILTON EAST--STONEY CREEK","022","U","HAMILTON","11","0","14","1","83","0","1","0","0","0","110","359","Wh. Ballard Elementary School"
"032","HAMILTON EAST--STONEY CREEK","023","U","HAMILTON","20","0","21","2","107","1","2","0","0","0","153","475","Hamilton East Kiwanis Boys & Girls Inc"
"032","HAMILTON EAST--STONEY CREEK","024","U","HAMILTON","10","0","16","0","63","0","1","2","0","1","93","349","Hamilton East Kiwanis Boys & Girls Inc"
"032","HAMILTON EAST--STONEY CREEK","025","U","HAMILTON","34","0","12","2","139","1","5","0","0","0","193","479","Wh. Ballard Elementary School"
