"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AGGELONITIS","ELMS","ENOS","GOODWIN","MORRIS","TAYLOR","WIENHOLD","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"033","HAMILTON MOUNTAIN","001","U","HAMILTON","75","38","1","0","6","83","0","0","0","0","203","438","Immanuel Christian Reform Church"
"033","HAMILTON MOUNTAIN","002","U","HAMILTON","43","37","0","0","4","65","0","1","0","1","151","454","Immanuel Christian Reform Church"
"033","HAMILTON MOUNTAIN","003","U","HAMILTON","80","49","0","1","3","99","1","1","0","0","234","410","Transfiguration Church"
"033","HAMILTON MOUNTAIN","004","U","HAMILTON","66","31","1","1","6","116","1","1","0","0","223","472","Transfiguration Church"
"033","HAMILTON MOUNTAIN","005","U","HAMILTON","22","9","2","1","1","66","0","0","0","1","102","415","Transfiguration Church"
"033","HAMILTON MOUNTAIN","006","U","HAMILTON","82","41","3","2","5","100","0","3","1","0","237","512","Transfiguration Church"
"033","HAMILTON MOUNTAIN","007","U","HAMILTON","54","25","2","1","4","73","1","0","0","0","160","405","Transfiguration Church"
"033","HAMILTON MOUNTAIN","008","U","HAMILTON","66","25","2","0","6","81","0","0","0","0","180","419","St. Stephen on the Mount"
"033","HAMILTON MOUNTAIN","009","U","HAMILTON","43","31","1","1","3","91","2","0","0","0","172","424","Concession Street Library"
"033","HAMILTON MOUNTAIN","010","U","HAMILTON","48","34","1","0","3","85","2","0","0","0","173","421","Concession Street Library"
"033","HAMILTON MOUNTAIN","011","U","HAMILTON","54","31","2","0","7","97","2","1","0","0","194","449","Transfiguration Church"
"033","HAMILTON MOUNTAIN","012","U","HAMILTON","40","28","5","0","5","112","1","0","0","0","191","451","St. Stephen on the Mount"
"033","HAMILTON MOUNTAIN","013","U","HAMILTON","56","23","1","0","2","104","1","1","0","0","188","454","St. Stephen on the Mount"
"033","HAMILTON MOUNTAIN","014","U","HAMILTON","36","27","1","1","4","109","2","1","0","0","181","466","Sackville Hill Seniors Centre"
"033","HAMILTON MOUNTAIN","015","U","HAMILTON","38","36","1","1","2","95","1","1","0","0","175","412","St. Stephen on the Mount"
"033","HAMILTON MOUNTAIN","016","U","HAMILTON","41","29","2","1","6","113","1","1","0","0","194","491","Eastmount Park School"
"033","HAMILTON MOUNTAIN","017","U","HAMILTON","36","27","0","0","0","86","1","1","0","0","151","468","Eastmount Park School"
"033","HAMILTON MOUNTAIN","018","U","HAMILTON","52","19","3","1","5","115","0","1","0","1","197","508","Eastmount Park School"
"033","HAMILTON MOUNTAIN","019","U","HAMILTON","32","28","2","1","3","137","3","0","0","0","206","456","Eastmount Park School"
"033","HAMILTON MOUNTAIN","020","U","HAMILTON","47","39","1","2","3","120","2","0","0","0","214","486","Eastmount Park School"
"033","HAMILTON MOUNTAIN","021","U","HAMILTON","32","40","1","0","0","117","0","0","0","0","190","499","Eastmount Park School"
"033","HAMILTON MOUNTAIN","022","U","HAMILTON","26","19","0","0","4","87","1","1","0","0","138","429","St. Stephen on the Mount"
"033","HAMILTON MOUNTAIN","023","U","HAMILTON","23","19","3","0","0","107","0","0","0","0","152","460","St. Stephen on the Mount"
"033","HAMILTON MOUNTAIN","024","U","HAMILTON","31","20","0","1","0","90","1","0","0","0","143","476","St. Stephen on the Mount"
"033","HAMILTON MOUNTAIN","025","U","HAMILTON","55","29","0","0","2","112","0","0","2","0","200","466","St. John United Church"
"033","HAMILTON MOUNTAIN","026","U","HAMILTON","53","33","1","0","8","135","0","3","0","0","233","500","St. John United Church"
"033","HAMILTON MOUNTAIN","027","U","HAMILTON","36","39","1","1","4","145","1","2","1","0","230","469","St. John United Church"
"033","HAMILTON MOUNTAIN","028","U","HAMILTON","42","33","3","0","8","129","1","1","0","0","217","436","St. John United Church"
"033","HAMILTON MOUNTAIN","029","U","HAMILTON","79","26","0","0","3","120","1","2","0","1","232","491","St. John United Church"
"033","HAMILTON MOUNTAIN","030","U","HAMILTON","60","39","1","1","3","117","0","0","0","0","221","406","Highview School"
"033","HAMILTON MOUNTAIN","031","U","HAMILTON","57","35","3","1","2","109","0","1","0","0","208","458","Highview School"
"033","HAMILTON MOUNTAIN","032","U","HAMILTON","74","64","1","0","7","101","0","0","0","0","247","446","Highview School"
"033","HAMILTON MOUNTAIN","033","U","HAMILTON","74","34","1","0","2","100","1","0","0","0","212","442","Highview School"
"033","HAMILTON MOUNTAIN","034","U","HAMILTON","44","41","0","0","3","69","0","1","1","0","159","364","Pavillon de la Jeunesse"
