"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","MAIN","MITCHELL","ROBERTSON","SCHNURR","THOMPSON","VALENTA","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"034","HURON--BRUCE","001","U","SOUTHAMPTON","3","88","38","0","65","0","0","0","0","194","319","G. C. Huston Public School"
"034","HURON--BRUCE","002","U","SOUTHAMPTON","3","39","33","0","43","0","0","0","0","118","199","G. C. Huston Public School"
"034","HURON--BRUCE","003","U","SOUTHAMPTON","10","63","53","1","37","1","0","0","0","165","353","G. C. Huston Public School"
"034","HURON--BRUCE","004","U","SOUTHAMPTON","3","86","63","3","90","0","1","0","0","246","429","Southampton Rotary Hall"
"034","HURON--BRUCE","005","U","SOUTHAMPTON","6","70","41","1","66","0","0","0","0","184","368","Southampton Rotary Hall"
"034","HURON--BRUCE","006","U","SOUTHAMPTON","3","98","32","0","78","2","0","0","0","213","380","Southampton Rotary Hall"
"034","HURON--BRUCE","007","U","SOUTHAMPTON","6","153","70","0","175","2","0","1","2","409","682","Southampton Rotary Hall"
"034","HURON--BRUCE","008","U","SOUTHAMPTON","5","24","17","1","47","0","0","0","0","94","205","Southampton Rotary Hall"
"034","HURON--BRUCE","009","U","PORT ELGIN","3","72","30","0","112","0","0","0","0","217","418","Masonic Centre - Port Elgin"
"034","HURON--BRUCE","010","U","PORT ELGIN","8","151","45","2","114","1","0","0","0","321","597","Northport Elementary School"
"034","HURON--BRUCE","011","U","PORT ELGIN","6","132","43","2","118","3","1","0","0","305","622","Northport Elementary School"
"034","HURON--BRUCE","012","U","PORT ELGIN","4","65","34","3","78","0","1","0","0","185","311","Masonic Centre - Port Elgin"
"034","HURON--BRUCE","013","U","PORT ELGIN","3","103","56","3","68","6","0","0","0","239","459","Masonic Centre - Port Elgin"
"034","HURON--BRUCE","014","U","PORT ELGIN","4","75","29","1","80","1","0","0","0","190","441","Masonic Centre - Port Elgin"
"034","HURON--BRUCE","015","U","PORT ELGIN","4","78","43","1","76","2","0","0","0","204","452","Port Elgin Saugeen Central School"
"034","HURON--BRUCE","016","U","PORT ELGIN","5","55","25","0","49","3","0","0","0","137","308","Port Elgin Saugeen Central School"
"034","HURON--BRUCE","017","U","PORT ELGIN","11","74","35","1","60","5","1","1","0","188","404","Port Elgin Fire Hall"
"034","HURON--BRUCE","018","U","PORT ELGIN","1","89","26","1","67","0","0","0","0","184","357","Port Elgin Fire Hall"
