"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BEST","BUSCH","CARACCIOLO","GERRETSEN","HOLLAND","JAMES","KILEY","SHAW","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"036","KINGSTON AND THE ISLANDS","001","U","GLENBURNIE","0","0","1","36","23","30","3","0","0","0","0","93","329","Glenburnie United Church"
"036","KINGSTON AND THE ISLANDS","002","U","GLENBURNIE","0","0","1","62","23","32","3","0","0","0","0","121","407","Glenburnie United Church"
"036","KINGSTON AND THE ISLANDS","003","U","GLENBURNIE","0","1","1","57","20","43","11","1","1","0","0","135","306","Glenburnie United Church"
"036","KINGSTON AND THE ISLANDS","004","U","GLENBURNIE","0","0","0","28","8","16","3","0","0","0","0","55","123","Glenburnie United Church"
"036","KINGSTON AND THE ISLANDS","005","U","GLENBURNIE","0","0","1","86","51","44","5","0","0","1","0","188","429","Glenburnie United Church"
"036","KINGSTON AND THE ISLANDS","006","U","KINGSTON","1","1","0","63","29","51","8","0","1","1","0","155","531","Kingston and District Shrine Club"
"036","KINGSTON AND THE ISLANDS","007","U","KINGSTON","0","0","0","55","27","50","1","0","0","1","0","134","450","Cataraqui Community Centre"
"036","KINGSTON AND THE ISLANDS","008","U","GLENBURNIE","0","0","4","66","47","38","9","2","0","0","0","166","410","Glenburnie United Church"
"036","KINGSTON AND THE ISLANDS","009","U","GLENBURNIE","0","0","0","63","43","42","2","0","0","0","0","150","331","Glenburnie United Church"
"036","KINGSTON AND THE ISLANDS","010","U","KINGSTON","0","0","4","78","43","66","6","0","0","0","0","197","501","Cataraqui Community Centre"
"036","KINGSTON AND THE ISLANDS","011","U","KINGSTON","0","0","4","69","30","39","8","1","0","0","0","151","405","Wally Elmer Neighbourhood Centre"
"036","KINGSTON AND THE ISLANDS","012","U","KINGSTON","0","0","1","68","43","70","9","0","0","0","0","191","491","Kingston and District Shrine Club"
"036","KINGSTON AND THE ISLANDS","013","U","KINGSTON","0","0","0","78","25","64","4","0","0","0","0","171","521","Invista Centre"
"036","KINGSTON AND THE ISLANDS","014","U","KINGSTON","0","0","2","44","45","38","6","0","0","0","0","135","503","Kingston and District Shrine Club"
"036","KINGSTON AND THE ISLANDS","015","U","KINGSTON","0","0","1","66","45","41","3","0","0","0","0","156","518","Invista Centre"
"036","KINGSTON AND THE ISLANDS","016","U","KINGSTON","0","0","2","69","32","31","4","0","0","0","0","138","426","Invista Centre"
"036","KINGSTON AND THE ISLANDS","017","U","KINGSTON","0","0","2","45","31","20","2","0","0","0","0","100","363","Invista Centre"
"036","KINGSTON AND THE ISLANDS","018","U","KINGSTON","0","1","3","94","25","35","4","0","0","0","0","162","520","Invista Centre"
"036","KINGSTON AND THE ISLANDS","019","U","KINGSTON","0","0","1","40","29","26","4","0","0","0","0","100","323","Invista Centre"
"036","KINGSTON AND THE ISLANDS","020","U","KINGSTON","0","0","0","91","42","61","1","0","0","1","1","197","535","Third Day Worship Centre"
"036","KINGSTON AND THE ISLANDS","021","U","KINGSTON","0","0","1","70","37","54","2","0","0","0","0","164","474","Third Day Worship Centre"
"036","KINGSTON AND THE ISLANDS","022","U","KINGSTON","0","0","0","141","50","60","7","0","0","0","0","258","561","Third Day Worship Centre"
"036","KINGSTON AND THE ISLANDS","023","U","KINGSTON","0","0","4","160","51","95","13","1","0","0","0","324","744","Third Day Worship Centre"
"036","KINGSTON AND THE ISLANDS","024","U","KINGSTON","1","0","1","48","41","25","5","0","0","0","0","121","393","St. Peter Catholic School"
"036","KINGSTON AND THE ISLANDS","025","U","KINGSTON","0","0","3","43","26","20","3","1","0","0","0","96","326","Holy Family Catholic School"
"036","KINGSTON AND THE ISLANDS","026","U","KINGSTON","0","1","1","23","37","13","2","0","0","0","0","77","378","Wally Elmer Neighbourhood Centre"
"036","KINGSTON AND THE ISLANDS","027","U","KINGSTON","0","0","1","58","37","30","5","1","0","0","0","132","452","Wally Elmer Neighbourhood Centre"
"036","KINGSTON AND THE ISLANDS","028","U","KINGSTON","0","0","0","43","42","36","2","0","0","0","0","123","473","Wally Elmer Neighbourhood Centre"
"036","KINGSTON AND THE ISLANDS","029","U","KINGSTON","0","0","0","16","15","7","4","0","1","0","0","43","292","Holy Family Catholic School"
"036","KINGSTON AND THE ISLANDS","030","U","KINGSTON","0","0","0","44","35","32","2","0","0","0","0","113","355","Holy Family Catholic School"
"036","KINGSTON AND THE ISLANDS","031","U","KINGSTON","0","0","0","65","50","45","1","0","0","0","0","161","380","Holy Family Catholic School"
"036","KINGSTON AND THE ISLANDS","032","U","KINGSTON","1","0","2","41","46","17","8","2","0","0","0","117","459","Village Towers Apartments"
"036","KINGSTON AND THE ISLANDS","033","U","KINGSTON","0","0","1","17","47","16","1","0","0","0","0","82","386","Holy Family Catholic School"
"036","KINGSTON AND THE ISLANDS","034","U","KINGSTON","0","0","3","46","44","29","9","0","1","0","0","132","416","Wally Elmer Neighbourhood Centre"
"036","KINGSTON AND THE ISLANDS","035","U","KINGSTON","0","1","1","47","37","41","1","0","0","0","0","128","373","Holy Family Catholic School"
"036","KINGSTON AND THE ISLANDS","036","U","KINGSTON","1","0","1","28","32","15","1","0","0","0","0","78","321","Holy Family Catholic School"
"036","KINGSTON AND THE ISLANDS","037","U","KINGSTON","0","0","0","32","32","16","2","0","0","0","0","82","357","Wally Elmer Neighbourhood Centre"
"036","KINGSTON AND THE ISLANDS","038","U","KINGSTON","0","0","0","69","35","63","5","0","0","0","0","172","485","Kingston and District Shrine Club"
"036","KINGSTON AND THE ISLANDS","039","U","KINGSTON","0","1","2","109","28","41","5","0","0","0","0","186","516","Holy Cross Catholic Secondary School"
"036","KINGSTON AND THE ISLANDS","040","U","KINGSTON","0","0","2","91","38","42","6","0","1","0","0","180","418","Kingston and District Shrine Club"
"036","KINGSTON AND THE ISLANDS","041","U","KINGSTON","0","0","0","59","19","57","4","1","0","0","0","140","368","Kingston and District Shrine Club"
"036","KINGSTON AND THE ISLANDS","042","U","KINGSTON","0","0","0","108","26","33","4","1","0","0","0","172","396","Holy Cross Catholic Secondary School"
"036","KINGSTON AND THE ISLANDS","043","U","KINGSTON","0","0","0","96","40","58","3","2","0","0","0","199","436","Holy Cross Catholic Secondary School"
"036","KINGSTON AND THE ISLANDS","044","U","KINGSTON","0","0","2","86","25","36","5","0","0","0","0","154","385","Kingston and District Shrine Club"
"036","KINGSTON AND THE ISLANDS","045","U","KINGSTON","0","0","1","95","39","42","1","0","1","0","0","179","383","Holy Cross Catholic Secondary School"
"036","KINGSTON AND THE ISLANDS","046","U","KINGSTON","0","0","2","74","22","43","2","0","0","0","0","143","372","Kingston and District Shrine Club"
"036","KINGSTON AND THE ISLANDS","047","U","KINGSTON","0","0","0","93","24","32","5","0","0","0","0","154","405","Archbishop O'sullivan Catholic School"
"036","KINGSTON AND THE ISLANDS","048","U","KINGSTON","0","0","1","52","37","32","11","0","0","0","0","133","398","Bayridge Alliance Church"
"036","KINGSTON AND THE ISLANDS","049","U","KINGSTON","0","0","0","84","30","25","2","0","0","0","0","141","402","Bayridge Alliance Church"
"036","KINGSTON AND THE ISLANDS","050","U","KINGSTON","0","0","0","44","22","24","5","1","0","0","0","96","297","Bayridge Alliance Church"
"036","KINGSTON AND THE ISLANDS","051","U","KINGSTON","0","0","0","70","53","33","8","1","0","0","1","166","340","Archbishop O'sullivan Catholic School"
"036","KINGSTON AND THE ISLANDS","052","U","KINGSTON","1","0","1","64","40","38","6","0","1","0","0","151","393","Archbishop O'sullivan Catholic School"
"036","KINGSTON AND THE ISLANDS","053","U","KINGSTON","1","0","3","72","55","30","7","0","0","0","0","168","428","Archbishop O'sullivan Catholic School"
"036","KINGSTON AND THE ISLANDS","054","U","KINGSTON","0","0","2","42","30","26","7","0","0","0","0","107","292","Archbishop O'sullivan Catholic School"
"036","KINGSTON AND THE ISLANDS","055","U","KINGSTON","0","0","0","90","55","40","4","0","0","0","0","189","477","Bayridge Alliance Church"
"036","KINGSTON AND THE ISLANDS","056","U","KINGSTON","0","0","0","48","32","17","2","0","0","0","0","99","315","Bayridge Secondary School"
"036","KINGSTON AND THE ISLANDS","057","U","KINGSTON","0","0","3","70","52","33","6","0","0","0","0","164","383","Bayridge Secondary School"
"036","KINGSTON AND THE ISLANDS","058","U","KINGSTON","0","2","2","46","57","43","7","0","0","0","0","157","486","Bayridge Secondary School"
"036","KINGSTON AND THE ISLANDS","059","U","KINGSTON","0","0","0","79","69","31","4","0","2","0","0","185","446","Bayridge Secondary School"
"036","KINGSTON AND THE ISLANDS","060","U","KINGSTON","0","0","5","71","32","30","3","1","0","0","0","142","349","Bayridge Secondary School"
"036","KINGSTON AND THE ISLANDS","061","U","KINGSTON","0","0","2","76","34","37","2","0","0","0","0","151","335","Bayridge Secondary School"
"036","KINGSTON AND THE ISLANDS","062","U","KINGSTON","0","1","5","73","46","28","6","1","0","0","0","160","422","Bayridge Public School"
