"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","ATSIZ","BERNIER","CORBIERE","DEARLOVE","MACDONALD","MILLOY","VERCOUTEREN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"037","KITCHENER CENTRE","001","U","KITCHENER","1","1","0","37","71","59","3","0","0","0","172","427","Highview Community Church"
"037","KITCHENER CENTRE","002","U","KITCHENER","0","0","0","39","123","70","8","1","0","0","241","454","John Darling Public School"
"037","KITCHENER CENTRE","003","U","KITCHENER","1","2","1","31","85","52","4","0","0","0","176","392","John Darling Public School"
"037","KITCHENER CENTRE","004","U","KITCHENER","0","0","0","31","91","70","4","1","1","0","198","511","John Darling Public School"
"037","KITCHENER CENTRE","005","U","KITCHENER","0","1","0","26","63","53","5","0","0","0","148","401","Forest Heights Community Centre"
"037","KITCHENER CENTRE","006","U","KITCHENER","1","2","0","25","96","69","1","0","0","0","194","431","Forest Heights Community Centre"
"037","KITCHENER CENTRE","007","U","KITCHENER","0","1","1","9","67","94","2","0","0","0","174","350","Highview Community Church"
"037","KITCHENER CENTRE","008","U","KITCHENER","0","0","1","33","107","79","1","1","0","0","222","466","John Darling Public School"
"037","KITCHENER CENTRE","009","U","KITCHENER","0","2","0","38","83","80","4","1","0","0","208","441","John Darling Public School"
"037","KITCHENER CENTRE","010","U","KITCHENER","0","1","0","24","113","81","9","0","0","0","228","471","John Darling Public School"
"037","KITCHENER CENTRE","011","U","KITCHENER","1","0","0","37","95","104","3","1","4","0","245","473","St. Mark's Catholic Parish"
"037","KITCHENER CENTRE","012","U","KITCHENER","2","3","0","44","54","52","4","0","0","0","159","439","Forest Heights Community Centre"
"037","KITCHENER CENTRE","013","U","KITCHENER","0","2","2","49","79","63","8","0","0","0","203","540","Forest Heights Community Centre"
"037","KITCHENER CENTRE","014","U","KITCHENER","2","0","1","23","93","87","4","2","0","0","212","420","Highview Community Church"
"037","KITCHENER CENTRE","015","U","KITCHENER","0","2","5","32","76","73","2","0","0","0","190","419","Highview Community Church"
"037","KITCHENER CENTRE","016","U","KITCHENER","0","0","3","18","75","59","6","0","0","0","161","419","St. Mark's Catholic Parish"
"037","KITCHENER CENTRE","017","U","KITCHENER","0","1","0","17","81","102","1","1","0","0","203","419","St. Mark's Catholic Parish"
"037","KITCHENER CENTRE","018","U","KITCHENER","0","0","1","27","93","67","5","0","0","0","193","436","Meadowlane Public School"
"037","KITCHENER CENTRE","019","U","KITCHENER","0","5","2","20","87","86","8","1","0","0","209","423","Highview Community Church"
"037","KITCHENER CENTRE","020","U","KITCHENER","0","1","2","46","71","64","3","1","0","1","189","408","St. Mark's Catholic Parish"
"037","KITCHENER CENTRE","021","U","KITCHENER","0","0","0","33","87","69","8","0","0","0","197","454","St. Mark's Catholic Parish"
"037","KITCHENER CENTRE","022","U","KITCHENER","0","0","1","26","81","107","3","1","0","0","219","474","St. Mark's Catholic Parish"
"037","KITCHENER CENTRE","023","U","KITCHENER","0","0","0","29","76","67","5","1","0","0","178","373","Meadowlane Public School"
"037","KITCHENER CENTRE","024","U","KITCHENER","0","0","0","24","105","97","4","1","0","0","231","443","Meadowlane Public School"
"037","KITCHENER CENTRE","025","U","KITCHENER","0","1","0","33","54","88","6","0","1","0","183","386","Meadowlane Public School"
"037","KITCHENER CENTRE","026","U","KITCHENER","0","4","0","51","67","61","5","0","0","0","188","474","Victoria Hills Community Centre"
"037","KITCHENER CENTRE","027","U","KITCHENER","0","2","0","47","74","77","6","0","0","0","206","475","Victoria Hills Community Centre"
"037","KITCHENER CENTRE","028","U","KITCHENER","1","0","0","39","39","59","1","1","0","1","141","422","Victoria Hills Community Centre"
"037","KITCHENER CENTRE","029","U","KITCHENER","0","1","1","24","21","31","5","1","0","0","84","325","Victoria Hills Community Centre"
"037","KITCHENER CENTRE","030","U","KITCHENER","0","1","0","27","47","47","5","0","0","0","127","369","Victoria Hills Community Centre"
"037","KITCHENER CENTRE","031","U","KITCHENER","0","4","0","41","32","31","1","0","0","0","109","448","A. R.  Kaufman Public School"
"037","KITCHENER CENTRE","032","U","KITCHENER","1","2","1","26","24","31","2","0","0","0","87","453","Victoria Hills Community Centre"
"037","KITCHENER CENTRE","033","U","KITCHENER","0","2","1","39","64","52","8","0","0","0","166","423","A. R.  Kaufman Public School"
