"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CAIRNS","HARRIS","PENDERGAST","ROSE","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"038","KITCHENER--CONESTOGA","001","U","FLORADALE","12","94","47","3","0","0","0","156","414","Floradale Public School"
"038","KITCHENER--CONESTOGA","002","U","ELMIRA","15","58","61","4","2","0","1","141","418","Riverside Public School"
"038","KITCHENER--CONESTOGA","003","U","ELMIRA","19","116","76","3","0","0","0","214","528","Park Manor Public School"
"038","KITCHENER--CONESTOGA","004","U","ELMIRA","40","71","47","3","1","0","0","162","332","Riverside Public School"
"038","KITCHENER--CONESTOGA","005","U","ELMIRA","29","92","55","7","1","0","0","184","411","Riverside Public School"
"038","KITCHENER--CONESTOGA","006A","U","ELMIRA","13","72","38","7","0","0","0","130","319","Woolwich Memorial Centre"
"038","KITCHENER--CONESTOGA","006B","U","ELMIRA","25","60","51","6","0","0","0","142","333","Woolwich Memorial Centre"
"038","KITCHENER--CONESTOGA","007","U","ELMIRA","30","65","63","8","0","2","0","168","420","Woolwich Memorial Centre"
"038","KITCHENER--CONESTOGA","008","U","ELMIRA","37","86","101","10","1","1","0","236","457","Woolwich Memorial Centre"
"038","KITCHENER--CONESTOGA","009","U","ELMIRA","26","39","36","6","0","0","0","107","337","St. James Lutheran Church"
"038","KITCHENER--CONESTOGA","010","U","ELMIRA","23","97","115","7","0","0","0","242","552","Woolwich Memorial Centre"
"038","KITCHENER--CONESTOGA","011","U","ELMIRA","35","91","49","5","0","0","1","181","448","Woolwich Memorial Centre"
"038","KITCHENER--CONESTOGA","012","U","ELMIRA","28","95","65","4","0","57","1","250","425","Woolwich Memorial Centre"
"038","KITCHENER--CONESTOGA","013","U","ELMIRA","27","100","62","5","1","0","0","195","517","Park Manor Public School"
"038","KITCHENER--CONESTOGA","014","U","ELMIRA","13","93","69","1","0","0","0","176","358","Park Manor Public School"
"038","KITCHENER--CONESTOGA","015","U","ELMIRA","28","87","82","7","1","1","0","206","479","St. James Lutheran Church"
"038","KITCHENER--CONESTOGA","016","U","ELMIRA","37","71","71","6","0","2","0","187","454","St. James Lutheran Church"
"038","KITCHENER--CONESTOGA","017","U","ELMIRA","41","103","78","4","0","0","0","226","463","Park Manor Public School"
"038","KITCHENER--CONESTOGA","018","U","ST JACOBS","12","50","48","2","0","0","0","112","329","St. Jacobs Public School"
"038","KITCHENER--CONESTOGA","019","U","ELMIRA","16","83","57","1","0","0","0","157","422","Park Manor Public School"
"038","KITCHENER--CONESTOGA","020","U","CONESTOGO","9","104","73","9","1","1","0","197","378","Conestogo Public School"
"038","KITCHENER--CONESTOGA","021","U","WOOLWICH","33","108","104","9","0","0","0","254","502","Foundation Christian School"
"038","KITCHENER--CONESTOGA","022","U","WOOLWICH","12","119","159","1","0","0","0","291","499","Foundation Christian School"
"038","KITCHENER--CONESTOGA","023","U","HEIDELBERG","31","126","94","6","1","0","0","258","466","Heidelberg Bible Fellowship"
"038","KITCHENER--CONESTOGA","024","U","HEIDELBERG","38","109","71","5","0","0","0","223","441","Heidelberg Bible Fellowship"
"038","KITCHENER--CONESTOGA","025","U","WATERLOO","37","104","58","7","0","0","0","206","459","Waterloo North Mennonite Church"
"038","KITCHENER--CONESTOGA","026","U","ST JACOBS","32","94","96","26","0","0","0","248","429","St. Jacobs Public School"
"038","KITCHENER--CONESTOGA","027A","U","ST JACOBS","24","82","78","5","0","0","0","189","330","St. Jacobs Public School"
"038","KITCHENER--CONESTOGA","027B","U","ST JACOBS","24","64","54","1","0","0","0","143","288","St. Jacobs Public School"
"038","KITCHENER--CONESTOGA","028","U","CONESTOGO","22","86","74","12","0","0","0","194","408","Conestogo Public School"
"038","KITCHENER--CONESTOGA","029","U","MARYHILL","36","113","66","4","0","0","0","219","460","Maryhill Heritage Park Community Centre"
