"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CISTERNA","DAVIS","DAVIS","MCGUIRE","MOTZ","WITMER","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"039","KITCHENER--WATERLOO","001","U","WATERLOO","30","66","1","2","2","86","0","0","0","187","440","R.I.M. Park"
"039","KITCHENER--WATERLOO","002","U","WATERLOO","18","56","0","4","0","79","0","0","0","157","392","R.I.M. Park"
"039","KITCHENER--WATERLOO","003","U","WATERLOO","21","81","1","0","0","100","0","0","0","203","421","St. Luke Catholic Elementary School"
"039","KITCHENER--WATERLOO","004","U","WATERLOO","15","70","1","4","1","103","0","0","0","194","378","St. Luke Catholic Elementary School"
"039","KITCHENER--WATERLOO","005","U","WATERLOO","23","79","0","2","1","73","0","0","0","178","362","St. Luke Catholic Elementary School"
"039","KITCHENER--WATERLOO","006","U","WATERLOO","32","58","1","10","0","102","0","0","1","204","455","R.I.M. Park"
"039","KITCHENER--WATERLOO","007","U","WATERLOO","30","71","1","3","1","97","1","0","0","204","502","St. Luke Catholic Elementary School"
"039","KITCHENER--WATERLOO","008","U","WATERLOO","21","72","0","3","0","98","1","0","0","195","375","Lester B. Pearson Public School"
"039","KITCHENER--WATERLOO","009","U","WATERLOO","19","50","0","2","0","42","0","0","0","113","309","Lester B. Pearson Public School"
"039","KITCHENER--WATERLOO","010","U","WATERLOO","26","84","1","6","0","131","0","0","0","248","516","Lester B. Pearson Public School"
"039","KITCHENER--WATERLOO","011","U","WATERLOO","14","55","3","4","2","85","1","0","0","164","305","Lester B. Pearson Public School"
"039","KITCHENER--WATERLOO","012","U","WATERLOO","18","37","0","3","0","29","0","0","0","87","329","Lester B. Pearson Public School"
"039","KITCHENER--WATERLOO","013","U","WATERLOO","13","77","2","0","0","112","0","0","0","204","426","Lester B. Pearson Public School"
"039","KITCHENER--WATERLOO","014","U","WATERLOO","10","64","2","4","0","100","0","0","0","180","464","Lester B. Pearson Public School"
"039","KITCHENER--WATERLOO","015","U","WATERLOO","50","46","1","4","0","57","1","1","0","160","477","Waterloo Mennonite Brethren Church"
"039","KITCHENER--WATERLOO","016","U","WATERLOO","17","61","3","1","0","82","0","0","0","164","375","Waterloo Mennonite Brethren Church"
"039","KITCHENER--WATERLOO","017","U","WATERLOO","27","70","3","6","0","112","0","0","0","218","444","Christ Evangelical Lutheran Church"
"039","KITCHENER--WATERLOO","018","U","WATERLOO","30","77","0","4","0","73","1","1","0","186","416","Christ Evangelical Lutheran Church"
"039","KITCHENER--WATERLOO","019","U","WATERLOO","28","96","1","7","0","129","0","0","0","261","468","Christ Evangelical Lutheran Church"
"039","KITCHENER--WATERLOO","020","U","WATERLOO","6","51","0","0","0","116","0","0","0","173","370","Christ Evangelical Lutheran Church"
"039","KITCHENER--WATERLOO","021","U","WATERLOO","12","66","0","4","0","115","0","0","1","198","451","Lester B. Pearson Public School"
"039","KITCHENER--WATERLOO","022","U","WATERLOO","27","76","0","6","0","146","0","0","0","255","507","Lexington Public School"
