"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","ARMSTRONG","HARNESS","HILL","JACKSON","MCNAUGHTON","VAN BOMMEL","VANDER VLOET","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"040","LAMBTON--KENT--MIDDLESEX","001","U","WALLACEBURG","1","1","37","0","77","33","1","0","0","0","150","360","Christian Reformed Church"
"040","LAMBTON--KENT--MIDDLESEX","002","U","WALLACEBURG","4","1","55","0","80","43","0","0","1","0","184","446","Christian Reformed Church"
"040","LAMBTON--KENT--MIDDLESEX","003","U","WALLACEBURG","1","0","55","0","69","44","2","0","0","0","171","393","Christian Reformed Church"
"040","LAMBTON--KENT--MIDDLESEX","004","U","WALLACEBURG","1","1","66","0","64","63","0","1","1","0","197","393","Christian Reformed Church"
"040","LAMBTON--KENT--MIDDLESEX","005","U","WALLACEBURG","7","0","63","1","95","72","0","0","0","0","238","452","A. A. Wright Public School"
"040","LAMBTON--KENT--MIDDLESEX","006","U","WALLACEBURG","5","0","53","0","43","17","1","0","0","0","119","377","A. A. Wright Public School"
"040","LAMBTON--KENT--MIDDLESEX","007","U","WALLACEBURG","2","0","33","1","71","36","1","0","1","0","145","356","Christian Reformed Church"
"040","LAMBTON--KENT--MIDDLESEX","008","U","WALLACEBURG","4","1","67","0","49","22","1","0","0","1","145","434","Christian Reformed Church"
"040","LAMBTON--KENT--MIDDLESEX","009","U","WALLACEBURG","2","0","65","0","50","23","2","0","0","0","142","323","Our Lady of Help Christian Parish Hall"
"040","LAMBTON--KENT--MIDDLESEX","010","U","WALLACEBURG","4","0","54","0","55","33","0","0","0","0","146","398","Our Lady of Help Christian Parish Hall"
"040","LAMBTON--KENT--MIDDLESEX","011","U","WALLACEBURG","2","1","49","0","58","23","0","0","0","0","133","413","Da Gordon Public School"
"040","LAMBTON--KENT--MIDDLESEX","012","U","WALLACEBURG","1","0","39","0","47","29","1","0","0","0","117","311","Our Lady of Help Christian Parish Hall"
"040","LAMBTON--KENT--MIDDLESEX","013","U","WALLACEBURG","3","0","70","0","31","18","0","0","0","0","122","406","Da Gordon Public School"
"040","LAMBTON--KENT--MIDDLESEX","014","U","WALLACEBURG","7","0","54","1","111","74","2","2","0","0","251","475","Christ the King Elementary School"
"040","LAMBTON--KENT--MIDDLESEX","015","U","WALLACEBURG","2","2","63","0","73","33","0","0","0","0","173","437","First Baptist Church"
"040","LAMBTON--KENT--MIDDLESEX","016","U","WALLACEBURG","2","0","35","2","24","21","1","0","0","0","85","335","Da Gordon Public School"
"040","LAMBTON--KENT--MIDDLESEX","017","U","WALLACEBURG","4","0","73","1","40","26","0","0","0","0","144","395","Da Gordon Public School"
"040","LAMBTON--KENT--MIDDLESEX","018","U","WALLACEBURG","1","1","51","1","54","26","0","1","0","0","135","358","Da Gordon Public School"
"040","LAMBTON--KENT--MIDDLESEX","019","U","WALLACEBURG","2","0","62","1","95","53","1","2","0","2","218","503","Christ the King Elementary School"
"040","LAMBTON--KENT--MIDDLESEX","020","U","WALLACEBURG","3","1","69","0","89","66","0","2","0","0","230","468","First Baptist Church"
"040","LAMBTON--KENT--MIDDLESEX","021","U","WALLACEBURG","1","0","47","0","57","45","0","1","0","0","151","431","Da Gordon Public School"
"040","LAMBTON--KENT--MIDDLESEX","022","U","DOVER CENTRE","1","0","25","1","49","61","0","0","0","0","137","354","Grace Congregational Christian Hall"
"040","LAMBTON--KENT--MIDDLESEX","023","U","DOVER CENTRE","1","0","20","0","65","31","1","1","0","1","120","296","Grace Congregational Christian Hall"
"040","LAMBTON--KENT--MIDDLESEX","024","U","PAIN COURT","1","0","41","0","40","27","2","0","0","0","111","307","Immaculate Conception Church Hall"
"040","LAMBTON--KENT--MIDDLESEX","025","U","PAIN COURT","2","1","37","0","76","66","0","0","0","0","182","368","Immaculate Conception Church Hall"
"040","LAMBTON--KENT--MIDDLESEX","026","U","TUPPERVILLE","9","1","33","0","91","44","1","1","0","0","180","394","Chatham North Fire Hall"
"040","LAMBTON--KENT--MIDDLESEX","027","U","DOVER CENTRE","1","0","48","1","76","71","0","0","0","0","197","390","Grace Congregational Christian Hall"
"040","LAMBTON--KENT--MIDDLESEX","028","U","PAIN COURT","1","0","32","0","76","64","0","1","0","0","174","366","Immaculate Conception Church Hall"
"040","LAMBTON--KENT--MIDDLESEX","029","U","PAIN COURT","5","0","50","0","54","88","0","1","1","0","199","414","Immaculate Conception Church Hall"
"040","LAMBTON--KENT--MIDDLESEX","030","U","PAIN COURT","3","0","23","0","58","49","0","0","0","0","133","244","Immaculate Conception Church Hall"
"040","LAMBTON--KENT--MIDDLESEX","031","U","CHATHAM","0","0","29","0","90","70","1","1","1","0","192","422","Country View Golf Course"
"040","LAMBTON--KENT--MIDDLESEX","032","U","CHATHAM","2","0","40","0","59","55","0","0","0","0","156","409","St. Clair Community Estates"
"040","LAMBTON--KENT--MIDDLESEX","033","U","CHATHAM","6","0","104","1","98","92","1","0","1","0","303","539","St. Clair Community Estates"
"040","LAMBTON--KENT--MIDDLESEX","034","U","DRESDEN","3","1","35","0","98","21","1","0","0","0","159","340","Dawn Euphemia Central School"
"040","LAMBTON--KENT--MIDDLESEX","035","U","DRESDEN","7","1","39","0","90","46","1","1","0","0","185","382","Lambton-Kent Memorial Arena"
"040","LAMBTON--KENT--MIDDLESEX","036","U","DRESDEN","4","1","44","0","52","30","1","0","0","0","132","343","Lambton-Kent Memorial Arena"
"040","LAMBTON--KENT--MIDDLESEX","037","U","DRESDEN","8","0","62","1","81","31","1","0","0","0","184","433","Lambton-Kent Memorial Arena"
"040","LAMBTON--KENT--MIDDLESEX","038","U","DRESDEN","3","0","48","1","54","25","2","0","0","1","134","327","Lambton-Kent Memorial Arena"
"040","LAMBTON--KENT--MIDDLESEX","039","U","DRESDEN","7","1","46","0","111","54","3","0","1","0","223","452","Lambton-Kent Memorial Arena"
"040","LAMBTON--KENT--MIDDLESEX","040","U","DRESDEN","2","0","51","0","78","37","1","0","0","0","169","397","Lambton-Kent Memorial Arena"
"040","LAMBTON--KENT--MIDDLESEX","041","U","DRESDEN","4","0","22","1","82","60","0","0","1","0","170","386","Lambton-Kent Memorial Arena"
"040","LAMBTON--KENT--MIDDLESEX","042","U","CHATHAM","5","1","62","2","124","73","2","2","0","0","271","523","Chatham South Fire Hall"
"040","LAMBTON--KENT--MIDDLESEX","043","U","DRESDEN","5","1","48","0","84","32","0","0","0","0","170","309","Dawn Euphemia Central School"
"040","LAMBTON--KENT--MIDDLESEX","044","U","FLORENCE","4","0","13","3","96","20","0","0","0","0","136","335","Florence Community Centre"
"040","LAMBTON--KENT--MIDDLESEX","045","U","THAMESVILLE","4","0","33","1","106","43","0","0","0","0","187","405","Brunner Community Centre"
"040","LAMBTON--KENT--MIDDLESEX","046","U","CHATHAM","4","0","29","1","71","32","1","0","0","0","138","349","Chatham South Fire Hall"
"040","LAMBTON--KENT--MIDDLESEX","047","U","FLORENCE","6","0","32","0","128","50","3","2","0","0","221","372","Florence Community Centre"
"040","LAMBTON--KENT--MIDDLESEX","048","U","FLORENCE","5","1","27","0","78","38","0","1","0","0","150","332","Florence Community Centre"
"040","LAMBTON--KENT--MIDDLESEX","049","U","THAMESVILLE","7","1","39","1","86","44","1","0","0","0","179","393","Brunner Community Centre"
"040","LAMBTON--KENT--MIDDLESEX","050","U","THAMESVILLE","1","1","64","1","91","48","3","0","0","0","209","394","Brunner Community Centre"
"040","LAMBTON--KENT--MIDDLESEX","051","U","FLORENCE","14","1","27","0","99","29","0","2","0","0","172","354","Florence Community Centre"
"040","LAMBTON--KENT--MIDDLESEX","052","U","BOTHWELL","4","0","40","0","111","32","1","0","0","0","188","373","Zone Township Central School"
"040","LAMBTON--KENT--MIDDLESEX","053","U","BOTHWELL","5","1","28","0","95","22","1","0","0","0","152","340","Zone Township Central School"
"040","LAMBTON--KENT--MIDDLESEX","054","U","BOTHWELL","4","0","18","0","90","12","0","0","0","0","124","275","Zone Township Central School"
"040","LAMBTON--KENT--MIDDLESEX","055","U","GRAND BEND","1","2","40","0","92","64","0","1","0","0","200","408","Royal Canadian Legion Branch 498"
"040","LAMBTON--KENT--MIDDLESEX","056","U","GRAND BEND","2","0","24","0","63","58","1","0","0","0","148","281","Royal Canadian Legion Branch 498"
"040","LAMBTON--KENT--MIDDLESEX","057","U","GRAND BEND","2","2","52","0","120","68","0","2","0","0","246","401","Royal Canadian Legion Branch 498"
"040","LAMBTON--KENT--MIDDLESEX","058","U","GRAND BEND","6","1","23","0","120","104","1","0","0","0","255","462","Royal Canadian Legion Branch 498"
"040","LAMBTON--KENT--MIDDLESEX","059","U","GRAND BEND","4","0","22","3","86","70","0","0","0","0","185","366","Royal Canadian Legion Branch 498"
"040","LAMBTON--KENT--MIDDLESEX","060","U","GRAND BEND","3","0","58","1","77","71","0","0","0","0","210","388","Lambton Heritage Museum"
"040","LAMBTON--KENT--MIDDLESEX","061","U","GRAND BEND","4","2","53","0","78","59","2","0","0","1","199","448","Lambton Heritage Museum"
"040","LAMBTON--KENT--MIDDLESEX","062","U","PORT FRANKS","10","2","49","1","69","52","0","2","0","0","185","352","Port Franks Community Centre"
"040","LAMBTON--KENT--MIDDLESEX","063","U","PORT FRANKS","4","0","39","1","61","45","0","0","0","0","150","344","Port Franks Community Centre"
"040","LAMBTON--KENT--MIDDLESEX","064","U","PORT FRANKS","2","0","41","0","86","45","2","2","0","0","178","360","Port Franks Community Centre"
"040","LAMBTON--KENT--MIDDLESEX","065","U","PORT FRANKS","2","0","40","0","72","44","0","0","0","0","158","338","Port Franks Community Centre"
"040","LAMBTON--KENT--MIDDLESEX","066","U","FOREST","3","1","37","0","56","54","0","1","0","0","152","358","Royal Canadian Legion Branch 176"
"040","LAMBTON--KENT--MIDDLESEX","067","U","FOREST","1","3","35","0","58","63","0","0","0","0","160","418","Royal Canadian Legion Branch 176"
"040","LAMBTON--KENT--MIDDLESEX","068","U","THEDFORD","3","2","39","0","85","72","0","0","0","0","201","388","Legacy Recreation Centre"
"040","LAMBTON--KENT--MIDDLESEX","069","U","THEDFORD","1","0","32","1","82","34","0","0","0","0","150","297","Legacy Recreation Centre"
"040","LAMBTON--KENT--MIDDLESEX","070","U","THEDFORD","3","1","46","0","50","34","0","0","1","0","135","312","Legacy Recreation Centre"
