"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","HILLIER","MACDONALD","MATTE","PARKHILL","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","001","U","GILMOUR","10","1","0","2","0","0","0","13","31","Biernaskie Residence"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","002","U","MCARTHURS MILLS","15","4","1","4","0","0","0","24","35","Tanglewood Marina"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","003","U","DENBIGH","108","53","5","25","0","0","0","191","497","Denbigh Township Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","004","U","CLOYNE","123","63","6","41","0","0","0","233","476","North Addington Education Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","005","U","CLOYNE","101","60","6","39","0","0","0","206","364","North Addington Education Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","006","U","PLEVNA","136","81","7","30","0","1","0","255","411","Clar-Mill Community Hall"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","007","U","PLEVNA","78","44","7","28","0","0","0","157","302","Ompah Community Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","008","U","FLINTON","84","43","3","29","0","1","0","160","429","Flinton Recreation Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","009","U","FLINTON","79","21","4","29","0","0","0","133","390","Flinton Recreation Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","010","U","KALADAR","46","8","3","13","0","0","0","70","191","Kaladar Community Centre"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","011","U","ARDEN","89","42","2","20","1","0","0","154","306","Royal Canadian Legion - Branch 334"
"041","LANARK--FRONTENAC--LENNOX AND ADDINGTON","012","U","ARDEN","89","45","10","40","0","0","0","184","351","Royal Canadian Legion - Branch 334"
