"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CLARK","FULSOM","HEFFERNAN","LUNDY","TAYLOR","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"042","LEEDS--GRENVILLE","001","U","WESTPORT","165","0","61","39","13","0","0","1","279","542","Westport Town Hall"
"042","LEEDS--GRENVILLE","002","U","WESTPORT","64","0","25","14","5","0","0","0","108","247","North Crosby Community Centre"
"042","LEEDS--GRENVILLE","003","U","WESTPORT","67","0","40","14","7","0","1","0","129","277","North Crosby Community Centre"
"042","LEEDS--GRENVILLE","004","U","WESTPORT","78","0","39","20","7","0","0","0","144","306","North Crosby Community Centre"
"042","LEEDS--GRENVILLE","005","U","NEWBORO","71","0","38","28","7","0","0","0","144","265","Newboro Community Hall"
"042","LEEDS--GRENVILLE","006","U","CROSBY","44","0","12","11","6","0","0","0","73","187","Crosby Community Centre"
"042","LEEDS--GRENVILLE","007","U","CROSBY","79","0","27","21","1","0","0","0","128","255","Crosby Community Centre"
"042","LEEDS--GRENVILLE","008","U","ELGIN","66","0","40","38","4","0","0","0","148","311","Elgin Mun Complex"
"042","LEEDS--GRENVILLE","009","U","ELGIN","90","1","30","48","3","0","0","0","172","405","Elgin Mun Complex"
"042","LEEDS--GRENVILLE","010","U","LYNDHURST","79","0","34","29","6","0","1","0","149","368","Morton Community Hall"
"042","LEEDS--GRENVILLE","011","U","LYNDHURST","41","0","21","13","9","2","0","0","86","218","Morton Community Hall"
"042","LEEDS--GRENVILLE","012","U","PORTLAND","134","1","46","32","2","0","0","0","215","335","Portland Community Hall"
"042","LEEDS--GRENVILLE","013","U","PORTLAND","80","1","9","16","10","0","0","0","116","253","Portland Community Hall"
"042","LEEDS--GRENVILLE","014","U","DELTA","105","0","24","29","9","0","0","0","167","327","Delta Fairgrounds"
"042","LEEDS--GRENVILLE","015","U","PORTLAND","80","0","17","29","2","0","0","0","128","317","Portland Community Hall"
"042","LEEDS--GRENVILLE","016","U","DELTA","74","2","24","16","4","0","0","0","120","339","Delta Fairgrounds"
"042","LEEDS--GRENVILLE","017","U","DELTA","122","1","35","27","13","1","0","2","201","400","Delta Fairgrounds"
"042","LEEDS--GRENVILLE","018","U","LOMBARDY","96","1","47","16","1","0","0","0","161","324","South Elmsley Mun Complex"
"042","LEEDS--GRENVILLE","019","U","LOMBARDY","118","0","23","29","2","0","0","0","172","346","South Elmsley Mun Complex"
"042","LEEDS--GRENVILLE","020","U","LOMBARDY","134","2","41","22","3","1","0","0","203","454","South Elmsley Mun Complex"
"042","LEEDS--GRENVILLE","021","U","LOMBARDY","124","0","30","37","5","0","0","0","196","455","Lombardy Agricultural Hall"
"042","LEEDS--GRENVILLE","022","U","LOMBARDY","81","0","22","18","4","0","0","0","125","280","Lombardy Agricultural Hall"
"042","LEEDS--GRENVILLE","023","U","LOMBARDY","100","2","34","30","6","0","0","0","172","327","Lombardy Agricultural Hall"
"042","LEEDS--GRENVILLE","024","U","LOMBARDY","114","0","56","31","2","0","0","0","203","474","Lombardy Agricultural Hall"
"042","LEEDS--GRENVILLE","025","U","LOMBARDY","61","0","10","13","3","0","0","0","87","211","Lombardy Agricultural Hall"
"042","LEEDS--GRENVILLE","026","U","SEELEYS BAY","122","0","34","53","13","0","0","0","222","499","Seeleys Bay Community Hall"
"042","LEEDS--GRENVILLE","027","U","SEELEYS BAY","93","0","34","32","5","0","0","0","164","440","Seeleys Bay Community Hall"
"042","LEEDS--GRENVILLE","028","U","LYNDHURST","80","0","20","17","4","0","0","0","121","301","Royal Canadian Legion Branch 504"
"042","LEEDS--GRENVILLE","029","U","LYNDHURST","138","0","31","54","13","0","1","0","237","463","Royal Canadian Legion Branch 504"
"042","LEEDS--GRENVILLE","030","U","LYNDHURST","60","0","10","13","6","1","0","0","90","260","Royal Canadian Legion Branch 504"
"042","LEEDS--GRENVILLE","031","U","SEELEYS BAY","72","1","32","20","13","0","0","0","138","380","Seeleys Bay Community Hall"
"042","LEEDS--GRENVILLE","032","U","LYNDHURST","59","0","15","18","10","1","0","0","103","313","Royal Canadian Legion Branch 504"
"042","LEEDS--GRENVILLE","033","U","LANSDOWNE","113","0","27","29","4","0","0","0","173","422","Township of Leeds & Thousand Islands Mun Building"
"042","LEEDS--GRENVILLE","034","U","LANSDOWNE","42","0","6","17","2","0","0","0","67","191","Thousand Islands Elementary School"
"042","LEEDS--GRENVILLE","035","U","GANANOQUE","102","0","33","30","6","0","0","0","171","384","The Cornerstone,Calvary Pentecostal"
"042","LEEDS--GRENVILLE","036","U","GANANOQUE","80","0","35","27","12","1","0","0","155","433","The Cornerstone,Calvary Pentecostal"
"042","LEEDS--GRENVILLE","037","U","LANSDOWNE","114","1","30","37","12","0","0","0","194","484","Township of Leeds & Thousand Islands Mun Building"
"042","LEEDS--GRENVILLE","038","U","LANSDOWNE","99","0","20","25","4","0","0","0","148","381","Township of Leeds & Thousand Islands Mun Building"
"042","LEEDS--GRENVILLE","039","U","LANSDOWNE","86","3","21","25","6","2","0","0","143","356","Thousand Islands Elementary School"
"042","LEEDS--GRENVILLE","040","U","ROCKPORT","91","0","38","30","14","0","0","0","173","385","Rockport Recreation Hall"
"042","LEEDS--GRENVILLE","041","U","GANANOQUE","94","0","42","21","1","1","0","0","159","371","The Cornerstone,Calvary Pentecostal"
