"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","ARMSTRONG","DURNIN","HAMADI","HARNICK","LAZAR","MILLER","RAMAL","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"043","LONDON--FANSHAWE","001A","U","LONDON","59","1","2","1","4","38","60","0","0","0","165","342","North Park Community Church"
"043","LONDON--FANSHAWE","001B","U","LONDON","57","1","2","2","3","55","76","0","1","0","197","434","North Park Community Church"
"043","LONDON--FANSHAWE","002","U","LONDON","74","0","1","0","5","45","45","0","0","0","170","356","Stronach Community Centre"
"043","LONDON--FANSHAWE","003","U","LONDON","45","0","2","2","11","38","56","0","1","0","155","442","Stronach Community Centre"
"043","LONDON--FANSHAWE","004","U","LONDON","76","1","0","3","17","44","39","2","0","0","182","447","Stronach Community Centre"
"043","LONDON--FANSHAWE","005","U","LONDON","64","1","1","2","4","16","32","0","1","0","121","418","Stronach Community Centre"
"043","LONDON--FANSHAWE","006","U","LONDON","57","0","2","2","8","32","54","0","0","0","155","389","Stronach Community Centre"
"043","LONDON--FANSHAWE","007","U","LONDON","78","0","0","2","4","35","24","0","0","0","143","351","East London Public Library"
"043","LONDON--FANSHAWE","008A","U","LONDON","47","1","0","3","3","21","20","1","2","0","98","293","Stronach Community Centre"
"043","LONDON--FANSHAWE","008B","U","LONDON","36","0","1","0","6","27","23","0","0","0","93","314","Stronach Community Centre"
"043","LONDON--FANSHAWE","009","U","LONDON","74","0","3","0","3","29","40","0","0","0","149","463","Stronach Community Centre"
"043","LONDON--FANSHAWE","010A","U","LONDON","43","0","1","0","4","21","40","0","0","0","109","286","Stronach Community Centre"
"043","LONDON--FANSHAWE","010B","U","LONDON","47","0","0","0","3","19","47","0","0","0","116","310","Stronach Community Centre"
"043","LONDON--FANSHAWE","011","U","LONDON","85","1","1","4","1","34","52","3","0","0","181","407","Stronach Community Centre"
"043","LONDON--FANSHAWE","012","U","LONDON","103","3","0","1","6","73","69","1","2","0","258","521","Stronach Community Centre"
"043","LONDON--FANSHAWE","013A","U","LONDON","67","0","1","0","3","42","26","0","3","0","142","335","Stronach Community Centre"
"043","LONDON--FANSHAWE","013B","U","LONDON","72","0","0","0","1","41","25","1","0","0","140","334","Stronach Community Centre"
"043","LONDON--FANSHAWE","014A","U","LONDON","69","2","0","3","4","43","39","0","1","0","161","359","Stronach Community Centre"
"043","LONDON--FANSHAWE","014B","U","LONDON","73","0","0","0","4","29","34","1","0","0","141","348","Stronach Community Centre"
"043","LONDON--FANSHAWE","015","U","LONDON","84","0","2","2","3","52","40","0","1","0","184","393","Stronach Community Centre"
"043","LONDON--FANSHAWE","016","U","LONDON","68","0","0","0","4","25","25","0","0","0","122","501","Stronach Community Centre"
"043","LONDON--FANSHAWE","017","U","LONDON","24","1","0","0","3","9","29","3","0","0","69","527","Stronach Community Centre"
"043","LONDON--FANSHAWE","018","U","LONDON","20","2","12","1","1","0","12","0","0","1","49","270","Stronach Community Centre"
"043","LONDON--FANSHAWE","019","U","LONDON","72","1","0","0","4","23","26","0","0","0","126","270","Stronach Community Centre"
"043","LONDON--FANSHAWE","020","U","LONDON","55","0","0","0","2","23","34","0","1","0","115","446","Unitarian Fellowship of London"
"043","LONDON--FANSHAWE","021","U","LONDON","108","1","0","6","6","33","48","0","0","0","202","545","Unitarian Fellowship of London"
"043","LONDON--FANSHAWE","022","U","LONDON","82","0","0","3","3","37","22","0","0","0","147","329","Unitarian Fellowship of London"
"043","LONDON--FANSHAWE","023","U","LONDON","80","4","0","1","2","20","37","0","0","0","144","453","St. George Presbyterian Church"
"043","LONDON--FANSHAWE","024","U","LONDON","80","0","0","4","6","31","32","0","0","0","153","465","St. George Presbyterian Church"
"043","LONDON--FANSHAWE","025","U","LONDON","120","4","0","3","8","46","40","1","0","0","222","537","Argyle Mall"
"043","LONDON--FANSHAWE","026","U","LONDON","61","2","1","2","3","39","23","1","0","0","132","487","Argyle Mall"
"043","LONDON--FANSHAWE","027A","U","LONDON","58","0","0","3","1","15","10","0","0","0","87","309","Argyle Mall"
"043","LONDON--FANSHAWE","027B","U","LONDON","55","0","0","1","3","16","18","0","0","0","93","329","Argyle Mall"
"043","LONDON--FANSHAWE","028","U","LONDON","92","1","1","4","7","37","27","2","1","1","173","440","Argyle Mall"
"043","LONDON--FANSHAWE","029","U","LONDON","69","2","2","1","3","42","37","0","0","0","156","527","Argyle Mall"
"043","LONDON--FANSHAWE","030","U","LONDON","107","0","1","4","5","44","39","0","0","0","200","555","Argyle Mall"
"043","LONDON--FANSHAWE","031","U","LONDON","58","0","0","1","2","32","29","1","0","0","123","358","Argyle Mall"
"043","LONDON--FANSHAWE","032","U","LONDON","87","0","2","3","6","54","50","0","0","0","202","549","Argyle Mall"
"043","LONDON--FANSHAWE","033","U","LONDON","61","0","1","1","6","35","30","0","0","0","134","368","Argyle Mall"
"043","LONDON--FANSHAWE","034","U","LONDON","79","2","1","0","1","55","35","1","1","0","175","426","Clarke Road Secondary School"
"043","LONDON--FANSHAWE","035","U","LONDON","61","0","0","2","6","26","26","0","0","0","121","345","Clarke Road Secondary School"
"043","LONDON--FANSHAWE","036","U","LONDON","74","0","2","0","7","40","68","1","0","0","192","515","Clarke Road Secondary School"
"043","LONDON--FANSHAWE","037","U","LONDON","75","0","0","0","5","39","26","0","1","0","146","472","Clarke Road Secondary School"
"043","LONDON--FANSHAWE","038","U","LONDON","73","0","0","0","0","40","19","0","0","0","132","338","Clarke Road Secondary School"
"043","LONDON--FANSHAWE","039","U","LONDON","42","0","0","2","1","11","15","2","1","0","74","304","Argyle Mall"
"043","LONDON--FANSHAWE","040","U","LONDON","96","2","0","7","3","57","33","0","0","0","198","474","Clarke Road Secondary School"
"043","LONDON--FANSHAWE","041A","U","LONDON","53","0","0","0","0","24","19","0","0","1","97","304","Clarke Road Secondary School"
"043","LONDON--FANSHAWE","041B","U","LONDON","66","0","0","0","4","26","19","0","0","1","116","310","Clarke Road Secondary School"
"043","LONDON--FANSHAWE","042","U","LONDON","81","0","1","1","2","38","17","1","0","0","141","343","Clarke Road Secondary School"
"043","LONDON--FANSHAWE","043","U","LONDON","85","0","0","1","3","31","24","1","0","0","145","356","Clarke Road Secondary School"
"043","LONDON--FANSHAWE","044","U","LONDON","113","2","0","1","4","45","28","0","0","0","193","491","Marconi Club"
"043","LONDON--FANSHAWE","045","U","LONDON","96","1","1","5","1","42","43","1","0","2","192","541","St. Pius X Separate School"
"043","LONDON--FANSHAWE","046A","U","LONDON","65","0","0","1","4","26","30","0","0","0","126","287","St. Pius X Separate School"
"043","LONDON--FANSHAWE","046B","U","LONDON","78","2","0","2","3","29","39","0","0","0","153","299","St. Pius X Separate School"
"043","LONDON--FANSHAWE","047","U","LONDON","120","2","0","1","7","46","34","3","0","0","213","515","St. Pius X Separate School"
"043","LONDON--FANSHAWE","048A","U","LONDON","63","0","0","0","2","22","27","0","0","0","114","280","St. Pius X Separate School"
"043","LONDON--FANSHAWE","048B","U","LONDON","55","1","1","0","4","26","28","1","1","0","117","299","St. Pius X Separate School"
"043","LONDON--FANSHAWE","049","U","LONDON","60","0","2","1","0","32","45","0","0","0","140","322","St. Pius X Separate School"
"043","LONDON--FANSHAWE","050A","U","LONDON","69","0","0","1","3","24","26","0","0","0","123","290","St. Pius X Separate School"
"043","LONDON--FANSHAWE","050B","U","LONDON","62","2","36","0","0","2","33","0","1","0","136","298","St. Pius X Separate School"
"043","LONDON--FANSHAWE","051","U","LONDON","94","0","0","2","3","30","33","0","0","4","166","332","St. Pius X Separate School"
"043","LONDON--FANSHAWE","052A","U","LONDON","23","1","0","2","2","7","15","1","0","0","51","279","Marconi Club"
"043","LONDON--FANSHAWE","052B","U","LONDON","34","0","2","0","3","11","21","1","0","0","72","290","Marconi Club"
"043","LONDON--FANSHAWE","053A","U","LONDON","68","0","1","2","1","19","25","0","0","0","116","293","Marconi Club"
"043","LONDON--FANSHAWE","053B","U","LONDON","53","0","0","1","4","26","15","0","0","0","99","301","Marconi Club"
"043","LONDON--FANSHAWE","054","U","LONDON","70","0","1","1","0","43","44","2","1","0","162","387","Marconi Club"
"043","LONDON--FANSHAWE","055","U","LONDON","46","0","0","1","5","16","22","0","0","0","90","339","Marconi Club"
"043","LONDON--FANSHAWE","056","U","LONDON","43","0","0","1","7","29","30","0","1","0","111","365","Marconi Club"
"043","LONDON--FANSHAWE","057","U","LONDON","88","1","0","3","5","49","41","1","0","1","189","450","Marconi Club"
"043","LONDON--FANSHAWE","058","U","LONDON","102","0","0","2","1","31","30","1","0","0","167","389","Marconi Club"
"043","LONDON--FANSHAWE","059","U","LONDON","83","0","1","1","9","47","48","0","0","0","189","445","Marconi Club"
"043","LONDON--FANSHAWE","060","U","LONDON","77","1","0","0","6","37","45","0","0","0","166","530","Marconi Club"
"043","LONDON--FANSHAWE","061","U","LONDON","76","0","0","1","4","24","21","0","0","0","126","351","Marconi Club"
"043","LONDON--FANSHAWE","062","U","LONDON","74","1","0","1","1","47","29","0","1","0","154","435","Marconi Club"
"043","LONDON--FANSHAWE","063","U","LONDON","72","0","0","0","6","39","44","0","0","0","161","399","Marconi Club"
"043","LONDON--FANSHAWE","064","U","LONDON","80","1","0","1","5","42","50","0","0","0","179","434","London District Christian Secondary School"
"043","LONDON--FANSHAWE","065","U","LONDON","77","2","0","4","8","64","58","0","1","0","214","394","London District Christian Secondary School"
"043","LONDON--FANSHAWE","066","U","LONDON","75","1","0","3","0","64","48","1","1","0","193","397","London District Christian Secondary School"
"043","LONDON--FANSHAWE","067","U","LONDON","54","0","0","2","0","44","29","0","0","0","129","376","London District Christian Secondary School"
"043","LONDON--FANSHAWE","068","U","LONDON","60","0","2","4","1","43","64","0","0","0","174","373","Bob Hayward YMCA"
"043","LONDON--FANSHAWE","069","U","LONDON","85","0","1","1","7","56","36","0","1","0","187","357","Bob Hayward YMCA"
"043","LONDON--FANSHAWE","070","U","LONDON","76","0","0","1","0","33","29","0","0","0","139","334","Bob Hayward YMCA"
"043","LONDON--FANSHAWE","071","U","LONDON","89","1","0","3","5","31","64","1","2","0","196","353","Bob Hayward YMCA"
