"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AMBROGIO","BRANSCOMBE","HOLMES","LABONTE","MATTHEWS","SPOTTISWOOD","VANKLINKEN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"044","LONDON NORTH CENTRE","001","U","LONDON","3","111","63","6","149","0","1","1","0","0","334","662","Museum of Ontario Archaeology"
"044","LONDON NORTH CENTRE","002","U","LONDON","0","144","25","4","129","0","2","1","0","0","305","740","St. Catherine of Siena Catholic School"
"044","LONDON NORTH CENTRE","003","U","LONDON","0","103","7","3","103","0","1","0","0","0","217","522","St. Catherine of Siena Catholic School"
"044","LONDON NORTH CENTRE","004","U","LONDON","1","88","25","1","121","0","0","0","1","0","237","515","St. Catherine of Siena Catholic School"
"044","LONDON NORTH CENTRE","005","U","LONDON","0","65","12","1","91","1","0","1","0","0","171","473","St. Catherine of Siena Catholic School"
"044","LONDON NORTH CENTRE","006","U","LONDON","0","88","24","3","98","0","0","0","0","0","213","508","St. Catherine of Siena Catholic School"
"044","LONDON NORTH CENTRE","007","U","LONDON","0","83","16","8","112","0","2","0","0","0","221","466","St. Catherine of Siena Catholic School"
"044","LONDON NORTH CENTRE","008","U","LONDON","1","72","20","2","87","0","0","1","0","0","183","490","St. Catherine of Siena Catholic School"
"044","LONDON NORTH CENTRE","009","U","LONDON","5","96","26","3","95","1","0","0","0","0","226","417","Masonville Public School"
"044","LONDON NORTH CENTRE","010","U","LONDON","1","58","12","5","102","0","2","0","0","0","180","350","Masonville Public School"
"044","LONDON NORTH CENTRE","011","U","LONDON","0","63","17","3","92","0","3","1","0","0","179","366","Masonville Public School"
"044","LONDON NORTH CENTRE","012","U","LONDON","0","69","30","5","108","0","0","0","1","0","213","412","Masonville Public School"
"044","LONDON NORTH CENTRE","013","U","LONDON","1","67","2","4","80","0","0","0","0","0","154","272","Scouts Canada"
"044","LONDON NORTH CENTRE","014","U","LONDON","1","93","15","4","107","0","0","1","0","1","222","447","Masonville Public School"
"044","LONDON NORTH CENTRE","015","U","LONDON","0","85","19","10","162","0","1","0","4","0","281","575","Museum of Ontario Archaeology"
"044","LONDON NORTH CENTRE","016","U","LONDON","2","73","25","10","170","0","0","1","0","0","281","489","Museum of Ontario Archaeology"
"044","LONDON NORTH CENTRE","017","U","LONDON","1","6","7","2","25","0","0","0","0","0","41","461","Saugeen Maitland Hall"
"044","LONDON NORTH CENTRE","018","U","LONDON","3","37","54","8","102","1","2","1","0","0","208","404","Saugeen Maitland Hall"
"044","LONDON NORTH CENTRE","019","U","LONDON","1","62","33","9","162","0","1","0","0","0","268","480","Orchard Park Public School"
"044","LONDON NORTH CENTRE","020","U","LONDON","1","96","24","7","127","0","2","0","1","0","258","476","Orchard Park Public School"
"044","LONDON NORTH CENTRE","021","U","LONDON","5","51","44","15","82","0","0","2","0","0","199","395","London Hall"
"044","LONDON NORTH CENTRE","022","U","LONDON","1","130","38","6","124","1","2","1","0","0","303","615","Jack Chambers Public School"
"044","LONDON NORTH CENTRE","023","U","LONDON","2","103","35","4","151","0","0","2","0","0","297","615","Jack Chambers Public School"
"044","LONDON NORTH CENTRE","024","U","LONDON","0","53","30","7","78","1","1","0","0","0","170","407","Mother Teresa Catholic Secondary School"
"044","LONDON NORTH CENTRE","025","U","LONDON","1","58","24","3","109","1","1","1","2","0","200","478","Jack Chambers Public School"
"044","LONDON NORTH CENTRE","026","U","LONDON","1","68","23","3","107","0","2","0","0","1","205","525","Masonville Manor"
"044","LONDON NORTH CENTRE","027","U","LONDON","0","88","38","8","155","0","0","1","0","0","290","645","Jack Chambers Public School"
"044","LONDON NORTH CENTRE","028","U","LONDON","0","70","10","12","142","1","0","2","0","0","237","463","Jack Chambers Public School"
"044","LONDON NORTH CENTRE","029","U","LONDON","1","85","18","4","137","0","0","0","1","0","246","449","Dayspring Presbyterian Church"
"044","LONDON NORTH CENTRE","030","U","LONDON","0","57","58","8","103","0","1","1","0","0","228","470","Dayspring Presbyterian Church"
"044","LONDON NORTH CENTRE","031","U","LONDON","0","40","30","6","104","0","0","0","0","0","180","372","Jack Chambers Public School"
"044","LONDON NORTH CENTRE","032","U","LONDON","0","8","10","3","50","0","0","0","0","0","71","393","Masonville Public School"
"044","LONDON NORTH CENTRE","033","U","LONDON","0","80","20","1","129","1","1","0","1","0","233","511","St. Jude Anglican Church"
"044","LONDON NORTH CENTRE","034","U","LONDON","0","73","16","2","124","0","0","0","0","0","215","457","St. Jude Anglican Church"
"044","LONDON NORTH CENTRE","035","U","LONDON","1","87","32","9","130","0","0","1","0","0","260","507","Dayspring Presbyterian Church"
"044","LONDON NORTH CENTRE","036","U","LONDON","1","106","33","5","110","1","0","1","0","0","257","487","St. Jude Anglican Church"
"044","LONDON NORTH CENTRE","037","U","LONDON","0","76","37","7","135","0","1","0","0","0","256","471","St. Jude Anglican Church"
"044","LONDON NORTH CENTRE","038","U","LONDON","1","97","32","4","113","0","0","2","0","0","249","457","St. Jude Anglican Church"
"044","LONDON NORTH CENTRE","039","U","LONDON","2","74","24","4","92","0","0","0","0","0","196","486","Sisters of St. Joseph Residence"
"044","LONDON NORTH CENTRE","040","U","LONDON","0","59","20","2","121","0","2","1","0","0","205","411","Scouts Canada"
"044","LONDON NORTH CENTRE","041","U","LONDON","0","82","17","5","119","0","0","0","0","0","223","381","Scouts Canada"
"044","LONDON NORTH CENTRE","042","U","LONDON","5","76","19","12","95","0","0","0","0","1","208","399","St. Jude Anglican Church"
"044","LONDON NORTH CENTRE","043","U","LONDON","2","54","46","16","119","2","2","0","3","0","244","658","Elgin Hall"
"044","LONDON NORTH CENTRE","044","U","LONDON","3","87","22","5","128","1","0","2","0","0","248","473","Scouts Canada"
"044","LONDON NORTH CENTRE","045","U","LONDON","0","67","50","7","57","0","1","0","0","0","182","544","London Jewish Community Centre"
"044","LONDON NORTH CENTRE","046","U","LONDON","1","30","18","7","74","0","0","1","0","0","131","563","King's University College"
"044","LONDON NORTH CENTRE","047","U","LONDON","0","0","1","0","4","0","0","0","0","0","5","28","Elgin Hall"
"044","LONDON NORTH CENTRE","048","U","LONDON","0","24","10","3","47","0","0","1","1","0","86","334","Ryerson Public School"
"044","LONDON NORTH CENTRE","049","U","LONDON","0","29","15","7","44","0","0","0","0","0","95","340","London Jewish Community Centre"
"044","LONDON NORTH CENTRE","050","U","LONDON","1","75","42","8","134","0","0","1","0","0","261","544","Mother Teresa Catholic Secondary School"
"044","LONDON NORTH CENTRE","051","U","LONDON","1","67","38","4","113","0","0","0","0","0","223","479","Mother Teresa Catholic Secondary School"
"044","LONDON NORTH CENTRE","052","U","LONDON","4","73","55","5","123","1","2","0","0","0","263","545","Mother Teresa Catholic Secondary School"
"044","LONDON NORTH CENTRE","053","U","LONDON","1","50","31","5","73","0","0","0","0","0","160","418","Mother Teresa Catholic Secondary School"
"044","LONDON NORTH CENTRE","054","U","LONDON","1","80","54","6","93","0","0","2","0","0","236","519","Mother Teresa Catholic Secondary School"
"044","LONDON NORTH CENTRE","055","U","LONDON","2","43","45","4","101","0","0","1","0","0","196","551","Mother Teresa Catholic Secondary School"
"044","LONDON NORTH CENTRE","056","U","LONDON","4","79","39","4","121","0","1","0","0","0","248","414","Dayspring Presbyterian Church"
"044","LONDON NORTH CENTRE","057","U","LONDON","0","71","41","4","120","0","0","1","0","0","237","521","Dayspring Presbyterian Church"
"044","LONDON NORTH CENTRE","058","U","LONDON","2","65","46","6","87","0","0","0","0","0","206","486","Eastern Star Temple"
"044","LONDON NORTH CENTRE","059","U","LONDON","1","57","63","5","106","0","1","0","0","0","233","501","Eastern Star Temple"
"044","LONDON NORTH CENTRE","060","U","LONDON","3","66","55","7","107","0","4","1","0","0","243","567","Eastern Star Temple"
"044","LONDON NORTH CENTRE","061","U","LONDON","0","75","43","6","106","0","0","1","0","0","231","439","A. B. Lucas Secondary School"
"044","LONDON NORTH CENTRE","062","U","LONDON","2","57","32","6","85","0","0","0","0","0","182","352","A. B. Lucas Secondary School"
"044","LONDON NORTH CENTRE","063","U","LONDON","0","70","38","4","128","0","0","0","0","0","240","392","A. B. Lucas Secondary School"
"044","LONDON NORTH CENTRE","064","U","LONDON","2","59","43","7","131","0","0","0","1","0","243","393","Ridgeview Community Church"
"044","LONDON NORTH CENTRE","065","U","LONDON","1","77","34","7","103","0","0","1","0","0","223","391","Ridgeview Community Church"
"044","LONDON NORTH CENTRE","066","U","LONDON","0","70","48","5","98","0","2","1","1","0","225","379","Northridge Public School"
"044","LONDON NORTH CENTRE","067","U","LONDON","0","69","37","12","93","0","0","0","0","0","211","346","Northridge Public School"
"044","LONDON NORTH CENTRE","068","U","LONDON","2","57","28","6","105","0","0","0","0","0","198","371","Northridge Public School"
"044","LONDON NORTH CENTRE","069","U","LONDON","0","96","44","3","84","0","1","0","2","0","230","561","Ridgeview Community Church"
"044","LONDON NORTH CENTRE","070","U","LONDON","2","52","47","4","86","0","0","1","0","0","192","505","Ridgeview Community Church"
"044","LONDON NORTH CENTRE","071","U","LONDON","1","76","51","7","101","0","6","0","0","0","242","582","Beacock Library"
"044","LONDON NORTH CENTRE","072","U","LONDON","0","53","36","3","88","0","2","2","0","0","184","541","Beacock Library"
"044","LONDON NORTH CENTRE","073","U","LONDON","1","13","19","2","24","1","1","0","0","0","61","304","Sir George Ross Secondary School"
"044","LONDON NORTH CENTRE","074","U","LONDON","2","28","62","7","61","0","0","1","0","0","161","500","Sir George Ross Secondary School"
"044","LONDON NORTH CENTRE","075","U","LONDON","1","15","49","10","25","0","0","0","0","0","100","409","Sir George Ross Secondary School"
"044","LONDON NORTH CENTRE","076","U","LONDON","1","19","45","3","43","0","0","0","0","0","111","405","École secondaire Monseigneur Bruyere"
"044","LONDON NORTH CENTRE","077","U","LONDON","2","97","66","4","117","0","0","0","0","0","286","529","Beacock Library"
"044","LONDON NORTH CENTRE","078","U","LONDON","0","37","55","3","70","0","1","1","0","0","167","613","Northbrae Public School"
"044","LONDON NORTH CENTRE","079","U","LONDON","1","49","58","0","38","0","1","0","0","0","147","423","Northbrae Public School"
"044","LONDON NORTH CENTRE","080","U","LONDON","4","55","39","6","66","0","1","1","0","0","172","469","St. Lawrence Presbyterian Church"
"044","LONDON NORTH CENTRE","081","U","LONDON","0","62","75","13","68","0","1","2","0","0","221","469","École secondaire Monseigneur Bruyere"
"044","LONDON NORTH CENTRE","082","U","LONDON","2","33","79","2","63","0","0","1","1","2","183","565","École secondaire Monseigneur Bruyere"
"044","LONDON NORTH CENTRE","083","U","LONDON","1","65","69","5","66","0","1","2","0","0","209","449","École secondaire Monseigneur Bruyere"
"044","LONDON NORTH CENTRE","084","U","LONDON","6","79","58","7","64","1","2","0","0","0","217","408","Beacock Library"
