"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BENTLEY","BROWN","BUCHANAN","CHAHBAR","GUPTA","HODGES","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"045","LONDON WEST","001","U","LONDON","83","10","43","61","0","3","0","0","3","203","462","West Park Baptist"
"045","LONDON WEST","002","U","LONDON","81","8","27","47","0","1","0","1","0","165","406","Forest City Bible Church"
"045","LONDON WEST","003","U","LONDON","98","6","51","52","0","1","0","0","1","209","455","Forest City Bible Church"
"045","LONDON WEST","004","U","LONDON","68","8","58","45","0","1","0","0","0","180","382","Forest City Bible Church"
"045","LONDON WEST","005","U","LONDON","149","8","51","73","0","0","0","0","0","281","617","St. Marguerite D'Youville Catholic School"
"045","LONDON WEST","006","U","LONDON","96","8","52","68","0","1","0","1","0","226","433","St. Marguerite D'Youville Catholic School"
"045","LONDON WEST","007","U","LONDON","87","5","38","64","0","4","0","0","0","198","419","St. Marguerite D'Youville Catholic School"
"045","LONDON WEST","008","U","LONDON","83","13","44","71","1","1","0","1","0","214","433","Emily Carr Public School"
"045","LONDON WEST","009","U","LONDON","56","7","46","43","0","1","0","0","0","153","347","Emily Carr Public School"
"045","LONDON WEST","010","U","LONDON","81","3","60","43","0","1","0","0","0","188","406","Emily Carr Public School"
"045","LONDON WEST","011","U","LONDON","71","4","46","36","0","1","1","0","0","159","353","Sherwood Forest Public Library"
"045","LONDON WEST","012","U","LONDON","48","4","46","40","0","0","0","1","0","139","319","Emily Carr Public School"
"045","LONDON WEST","013","U","LONDON","109","4","36","68","0","0","2","0","0","219","432","Emily Carr Public School"
"045","LONDON WEST","014","U","LONDON","56","7","40","43","0","1","0","2","0","149","318","St. Marguerite D'Youville Catholic School"
"045","LONDON WEST","015","U","LONDON","89","6","39","53","0","0","0","0","0","187","395","St. Marguerite D'Youville Catholic School"
"045","LONDON WEST","016","U","LONDON","46","7","55","27","0","2","1","1","0","139","479","Sherwood Forest Public Library"
"045","LONDON WEST","017","U","LONDON","75","8","39","37","0","1","0","1","0","161","365","Medway Community Centre"
"045","LONDON WEST","018","U","LONDON","59","2","53","43","0","2","0","0","0","159","355","West Park Baptist"
"045","LONDON WEST","019","U","LONDON","75","5","38","58","1","1","0","0","2","180","462","West Park Baptist"
"045","LONDON WEST","020","U","LONDON","103","6","35","66","1","1","0","0","0","212","501","West Park Baptist"
"045","LONDON WEST","021","U","LONDON","60","4","26","87","0","0","0","0","0","177","377","West Park Baptist"
"045","LONDON WEST","022","U","LONDON","49","10","38","26","0","0","1","0","0","124","334","Medway Community Centre"
"045","LONDON WEST","023","U","LONDON","56","5","36","42","1","1","0","0","0","141","376","Medway Community Centre"
"045","LONDON WEST","024","U","LONDON","63","1","37","38","1","0","0","0","0","140","380","St. Ansgar Lutheran Church"
"045","LONDON WEST","025","U","LONDON","81","2","34","54","0","1","0","1","0","173","358","Wilfrid Jury Public School"
"045","LONDON WEST","026","U","LONDON","60","5","19","53","0","1","0","0","0","138","328","Wilfrid Jury Public School"
"045","LONDON WEST","027","U","LONDON","45","3","29","42","0","0","0","0","0","119","251","Wilfrid Jury Public School"
"045","LONDON WEST","028","U","LONDON","91","6","42","39","0","0","0","0","0","178","437","Wilfrid Jury Public School"
"045","LONDON WEST","029","U","LONDON","72","3","31","26","0","1","0","0","0","133","386","Wilfrid Jury Public School"
"045","LONDON WEST","030","U","LONDON","45","3","31","24","0","0","0","0","0","103","295","St. Ansgar Lutheran Church"
"045","LONDON WEST","031","U","LONDON","99","5","48","53","0","1","1","1","0","208","422","St. Ansgar Lutheran Church"
"045","LONDON WEST","032","U","LONDON","41","3","29","21","0","0","0","0","0","94","350","St. Ansgar Lutheran Church"
"045","LONDON WEST","033","U","LONDON","63","6","14","31","0","0","0","0","0","114","330","West London Alliance Church"
"045","LONDON WEST","034","U","LONDON","89","6","34","54","0","0","0","0","0","183","489","Greek Canadian Community Centre"
"045","LONDON WEST","035","U","LONDON","129","5","40","75","0","0","0","0","0","249","566","Greek Canadian Community Centre"
"045","LONDON WEST","036","U","LONDON","95","4","60","51","2","1","0","0","0","213","610","West London Alliance Church"
"045","LONDON WEST","037","U","LONDON","60","7","53","63","2","0","0","0","0","185","438","West London Alliance Church"
"045","LONDON WEST","038","U","LONDON","76","2","58","53","0","1","0","0","0","190","495","Beaverbrook Towers"
