"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CHAN","CHOO","O'BRIEN","SMALL","THAYAPARAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"046","MARKHAM--UNIONVILLE","001","U","MARKHAM","109","26","10","1","50","0","0","0","196","511","Buttonville Public School"
"046","MARKHAM--UNIONVILLE","002","U","MARKHAM","112","35","5","0","72","0","0","0","224","569","Buttonville Public School"
"046","MARKHAM--UNIONVILLE","003A","U","MARKHAM","94","21","5","1","69","1","2","0","193","590","Buttonville Public School"
"046","MARKHAM--UNIONVILLE","003B","U","MARKHAM","45","18","3","0","43","0","0","0","109","352","Buttonville Public School"
"046","MARKHAM--UNIONVILLE","004","U","MARKHAM","96","19","7","1","56","2","0","0","181","503","Buttonville Public School"
"046","MARKHAM--UNIONVILLE","005","U","MARKHAM","91","17","5","2","53","0","2","0","170","526","Buttonville Public School"
"046","MARKHAM--UNIONVILLE","006","U","MARKHAM","95","19","5","0","45","0","0","0","164","505","Buttonville Public School"
"046","MARKHAM--UNIONVILLE","007","U","MARKHAM","92","9","4","1","39","0","0","0","145","403","St. Justin Martyr School"
"046","MARKHAM--UNIONVILLE","008","U","MARKHAM","100","5","7","1","33","0","1","0","147","456","St. Justin Martyr School"
"046","MARKHAM--UNIONVILLE","009","U","MARKHAM","84","15","8","0","56","0","1","0","164","438","St. Justin Martyr School"
"046","MARKHAM--UNIONVILLE","010","U","MARKHAM","95","15","3","3","64","1","0","0","181","485","St. Justin Martyr School"
"046","MARKHAM--UNIONVILLE","011","U","MARKHAM","83","22","4","0","42","0","1","0","152","427","Coledale Public School"
"046","MARKHAM--UNIONVILLE","012","U","MARKHAM","75","10","3","0","25","0","0","0","113","361","Coledale Public School"
"046","MARKHAM--UNIONVILLE","013","U","MARKHAM","69","18","3","1","21","0","0","0","112","334","Coledale Public School"
"046","MARKHAM--UNIONVILLE","014","U","MARKHAM","74","26","1","1","36","0","1","0","139","417","Applecreek Seventh Day Adventist Church"
"046","MARKHAM--UNIONVILLE","015","U","MARKHAM","77","14","6","0","61","1","0","0","159","440","Applecreek Seventh Day Adventist Church"
"046","MARKHAM--UNIONVILLE","016","U","MARKHAM","..........................NO POLL HELD..........................","","","","","","","","","",""
"046","MARKHAM--UNIONVILLE","017","U","MARKHAM","65","8","8","2","45","3","0","0","131","416","Markham Civic Centre"
"046","MARKHAM--UNIONVILLE","018","U","MARKHAM","54","10","3","0","29","0","0","3","99","387","Applecreek Seventh Day Adventist Church"
"046","MARKHAM--UNIONVILLE","019","U","MARKHAM","43","10","1","1","19","0","0","0","74","406","Applecreek Seventh Day Adventist Church"
