ED_CODE,ED_NAME,POLL_NUMBER,RURAL_INDICATOR,PLACE_NAME,FOSTER,GILL,KHAN,MANGAT,MILLOY,PANDHER,WIDLA,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION
47,MISSISSAUGA--BRAMPTON SOUTH,1,U,BRAMPTON,3,20,0,31,4,12,0,0,0,0,70,297,South Fletcher's Sportsplex
47,MISSISSAUGA--BRAMPTON SOUTH,2,U,BRAMPTON,6,57,0,90,6,26,2,0,1,0,188,549,St. Kevin Separate School
47,MISSISSAUGA--BRAMPTON SOUTH,3,U,BRAMPTON,1,68,2,83,2,28,1,0,0,0,185,523,St. Kevin Separate School
47,MISSISSAUGA--BRAMPTON SOUTH,4,U,BRAMPTON,2,48,1,53,1,23,1,0,0,0,129,397,St. Kevin Separate School
47,MISSISSAUGA--BRAMPTON SOUTH,5,U,BRAMPTON,7,56,5,97,1,33,0,0,0,0,199,590,St. Kevin Separate School
47,MISSISSAUGA--BRAMPTON SOUTH,6,U,BRAMPTON,1,59,0,103,5,21,0,1,0,0,190,558,St. Kevin Separate School
47,MISSISSAUGA--BRAMPTON SOUTH,7,U,BRAMPTON,9,68,0,95,1,24,1,0,2,0,200,523,St. Kevin Separate School
47,MISSISSAUGA--BRAMPTON SOUTH,8,U,BRAMPTON,5,43,0,50,3,36,0,4,1,0,142,429,Fletcher's Creek Senior Public School
47,MISSISSAUGA--BRAMPTON SOUTH,9,U,BRAMPTON,7,53,2,112,8,38,0,4,1,0,225,760,Fletcher's Creek Senior Public School
47,MISSISSAUGA--BRAMPTON SOUTH,10,U,BRAMPTON,5,32,3,47,0,24,1,1,0,0,113,528,South Fletcher's Sportsplex
47,MISSISSAUGA--BRAMPTON SOUTH,11,U,BRAMPTON,3,36,1,57,0,25,2,2,0,0,126,410,South Fletcher's Sportsplex
47,MISSISSAUGA--BRAMPTON SOUTH,12,U,BRAMPTON,4,39,2,42,1,30,0,1,0,0,119,472,South Fletcher's Sportsplex
47,MISSISSAUGA--BRAMPTON SOUTH,13,U,BRAMPTON,1,37,1,65,0,23,0,0,0,0,127,360,South Fletcher's Sportsplex
47,MISSISSAUGA--BRAMPTON SOUTH,14,U,BRAMPTON,6,34,1,55,2,30,0,1,0,0,129,428,Fletcher's Creek Senior Public School
47,MISSISSAUGA--BRAMPTON SOUTH,15,U,BRAMPTON,5,33,1,58,2,22,0,0,0,0,121,429,Fletcher's Creek Senior Public School
47,MISSISSAUGA--BRAMPTON SOUTH,16,U,BRAMPTON,2,30,4,51,6,25,0,0,0,0,118,384,Fletcher's Creek Senior Public School
47,MISSISSAUGA--BRAMPTON SOUTH,17,U,BRAMPTON,4,32,2,64,2,20,0,2,0,0,126,437,Fletcher's Creek Senior Public School
47,MISSISSAUGA--BRAMPTON SOUTH,18,U,BRAMPTON,7,38,0,61,2,39,0,1,0,0,148,459,Fletcher's Creek Senior Public School
47,MISSISSAUGA--BRAMPTON SOUTH,19,U,BRAMPTON,4,36,0,58,0,37,0,1,1,1,138,465,Fletcher's Creek Senior Public School
47,MISSISSAUGA--BRAMPTON SOUTH,20,U,BRAMPTON,3,56,2,61,2,31,0,1,0,0,156,464,South Fletcher's Sportsplex
47,MISSISSAUGA--BRAMPTON SOUTH,21,U,BRAMPTON,8,37,2,31,1,28,0,0,0,0,107,371,South Fletcher's Sportsplex
47,MISSISSAUGA--BRAMPTON SOUTH,22,U,MISSISSAUGA,5,69,1,82,2,34,0,1,0,0,194,463,Levi Creek Public School
47,MISSISSAUGA--BRAMPTON SOUTH,23,U,MISSISSAUGA,16,57,2,58,3,15,1,0,0,0,152,436,Levi Creek Public School
47,MISSISSAUGA--BRAMPTON SOUTH,24,U,MISSISSAUGA,4,71,0,88,3,30,2,0,0,0,198,497,Levi Creek Public School
47,MISSISSAUGA--BRAMPTON SOUTH,25,U,MISSISSAUGA,2,53,3,48,2,22,1,1,1,0,133,435,École secondaire catholique Sainte-Famille
47,MISSISSAUGA--BRAMPTON SOUTH,26,U,MISSISSAUGA,7,69,5,71,3,38,0,0,0,0,193,571,Levi Creek Public School
47,MISSISSAUGA--BRAMPTON SOUTH,27,U,MISSISSAUGA,8,43,1,62,0,24,1,0,0,1,140,430,École secondaire catholique Sainte-Famille
47,MISSISSAUGA--BRAMPTON SOUTH,28,U,MISSISSAUGA,6,49,0,92,5,33,5,0,0,0,190,453,École secondaire catholique Sainte-Famille
47,MISSISSAUGA--BRAMPTON SOUTH,29,U,MISSISSAUGA,4,55,0,71,5,22,0,0,0,1,158,438,École secondaire catholique Sainte-Famille
47,MISSISSAUGA--BRAMPTON SOUTH,30,U,MISSISSAUGA,6,38,3,75,4,29,1,0,1,0,157,522,École secondaire catholique Sainte-Famille
47,MISSISSAUGA--BRAMPTON SOUTH,31,U,MISSISSAUGA,5,93,1,106,2,29,0,0,0,1,237,544,St. Julia Elementary School
47,MISSISSAUGA--BRAMPTON SOUTH,32,U,MISSISSAUGA,17,66,0,112,1,38,1,0,1,0,236,546,St. Julia Elementary School
47,MISSISSAUGA--BRAMPTON SOUTH,33,U,MISSISSAUGA,4,36,6,55,2,15,2,0,1,0,121,433,Meadowvale Village Public School
47,MISSISSAUGA--BRAMPTON SOUTH,34,U,MISSISSAUGA,2,21,0,31,3,9,0,0,0,0,66,287,Meadowvale Village Public School
47,MISSISSAUGA--BRAMPTON SOUTH,35,U,MISSISSAUGA,0,37,3,66,1,31,0,1,0,0,139,444,Derry West Village Public School
47,MISSISSAUGA--BRAMPTON SOUTH,36,U,MISSISSAUGA,3,40,7,82,1,36,2,0,1,0,172,422,Derry West Village Public School
47,MISSISSAUGA--BRAMPTON SOUTH,37,U,MISSISSAUGA,4,32,6,81,3,34,0,0,1,0,161,435,Derry West Village Public School
47,MISSISSAUGA--BRAMPTON SOUTH,038A,U,MISSISSAUGA,1,38,4,69,4,46,0,1,0,0,163,456,Derry West Village Public School
47,MISSISSAUGA--BRAMPTON SOUTH,038B,U,MISSISSAUGA,0,41,3,65,3,31,0,2,0,0,145,400,Derry West Village Public School
47,MISSISSAUGA--BRAMPTON SOUTH,038C,U,MISSISSAUGA,1,29,4,70,0,50,0,0,0,0,154,408,Derry West Village Public School
47,MISSISSAUGA--BRAMPTON SOUTH,39,U,MISSISSAUGA,3,23,2,70,2,18,1,0,0,0,119,427,St. Veronica Secondary School
47,MISSISSAUGA--BRAMPTON SOUTH,40,U,MISSISSAUGA,5,43,1,40,2,31,0,1,1,0,124,452,Meadowvale Village Public School
47,MISSISSAUGA--BRAMPTON SOUTH,41,U,MISSISSAUGA,6,66,4,82,2,18,1,0,0,0,179,488,Meadowvale Village Public School
47,MISSISSAUGA--BRAMPTON SOUTH,42,U,MISSISSAUGA,2,33,3,41,1,22,0,1,0,0,103,423,Meadowvale Village Public School
47,MISSISSAUGA--BRAMPTON SOUTH,43,U,MISSISSAUGA,4,38,3,86,2,33,2,0,0,0,168,549,St. Veronica Secondary School
47,MISSISSAUGA--BRAMPTON SOUTH,44,U,MISSISSAUGA,6,67,0,80,4,19,1,0,0,0,177,426,David Leeder Middle School
47,MISSISSAUGA--BRAMPTON SOUTH,45,U,MISSISSAUGA,10,50,1,89,1,17,1,0,0,0,169,391,David Leeder Middle School
47,MISSISSAUGA--BRAMPTON SOUTH,46,U,MISSISSAUGA,6,56,1,61,1,25,2,0,0,0,152,377,David Leeder Middle School
47,MISSISSAUGA--BRAMPTON SOUTH,47,U,MISSISSAUGA,5,41,2,81,3,38,0,1,0,0,171,498,St. Veronica Secondary School
47,MISSISSAUGA--BRAMPTON SOUTH,048A,U,MISSISSAUGA,3,50,2,56,4,16,0,1,0,0,132,378,Mississauga Public Library
