"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AHMED","CHURCHIN","DAMERLA","DURY","HARDING","JONES","SHAH","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"048","MISSISSAUGA EAST--COOKSVILLE","001","U","MISSISSAUGA","29","149","143","0","2","9","0","1","0","1","334","655","Brian W. Fleming Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","002","U","MISSISSAUGA","33","72","76","0","0","6","0","0","0","0","187","445","Saints Martha and  Mary Church"
"048","MISSISSAUGA EAST--COOKSVILLE","003","U","MISSISSAUGA","12","32","29","0","0","1","0","0","0","0","74","311","Saints Martha and  Mary Church"
"048","MISSISSAUGA EAST--COOKSVILLE","004","U","MISSISSAUGA","14","71","73","1","1","1","0","3","0","0","164","416","Saints Martha and  Mary Church"
"048","MISSISSAUGA EAST--COOKSVILLE","005","U","MISSISSAUGA","28","34","48","0","2","6","0","0","0","0","118","408","Saints Martha and  Mary Church"
"048","MISSISSAUGA EAST--COOKSVILLE","006","U","MISSISSAUGA","33","47","76","0","1","4","0","0","0","0","161","470","Burnhamthorpe Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","007","U","MISSISSAUGA","23","57","49","0","2","9","0","0","0","0","140","343","Burnhamthorpe Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","008","U","MISSISSAUGA","34","36","49","0","1","2","0","0","0","0","122","403","Burnhamthorpe Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","009","U","MISSISSAUGA","27","24","33","0","0","1","0","3","0","0","88","332","Burnhamthorpe Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","010","U","MISSISSAUGA","19","64","45","4","1","1","0","2","1","0","137","368","Brian W. Fleming Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","011","U","MISSISSAUGA","47","93","84","1","4","6","0","0","1","0","236","469","Summerville Pines"
"048","MISSISSAUGA EAST--COOKSVILLE","012","U","MISSISSAUGA","2","10","17","0","0","0","0","2","0","0","31","107","Brian W. Fleming Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","013","U","MISSISSAUGA","23","32","66","0","1","2","0","0","0","0","124","430","St. Alfred Separate School"
"048","MISSISSAUGA EAST--COOKSVILLE","014","U","MISSISSAUGA","15","49","77","2","1","4","0","0","0","0","148","359","Brian W. Fleming Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","015","U","MISSISSAUGA","35","54","86","0","3","4","1","1","0","0","184","426","Brian W. Fleming Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","016","U","MISSISSAUGA","22","14","55","1","0","1","1","0","0","0","94","287","St. Alfred Separate School"
"048","MISSISSAUGA EAST--COOKSVILLE","017","U","MISSISSAUGA","7","69","64","0","2","2","0","0","0","0","144","299","St. Alfred Separate School"
"048","MISSISSAUGA EAST--COOKSVILLE","018","U","MISSISSAUGA","9","82","76","0","2","6","1","2","0","0","178","344","St. Alfred Separate School"
"048","MISSISSAUGA EAST--COOKSVILLE","019","U","MISSISSAUGA","14","75","123","2","0","2","1","0","1","0","218","457","Brian W. Fleming Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","020","U","MISSISSAUGA","25","39","58","0","2","6","1","1","0","0","132","469","Burnhamthorpe Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","021","U","MISSISSAUGA","14","5","23","0","0","0","0","0","0","0","42","180","Burnhamthorpe Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","022","U","MISSISSAUGA","8","32","48","1","1","8","1","1","0","0","100","188","Burnhamthorpe Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","023","U","MISSISSAUGA","12","82","81","0","0","5","0","0","0","0","180","343","Blessed Teresa of Calcutta Separate School"
"048","MISSISSAUGA EAST--COOKSVILLE","024A","U","MISSISSAUGA","12","50","61","3","1","11","0","1","0","0","139","267","Blessed Teresa of Calcutta Separate School"
"048","MISSISSAUGA EAST--COOKSVILLE","024B","U","MISSISSAUGA","14","68","68","1","1","4","0","1","0","0","157","293","Blessed Teresa of Calcutta Separate School"
"048","MISSISSAUGA EAST--COOKSVILLE","025","U","MISSISSAUGA","17","113","94","2","4","2","0","3","1","0","236","406","Blessed Teresa of Calcutta Separate School"
"048","MISSISSAUGA EAST--COOKSVILLE","026","U","MISSISSAUGA","16","64","62","0","1","3","0","0","0","0","146","302","St. Alfred Separate School"
"048","MISSISSAUGA EAST--COOKSVILLE","027","U","MISSISSAUGA","10","30","34","2","1","1","0","0","0","0","78","278","Dixie Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","028","U","MISSISSAUGA","14","27","20","0","5","0","0","0","1","0","67","349","Mississauga Muslim Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","029","U","MISSISSAUGA","16","38","37","0","1","1","3","0","0","1","97","348","Mississauga Muslim Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","030","U","MISSISSAUGA","34","41","38","1","0","2","0","0","0","0","116","377","Mississauga Muslim Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","031","U","MISSISSAUGA","16","29","28","0","0","1","0","0","0","0","74","319","Mississauga Muslim Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","032","U","MISSISSAUGA","33","87","71","0","3","4","0","0","0","0","198","405","Dixie Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","033","U","MISSISSAUGA","20","64","81","0","1","12","0","0","0","0","178","373","Dixie Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","034","U","MISSISSAUGA","28","108","78","1","2","5","0","3","0","0","225","454","St. Thomas More Catholic Elementary School"
"048","MISSISSAUGA EAST--COOKSVILLE","035","U","MISSISSAUGA","17","71","81","3","0","7","0","1","2","0","182","389","Early Years Centre - Tomken Middle Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","036","U","MISSISSAUGA","8","33","27","0","1","2","0","0","0","0","71","325","Mississauga Muslim Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","037","U","MISSISSAUGA","15","30","39","0","1","5","0","1","0","0","91","409","Mississauga Muslim Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","038","U","MISSISSAUGA","19","59","67","0","0","7","0","1","0","0","153","357","Silverthorn Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","039","U","MISSISSAUGA","18","46","65","0","0","2","1","0","1","0","133","296","Silverthorn Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","040","U","MISSISSAUGA","20","98","89","0","1","6","3","0","1","0","218","384","Silverthorn Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","041","U","MISSISSAUGA","20","45","42","0","0","0","1","1","0","0","109","271","Silverthorn Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","042","U","MISSISSAUGA","34","91","85","0","1","6","0","3","0","0","220","463","Silverthorn Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","043","U","MISSISSAUGA","43","80","100","0","1","5","0","0","0","0","229","427","St. Thomas More Catholic Elementary School"
"048","MISSISSAUGA EAST--COOKSVILLE","044","U","MISSISSAUGA","17","48","84","1","0","2","0","1","1","0","154","326","Early Years Centre - Tomken Middle Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","045","U","MISSISSAUGA","19","54","98","1","3","5","1","0","1","0","182","416","Early Years Centre - Tomken Middle Public School"
"048","MISSISSAUGA EAST--COOKSVILLE","046","U","MISSISSAUGA","23","61","78","2","1","5","0","1","0","1","172","357","St. Thomas More Catholic Elementary School"
"048","MISSISSAUGA EAST--COOKSVILLE","047A","U","MISSISSAUGA","19","55","27","0","0","1","0","1","0","0","103","298","Salvation Army Community Church"
"048","MISSISSAUGA EAST--COOKSVILLE","047B","U","MISSISSAUGA","24","42","36","2","0","5","0","0","0","0","109","287","Salvation Army Community Church"
"048","MISSISSAUGA EAST--COOKSVILLE","048","U","MISSISSAUGA","8","38","53","1","0","2","1","0","0","0","103","323","Mississauga Muslim Community Centre"
"048","MISSISSAUGA EAST--COOKSVILLE","049A","U","MISSISSAUGA","15","33","45","0","0","6","0","1","0","0","100","290","Saints Peter and  Paul Separate School"
"048","MISSISSAUGA EAST--COOKSVILLE","049B","U","MISSISSAUGA","14","39","53","0","0","2","0","1","0","0","109","261","Saints Peter and  Paul Separate School"
