"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BILEK","BROWN","CASANOVA","JACKSON","TAKHAR","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"049","MISSISSAUGA--ERINDALE","001","U","MISSISSAUGA","25","64","2","1","51","0","0","0","143","369","St. Faustina School"
"049","MISSISSAUGA--ERINDALE","002","U","MISSISSAUGA","27","43","2","0","69","1","0","0","142","395","St. Faustina School"
"049","MISSISSAUGA--ERINDALE","003","U","MISSISSAUGA","41","52","3","0","60","0","0","0","156","432","St. Faustina School"
"049","MISSISSAUGA--ERINDALE","004","U","MISSISSAUGA","29","78","5","0","62","0","0","0","174","466","St. Faustina School"
"049","MISSISSAUGA--ERINDALE","005","U","MISSISSAUGA","21","40","2","1","72","0","0","0","136","465","St. Faustina School"
"049","MISSISSAUGA--ERINDALE","006","U","MISSISSAUGA","26","50","2","0","66","0","0","0","144","429","St. Faustina School"
"049","MISSISSAUGA--ERINDALE","007","U","MISSISSAUGA","33","54","4","2","77","0","0","0","170","446","Stephen Lewis Secondary School"
"049","MISSISSAUGA--ERINDALE","008","U","MISSISSAUGA","43","46","2","1","84","1","0","0","177","453","Stephen Lewis Secondary School"
"049","MISSISSAUGA--ERINDALE","009","U","MISSISSAUGA","26","69","1","0","89","0","0","0","185","489","Stephen Lewis Secondary School"
"049","MISSISSAUGA--ERINDALE","010","U","MISSISSAUGA","41","36","0","0","66","0","0","0","143","405","Churchill Meadows Public School"
"049","MISSISSAUGA--ERINDALE","011","U","MISSISSAUGA","30","43","0","0","61","0","0","0","134","402","Churchill Meadows Public School"
"049","MISSISSAUGA--ERINDALE","012","U","MISSISSAUGA","29","49","4","0","72","0","1","0","155","417","Churchill Meadows Public School"
"049","MISSISSAUGA--ERINDALE","013","U","MISSISSAUGA","14","34","2","0","45","0","0","0","95","380","Stephen Lewis Secondary School"
"049","MISSISSAUGA--ERINDALE","014","U","MISSISSAUGA","38","76","0","0","78","2","2","0","196","403","Churchill Meadows Public School"
"049","MISSISSAUGA--ERINDALE","015","U","MISSISSAUGA","24","69","3","2","91","0","0","0","189","453","Churchill Meadows Public School"
"049","MISSISSAUGA--ERINDALE","016","U","MISSISSAUGA","25","49","2","0","83","0","0","0","159","504","Stephen Lewis Secondary School"
"049","MISSISSAUGA--ERINDALE","017","U","MISSISSAUGA","35","32","5","0","65","0","0","0","137","417","Stephen Lewis Secondary School"
"049","MISSISSAUGA--ERINDALE","018","U","MISSISSAUGA","26","34","5","0","113","0","0","0","178","512","Stephen Lewis Secondary School"
"049","MISSISSAUGA--ERINDALE","019","U","MISSISSAUGA","37","68","6","2","134","0","1","0","248","647","Stephen Lewis Secondary School"
"049","MISSISSAUGA--ERINDALE","020","U","MISSISSAUGA","44","68","5","0","113","0","0","0","230","611","Stephen Lewis Secondary School"
"049","MISSISSAUGA--ERINDALE","021","U","MISSISSAUGA","28","51","2","0","92","0","0","0","173","453","Ruth Thompson Middle School"
"049","MISSISSAUGA--ERINDALE","022","U","MISSISSAUGA","16","61","7","0","79","0","0","0","163","436","Ruth Thompson Middle School"
"049","MISSISSAUGA--ERINDALE","023","U","MISSISSAUGA","49","83","2","1","110","0","0","0","245","630","Ruth Thompson Middle School"
"049","MISSISSAUGA--ERINDALE","024","U","MISSISSAUGA","4","79","3","1","159","1","0","0","247","938","Stephen Lewis Secondary School"
"049","MISSISSAUGA--ERINDALE","025","U","MISSISSAUGA","53","65","7","0","140","0","1","0","266","1019","St. Bernard of Clairvaux"
"049","MISSISSAUGA--ERINDALE","026","U","MISSISSAUGA","17","64","1","0","74","2","0","0","158","473","St. Bernard of Clairvaux"
"049","MISSISSAUGA--ERINDALE","027","U","MISSISSAUGA","37","78","2","0","103","0","0","0","220","580","St. Bernard of Clairvaux"
"049","MISSISSAUGA--ERINDALE","028","U","MISSISSAUGA","64","178","6","0","226","0","0","0","474","1286","St. Bernard of Clairvaux"
"049","MISSISSAUGA--ERINDALE","029","U","MISSISSAUGA","30","63","1","0","74","0","0","0","168","426","Ruth Thompson Middle School"
"049","MISSISSAUGA--ERINDALE","030","U","MISSISSAUGA","30","40","0","0","86","0","0","0","156","428","Ruth Thompson Middle School"
"049","MISSISSAUGA--ERINDALE","031","U","MISSISSAUGA","35","37","1","0","69","0","0","0","142","383","Ruth Thompson Middle School"
"049","MISSISSAUGA--ERINDALE","032","U","MISSISSAUGA","28","67","0","0","78","0","0","0","173","426","St. Bernard of Clairvaux"
"049","MISSISSAUGA--ERINDALE","033","U","MISSISSAUGA","44","54","0","1","81","0","0","0","180","605","Erin Centre Middle School"
"049","MISSISSAUGA--ERINDALE","034","U","MISSISSAUGA","18","58","3","1","119","0","0","0","199","557","Erin Centre Middle School"
"049","MISSISSAUGA--ERINDALE","035","U","MISSISSAUGA","19","35","3","1","53","0","0","0","111","411","Erin Centre Middle School"
"049","MISSISSAUGA--ERINDALE","036","U","MISSISSAUGA","59","65","3","0","78","0","0","0","205","637","Erin Centre Middle School"
"049","MISSISSAUGA--ERINDALE","037A","U","MISSISSAUGA","17","27","2","0","49","1","0","0","96","385","Erin Centre Middle School"
"049","MISSISSAUGA--ERINDALE","037B","U","MISSISSAUGA","28","25","0","0","41","0","0","0","94","198","Erin Mills Middle School"
"049","MISSISSAUGA--ERINDALE","038","U","MISSISSAUGA","18","37","1","0","56","0","0","0","112","412","Oscar Peterson Public School"
"049","MISSISSAUGA--ERINDALE","039","U","MISSISSAUGA","29","48","3","0","62","0","0","0","142","447","Oscar Peterson Public School"
"049","MISSISSAUGA--ERINDALE","040","U","MISSISSAUGA","30","60","4","0","92","0","1","0","187","655","Erin Centre Middle School"
"049","MISSISSAUGA--ERINDALE","041","U","MISSISSAUGA","35","37","1","0","69","0","0","0","142","405","Oscar Peterson Public School"
"049","MISSISSAUGA--ERINDALE","042","U","MISSISSAUGA","32","54","0","1","73","0","0","0","160","502","Oscar Peterson Public School"
"049","MISSISSAUGA--ERINDALE","043","U","MISSISSAUGA","24","60","2","1","54","0","0","0","141","471","Oscar Peterson Public School"
