"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","FIGUEIRAS","HARRIS","JANOSCIK","MOGK","SIKKA","SOUSA","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"050","MISSISSAUGA SOUTH","001","U","MISSISSAUGA","0","1","87","7","17","80","0","1","0","193","394","Saint Francis of Assisi School"
"050","MISSISSAUGA SOUTH","002","U","MISSISSAUGA","0","2","78","3","12","130","1","1","0","227","386","Saint Francis of Assisi School"
"050","MISSISSAUGA SOUTH","003","U","MISSISSAUGA","1","2","59","11","20","103","2","0","0","198","465","Saint Francis of Assisi School"
"050","MISSISSAUGA SOUTH","004","U","MISSISSAUGA","2","1","46","6","26","66","0","0","0","147","402","Saint Francis of Assisi School"
"050","MISSISSAUGA SOUTH","005","U","MISSISSAUGA","1","1","60","4","26","107","0","1","0","200","458","Saint Francis of Assisi School"
"050","MISSISSAUGA SOUTH","006","U","MISSISSAUGA","0","0","54","7","26","99","0","0","0","186","384","Saint Francis of Assisi School"
"050","MISSISSAUGA SOUTH","007","U","MISSISSAUGA","0","1","64","5","18","83","0","0","0","171","318","Saint Francis of Assisi School"
"050","MISSISSAUGA SOUTH","008","U","MISSISSAUGA","0","2","75","6","18","125","0","0","0","226","431","Saint Francis of Assisi School"
"050","MISSISSAUGA SOUTH","009","U","MISSISSAUGA","1","0","71","6","23","105","0","0","0","206","336","Sheridan Park Public School"
"050","MISSISSAUGA SOUTH","010","U","MISSISSAUGA","0","0","71","8","9","123","0","0","0","211","369","Sheridan Park Public School"
"050","MISSISSAUGA SOUTH","011","U","MISSISSAUGA","1","2","55","8","31","92","0","0","0","189","424","Sheridan Park Public School"
"050","MISSISSAUGA SOUTH","012","U","MISSISSAUGA","0","3","58","2","24","86","1","0","0","174","493","Sheridan Park Public School"
"050","MISSISSAUGA SOUTH","013","U","MISSISSAUGA","0","0","60","5","12","86","1","0","0","164","399","Holy Name of Mary College School"
"050","MISSISSAUGA SOUTH","014","U","MISSISSAUGA","1","2","45","2","5","85","0","2","0","142","378","Holy Name of Mary College School"
"050","MISSISSAUGA SOUTH","015","U","MISSISSAUGA","0","0","81","0","4","110","0","0","0","195","386","Holy Name of Mary College School"
"050","MISSISSAUGA SOUTH","016","U","MISSISSAUGA","0","0","73","1","9","95","0","0","0","178","427","Holy Name of Mary College School"
"050","MISSISSAUGA SOUTH","017","U","MISSISSAUGA","0","2","37","4","9","67","0","0","0","119","306","Sheridan Park Public School"
"050","MISSISSAUGA SOUTH","018","U","MISSISSAUGA","0","0","57","2","9","59","0","0","1","128","293","Sheridan Park Public School"
"050","MISSISSAUGA SOUTH","019","U","MISSISSAUGA","2","0","24","0","20","52","0","0","0","98","338","Polycultural Immigrant / Community Service Centre"
