"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AYAD","DELANEY","SUNBATY","WARNER","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"051","MISSISSAUGA--STREETSVILLE","001","U","MISSISSAUGA","18","59","30","2","1","0","0","110","458","Kindree Public School"
"051","MISSISSAUGA--STREETSVILLE","002","U","MISSISSAUGA","33","111","37","5","0","0","0","186","559","Kindree Public School"
"051","MISSISSAUGA--STREETSVILLE","003","U","MISSISSAUGA","29","80","32","4","0","0","0","145","423","St. Albert of Jerusalem"
"051","MISSISSAUGA--STREETSVILLE","004","U","MISSISSAUGA","41","113","49","6","0","0","0","209","488","St. Albert of Jerusalem"
"051","MISSISSAUGA--STREETSVILLE","005","U","MISSISSAUGA","36","99","37","5","0","0","0","177","386","St. Albert of Jerusalem"
"051","MISSISSAUGA--STREETSVILLE","006","U","MISSISSAUGA","28","85","53","11","1","0","0","178","415","St. Albert of Jerusalem"
"051","MISSISSAUGA--STREETSVILLE","007","U","MISSISSAUGA","36","92","59","7","0","0","0","194","475","St. Albert of Jerusalem"
"051","MISSISSAUGA--STREETSVILLE","008","U","MISSISSAUGA","32","66","44","9","1","0","0","152","361","St. Albert of Jerusalem"
"051","MISSISSAUGA--STREETSVILLE","009","U","MISSISSAUGA","34","73","46","3","1","0","0","157","510","Kindree Public School"
"051","MISSISSAUGA--STREETSVILLE","010","U","MISSISSAUGA","25","99","46","5","0","2","0","177","538","Kindree Public School"
"051","MISSISSAUGA--STREETSVILLE","011","U","MISSISSAUGA","31","87","54","2","0","0","0","174","455","Kindree Public School"
"051","MISSISSAUGA--STREETSVILLE","012","U","MISSISSAUGA","33","85","47","5","0","0","0","170","459","St. Therese of the Child Jesus"
"051","MISSISSAUGA--STREETSVILLE","013","U","MISSISSAUGA","38","84","48","6","0","0","0","176","538","Kindree Public School"
"051","MISSISSAUGA--STREETSVILLE","014","U","MISSISSAUGA","17","97","31","2","0","0","0","147","607","St. Therese of the Child Jesus"
"051","MISSISSAUGA--STREETSVILLE","015","U","MISSISSAUGA","15","60","52","5","0","0","0","132","388","Kindree Public School"
"051","MISSISSAUGA--STREETSVILLE","016","U","MISSISSAUGA","25","66","38","3","0","1","1","134","409","Kindree Public School"
"051","MISSISSAUGA--STREETSVILLE","017","U","MISSISSAUGA","23","85","40","6","0","0","0","154","497","St. John the Cross Elementary School"
"051","MISSISSAUGA--STREETSVILLE","018","U","MISSISSAUGA","20","89","38","6","0","0","0","153","457","St. John the Cross Elementary School"
"051","MISSISSAUGA--STREETSVILLE","019","U","MISSISSAUGA","19","70","38","8","0","0","0","135","360","St. John the Cross Elementary School"
"051","MISSISSAUGA--STREETSVILLE","020","U","MISSISSAUGA","24","72","32","6","0","0","0","134","393","St. John the Cross Elementary School"
"051","MISSISSAUGA--STREETSVILLE","021","U","MISSISSAUGA","24","75","49","3","1","0","0","152","421","St. John the Cross Elementary School"
"051","MISSISSAUGA--STREETSVILLE","022","U","MISSISSAUGA","23","86","55","6","0","0","0","170","431","Lisgar Middle School"
"051","MISSISSAUGA--STREETSVILLE","023","U","MISSISSAUGA","19","99","50","4","1","0","0","173","476","Lisgar Middle School"
"051","MISSISSAUGA--STREETSVILLE","024","U","MISSISSAUGA","30","97","31","4","0","0","0","162","478","Lisgar Middle School"
