ED_CODE,ED_NAME,POLL_NUMBER,RURAL_INDICATOR,PLACE_NAME,DAGENAIS,DRANSFIELD,KUBANEK,MACLEOD,ROSSI,TOUTANT,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION
52,NEPEAN--CARLETON,1,U,NEPEAN,20,22,1,21,0,1,0,0,0,65,185,College catholique Franco-Ouest
52,NEPEAN--CARLETON,2,U,NEPEAN,23,20,1,91,0,1,0,0,0,136,361,Our Lady of Peace School
52,NEPEAN--CARLETON,3,U,NEPEAN,23,47,6,107,1,1,1,0,0,186,372,Our Lady of Peace School
52,NEPEAN--CARLETON,4,U,NEPEAN,32,37,8,82,0,0,0,0,0,159,438,College catholique Franco-Ouest
52,NEPEAN--CARLETON,5,U,NEPEAN,37,45,12,82,3,0,0,0,0,179,396,College catholique Franco-Ouest
52,NEPEAN--CARLETON,6,U,NEPEAN,24,43,6,57,2,0,1,0,0,133,326,College catholique Franco-Ouest
52,NEPEAN--CARLETON,7,U,NEPEAN,33,109,6,74,0,4,1,1,0,228,483,College catholique Franco-Ouest
52,NEPEAN--CARLETON,8,U,NEPEAN,24,28,7,62,0,2,0,0,0,123,391,College catholique Franco-Ouest
52,NEPEAN--CARLETON,9,U,NEPEAN,28,32,6,44,0,0,0,0,0,110,304,College catholique Franco-Ouest
52,NEPEAN--CARLETON,10,U,NEPEAN,39,32,5,62,2,2,1,0,0,143,407,College catholique Franco-Ouest
52,NEPEAN--CARLETON,11,U,NEPEAN,27,16,1,45,1,2,0,0,0,92,352,College catholique Franco-Ouest
52,NEPEAN--CARLETON,12,U,OTTAWA,21,23,2,62,1,1,0,0,0,110,391,Bells Corners United Church
52,NEPEAN--CARLETON,13,U,OTTAWA,38,26,6,39,0,2,0,0,0,111,348,Bells Corners United Church
52,NEPEAN--CARLETON,14,U,OTTAWA,31,62,11,74,1,0,0,0,0,179,407,Bells Corners United Church
52,NEPEAN--CARLETON,15,U,OTTAWA,33,73,15,106,3,0,0,0,0,230,402,Bells Corners United Church
52,NEPEAN--CARLETON,16,U,OTTAWA,38,59,8,111,1,1,0,0,0,218,416,Emmanuel Alliance Church
52,NEPEAN--CARLETON,17,U,NEPEAN,30,40,9,108,1,0,1,0,0,189,451,Our Lady of Peace School
52,NEPEAN--CARLETON,18,U,OTTAWA,41,63,8,91,1,1,0,0,0,205,398,Emmanuel Alliance Church
52,NEPEAN--CARLETON,19,U,OTTAWA,31,37,9,123,0,2,0,0,0,202,375,Emmanuel Alliance Church
52,NEPEAN--CARLETON,20,U,NEPEAN,21,34,3,125,0,1,0,0,0,184,377,St. Patrick's Church Hall
52,NEPEAN--CARLETON,21,U,NEPEAN,7,41,1,75,0,1,0,0,0,125,300,Cedarview Alliance Church
52,NEPEAN--CARLETON,22,U,NEPEAN,11,41,0,84,0,0,0,0,0,136,316,Cedarview Alliance Church
52,NEPEAN--CARLETON,23,U,NEPEAN,27,79,2,114,0,2,0,0,0,224,465,Arlington Woods Free Methodist Church
52,NEPEAN--CARLETON,24,U,NEPEAN,43,42,8,73,0,3,0,0,0,169,537,Arlington Woods Free Methodist Church
52,NEPEAN--CARLETON,25,U,NEPEAN,27,84,12,113,3,2,0,0,0,241,489,Arlington Woods Free Methodist Church
