"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BISANZ","KLEES","KUYSTEN","WARDLAW","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"053","NEWMARKET--AURORA","001","U","NEWMARKET","78","53","8","28","0","0","0","167","489","Alexander Muir Public School"
"053","NEWMARKET--AURORA","002","U","NEWMARKET","45","43","3","13","0","0","0","104","246","Poplar Bank Public School"
"053","NEWMARKET--AURORA","003","U","NEWMARKET","58","67","1","25","0","0","0","151","380","Poplar Bank Public School"
"053","NEWMARKET--AURORA","004","U","NEWMARKET","32","43","3","33","0","0","0","111","269","Poplar Bank Public School"
"053","NEWMARKET--AURORA","005","U","NEWMARKET","45","71","4","35","0","0","0","155","439","Poplar Bank Public School"
"053","NEWMARKET--AURORA","006","U","NEWMARKET","79","77","7","36","0","0","0","199","444","Dr. John M. Denison Secondary School"
"053","NEWMARKET--AURORA","007","U","NEWMARKET","80","99","12","21","1","0","0","213","490","Denne Public School"
"053","NEWMARKET--AURORA","008","U","NEWMARKET","69","96","7","37","0","0","0","209","460","Denne Public School"
"053","NEWMARKET--AURORA","009","U","NEWMARKET","78","82","15","28","0","1","0","204","378","Denne Public School"
"053","NEWMARKET--AURORA","010","U","NEWMARKET","54","92","3","23","1","0","0","173","361","St. Elizabeth Seton Catholic School"
"053","NEWMARKET--AURORA","011","U","NEWMARKET","83","141","7","32","0","0","0","263","552","St. Elizabeth Seton Catholic School"
"053","NEWMARKET--AURORA","012","U","NEWMARKET","98","115","9","24","1","0","0","247","480","St. Elizabeth Seton Parish"
"053","NEWMARKET--AURORA","013","U","NEWMARKET","45","84","2","18","1","0","0","150","408","St. Elizabeth Seton Parish"
"053","NEWMARKET--AURORA","014","U","NEWMARKET","27","65","2","52","0","0","0","146","358","St. Elizabeth Seton Parish"
"053","NEWMARKET--AURORA","015","U","NEWMARKET","45","75","6","23","1","0","1","151","318","St. Elizabeth Seton Parish"
"053","NEWMARKET--AURORA","016","U","NEWMARKET","38","80","1","32","0","0","0","151","350","St. Elizabeth Seton Catholic School"
"053","NEWMARKET--AURORA","017","U","NEWMARKET","34","74","4","35","0","0","0","147","418","St. Elizabeth Seton Catholic School"
"053","NEWMARKET--AURORA","018","U","NEWMARKET","63","68","4","43","0","0","0","178","430","St. Elizabeth Seton Catholic School"
"053","NEWMARKET--AURORA","019","U","NEWMARKET","96","119","11","28","1","0","0","255","457","Denne Public School"
"053","NEWMARKET--AURORA","020","U","NEWMARKET","75","89","3","37","1","0","0","205","420","Denne Public School"
"053","NEWMARKET--AURORA","021","U","NEWMARKET","57","100","6","47","0","0","0","210","427","Dr. John M. Denison Secondary School"
"053","NEWMARKET--AURORA","022","U","NEWMARKET","79","106","7","22","1","0","0","215","478","Dr. John M. Denison Secondary School"
"053","NEWMARKET--AURORA","023","U","NEWMARKET","93","103","5","35","0","0","1","237","455","Dr. John M. Denison Secondary School"
"053","NEWMARKET--AURORA","024","U","NEWMARKET","23","58","22","6","0","0","0","109","271","Canadian Martyrs Catholic School"
"053","NEWMARKET--AURORA","025","U","NEWMARKET","15","26","2","14","0","0","0","57","194","Poplar Bank Public School"
"053","NEWMARKET--AURORA","026","U","NEWMARKET","52","59","2","27","1","0","0","141","409","Poplar Bank Public School"
"053","NEWMARKET--AURORA","027","U","NEWMARKET","90","70","2","22","0","1","0","185","526","Alexander Muir Public School"
"053","NEWMARKET--AURORA","028","U","NEWMARKET","43","34","1","19","0","0","0","97","348","Alexander Muir Public School"
"053","NEWMARKET--AURORA","029","U","NEWMARKET","44","73","0","33","0","0","0","150","377","Alexander Muir Public School"
"053","NEWMARKET--AURORA","030","U","NEWMARKET","87","54","1","18","1","0","0","161","428","Alexander Muir Public School"
"053","NEWMARKET--AURORA","031","U","NEWMARKET","49","48","4","31","0","1","0","133","415","Alexander Muir Public School"
"053","NEWMARKET--AURORA","032","U","NEWMARKET","60","62","6","27","0","0","1","156","353","Canadian Martyrs Catholic School"
"053","NEWMARKET--AURORA","033","U","NEWMARKET","53","60","2","28","1","0","0","144","434","Canadian Martyrs Catholic School"
"053","NEWMARKET--AURORA","034","U","NEWMARKET","22","40","3","45","0","0","1","111","342","Maple Leaf Public School"
"053","NEWMARKET--AURORA","035","U","NEWMARKET","25","36","1","28","1","0","0","91","330","Canadian Martyrs Catholic School"
"053","NEWMARKET--AURORA","036","U","NEWMARKET","23","48","5","37","0","0","0","113","386","Maple Leaf Public School"
"053","NEWMARKET--AURORA","037","U","NEWMARKET","60","82","7","42","0","0","0","191","420","Canadian Martyrs Catholic School"
"053","NEWMARKET--AURORA","038","U","NEWMARKET","72","73","5","26","0","0","0","176","359","Maple Leaf Public School"
"053","NEWMARKET--AURORA","039","U","NEWMARKET","38","55","3","41","0","0","0","137","335","Maple Leaf Public School"
"053","NEWMARKET--AURORA","040","U","NEWMARKET","..........................NO POLL HELD..........................","","","","","","","","",""
"053","NEWMARKET--AURORA","041","U","NEWMARKET","47","75","15","48","1","0","1","187","485","Maple Leaf Public School"
"053","NEWMARKET--AURORA","042","U","NEWMARKET","31","53","1","14","1","0","0","100","279","Glen Cedar Public School"
"053","NEWMARKET--AURORA","043","U","NEWMARKET","47","76","2","28","0","0","0","153","418","Glen Cedar Public School"
"053","NEWMARKET--AURORA","044","U","NEWMARKET","54","73","4","34","0","0","0","165","445","Glen Cedar Public School"
"053","NEWMARKET--AURORA","045","U","NEWMARKET","49","65","3","31","0","0","0","148","359","St. Elizabeth Seton Catholic School"
"053","NEWMARKET--AURORA","046","U","NEWMARKET","22","38","6","18","1","0","0","85","339","Glen Cedar Public School"
"053","NEWMARKET--AURORA","047","U","NEWMARKET","77","131","17","39","0","1","0","265","489","Glen Cedar Public School"
"053","NEWMARKET--AURORA","048","U","NEWMARKET","74","103","8","23","0","0","0","208","419","Glen Cedar Public School"
"053","NEWMARKET--AURORA","049","U","NEWMARKET","..........................NO POLL HELD..........................","","","","","","","","",""
"053","NEWMARKET--AURORA","050","U","NEWMARKET","47","70","0","16","0","0","0","133","270","Mazo de la Roche Public School"
"053","NEWMARKET--AURORA","051","U","NEWMARKET","72","103","4","21","1","1","1","203","372","Mazo de la Roche Public School"
