"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CRAITOR","HYDE","JANKOVIC","LEPP","REDEKOP","SMITH","TOSSOUNIAN","TREDWELL","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"054","NIAGARA FALLS","001","U","NIAGARA ON THE LAKE","90","0","0","66","10","1","0","0","0","0","0","167","381","Niagara on the Lake Community Centre"
"054","NIAGARA FALLS","002","U","NIAGARA ON THE LAKE","57","0","0","27","32","6","0","0","1","0","0","123","317","Niagara on the Lake Community Centre"
"054","NIAGARA FALLS","003","U","NIAGARA-ON-THE-LAKE","95","1","0","149","29","3","0","0","0","3","0","280","557","Orchard Park Bible Church"
"054","NIAGARA FALLS","004","U","NIAGARA-ON-THE-LAKE","99","1","0","90","33","1","1","0","1","0","0","226","478","Orchard Park Bible Church"
"054","NIAGARA FALLS","005","U","NIAGARA ON THE LAKE","48","1","1","29","19","3","0","0","1","0","0","102","281","Parliament Oak School"
"054","NIAGARA FALLS","006","U","NIAGARA ON THE LAKE","78","0","0","61","16","6","0","0","0","1","0","162","416","Parliament Oak School"
"054","NIAGARA FALLS","007","U","NIAGARA ON THE LAKE","111","0","1","66","22","2","1","0","1","0","0","204","417","Parliament Oak School"
"054","NIAGARA FALLS","008","U","NIAGARA ON THE LAKE","73","3","0","50","18","1","0","0","0","0","0","145","341","Niagara on the Lake Community Centre"
"054","NIAGARA FALLS","009","U","NIAGARA ON THE LAKE","62","0","0","43","12","1","0","0","0","0","0","118","324","Niagara on the Lake Community Centre"
"054","NIAGARA FALLS","010","U","NIAGARA ON THE LAKE","147","0","0","113","29","3","0","0","2","0","0","294","661","Upper Canada Lodge"
"054","NIAGARA FALLS","011","U","NIAGARA-ON-THE-LAKE","26","1","3","48","21","1","1","0","0","0","0","101","226","Orchard Park Bible Church"
"054","NIAGARA FALLS","012","U","VIRGIL","88","0","0","105","19","8","0","0","0","0","0","220","499","Virgil Centennial Arena"
"054","NIAGARA FALLS","013","U","VIRGIL","50","1","0","76","21","3","0","1","0","0","0","152","345","Virgil Centennial Arena"
"054","NIAGARA FALLS","014","U","VIRGIL","41","0","0","63","19","4","0","0","0","1","0","128","273","Virgil Centennial Arena"
"054","NIAGARA FALLS","015","U","VIRGIL","61","0","1","89","20","10","0","0","2","0","0","183","376","Virgil Centennial Arena"
"054","NIAGARA FALLS","016","U","NIAGARA ON THE LAKE","128","1","0","148","30","2","0","0","3","0","0","312","639","St. Michael Elementary School"
"054","NIAGARA FALLS","017","U","VIRGIL","45","3","1","27","10","2","0","0","2","0","0","90","232","Virgil Centennial Arena"
"054","NIAGARA FALLS","018","U","NIAGARA ON THE LAKE","135","0","3","141","49","6","0","0","1","0","0","335","798","St. Michael Elementary School"
"054","NIAGARA FALLS","019","U","NIAGARA ON THE LAKE","94","0","3","106","24","2","1","0","0","0","0","230","503","St. Michael Elementary School"
"054","NIAGARA FALLS","020","U","NIAGARA-ON-THE-LAKE","53","1","0","75","35","1","0","0","0","0","0","165","363","Glendale Fire Hall"
"054","NIAGARA FALLS","021","U","NIAGARA-ON-THE-LAKE","84","0","1","70","26","7","0","0","3","0","0","191","517","Glendale Fire Hall"
"054","NIAGARA FALLS","022","U","NIAGARA-ON-THE-LAKE","61","0","2","97","24","4","0","0","0","0","0","188","400","Glendale Fire Hall"
"054","NIAGARA FALLS","023","U","ST DAVIDS","55","1","2","83","15","4","0","0","3","1","0","164","358","St. Davids Elementary"
