"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AUGUSTINE","CROSS","HUDAK","LEES","MARCO","PEACOCK","POOS","TROMBETTA","WIENHOLD","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"055","NIAGARA WEST--GLANBROOK","001","U","HAMILTON","0","5","89","3","43","0","0","89","3","0","0","0","232","455","Garth Trails Clubhouse"
"055","NIAGARA WEST--GLANBROOK","002","U","HAMILTON","0","4","152","3","76","0","0","97","0","2","1","0","335","525","Garth Trails Clubhouse"
"055","NIAGARA WEST--GLANBROOK","003","U","HAMILTON","2","4","112","2","77","0","1","83","0","0","0","0","281","473","Garth Trails Clubhouse"
"055","NIAGARA WEST--GLANBROOK","004A","U","HAMILTON","1","4","99","1","39","0","0","110","0","0","0","0","254","390","Garth Trails Clubhouse"
"055","NIAGARA WEST--GLANBROOK","004B","U","HAMILTON","1","5","97","1","62","0","0","126","0","0","0","0","292","425","Garth Trails Clubhouse"
"055","NIAGARA WEST--GLANBROOK","005","U","MOUNT HOPE","0","3","170","2","100","0","0","128","5","2","0","0","410","591","Twenty Place Club House"
"055","NIAGARA WEST--GLANBROOK","006","U","MOUNT HOPE","0","3","135","1","95","0","0","119","0","0","0","0","353","504","Twenty Place Club House"
"055","NIAGARA WEST--GLANBROOK","007","U","MOUNT HOPE","0","3","68","2","60","0","0","44","0","0","0","0","177","397","Twenty Place Club House"
"055","NIAGARA WEST--GLANBROOK","008","U","MOUNT HOPE","0","5","85","3","56","0","1","72","0","0","0","0","222","456","Twenty Place Club House"
"055","NIAGARA WEST--GLANBROOK","009","U","MOUNT HOPE","0","1","58","4","30","0","1","26","1","1","0","0","122","362","Twenty Place Club House"
"055","NIAGARA WEST--GLANBROOK","010","U","MOUNT HOPE","1","7","77","1","66","0","0","51","0","1","0","0","204","502","Canadian Warplane Heritage Museum"
"055","NIAGARA WEST--GLANBROOK","011","U","MOUNT HOPE","0","3","69","4","56","0","1","44","1","0","0","0","178","426","Canadian Warplane Heritage Museum"
"055","NIAGARA WEST--GLANBROOK","012","U","BINBROOK","1","10","104","4","64","0","0","53","0","0","0","0","236","497","Township of Glanbrook Municipal Service Centre"
"055","NIAGARA WEST--GLANBROOK","013","U","MOUNT HOPE","3","4","89","2","43","0","0","29","0","0","2","0","172","385","Canadian Warplane Heritage Museum"
"055","NIAGARA WEST--GLANBROOK","014","U","MOUNT HOPE","1","5","85","1","76","0","1","78","1","1","0","0","249","591","Canadian Warplane Heritage Museum"
"055","NIAGARA WEST--GLANBROOK","015","U","MOUNT HOPE","0","5","81","1","60","0","1","36","1","0","0","0","185","542","Canadian Warplane Heritage Museum"
"055","NIAGARA WEST--GLANBROOK","016","U","MOUNT HOPE","0","4","73","2","46","0","0","15","0","1","0","0","141","336","Canadian Warplane Heritage Museum"
"055","NIAGARA WEST--GLANBROOK","017","U","BINBROOK","1","3","82","0","51","0","1","58","0","0","0","0","196","453","Township of Glanbrook Municipal Service Centre"
"055","NIAGARA WEST--GLANBROOK","018","U","STONEY CREEK","1","1","65","1","63","0","0","55","2","0","0","0","188","458","Salvation Army Winterberry Heights Church"
