"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","GÉLINAS","PERONI","RUSSELL","RYMA","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"056","NICKEL BELT","001","U","FOLEYET","34","24","2","7","0","0","0","67","219","Foleyet Community Centre"
"056","NICKEL BELT","002","U","FOLEYET","..........................NO POLL HELD..........................","","","","","","","","",""
"056","NICKEL BELT","003","U","GOGAMA","21","6","2","5","0","0","0","34","88","Mattagami Community Centre"
"056","NICKEL BELT","004","U","GOGAMA","30","5","2","13","0","0","0","50","133","Gogama Community Centre"
"056","NICKEL BELT","005","U","GOGAMA","55","6","0","20","0","0","0","81","192","Gogama Community Centre"
"056","NICKEL BELT","006","U","SHINING TREE","6","4","0","0","0","0","0","10","12","M. W. Moore Public School"
"056","NICKEL BELT","007","U","WESTREE",".......................COMBINED WITH POLL 008.......................","","","","","","","","","Pierrette Quenneville Residence"
"056","NICKEL BELT","008","U","BISCOTASING","50","12","4","6","0","0","0","72","75","Biscotasing Community Centre"
"056","NICKEL BELT","009","U","CARTIER","102","26","8","28","0","0","0","164","271","Cartier Community Centre"
"056","NICKEL BELT","010","U","LEVACK","35","7","1","7","0","0","0","50","138","Levack Public School"
"056","NICKEL BELT","011","U","LEVACK","90","30","3","10","1","0","0","134","278","Levack Public School"
"056","NICKEL BELT","012","U","LEVACK","82","17","1","7","0","0","0","107","315","Levack Public School"
"056","NICKEL BELT","013","U","LEVACK","64","21","1","13","0","0","0","99","258","Levack Public School"
"056","NICKEL BELT","014","U","ONAPING","73","35","0","19","0","0","0","127","313","Onaping Community Centre"
"056","NICKEL BELT","015","U","ONAPING","96","26","5","31","0","0","0","158","346","Onaping Community Centre"
"056","NICKEL BELT","016","U","DOWLING","69","31","3","15","0","0","0","118","291","Dowling Leisure Centre"
"056","NICKEL BELT","017","U","DOWLING","73","23","0","21","0","1","0","118","295","Dowling Leisure Centre"
"056","NICKEL BELT","018","U","DOWLING","93","42","4","23","0","0","0","162","380","Dowling Leisure Centre"
"056","NICKEL BELT","019","U","DOWLING","96","37","3","21","0","0","0","157","364","Dowling Leisure Centre"
"056","NICKEL BELT","020","U","DOWLING","101","32","1","26","1","0","0","161","428","Dowling Leisure Centre"
"056","NICKEL BELT","021","U","DOWLING","74","13","5","29","0","1","0","122","312","Dowling Leisure Centre"
"056","NICKEL BELT","022","U","CHELMSFORD","62","17","9","26","0","0","0","114","275","Club 50"
"056","NICKEL BELT","023","U","CHELMSFORD","85","9","5","31","0","0","0","130","453","Club 50"
"056","NICKEL BELT","024","U","CHELMSFORD","91","7","2","8","0","0","0","108","298","Club 50"
"056","NICKEL BELT","025","U","CHELMSFORD","78","16","3","16","0","0","0","113","323","Club 50"
"056","NICKEL BELT","026","U","CHELMSFORD","57","9","5","11","0","0","0","82","232","Club 50"
"056","NICKEL BELT","027","U","CHELMSFORD","67","10","3","15","0","0","0","95","333","Club 50"
"056","NICKEL BELT","028","U","CHELMSFORD","29","7","1","15","0","0","0","52","165","Club 50"
"056","NICKEL BELT","029","U","CHELMSFORD","37","8","4","9","0","0","0","58","197","Club 50"
"056","NICKEL BELT","030","U","CHELMSFORD","108","19","2","51","0","1","0","181","413","Club 50"
"056","NICKEL BELT","031","U","CHELMSFORD","76","15","2","25","0","0","0","118","359","Club 50"
"056","NICKEL BELT","032","U","CHELMSFORD","66","10","1","17","0","1","0","95","273","Club 50"
"056","NICKEL BELT","033","U","CHELMSFORD","91","6","3","22","0","0","0","122","391","Club 50"
"056","NICKEL BELT","034","U","CHELMSFORD","82","15","3","39","0","0","0","139","353","Club 50"
"056","NICKEL BELT","035","U","CHELMSFORD","120","26","6","49","0","0","0","201","534","Club 50"
"056","NICKEL BELT","036","U","CHELMSFORD","39","18","5","21","0","0","0","83","258","Club 50"
"056","NICKEL BELT","037","U","CHELMSFORD","71","13","2","21","0","1","0","108","362","Club 50"
"056","NICKEL BELT","038","U","CHELMSFORD","73","11","1","33","0","0","0","118","373","Club 50"
"056","NICKEL BELT","039","U","CHELMSFORD","141","25","4","54","0","0","0","224","581","Club 50"
"056","NICKEL BELT","040","U","CHELMSFORD","131","32","2","64","1","0","0","230","594","Club 50"
"056","NICKEL BELT","041","U","AZILDA","75","26","1","30","1","0","0","133","412","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","042","U","AZILDA","68","28","6","32","0","0","0","134","357","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","043","U","AZILDA","73","24","1","21","0","0","0","119","319","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","044","U","AZILDA","73","24","3","27","1","0","0","128","274","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","045","U","AZILDA","70","17","2","27","0","0","0","116","248","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","046A","U","AZILDA","91","32","5","25","0","1","0","154","384","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","046B","U","AZILDA","105","22","3","43","0","1","1","175","383","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","047","U","AZILDA","104","11","0","50","2","0","0","167","309","Dr. Edgar Leclair Community Centre"
"056","NICKEL BELT","048","U","AZILDA","74","16","1","13","1","0","0","105","290","Dr. Edgar Leclair Community Centre"
