"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","FEDELI","GIROUX","HAIG","WHITING","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"057","NIPISSING","001","U","GARDEN VILLAGE","14","24","3","52","0","0","0","93","284","Nipissing First Nation"
"057","NIPISSING","002","U","NORTH BAY","64","90","2","57","0","0","2","215","526","Jocko Point Fire Hall"
"057","NIPISSING","003","U","NORTH BAY","21","23","2","53","0","0","0","99","360","N'Bisiing Education Centre"
"057","NIPISSING","004","U","NORTH BAY","49","33","4","34","1","0","0","121","401","J. W. Trusler Public School"
"057","NIPISSING","005","U","NORTH BAY","57","33","9","58","0","0","0","157","389","Governors House-Nipissing University"
"057","NIPISSING","006","U","NORTH BAY","111","27","5","31","0","0","0","174","409","Church of Jesus Christ of Latter Day Saints"
"057","NIPISSING","007","U","NORTH BAY","96","27","5","58","0","0","0","186","434","The Harbour"
"057","NIPISSING","008","U","NORTH BAY","128","20","7","94","1","1","0","251","463","The Harbour"
"057","NIPISSING","009","U","NORTH BAY","99","20","8","40","0","0","0","167","367","The Harbour"
"057","NIPISSING","010","U","NORTH BAY","82","15","14","39","0","0","0","150","310","The Harbour"
"057","NIPISSING","011","U","NORTH BAY","103","30","6","49","0","0","0","188","557","Church of Jesus Christ of Latter Day Saints"
"057","NIPISSING","012","U","NORTH BAY","53","12","2","20","0","0","0","87","162","Church of Jesus Christ of Latter Day Saints"
"057","NIPISSING","013","U","NORTH BAY","120","24","7","112","0","0","0","263","549","Church of Jesus Christ of Latter Day Saints"
"057","NIPISSING","014","U","NORTH BAY","105","23","5","62","0","0","0","195","399","Church of Jesus Christ of Latter Day Saints"
"057","NIPISSING","015","U","NORTH BAY","151","23","4","81","0","1","0","260","471","Vincent Massey Public School"
"057","NIPISSING","016","U","NORTH BAY","153","25","9","104","0","0","0","291","521","Vincent Massey Public School"
"057","NIPISSING","017","U","NORTH BAY","79","27","3","55","0","0","0","164","449","Calvary Pentecostal Temple"
"057","NIPISSING","018","U","NORTH BAY","128","32","6","78","0","0","0","244","483","J. W. Trusler Public School"
"057","NIPISSING","019","U","NORTH BAY","72","25","6","65","2","0","0","170","461","Founders House - Nipissing University"
"057","NIPISSING","020","U","NORTH BAY","14","17","7","10","1","0","0","49","77","Governors House-Nipissing University"
"057","NIPISSING","021","U","NORTH BAY","27","30","14","45","0","1","0","117","228","Founders House - Nipissing University"
"057","NIPISSING","022","U","NORTH BAY","105","28","6","67","0","0","0","206","439","St. Alexander Separate School"
"057","NIPISSING","023","U","NORTH BAY","70","27","3","45","1","0","0","146","426","St. Alexander Separate School"
"057","NIPISSING","024","U","NORTH BAY","73","22","4","75","0","0","1","175","342","St. Alexander Separate School"
"057","NIPISSING","025","U","NORTH BAY","32","25","4","20","0","0","0","81","361","J. W. Trusler Public School"
"057","NIPISSING","026","U","NORTH BAY","85","25","12","55","1","0","0","178","488","J. W. Trusler Public School"
"057","NIPISSING","027","U","NORTH BAY","94","49","6","55","1","0","0","205","602","École St. Paul"
"057","NIPISSING","028","U","NORTH BAY","67","32","7","71","0","0","0","177","461","École St. Paul"
"057","NIPISSING","029","U","NORTH BAY","122","30","7","65","2","0","0","226","500","École St. Paul"
"057","NIPISSING","030","U","NORTH BAY","79","44","7","63","1","0","0","194","474","St. Alexander Separate School"
"057","NIPISSING","031","U","NORTH BAY","106","45","14","88","1","1","0","255","478","St. Alexander Separate School"
"057","NIPISSING","032","U","NORTH BAY","51","8","3","33","0","0","0","95","328","Mother St Bride School"
"057","NIPISSING","033","U","NORTH BAY","103","31","12","81","0","0","0","227","472","Mother St Bride School"
"057","NIPISSING","034","U","NORTH BAY","63","31","2","35","0","0","0","131","348","Calvary Pentecostal Temple"
"057","NIPISSING","035","U","NORTH BAY","95","40","2","47","0","0","0","184","456","Calvary Pentecostal Temple"
"057","NIPISSING","036","U","NORTH BAY","86","34","2","42","1","0","0","165","436","Calvary Pentecostal Temple"
"057","NIPISSING","037","U","NORTH BAY","79","41","3","30","0","0","0","153","466","E. T. Carmichael Public School"
"057","NIPISSING","038","U","NORTH BAY","130","31","4","77","2","0","0","244","453","E. T. Carmichael Public School"
"057","NIPISSING","039","U","NORTH BAY","114","29","9","60","1","0","0","213","449","W. J. Fricker Public School"
"057","NIPISSING","040","U","NORTH BAY","86","39","5","65","0","0","0","195","472","W. J. Fricker Public School"
"057","NIPISSING","041","U","NORTH BAY","74","29","6","33","0","0","0","142","365","W. J. Fricker Public School"
"057","NIPISSING","042","U","NORTH BAY","82","20","4","57","2","0","0","165","375","W. J. Fricker Public School"
"057","NIPISSING","043","U","NORTH BAY","84","29","5","56","0","2","0","176","430","The Elks Club"
"057","NIPISSING","044","U","NORTH BAY","109","26","3","73","0","0","0","211","554","The Elks Club"
"057","NIPISSING","045","U","NORTH BAY","50","38","1","33","1","0","0","123","372","St. Joseph Scollard Hall Secondary School"
"057","NIPISSING","046","U","NORTH BAY","60","55","5","47","1","0","0","168","413","St. Joseph Scollard Hall Secondary School"
"057","NIPISSING","047","U","NORTH BAY","72","43","6","41","1","0","0","163","457","St. Joseph Scollard Hall Secondary School"
"057","NIPISSING","048","U","NORTH BAY","73","37","4","28","0","0","1","143","459","St. Joseph Scollard Hall Secondary School"
"057","NIPISSING","049","U","NORTH BAY","68","30","6","42","0","0","0","146","425","St. Joseph Scollard Hall Secondary School"
"057","NIPISSING","050","U","NORTH BAY","28","21","6","24","1","0","0","80","312","St. Joseph Scollard Hall Secondary School"
"057","NIPISSING","051","U","NORTH BAY","68","48","1","47","0","0","0","164","466","Mother St Bride School"
"057","NIPISSING","052","U","NORTH BAY","59","46","9","52","0","0","0","166","520","Mother St Bride School"
"057","NIPISSING","053","U","NORTH BAY","65","42","10","52","0","0","0","169","455","Mother St Bride School"
"057","NIPISSING","054","U","NORTH BAY","25","28","2","28","1","0","0","84","330","Mother St Bride School"
"057","NIPISSING","055","U","NORTH BAY","75","42","10","57","0","0","0","184","511","École St. Vincent School"
"057","NIPISSING","056","U","NORTH BAY","47","34","4","35","2","0","0","122","419","École St. Vincent School"
"057","NIPISSING","057","U","NORTH BAY","60","51","1","70","0","0","0","182","471","École St. Vincent School"
"057","NIPISSING","058","U","NORTH BAY","64","42","6","53","0","0","0","165","470","École St. Vincent School"
"057","NIPISSING","059","U","NORTH BAY","65","20","15","46","2","2","0","150","550","North Bay City Hall"
"057","NIPISSING","060","U","NORTH BAY","35","23","3","24","1","0","0","86","415","North Bay City Hall"
"057","NIPISSING","061","U","NORTH BAY","77","45","6","47","0","1","0","176","473","Dr. Macdougall Public School"
"057","NIPISSING","062","U","NORTH BAY","69","31","4","28","0","0","0","132","473","Dr. Macdougall Public School"
"057","NIPISSING","063","U","NORTH BAY","82","23","12","51","0","2","0","170","583","St. John's Anglican Church"
"057","NIPISSING","064","U","NORTH BAY","66","37","9","29","0","0","0","141","481","Dr. Macdougall Public School"
"057","NIPISSING","065","U","NORTH BAY","72","28","3","30","0","0","0","133","380","E. W. Norman Public School"
"057","NIPISSING","066","U","NORTH BAY","86","34","1","53","1","0","0","175","517","The Elks Club"
"057","NIPISSING","067","U","NORTH BAY","53","23","1","40","0","0","0","117","403","E. W. Norman Public School"
"057","NIPISSING","068","U","NORTH BAY","72","46","3","45","0","0","0","166","439","E. W. Norman Public School"
"057","NIPISSING","069","U","NORTH BAY","64","40","5","30","0","0","0","139","419","E. W. Norman Public School"
"057","NIPISSING","070","U","NORTH BAY","91","27","6","59","2","0","0","185","395","John XXIII School"
"057","NIPISSING","071","U","NORTH BAY","126","21","9","82","0","0","0","238","425","John XXIII School"
"057","NIPISSING","072","U","NORTH BAY","43","35","4","24","0","0","0","106","373","John XXIII School"
"057","NIPISSING","073","U","NORTH BAY","115","21","8","73","1","0","0","218","414","John XXIII School"
"057","NIPISSING","074","U","EAST FERRIS","89","27","6","45","1","0","0","168","461","Ferris Glen Public School"
"057","NIPISSING","075","U","NORTH BAY","49","39","3","44","0","0","0","135","399","Tweedsmuir Public School"
"057","NIPISSING","076","U","NORTH BAY","80","18","8","59","3","1","0","169","410","Tweedsmuir Public School"
"057","NIPISSING","077","U","NORTH BAY","56","21","2","31","0","0","0","110","398","Tweedsmuir Public School"
"057","NIPISSING","078","U","NORTH BAY","60","27","7","46","0","3","0","143","490","St. Francis Separate School"
"057","NIPISSING","079","U","NORTH BAY","81","32","10","50","0","0","0","173","427","Tweedsmuir Public School"
"057","NIPISSING","080","U","NORTH BAY","105","33","5","62","0","0","0","205","460","St. Francis Separate School"
"057","NIPISSING","081","U","NORTH BAY","78","32","5","38","0","0","0","153","344","St. Francis Separate School"
"057","NIPISSING","082","U","NORTH BAY","99","31","5","53","0","0","0","188","398","Our Lady of Fatima School"
"057","NIPISSING","083","U","NORTH BAY","101","31","7","49","0","1","0","189","416","Our Lady of Fatima School"
"057","NIPISSING","084","U","NORTH BAY","50","23","5","19","0","0","0","97","312","Our Lady of Fatima School"
"057","NIPISSING","085","U","NORTH BAY","88","25","0","44","1","0","0","158","396","Our Lady of Fatima School"
"057","NIPISSING","086","U","NORTH BAY","53","19","2","43","0","1","0","118","390","Our Lady of Fatima School"
"057","NIPISSING","087","U","NORTH BAY","68","35","4","41","3","0","0","151","474","Marshall Park Public School"
"057","NIPISSING","088","U","NORTH BAY","77","17","4","35","1","0","0","134","374","Marshall Park Public School"
"057","NIPISSING","089","U","NORTH BAY","87","32","1","41","2","0","0","163","417","Silver Birches School"
"057","NIPISSING","090","U","NORTH BAY","45","23","4","40","0","0","0","112","327","Silver Birches School"
"057","NIPISSING","091","U","NORTH BAY","65","38","4","32","0","0","0","139","400","Silver Birches School"
"057","NIPISSING","092","U","NORTH BAY","58","17","3","22","2","0","0","102","322","Silver Birches School"
"057","NIPISSING","093","U","NORTH BAY","57","21","3","24","1","0","0","106","321","Marshall Park Public School"
"057","NIPISSING","094","U","NORTH BAY","51","45","6","48","0","0","0","150","461","Marshall Park Public School"
"057","NIPISSING","095","U","NORTH BAY","43","14","4","27","0","0","0","88","333","Silver Birches School"
"057","NIPISSING","096","U","NORTH BAY","42","27","5","29","0","0","0","103","406","Our Lady of Fatima School"
"057","NIPISSING","097","U","NORTH BAY","72","23","8","49","0","0","0","152","384","Silver Birches School"
"057","NIPISSING","098","U","NORTH BAY","78","15","3","29","1","0","0","126","443","Marshall Park Public School"
"057","NIPISSING","099","U","CALLANDER","65","29","4","44","1","0","0","143","331","Callander Community Centre"
"057","NIPISSING","100","U","EAST FERRIS","81","59","7","73","0","0","0","220","464","Ferris Glen Public School"
"057","NIPISSING","101","U","EAST FERRIS","113","31","14","49","0","0","0","207","402","Ferris Glen Public School"
"057","NIPISSING","102","U","ASTORVILLE","87","38","1","30","2","0","0","158","367","East Ferris Community Centre"
"057","NIPISSING","103","U","ASTORVILLE","63","30","4","58","1","0","0","156","379","East Ferris Community Centre"
"057","NIPISSING","104","U","ASTORVILLE","57","15","2","41","0","0","0","115","302","East Ferris Community Centre"
"057","NIPISSING","105","U","ASTORVILLE","115","55","8","58","2","0","0","238","501","East Ferris Community Centre"
"057","NIPISSING","106","U","ASTORVILLE","93","42","2","49","0","1","0","187","432","East Ferris Community Centre"
"057","NIPISSING","107","U","CALLANDER","114","20","8","40","0","0","0","182","436","Callander Legion Branch #445"
"057","NIPISSING","108","U","CALLANDER","92","28","7","32","2","0","0","161","355","Callander Legion Branch #445"
"057","NIPISSING","109","U","CALLANDER","113","47","3","50","0","0","0","213","495","Callander Community Centre"
"057","NIPISSING","110","U","CALLANDER","71","24","4","32","1","0","0","132","311","Callander Legion Branch #445"
"057","NIPISSING","111","U","CALLANDER","149","19","4","65","1","0","0","238","526","Callander Community Centre"
"057","NIPISSING","112","U","CALLANDER","100","24","5","40","0","0","0","169","370","Callander Community Centre"
"057","NIPISSING","113","U","CALLANDER","99","26","2","29","0","0","0","156","400","Callander Legion Branch #445"
"057","NIPISSING","114","U","NIPISSING","116","34","7","52","1","0","0","210","583","South Shore Education Centre"
"057","NIPISSING","115","U","NIPISSING","102","48","8","42","0","0","0","200","396","South Shore Education Centre"
"057","NIPISSING","116","U","COMMANDA","95","20","3","33","0","0","0","151","344","Commanda Community Centre"
"057","NIPISSING","117","U","POWASSAN","125","37","10","43","0","0","0","215","458","St. Gregory School"
"057","NIPISSING","118","U","TROUT CREEK","160","45","7","43","1","0","1","257","497","Trout Creek Friendship Senior Centre"
"057","NIPISSING","119","U","POWASSAN","87","19","4","27","0","0","0","137","401","St. Gregory School"
"057","NIPISSING","120","U","POWASSAN","73","27","3","27","1","0","0","131","319","Powassan Legion Branch 453"
"057","NIPISSING","121","U","POWASSAN","65","25","9","34","0","0","0","133","312","Powassan Legion Branch 453"
"057","NIPISSING","122","U","POWASSAN","129","38","10","38","2","0","0","217","515","Powassan Legion Branch 453"
"057","NIPISSING","123","U","POWASSAN","83","36","7","33","0","0","0","159","392","Chisholm Fire Hall"
"057","NIPISSING","124","U","POWASSAN","92","29","6","37","0","0","0","164","380","Chisholm Fire Hall"
"057","NIPISSING","125","U","BONFIELD","62","46","5","57","0","0","0","170","380","Ste. Bernadette Parish Hall"
"057","NIPISSING","126","U","BONFIELD","51","35","6","50","0","0","0","142","334","Ste. Bernadette Parish Hall"
"057","NIPISSING","127","U","RUTHERGLEN","70","34","3","44","0","1","0","152","317","St. Margaret Anglican Church"
"057","NIPISSING","128","U","RUTHERGLEN","58","31","0","36","0","0","0","125","313","St. Margaret Anglican Church"
"057","NIPISSING","129","U","BONFIELD","60","33","2","55","1","2","1","154","319","Ste. Bernadette Parish Hall"
"057","NIPISSING","130","U","REDBRIDGE","79","40","2","38","0","0","0","159","399","Phelps Central School"
"057","NIPISSING","131","U","REDBRIDGE","82","48","8","35","0","0","0","173","366","Phelps Central School"
"057","NIPISSING","132","U","MATTAWA","66","34","6","46","2","2","0","156","530","Mike Rodden Arena"
"057","NIPISSING","133","U","MATTAWA","41","15","2","16","0","0","1","75","258","Papineau-Cameron Township Office"
"057","NIPISSING","134","U","MATTAWA","66","24","11","43","1","0","0","145","390","Mike Rodden Arena"
"057","NIPISSING","135","U","MATTAWA","38","10","1","32","0","0","0","81","270","Mike Rodden Arena"
"057","NIPISSING","136","U","MATTAWA","50","27","2","44","2","1","0","126","453","Mike Rodden Arena"
"057","NIPISSING","137","U","MATTAWA","69","19","7","30","0","0","0","125","364","Mike Rodden Arena"
"057","NIPISSING","138","U","MATTAWA","49","17","4","12","0","0","0","82","249","Mike Rodden Arena"
"057","NIPISSING","139","U","MATTAWA","80","26","3","21","0","0","0","130","297","Calvin Township Hall"
"057","NIPISSING","140","U","TROUT CREEK","0","0","0","0","0","0","0","0","2","Trout Creek Friendship Senior Centre"
"057","NIPISSING","400","U","NORTH BAY","22","30","1","28","0","0","0","81","195","Regency Square"
"057","NIPISSING","401","U","NORTH BAY","66","15","2","24","5","2","0","114","142","Empire Living Centre Terrace Suites"
"057","NIPISSING","402","U","NORTH BAY","17","28","2","27","2","0","0","76","109","Golden Age Centre"
"057","NIPISSING","403","U","NORTH BAY","67","33","2","49","3","0","0","154","211","Castle Arms Apartments"
"057","NIPISSING","404","U","NORTH BAY","79","21","0","31","1","0","0","132","186","Onr Apartments"
"057","NIPISSING","405","U","NORTH BAY","20","20","0","29","0","0","0","69","166","Place Richelieu"
"057","NIPISSING","406","U","NORTH BAY","18","21","1","31","2","0","0","73","129","Edgewater Apartments"
"057","NIPISSING","700","U","NORTH BAY","26","14","0","55","1","3","0","99","207","St. Joseph's Motherhouse"
"057","NIPISSING","701","U","NORTH BAY","..........................NO POLL HELD..........................","","","","","","","","",""
"057","NIPISSING","702","U","NORTH BAY","75","23","7","72","2","5","0","184","496","Cassellholme for the Aged"
"057","NIPISSING","703","U","NORTH BAY",".......................COMBINED WITH POLL 702.......................","","","","","","","","","Sisters of the Assumption"
"057","NIPISSING","704","U","NORTH BAY","..........................NO POLL HELD..........................","","","","","","","","",""
"057","NIPISSING","705","U","CORBEIL","48","10","7","38","3","1","2","109","217","Nipissing Manor Nursing Care Centre"
"057","NIPISSING","706","U","POWASSAN","36","6","6","19","1","3","0","71","170","Eastholme Home for the Aged"
