"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","MCLARTY","MEES","MILLIGAN","RIEGER","RINALDI","SMITH TORRIE","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"058","NORTHUMBERLAND--QUINTE WEST","001","U","CAMPBELLFORD","0","22","37","0","25","1","0","0","0","85","261","Campbellford District High School"
"058","NORTHUMBERLAND--QUINTE WEST","002","U","CAMPBELLFORD","0","25","59","1","45","5","0","0","0","135","377","Campbellford District High School"
"058","NORTHUMBERLAND--QUINTE WEST","003","U","CAMPBELLFORD","1","28","70","0","44","3","0","0","0","146","466","Campbellford District High School"
"058","NORTHUMBERLAND--QUINTE WEST","004","U","CAMPBELLFORD","1","59","70","0","46","5","0","1","0","182","503","Campbellford District High School"
"058","NORTHUMBERLAND--QUINTE WEST","005","U","CAMPBELLFORD","0","40","82","1","40","9","0","0","0","172","395","St. John's United Church"
"058","NORTHUMBERLAND--QUINTE WEST","006","U","CAMPBELLFORD","1","29","52","0","42","1","0","0","0","125","261","St. John's United Church"
"058","NORTHUMBERLAND--QUINTE WEST","007","U","CAMPBELLFORD","0","17","23","0","26","2","0","0","0","68","248","Campbellford Community Resource Centre"
"058","NORTHUMBERLAND--QUINTE WEST","008","U","CAMPBELLFORD","0","15","58","0","40","3","0","0","0","116","310","St. John's United Church"
"058","NORTHUMBERLAND--QUINTE WEST","009","U","CAMPBELLFORD","2","49","84","0","60","5","0","0","0","200","516","St. John's United Church"
"058","NORTHUMBERLAND--QUINTE WEST","010","U","CAMPBELLFORD","1","38","40","0","31","2","0","2","0","114","265","Campbellford Community Resource Centre"
"058","NORTHUMBERLAND--QUINTE WEST","011","U","CAMPBELLFORD","1","18","38","0","40","7","2","0","0","106","331","Campbellford Community Resource Centre"
"058","NORTHUMBERLAND--QUINTE WEST","012","U","CAMPBELLFORD","2","23","54","0","31","1","0","0","0","111","280","Campbellford District High School"
"058","NORTHUMBERLAND--QUINTE WEST","013","U","CAMPBELLFORD","1","30","67","0","35","1","1","0","0","135","444","Campbellford District High School"
