"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BOELLING","HAITAS","JACZEK","LU","WASSEF","WHITFELD","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"059","OAK RIDGES--MARKHAM","001","U","SCHOMBERG","1","9","63","0","89","14","0","1","0","177","435","St. Patrick (Schomberg) Catholic Elementary School"
"059","OAK RIDGES--MARKHAM","002","U","SCHOMBERG","5","6","95","1","91","42","0","0","0","240","528","St. Patrick (Schomberg) Catholic Elementary School"
"059","OAK RIDGES--MARKHAM","003","U","SCHOMBERG","1","14","91","1","78","39","0","0","0","224","636","St. Patrick (Schomberg) Catholic Elementary School"
"059","OAK RIDGES--MARKHAM","004","U","SCHOMBERG","1","5","68","0","42","16","0","0","0","132","323","St. Patrick (Schomberg) Catholic Elementary School"
"059","OAK RIDGES--MARKHAM","005","U","SCHOMBERG","4","1","58","0","68","22","0","0","0","153","364","St. Patrick (Schomberg) Catholic Elementary School"
"059","OAK RIDGES--MARKHAM","006","U","SCHOMBERG","2","4","32","0","65","5","0","0","0","108","263","St. Patrick (Schomberg) Catholic Elementary School"
"059","OAK RIDGES--MARKHAM","007","U","SCHOMBERG","0","5","41","0","79","12","1","0","0","138","308","Kettleby Pottageville Lions Community Centre"
"059","OAK RIDGES--MARKHAM","008","U","SCHOMBERG","4","3","43","0","108","15","0","0","0","173","399","Kettleby Pottageville Lions Community Centre"
"059","OAK RIDGES--MARKHAM","009","U","SCHOMBERG","1","5","68","1","72","36","2","1","0","186","436","Kettleby Pottageville Lions Community Centre"
"059","OAK RIDGES--MARKHAM","010","U","SCHOMBERG","1","9","55","0","58","18","0","0","1","142","367","Kettleby Pottageville Lions Community Centre"
"059","OAK RIDGES--MARKHAM","011","U","SCHOMBERG","1","12","74","2","102","26","0","1","0","218","558","Kettleby Pottageville Lions Community Centre"
"059","OAK RIDGES--MARKHAM","012","U","KING CITY","2","3","70","2","64","16","1","0","0","158","445","King City Public School"
"059","OAK RIDGES--MARKHAM","013","U","KING CITY","2","13","84","1","99","24","0","0","1","224","570","King City Community Centre"
"059","OAK RIDGES--MARKHAM","014","U","NOBLETON","0","4","32","0","49","11","0","0","1","97","323","Nobleton Community Recreation Centre"
"059","OAK RIDGES--MARKHAM","015","U","NOBLETON","2","8","42","2","71","22","0","0","1","148","399","Nobleton Senior Public School"
"059","OAK RIDGES--MARKHAM","016","U","NOBLETON","3","6","61","0","54","27","1","0","0","152","407","Nobleton Senior Public School"
"059","OAK RIDGES--MARKHAM","017","U","NOBLETON","2","5","64","0","83","15","0","1","0","170","412","Nobleton Senior Public School"
"059","OAK RIDGES--MARKHAM","018","U","NOBLETON","2","3","61","0","51","22","0","0","0","139","365","Nobleton Senior Public School"
"059","OAK RIDGES--MARKHAM","019","U","NOBLETON","1","4","60","0","57","9","0","0","0","131","374","Nobleton Senior Public School"
