"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BANZUELA","CHLOBOWSKI","FLYNN","HARRIS","HUNTER","SCOTT","SPRAGUE","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"060","OAKVILLE","001","U","OAKVILLE","0","1","87","4","0","78","8","1","0","0","179","427","Maplegrove(Chisholm) Public School"
"060","OAKVILLE","002","U","OAKVILLE","1","2","94","4","0","107","12","0","0","2","222","443","Maplegrove(Chisholm) Public School"
"060","OAKVILLE","003","U","OAKVILLE","0","4","93","5","1","91","19","1","2","0","216","405","Maplegrove(Chisholm) Public School"
"060","OAKVILLE","004","U","OAKVILLE","1","6","126","3","0","89","1","0","0","1","227","439","Maplegrove(Chisholm) Public School"
"060","OAKVILLE","005","U","OAKVILLE","0","1","93","2","0","111","10","0","0","0","217","443","Maple Grove Public School"
"060","OAKVILLE","006","U","OAKVILLE","0","0","115","2","0","92","8","0","0","0","217","429","Maplegrove(Chisholm) Public School"
"060","OAKVILLE","007","U","OAKVILLE","0","1","94","4","2","80","19","0","0","0","200","388","Maple Grove Public School"
"060","OAKVILLE","008","U","OAKVILLE","0","2","75","4","0","65","9","0","0","0","155","348","Maple Grove Public School"
"060","OAKVILLE","009","U","OAKVILLE","2","4","98","1","0","93","5","0","0","0","203","413","Maplegrove(Chisholm) Public School"
"060","OAKVILLE","010","U","OAKVILLE","2","2","101","2","0","92","8","0","0","0","207","369","Maplegrove(Chisholm) Public School"
"060","OAKVILLE","011","U","OAKVILLE","0","7","81","1","0","91","15","0","0","0","195","379","Maplegrove(Chisholm) Public School"
"060","OAKVILLE","012","U","OAKVILLE","0","1","38","0","1","69","7","0","0","0","116","325","St. Cuthberts Anglican Church"
"060","OAKVILLE","013","U","OAKVILLE","0","0","68","5","0","114","7","2","0","0","196","441","St. Cuthberts Anglican Church"
"060","OAKVILLE","014","U","OAKVILLE","0","6","88","2","0","65","14","0","1","0","176","377","Maple Grove Public School"
"060","OAKVILLE","015","U","OAKVILLE","0","5","81","2","0","51","18","0","1","0","158","353","Maple Grove Public School"
"060","OAKVILLE","016","U","OAKVILLE","0","4","107","0","0","98","6","0","0","0","215","438","E. J. James"
"060","OAKVILLE","017","U","OAKVILLE","1","2","88","2","0","100","6","0","0","0","199","379","E. J. James"
"060","OAKVILLE","018","U","OAKVILLE","0","1","68","2","0","73","9","0","0","0","153","357","New Central Public School"
"060","OAKVILLE","019","U","OAKVILLE","1","5","62","1","0","85","4","0","0","0","158","367","E. J. James"
"060","OAKVILLE","020","U","OAKVILLE","0","4","95","0","0","67","3","0","0","0","169","359","Linbrook Public School"
"060","OAKVILLE","021","U","OAKVILLE","0","1","98","5","0","89","14","0","0","0","207","409","Linbrook Public School"
"060","OAKVILLE","022","U","OAKVILLE","0","2","65","1","0","76","5","0","0","0","149","352","New Central Public School"
"060","OAKVILLE","023","U","OAKVILLE","1","3","111","1","0","57","9","0","0","0","182","363","Linbrook Public School"
"060","OAKVILLE","024","U","OAKVILLE","2","2","58","0","0","40","5","0","0","0","107","267","Linbrook Public School"
"060","OAKVILLE","025","U","OAKVILLE","0","2","104","0","0","93","7","0","0","0","206","409","New Central Public School"
"060","OAKVILLE","026","U","OAKVILLE","3","2","88","2","1","58","8","0","0","0","162","348","New Central Public School"
"060","OAKVILLE","027","U","OAKVILLE","0","7","110","6","0","60","15","0","0","1","199","391","New Central Public School"
"060","OAKVILLE","028","U","OAKVILLE","1","6","47","1","1","69","5","0","0","0","130","291","St. Judes Anglican Church"
"060","OAKVILLE","029","U","OAKVILLE","0","2","52","0","0","45","13","0","1","0","113","255","New Central Public School"
"060","OAKVILLE","030","U","OAKVILLE","0","5","109","5","1","83","15","0","1","0","219","429","St. Judes Anglican Church"
"060","OAKVILLE","031","U","OAKVILLE","1","0","23","1","0","21","9","0","0","0","55","209","St. Judes Anglican Church"
"060","OAKVILLE","032","U","OAKVILLE","0","3","47","0","0","49","6","0","0","0","105","195","St. Judes Anglican Church"
"060","OAKVILLE","033","U","OAKVILLE","1","2","41","0","1","47","13","0","0","0","105","272","St. Judes Anglican Church"
"060","OAKVILLE","034","U","OAKVILLE","1","3","67","4","0","41","11","0","0","0","127","301","Oakville Arena - Pine Room"
"060","OAKVILLE","035","U","OAKVILLE","1","4","37","1","1","36","16","0","0","0","96","199","Oakville Arena - Pine Room"
