"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BELANGER","FUDGE","LEADBETTER","MENEZES","OUELLETTE","SHIELDS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"061","OSHAWA","001","U","OSHAWA","2","1","6","47","74","41","3","0","0","174","495","Camp Samac"
"061","OSHAWA","002","U","OSHAWA","2","0","6","44","60","66","1","0","0","179","472","Camp Samac"
"061","OSHAWA","003","U","OSHAWA","1","1","0","68","111","76","0","0","0","257","532","Camp Samac"
"061","OSHAWA","004","U","OSHAWA","1","0","0","45","100","65","0","0","1","212","436","Kedron United Church"
"061","OSHAWA","005","U","OSHAWA","5","0","4","45","72","43","1","0","0","170","485","Sherwood Public School"
"061","OSHAWA","006","U","OSHAWA","6","1","5","73","127","79","0","0","1","292","606","St. John Bosco Catholic School"
"061","OSHAWA","007A","U","OSHAWA","2","1","4","51","101","31","1","0","0","191","464","Legends Centre"
"061","OSHAWA","007B","U","OSHAWA","2","0","6","35","76","39","0","1","0","159","412","Legends Centre"
"061","OSHAWA","008","U","OSHAWA","0","0","5","49","65","31","0","0","0","150","412","Legends Centre"
"061","OSHAWA","009","U","OSHAWA","5","1","5","30","109","48","0","0","0","198","425","Camp Samac"
"061","OSHAWA","010","U","OSHAWA","2","0","4","40","83","51","0","0","0","180","432","Kedron United Church"
"061","OSHAWA","011","U","OSHAWA","3","1","0","53","77","53","1","0","1","189","459","Kedron United Church"
"061","OSHAWA","012A","U","OSHAWA","2","2","5","43","51","48","1","1","0","153","367","Kedron United Church"
"061","OSHAWA","012B","U","OSHAWA","1","0","1","31","73","37","0","0","0","143","368","Kedron United Church"
"061","OSHAWA","013","U","OSHAWA","3","1","1","23","54","55","0","0","0","137","447","Father Venini Catholic School"
"061","OSHAWA","014","U","OSHAWA","1","0","0","45","63","53","2","0","0","164","379","Sherwood Public School"
"061","OSHAWA","015","U","OSHAWA","4","0","1","42","72","39","0","0","0","158","403","Sherwood Public School"
