"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CHAPMAN","DEKKER","NAIDOO","NAQVI","O'DONNELL","RYAN","ZEITHAMMEL","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"062","OTTAWA CENTRE","001","U","OTTAWA","0","22","47","89","5","1","2","0","0","0","166","398","Église Dominion Chalmers Church"
"062","OTTAWA CENTRE","002","U","OTTAWA","3","20","56","58","7","0","1","1","0","0","146","532","Église Presbytérienne Knox Presbyterian Church"
"062","OTTAWA CENTRE","003","U","OTTAWA","2","14","76","77","7","0","3","0","0","0","179","499","Église Dominion Chalmers Church"
"062","OTTAWA CENTRE","004","U","OTTAWA","0","17","82","114","9","0","1","0","0","1","224","498","Église Presbytérienne Knox Presbyterian Church"
"062","OTTAWA CENTRE","005","U","OTTAWA","1","16","30","66","5","0","1","0","0","0","119","272","Église Presbytérienne Knox Presbyterian Church"
"062","OTTAWA CENTRE","006","U","OTTAWA","1","44","63","120","11","1","2","0","1","0","243","504","Ottawa City Hall/Hôtel de Ville d' Ottawa"
"062","OTTAWA CENTRE","007","U","OTTAWA","1","17","57","80","7","1","0","0","0","0","163","365","Ottawa City Hall/Hôtel de Ville d' Ottawa"
"062","OTTAWA CENTRE","008","U","OTTAWA","0","22","52","110","14","0","2","0","1","0","201","477","Ottawa City Hall/Hôtel de Ville d' Ottawa"
"062","OTTAWA CENTRE","009","U","OTTAWA","0","37","55","124","14","1","2","0","0","0","233","508","Ottawa Police Service"
"062","OTTAWA CENTRE","010","U","OTTAWA","1","21","52","80","10","1","0","0","0","0","165","399","Ottawa City Hall/Hôtel de Ville d' Ottawa"
"062","OTTAWA CENTRE","011","U","OTTAWA","0","28","39","127","10","0","0","0","0","0","204","433","Ottawa City Hall/Hôtel de Ville d' Ottawa"
"062","OTTAWA CENTRE","012","U","OTTAWA","0","15","38","61","4","0","1","0","0","0","119","334","Centre Communautaire Jack Purcell Community Centre"
"062","OTTAWA CENTRE","013","U","OTTAWA","1","15","64","85","15","0","1","2","1","0","184","435","Centre Communautaire Jack Purcell Community Centre"
"062","OTTAWA CENTRE","014","U","OTTAWA","0","20","83","95","15","1","1","2","0","0","217","534","Centre Communautaire Jack Purcell Community Centre"
"062","OTTAWA CENTRE","015","U","OTTAWA","0","12","79","53","6","0","0","1","0","0","151","361","Centre Communautaire Jack Purcell Community Centre"
"062","OTTAWA CENTRE","016","U","OTTAWA","1","17","96","80","8","1","2","0","1","0","206","561","Ottawa Police Service"
"062","OTTAWA CENTRE","017","U","OTTAWA","2","18","64","67","4","0","0","0","1","0","156","432","Centre Communautaire Jack Purcell Community Centre"
"062","OTTAWA CENTRE","018","U","OTTAWA","1","17","69","85","5","0","1","1","0","0","179","422","Église Dominion Chalmers Church"
"062","OTTAWA CENTRE","019","U","OTTAWA","1","22","85","86","12","0","1","0","0","1","208","500","Église Dominion Chalmers Church"
"062","OTTAWA CENTRE","020","U","OTTAWA","2","80","75","174","9","2","2","0","0","0","344","759","Cathédrale Christ Church Cathedral"
"062","OTTAWA CENTRE","021","U","OTTAWA","2","31","51","128","4","0","2","2","0","0","220","585","Cathédrale Christ Church Cathedral"
"062","OTTAWA CENTRE","022","U","OTTAWA","2","30","41","80","10","1","0","0","0","0","164","413","Cathédrale Christ Church Cathedral"
"062","OTTAWA CENTRE","023","U","OTTAWA","0","30","82","104","10","1","0","0","0","0","227","560","École publique Centennial Public School"
"062","OTTAWA CENTRE","024","U","OTTAWA","1","25","77","85","10","2","2","0","0","0","202","515","École publique Centennial Public School"
"062","OTTAWA CENTRE","025","U","OTTAWA","5","52","93","153","12","1","1","0","0","0","317","733","Centretown Community Health Centre"
"062","OTTAWA CENTRE","026","U","OTTAWA","1","31","85","75","7","2","3","1","0","0","205","427","Centretown Community Health Centre"
"062","OTTAWA CENTRE","027","U","OTTAWA","0","15","71","39","8","0","0","1","0","0","134","387","Centre Communautaire McNabb Community Centre"
"062","OTTAWA CENTRE","028","U","OTTAWA","1","17","82","83","13","0","1","1","0","0","198","533","Centretown Community Health Centre"
"062","OTTAWA CENTRE","029","U","OTTAWA","2","26","65","70","7","0","5","2","1","0","178","472","Église St. Barnabas Church"
"062","OTTAWA CENTRE","030","U","OTTAWA","0","23","95","104","9","2","0","0","0","0","233","489","Centre Communautaire McNabb Community Centre"
"062","OTTAWA CENTRE","031","U","OTTAWA","3","15","95","76","13","1","0","0","0","0","203","486","Église St. Barnabas Church"
"062","OTTAWA CENTRE","032","U","OTTAWA","2","20","82","92","7","0","1","0","0","1","205","458","Centre Communautaire McNabb Community Centre"
"062","OTTAWA CENTRE","033","U","OTTAWA","1","20","91","94","13","0","0","2","0","0","221","569","Église St. Barnabas Church"
"062","OTTAWA CENTRE","034","U","OTTAWA","0","30","100","122","13","2","0","2","0","0","269","602","Centre Communautaire McNabb Community Centre"
"062","OTTAWA CENTRE","035","U","OTTAWA","0","20","78","96","11","1","1","1","1","1","210","541","Église St. Barnabas Church"
"062","OTTAWA CENTRE","036","U","OTTAWA","0","19","85","61","8","1","2","0","0","0","176","519","Centre Communautaire McNabb Community Centre"
"062","OTTAWA CENTRE","037","U","OTTAWA","1","36","111","60","7","2","1","2","0","0","220","589","Église Ottawa Korean Community Church"
"062","OTTAWA CENTRE","038","U","OTTAWA","2","42","73","80","8","0","1","5","0","0","211","437","Centre Communautaire Dalhousie Community Centre"
"062","OTTAWA CENTRE","039","U","OTTAWA","1","16","88","84","7","1","1","2","0","0","200","484","Centre Communautaire Dalhousie Community Centre"
"062","OTTAWA CENTRE","040","U","OTTAWA","1","12","101","66","7","2","1","1","0","1","192","400","Centre Communautaire Dalhousie Community Centre"
"062","OTTAWA CENTRE","041","U","OTTAWA","0","11","66","82","3","0","1","1","1","0","165","384","Centre Communautaire Dalhousie Community Centre"
"062","OTTAWA CENTRE","042","U","OTTAWA","3","25","68","62","5","1","0","1","0","1","166","452","Centre Communautaire Dalhousie Community Centre"
"062","OTTAWA CENTRE","043","U","OTTAWA","4","32","80","75","5","1","1","0","0","0","198","503","Église St. Anthony's Church"
"062","OTTAWA CENTRE","044","U","OTTAWA","1","18","56","45","5","1","2","1","1","0","130","477","Église Ottawa Chinese Alliance Church"
"062","OTTAWA CENTRE","045","U","OTTAWA","1","18","70","56","14","2","0","2","0","0","163","513","Église Ottawa Chinese Alliance Church"
"062","OTTAWA CENTRE","046","U","OTTAWA","0","13","78","56","17","1","2","0","0","0","167","538","Église Ottawa Chinese Alliance Church"
"062","OTTAWA CENTRE","047","U","OTTAWA","1","23","46","65","11","0","3","0","1","1","151","442","Église St. Anthony's Church"
"062","OTTAWA CENTRE","048","U","OTTAWA","0","13","56","26","8","3","0","0","0","0","106","382","Église Ottawa Korean Community Church"
"062","OTTAWA CENTRE","049","U","OTTAWA","0","25","29","59","7","1","2","0","0","0","123","313","Église German Martin Luther Church"
"062","OTTAWA CENTRE","050","U","OTTAWA","2","28","37","41","13","0","1","0","0","0","122","324","Église German Martin Luther Church"
"062","OTTAWA CENTRE","051","U","OTTAWA","0","11","45","51","9","1","1","1","0","0","119","382","Église St. Anthony's Church"
"062","OTTAWA CENTRE","052","U","OTTAWA","1","22","59","80","7","1","0","1","0","1","172","471","Église Ottawa Korean Community Church"
"062","OTTAWA CENTRE","053","U","OTTAWA","0","20","49","59","10","2","0","0","1","0","141","433","Église Ottawa Korean Community Church"
"062","OTTAWA CENTRE","054","U","OTTAWA","1","31","45","114","3","1","3","1","0","0","199","408","Centre Communautaire Glebe Community Centre"
"062","OTTAWA CENTRE","055","U","OTTAWA","0","26","50","110","2","1","0","0","0","1","190","342","Centre Communautaire Glebe Community Centre"
"062","OTTAWA CENTRE","056","U","OTTAWA","0","27","30","90","10","0","1","0","0","0","158","365","Centre Communautaire Glebe Community Centre"
"062","OTTAWA CENTRE","057","U","OTTAWA","1","31","41","115","12","0","0","0","0","0","200","413","Église St. Giles Presbyterian Church"
"062","OTTAWA CENTRE","058","U","OTTAWA","1","31","86","131","13","1","0","0","0","0","263","498","École publique First Avenue Public School"
"062","OTTAWA CENTRE","059","U","OTTAWA","1","26","43","76","9","1","2","0","0","0","158","390","École secondaire Immaculata High School"
"062","OTTAWA CENTRE","060","U","OTTAWA","1","48","32","88","5","0","0","0","0","0","174","391","École secondaire Immaculata High School"
"062","OTTAWA CENTRE","061","U","OTTAWA","0","26","32","99","6","0","2","0","0","0","165","450","École secondaire Immaculata High School"
"062","OTTAWA CENTRE","062","U","OTTAWA","3","37","64","99","8","1","4","0","0","0","216","546","École secondaire Immaculata High School"
"062","OTTAWA CENTRE","063","U","OTTAWA","2","23","49","67","18","0","1","0","0","0","160","401","École secondaire Immaculata High School"
"062","OTTAWA CENTRE","064","U","OTTAWA","2","24","58","101","21","0","0","1","0","0","207","440","Université St. Paul University"
"062","OTTAWA CENTRE","065","U","OTTAWA","1","46","63","143","7","0","0","1","0","1","262","459","Université St. Paul University"
"062","OTTAWA CENTRE","066","U","OTTAWA","0","22","59","108","14","1","0","1","0","0","205","380","Université St. Paul University"
"062","OTTAWA CENTRE","067","U","OTTAWA","0","35","58","124","7","0","0","0","0","0","224","490","Université St. Paul University"
"062","OTTAWA CENTRE","068","U","OTTAWA","0","43","69","120","7","0","1","0","0","0","240","441","Université St. Paul University"
"062","OTTAWA CENTRE","069","U","OTTAWA","0","44","56","120","5","0","0","0","0","0","225","409","Église St. Margaret Mary's Church"
"062","OTTAWA CENTRE","070","U","OTTAWA","1","37","60","152","7","0","0","0","0","0","257","446","Église St. Margaret Mary's Church"
"062","OTTAWA CENTRE","071","U","OTTAWA","1","13","87","138","8","1","0","0","0","0","248","407","Église St. Margaret Mary's Church"
"062","OTTAWA CENTRE","072","U","OTTAWA","0","18","76","140","14","2","0","0","0","0","250","538","Église St. Margaret Mary's Church"
"062","OTTAWA CENTRE","073","U","OTTAWA","1","62","53","175","8","1","1","0","0","0","301","529","The King's Daughters and Sons Apartments"
"062","OTTAWA CENTRE","074","U","OTTAWA","0","35","56","102","11","0","0","0","1","0","205","436","Centre Communautaire Glebe Community Centre"
"062","OTTAWA CENTRE","075","U","OTTAWA","1","37","50","122","10","0","3","0","0","0","223","453","École Corpus Christi School"
"062","OTTAWA CENTRE","076","U","OTTAWA","2","35","39","116","10","1","0","0","0","0","203","437","Centre Communautaire Glebe Community Centre"
"062","OTTAWA CENTRE","077","U","OTTAWA","0","26","86","133","9","1","1","1","0","0","257","542","Centre Communautaire Glebe Community Centre"
"062","OTTAWA CENTRE","078","U","OTTAWA","0","40","83","141","13","0","1","0","0","2","280","553","Église St. Giles Presbyterian Church"
"062","OTTAWA CENTRE","079","U","OTTAWA","0","48","33","136","8","0","2","0","0","0","227","418","École publique First Avenue Public School"
"062","OTTAWA CENTRE","080","U","OTTAWA","0","21","57","118","9","0","0","0","0","0","205","436","Église St. Giles Presbyterian Church"
"062","OTTAWA CENTRE","081","U","OTTAWA","0","14","86","112","7","2","0","1","0","0","222","467","École Corpus Christi School"
"062","OTTAWA CENTRE","082","U","OTTAWA","1","19","87","144","29","3","1","2","0","0","286","567","École Corpus Christi School"
"062","OTTAWA CENTRE","083","U","OTTAWA","0","21","61","106","7","1","0","0","0","0","196","447","Église St. Giles Presbyterian Church"
"062","OTTAWA CENTRE","084","U","OTTAWA","0","34","59","147","15","0","1","0","0","1","257","493","École Corpus Christi School"
"062","OTTAWA CENTRE","085","U","OTTAWA","0","26","46","76","7","1","0","2","0","0","158","362","École Corpus Christi School"
"062","OTTAWA CENTRE","086","U","OTTAWA","2","43","78","120","9","0","0","1","0","0","253","513","École publique First Avenue Public School"
"062","OTTAWA CENTRE","087","U","OTTAWA","1","29","88","118","22","2","1","0","1","0","262","492","École publique Hopewell Avenue Public School"
"062","OTTAWA CENTRE","088","U","OTTAWA","3","30","72","159","13","0","2","1","0","0","280","514","École publique Hopewell Avenue Public School"
"062","OTTAWA CENTRE","089","U","OTTAWA","1","31","79","171","7","0","1","0","0","0","290","519","École publique Hopewell Avenue Public School"
"062","OTTAWA CENTRE","090","U","OTTAWA","1","24","113","142","10","1","1","0","0","0","292","539","École publique Hopewell Avenue Public School"
"062","OTTAWA CENTRE","091","U","OTTAWA","1","35","96","118","14","1","0","0","1","0","266","502","Piscine Brewer Park Pool"
"062","OTTAWA CENTRE","092","U","OTTAWA","0","42","66","146","14","0","1","1","0","0","270","488","Piscine Brewer Park Pool"
"062","OTTAWA CENTRE","093A","U","OTTAWA","..........................NO POLL HELD..........................","","","","","","","","","","","",""
"062","OTTAWA CENTRE","093B","U","OTTAWA","2","39","91","60","11","0","5","1","0","0","209","318","Université Carleton University - Fenn Lounge"
"062","OTTAWA CENTRE","093C","U","OTTAWA","2","9","38","28","9","1","1","0","0","0","88","353","Université Carleton University - Fenn Lounge"
"062","OTTAWA CENTRE","093D","U","OTTAWA","0","4","15","17","3","1","0","0","0","0","40","215","Université Carleton University - Fenn Lounge"
"062","OTTAWA CENTRE","093E","U","OTTAWA","0","16","48","31","6","2","1","1","0","0","105","365","Université Carleton University - Fenn Lounge"
"062","OTTAWA CENTRE","094","U","OTTAWA","1","21","52","46","8","1","2","1","0","0","132","394","Pushkin Centre - St. Vladimir's Residence"
