"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","GUTMANIS","LISTER","MCGRUER","MCKERCHER","MCNEELY","PAUL","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"063","OTTAWA--ORLÉANS","001","U","OTTAWA","7","62","1","17","101","0","0","2","0","190","351","Gloucester High School"
"063","OTTAWA--ORLÉANS","002","U","OTTAWA","5","73","1","33","72","0","0","0","0","184","363","Gloucester High School"
"063","OTTAWA--ORLÉANS","003","U","OTTAWA","3","46","0","23","76","1","0","1","0","150","406","Gloucester High School"
"063","OTTAWA--ORLÉANS","004","U","OTTAWA","8","70","2","23","123","0","0","0","0","226","507","Gloucester High School"
"063","OTTAWA--ORLÉANS","005","U","OTTAWA","1","37","0","10","23","2","0","0","0","73","169","Lester B. Pearson High School"
"063","OTTAWA--ORLÉANS","006","U","OTTAWA","6","61","0","16","85","0","1","0","0","169","324","Gloucester High School"
"063","OTTAWA--ORLÉANS","007","U","OTTAWA","1","76","2","27","98","2","0","1","0","207","386","Gloucester High School"
"063","OTTAWA--ORLÉANS","008","U","OTTAWA","13","50","3","26","49","0","0","1","0","142","407","Lester B. Pearson High School"
"063","OTTAWA--ORLÉANS","009","U","OTTAWA","3","51","0","19","62","0","1","0","0","136","372","Lester B. Pearson High School"
"063","OTTAWA--ORLÉANS","010","U","OTTAWA","9","60","1","30","45","3","0","0","0","148","501","Lester B. Pearson High School"
"063","OTTAWA--ORLÉANS","011","U","OTTAWA","8","44","2","24","83","1","0","0","0","162","365","Lester B. Pearson High School"
"063","OTTAWA--ORLÉANS","012","U","OTTAWA","3","75","2","24","59","0","0","0","0","163","439","Lester B. Pearson High School"
"063","OTTAWA--ORLÉANS","013","U","OTTAWA","6","113","24","0","114","0","1","0","0","258","466","Convent Glen Catholic School"
