"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BRISSON","FARAH","MACDONALD","MCGUINTY","MIHAYCHUK","REDINS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"064","OTTAWA SOUTH","001","U","OTTAWA","0","47","76","80","6","1","0","0","0","210","486","Riverview Park Church of Christ"
"064","OTTAWA SOUTH","002","U","OTTAWA","2","20","46","40","3","1","0","0","0","112","304","Senhor Santo Cristo Portuguese Church"
"064","OTTAWA SOUTH","003","U","OTTAWA","1","30","31","30","4","2","0","0","0","98","292","École Lycee Claudel"
"064","OTTAWA SOUTH","004","U","OTTAWA","1","21","60","85","6","2","0","0","0","175","412","École Lycee Claudel"
"064","OTTAWA SOUTH","005","U","OTTAWA","0","13","18","48","3","0","0","0","0","82","234","École Lycee Claudel"
"064","OTTAWA SOUTH","006","U","OTTAWA","0","34","32","107","11","0","0","0","0","184","532","Riverview Alternative School"
"064","OTTAWA SOUTH","007","U","OTTAWA","1","23","21","39","4","0","0","0","0","88","465","Riverview Alternative School"
"064","OTTAWA SOUTH","008","U","OTTAWA","0","31","58","112","5","1","1","0","0","208","380","Riverview Alternative School"
"064","OTTAWA SOUTH","009","U","OTTAWA","1","35","51","139","6","1","2","1","0","236","437","Riverview Alternative School"
"064","OTTAWA SOUTH","010","U","OTTAWA","0","40","44","89","10","0","1","0","0","184","457","Riverview Alternative School"
"064","OTTAWA SOUTH","011","U","OTTAWA","1","41","68","147","13","0","3","0","0","273","461","Riverview Park Church of Christ"
"064","OTTAWA SOUTH","012","U","OTTAWA","1","20","44","72","8","0","0","0","0","145","292","Riverview Park Church of Christ"
"064","OTTAWA SOUTH","013","U","OTTAWA","0","24","72","132","12","0","0","0","0","240","432","Riverview Park Church of Christ"
"064","OTTAWA SOUTH","014","U","OTTAWA","0","9","58","52","5","0","0","0","0","124","324","Riverview Park Church of Christ"
"064","OTTAWA SOUTH","015","U","OTTAWA","1","22","60","92","15","2","1","0","0","193","427","Dempsey Community Centre"
"064","OTTAWA SOUTH","016","U","OTTAWA","0","27","19","62","2","1","1","0","0","112","419","Dempsey Community Centre"
"064","OTTAWA SOUTH","017","U","OTTAWA","1","13","25","54","4","0","2","0","0","99","324","Dempsey Community Centre"
"064","OTTAWA SOUTH","018","U","OTTAWA","1","27","59","183","9","0","1","0","0","280","491","Oakpark Retirement Community"
"064","OTTAWA SOUTH","019","U","OTTAWA","0","17","68","99","9","1","0","2","0","196","377","Rideau Park United Church"
"064","OTTAWA SOUTH","020","U","OTTAWA","0","13","72","89","5","0","0","0","0","179","373","Rideau Park United Church"
"064","OTTAWA SOUTH","021","U","OTTAWA","1","16","77","120","6","0","0","1","0","221","432","Rideau Park United Church"
"064","OTTAWA SOUTH","022","U","OTTAWA","0","24","67","139","22","0","0","0","0","252","427","Rideau Park United Church"
"064","OTTAWA SOUTH","023","U","OTTAWA","1","18","78","122","14","5","1","0","0","239","389","Rideau Park United Church"
"064","OTTAWA SOUTH","024","U","OTTAWA","4","25","53","120","6","0","1","0","0","209","355","Rideau Park United Church"
"064","OTTAWA SOUTH","025","U","OTTAWA","1","27","57","92","4","2","1","0","0","184","407","St. Thomas the Apostle Church"
"064","OTTAWA SOUTH","026","U","OTTAWA","1","29","49","114","16","1","0","0","0","210","401","St. Thomas the Apostle Church"
"064","OTTAWA SOUTH","027","U","OTTAWA","0","17","54","147","10","0","1","1","0","230","384","St. Thomas the Apostle Church"
"064","OTTAWA SOUTH","028","U","OTTAWA","1","15","64","112","6","2","2","0","1","203","365","St. Thomas the Apostle Church"
"064","OTTAWA SOUTH","029","U","OTTAWA","0","21","59","113","9","2","1","0","0","205","379","St. Thomas the Apostle Church"
"064","OTTAWA SOUTH","030","U","OTTAWA","0","20","46","95","5","0","1","0","0","167","345","St. Thomas the Apostle Church"
"064","OTTAWA SOUTH","031","U","OTTAWA","2","27","43","120","13","0","0","0","0","205","390","St. Timothy's Presbyterian Church"
"064","OTTAWA SOUTH","032","U","OTTAWA","1","22","55","94","11","0","0","0","0","183","339","St. Timothy's Presbyterian Church"
"064","OTTAWA SOUTH","033","U","OTTAWA","0","24","37","76","4","0","0","1","0","142","384","St. Timothy's Presbyterian Church"
"064","OTTAWA SOUTH","034","U","OTTAWA","0","16","41","60","5","0","0","0","0","122","372","St. Timothy's Presbyterian Church"
"064","OTTAWA SOUTH","035","U","OTTAWA","2","14","35","81","1","2","0","0","0","135","372","St. Timothy's Presbyterian Church"
"064","OTTAWA SOUTH","036","U","OTTAWA","0","12","62","116","4","0","0","1","0","195","378","Ottawa Mennonite Church"
"064","OTTAWA SOUTH","037","U","OTTAWA","0","7","49","94","7","1","0","0","0","158","326","Ottawa Mennonite Church"
"064","OTTAWA SOUTH","038","U","OTTAWA","0","10","53","126","5","0","0","0","0","194","352","Ottawa Mennonite Church"
"064","OTTAWA SOUTH","039","U","OTTAWA","0","22","96","164","6","1","0","0","0","289","470","Playfair Apartments"
"064","OTTAWA SOUTH","040","U","OTTAWA","1","26","35","56","4","3","0","0","0","125","260","Playfair Towers Apartments"
"064","OTTAWA SOUTH","041","U","OTTAWA","0","21","44","106","2","2","0","0","0","175","323","Featherston Drive School"
"064","OTTAWA SOUTH","042","U","OTTAWA","0","15","67","113","9","0","0","2","0","206","334","Featherston Drive School"
"064","OTTAWA SOUTH","043","U","OTTAWA","2","13","48","109","2","0","1","0","0","175","332","Featherston Drive School"
"064","OTTAWA SOUTH","044","U","OTTAWA","5","25","82","115","9","1","0","0","0","237","422","Featherston Drive School"
"064","OTTAWA SOUTH","045","U","OTTAWA","2","30","52","85","10","1","1","2","2","185","449","Featherston Drive School"
"064","OTTAWA SOUTH","046","U","OTTAWA","0","17","60","92","19","1","0","0","0","189","343","Featherston Drive School"
"064","OTTAWA SOUTH","047","U","OTTAWA","1","17","59","117","5","0","1","0","0","200","362","Ottawa Mennonite Church"
"064","OTTAWA SOUTH","048","U","OTTAWA","0","12","58","118","7","2","1","0","0","198","365","Ottawa Mennonite Church"
"064","OTTAWA SOUTH","049","U","OTTAWA","1","17","57","80","6","0","0","0","0","161","374","St. Aidan's Church Hall"
"064","OTTAWA SOUTH","050","U","OTTAWA","1","24","55","108","11","1","1","1","0","202","373","St. Aidan's Church Hall"
"064","OTTAWA SOUTH","051","U","OTTAWA","2","20","50","87","10","0","2","0","0","171","355","St. Aidan's Church Hall"
"064","OTTAWA SOUTH","052","U","OTTAWA","1","26","50","85","6","0","1","1","0","170","366","St. Aidan's Church Hall"
"064","OTTAWA SOUTH","053","U","OTTAWA","1","30","77","87","3","0","0","0","0","198","360","St. Aidan's Church Hall"
"064","OTTAWA SOUTH","054","U","OTTAWA","1","29","39","74","9","1","1","0","0","154","368","St. Aidan's Church Hall"
"064","OTTAWA SOUTH","055","U","OTTAWA","2","26","33","75","3","0","0","0","0","139","405","St. Aidan's Church Hall"
"064","OTTAWA SOUTH","056","U","OTTAWA","2","25","46","97","11","1","0","0","0","182","342","Canterbury Community Centre"
"064","OTTAWA SOUTH","057","U","OTTAWA","2","14","59","63","8","0","0","0","0","146","393","Canterbury Community Centre"
"064","OTTAWA SOUTH","058","U","OTTAWA","0","25","69","74","3","3","0","0","0","174","391","Canterbury Community Centre"
"064","OTTAWA SOUTH","059","U","OTTAWA","0","16","59","80","6","0","0","0","0","161","331","Canterbury Community Centre"
"064","OTTAWA SOUTH","060","U","OTTAWA","0","28","50","69","3","0","0","0","0","150","361","Canterbury Community Centre"
"064","OTTAWA SOUTH","061","U","OTTAWA","0","8","64","68","6","4","0","0","0","150","355","Canterbury Community Centre"
"064","OTTAWA SOUTH","062","U","OTTAWA","0","12","47","75","2","0","0","1","0","137","390","Hawthorne School"
"064","OTTAWA SOUTH","063","U","OTTAWA","0","16","46","47","1","1","1","0","0","112","346","Hawthorne School"
"064","OTTAWA SOUTH","064","U","OTTAWA","1","31","75","60","6","1","1","0","0","175","395","Hawthorne School"
"064","OTTAWA SOUTH","065","U","OTTAWA","0","19","69","82","5","0","0","0","0","175","387","Hawthorne School"
"064","OTTAWA SOUTH","066","U","OTTAWA","0","26","33","19","2","1","0","0","0","81","467","Hawthorne United Church"
"064","OTTAWA SOUTH","067","U","OTTAWA","0","23","15","37","5","0","0","0","0","80","393","Hawthorne United Church"
"064","OTTAWA SOUTH","068","U","OTTAWA","2","25","7","47","2","2","1","0","0","86","294","Hawthorne United Church"
"064","OTTAWA SOUTH","069","U","OTTAWA","0","16","69","96","5","0","2","0","0","188","373","St. Luke's School"
"064","OTTAWA SOUTH","070","U","OTTAWA","2","19","50","70","4","0","1","0","0","146","349","St. Luke's School"
"064","OTTAWA SOUTH","071","U","OTTAWA","0","30","50","81","4","0","1","0","0","166","341","St. Luke's School"
"064","OTTAWA SOUTH","072","U","OTTAWA","0","22","27","49","2","0","1","1","0","102","370","Hawthorne United Church"
"064","OTTAWA SOUTH","073","U","OTTAWA","0","19","68","101","2","2","0","1","0","193","443","Daly Co-Operative Apartments"
"064","OTTAWA SOUTH","074","U","OTTAWA","3","31","53","51","3","1","0","0","0","142","315","Daly Co-Operative Apartments"
"064","OTTAWA SOUTH","075","U","OTTAWA","5","44","49","75","4","2","1","0","0","180","435","Avalon Park Apartments"
"064","OTTAWA SOUTH","076","U","OTTAWA","0","25","42","69","3","2","0","0","0","141","358","Daly Co-Operative Apartments"
"064","OTTAWA SOUTH","077","U","OTTAWA","1","18","50","59","7","2","0","1","0","138","245","The Eaton Apartments"
"064","OTTAWA SOUTH","078","U","OTTAWA","2","26","49","51","3","0","0","2","0","133","380","Daly Co-Operative Apartments"
"064","OTTAWA SOUTH","079","U","OTTAWA","4","46","50","108","10","2","2","3","0","225","388","Clementine Towers Apartments"
"064","OTTAWA SOUTH","080","U","OTTAWA","1","30","40","64","10","0","0","0","0","145","387","École Lamoureux"
"064","OTTAWA SOUTH","081","U","OTTAWA","0","32","64","108","8","1","2","0","0","215","448","École Lamoureux"
"064","OTTAWA SOUTH","082","U","OTTAWA","2","30","38","85","7","0","0","0","0","162","381","École Lamoureux"
"064","OTTAWA SOUTH","083","U","OTTAWA","0","40","54","94","5","1","0","0","0","194","487","École Lamoureux"
"064","OTTAWA SOUTH","084","U","OTTAWA","2","33","59","65","6","2","0","0","0","167","399","École Lamoureux"
"064","OTTAWA SOUTH","085","U","OTTAWA","1","28","59","116","7","2","0","1","0","214","395","École Lamoureux"
"064","OTTAWA SOUTH","086","U","OTTAWA","0","21","8","49","5","1","1","0","0","85","256","École Lamoureux"
"064","OTTAWA SOUTH","087","U","OTTAWA","0","30","115","122","4","0","1","1","0","273","544","Holy Cross Church"
"064","OTTAWA SOUTH","088","U","OTTAWA","0","14","67","124","6","1","0","1","0","213","398","Holy Cross Church"
"064","OTTAWA SOUTH","089","U","OTTAWA","0","30","43","65","2","0","0","0","0","140","452","Holy Cross Church"
"064","OTTAWA SOUTH","090","U","OTTAWA","1","42","35","55","2","1","0","0","0","136","482","Holy Cross Church"
"064","OTTAWA SOUTH","091","U","OTTAWA","1","27","67","84","10","0","1","0","0","190","396","Holy Cross Church"
"064","OTTAWA SOUTH","092","U","OTTAWA","1","16","63","118","12","1","3","1","0","215","435","Holy Cross Church"
"064","OTTAWA SOUTH","093","U","OTTAWA","3","18","92","95","8","0","1","0","0","217","379","General Vanier School"
"064","OTTAWA SOUTH","094","U","OTTAWA","1","17","62","110","9","2","1","0","0","202","326","General Vanier School"
"064","OTTAWA SOUTH","095","U","OTTAWA","0","12","73","93","6","0","0","1","0","185","326","Riverside United Church"
"064","OTTAWA SOUTH","096","U","OTTAWA","0","23","78","116","8","0","3","0","0","228","362","Riverside United Church"
"064","OTTAWA SOUTH","097","U","OTTAWA","1","16","78","102","14","0","1","0","0","212","370","Fielding Drive School"
"064","OTTAWA SOUTH","098","U","OTTAWA","2","15","88","87","5","0","0","0","0","197","348","Fielding Drive School"
"064","OTTAWA SOUTH","099","U","OTTAWA","0","23","38","68","10","0","0","0","0","139","276","Fielding Drive School"
"064","OTTAWA SOUTH","100","U","OTTAWA","0","15","65","95","8","1","0","0","0","184","347","Fielding Drive School"
"064","OTTAWA SOUTH","101","U","OTTAWA","0","17","76","78","9","1","0","0","0","181","353","Fielding Drive School"
"064","OTTAWA SOUTH","102","U","OTTAWA","4","22","66","87","9","1","0","0","1","190","438","École Marius-Barbeau"
"064","OTTAWA SOUTH","103","U","OTTAWA","2","32","59","120","13","0","0","0","0","226","492","École Marius-Barbeau"
"064","OTTAWA SOUTH","104","U","OTTAWA","4","34","40","70","2","2","0","0","0","152","459","École Marius-Barbeau"
"064","OTTAWA SOUTH","105","U","OTTAWA","3","37","34","70","2","0","1","0","0","147","421","Heron Road Community Centre"
"064","OTTAWA SOUTH","106","U","OTTAWA","2","20","7","42","1","0","0","0","0","72","255","Heron Road Community Centre"
"064","OTTAWA SOUTH","107","U","OTTAWA","4","19","13","32","1","0","0","0","0","69","325","Heron Road Community Centre"
"064","OTTAWA SOUTH","108","U","OTTAWA","1","36","4","68","2","0","0","0","0","111","364","Heron Road Community Centre"
"064","OTTAWA SOUTH","109","U","OTTAWA","0","29","21","35","9","1","0","0","0","95","401","Heron Road Community Centre"
"064","OTTAWA SOUTH","110","U","OTTAWA","1","28","17","61","3","0","1","1","0","112","401","Heron Road Community Centre"
"064","OTTAWA SOUTH","111","U","OTTAWA","1","19","11","51","1","3","1","0","0","87","344","Heron Road Community Centre"
"064","OTTAWA SOUTH","112","U","OTTAWA","0","16","23","52","8","1","1","0","0","101","373","Albion-Heatherington Community Centre"
"064","OTTAWA SOUTH","113","U","OTTAWA","3","47","43","68","2","2","0","0","1","166","502","Albion-Heatherington Community Centre"
"064","OTTAWA SOUTH","114","U","OTTAWA","1","20","19","52","2","3","0","0","1","98","412","Albion-Heatherington Community Centre"
"064","OTTAWA SOUTH","115","U","OTTAWA","2","30","17","73","0","1","3","0","0","126","453","Albion-Heatherington Community Centre"
"064","OTTAWA SOUTH","116","U","OTTAWA","2","28","42","81","4","2","1","0","0","160","442","Albion-Heatherington Community Centre"
"064","OTTAWA SOUTH","117","U","OTTAWA","1","26","42","60","3","1","0","0","0","133","435","Albion-Heatherington Community Centre"
"064","OTTAWA SOUTH","118","U","OTTAWA","5","44","61","91","6","2","5","2","0","216","397","Walkley Manor"
"064","OTTAWA SOUTH","119","U","OTTAWA","2","38","29","60","4","5","0","0","0","138","543","Albion-Heatherington Community Centre"
"064","OTTAWA SOUTH","120","U","OTTAWA","3","10","153","130","3","0","0","0","1","300","451","Riverside Gate Apartments"
"064","OTTAWA SOUTH","121","U","OTTAWA","2","13","47","84","11","1","0","0","0","158","346","Tudor Hall"
"064","OTTAWA SOUTH","122","U","OTTAWA","2","11","75","91","11","1","0","0","0","191","354","Tudor Hall"
"064","OTTAWA SOUTH","123","U","OTTAWA","3","14","65","95","9","0","0","0","2","188","423","Tudor Hall"
"064","OTTAWA SOUTH","124","U","OTTAWA","1","16","87","96","4","0","1","0","0","205","342","Tudor Hall"
"064","OTTAWA SOUTH","125","U","OTTAWA","0","12","60","84","3","1","0","2","0","162","353","Tudor Hall"
"064","OTTAWA SOUTH","126","U","OTTAWA","0","23","69","97","6","5","0","0","0","200","421","Tudor Hall"
"064","OTTAWA SOUTH","127","U","OTTAWA","0","43","37","65","8","3","0","1","0","157","417","Tudor Hall"
"064","OTTAWA SOUTH","128","U","OTTAWA","0","27","33","47","2","0","0","0","0","109","304","Hunt Club / Riverside Community Centre"
"064","OTTAWA SOUTH","129","U","OTTAWA","0","11","46","48","7","0","1","0","0","113","308","Hunt Club / Riverside Community Centre"
"064","OTTAWA SOUTH","130","U","OTTAWA","1","18","68","87","4","0","0","0","0","178","394","Hunt Club / Riverside Community Centre"
"064","OTTAWA SOUTH","131","U","OTTAWA","0","31","65","77","10","1","2","0","0","186","427","Hunt Club / Riverside Community Centre"
"064","OTTAWA SOUTH","132","U","OTTAWA","1","44","25","56","6","3","0","0","0","135","515","Hunt Club / Riverside Community Centre"
"064","OTTAWA SOUTH","133","U","OTTAWA","0","26","45","45","4","0","1","1","0","122","391","Hunt Club / Riverside Community Centre"
"064","OTTAWA SOUTH","134","U","OTTAWA","0","32","39","70","8","2","0","0","0","151","445","Hunt Club / Riverside Community Centre"
"064","OTTAWA SOUTH","135","U","OTTAWA","0","21","34","110","8","0","1","0","0","174","448","Hunt Club / Riverside Community Centre"
"064","OTTAWA SOUTH","136","U","OTTAWA","2","28","73","73","7","1","1","1","0","186","409","Hunt Club / Riverside Community Centre"
"064","OTTAWA SOUTH","137","U","OTTAWA","0","36","59","65","10","1","1","0","1","173","467","Hunt Club / Riverside Community Centre"
"064","OTTAWA SOUTH","138","U","OTTAWA","0","23","103","134","5","1","0","0","0","266","447","Bayview School"
"064","OTTAWA SOUTH","139","U","OTTAWA","0","16","82","122","7","0","1","0","0","228","411","Bayview School"
"064","OTTAWA SOUTH","140","U","OTTAWA","0","39","82","109","8","1","1","1","0","241","480","Bayview School"
"064","OTTAWA SOUTH","141","U","OTTAWA","0","17","103","92","14","0","1","0","0","227","413","Bayview School"
"064","OTTAWA SOUTH","142","U","OTTAWA","0","9","84","119","7","1","1","0","0","221","463","Bayview School"
"064","OTTAWA SOUTH","143","U","OTTAWA","2","12","41","23","4","0","0","0","0","82","306","Uplands Military Community Centre"
"064","OTTAWA SOUTH","144","U","OTTAWA","2","5","58","79","5","1","0","0","0","150","305","Church of Perfect Liberty"
