"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BAGLER","HOULE","LALIBERTÉ-TIPPLE","MEILLEUR","SHERMAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"065","OTTAWA--VANIER","001","U","OTTAWA","15","0","24","42","16","0","0","0","97","278","Viscount Alexander Public School"
"065","OTTAWA--VANIER","002","U","OTTAWA","4","0","46","27","14","0","0","0","91","222","Viscount Alexander Public School"
"065","OTTAWA--VANIER","003","U","OTTAWA","0","0","13","25","9","2","1","0","50","177","Viscount Alexander Public School"
"065","OTTAWA--VANIER","004","U","OTTAWA","1","0","29","44","0","0","0","0","74","294","Viscount Alexander Public School"
"065","OTTAWA--VANIER","005","U","OTTAWA","19","3","37","65","13","0","0","0","137","273","Viscount Alexander Public School"
"065","OTTAWA--VANIER","006","U","OTTAWA","10","0","15","36","14","0","0","0","75","158","Viscount Alexander Public School"
"065","OTTAWA--VANIER","007","U","OTTAWA","10","1","15","43","10","0","0","0","79","212","Viscount Alexander Public School"
"065","OTTAWA--VANIER","008A","U","OTTAWA","6","0","25","42","13","0","0","0","86","242","University of Ottawa - Residential Complex"
"065","OTTAWA--VANIER","008B","U","OTTAWA","4","2","14","22","10","1","1","0","54","133","University of Ottawa - Residential Complex"
"065","OTTAWA--VANIER","008C","U","OTTAWA","12","2","13","31","5","1","0","0","64","149","University of Ottawa - Residential Complex"
"065","OTTAWA--VANIER","009","U","OTTAWA","13","0","36","83","13","0","0","0","145","317","Strathcona Heights Community Room"
"065","OTTAWA--VANIER","010","U","OTTAWA","12","2","24","59","12","0","0","0","109","237","Strathcona Heights Community Room"
"065","OTTAWA--VANIER","011","U","OTTAWA","12","1","23","73","23","0","0","0","132","325","Sandy Hill Community Centre"
"065","OTTAWA--VANIER","012","U","OTTAWA","5","1","47","31","8","0","0","0","92","223","Sandy Hill Community Centre"
"065","OTTAWA--VANIER","013","U","OTTAWA","6","2","30","43","8","0","0","0","89","276","Sandy Hill Community Centre"
"065","OTTAWA--VANIER","014","U","OTTAWA","11","2","23","41","13","0","0","0","90","253","Sandy Hill Community Centre"
"065","OTTAWA--VANIER","015","U","OTTAWA","2","0","28","56","21","0","0","0","107","246","Sandy Hill Community Centre"
"065","OTTAWA--VANIER","016","U","OTTAWA","5","1","29","67","14","0","0","0","116","285","École élémentaire publique Francojeunesse"
"065","OTTAWA--VANIER","017","U","OTTAWA","1","3","17","39","7","0","0","0","67","139","École élémentaire publique Francojeunesse"
"065","OTTAWA--VANIER","018","U","OTTAWA","10","0","24","57","13","0","0","0","104","257","École élémentaire publique Francojeunesse"
"065","OTTAWA--VANIER","019","U","OTTAWA","2","1","38","91","12","0","0","0","144","374","École élémentaire publique Francojeunesse"
"065","OTTAWA--VANIER","020","U","OTTAWA","3","1","13","25","4","0","0","0","46","130","École élémentaire publique Francojeunesse"
"065","OTTAWA--VANIER","021","U","OTTAWA","8","1","33","59","15","0","0","0","116","379","École élémentaire publique Francojeunesse"
"065","OTTAWA--VANIER","022","U","OTTAWA","4","1","9","50","18","1","0","0","83","234","École élémentaire publique Francojeunesse"
"065","OTTAWA--VANIER","023","U","OTTAWA","9","0","25","51","9","0","0","0","94","265","École élémentaire publique Francojeunesse"
"065","OTTAWA--VANIER","024","U","OTTAWA","11","0","18","55","10","1","0","0","95","248","École élémentaire publique Francojeunesse"
"065","OTTAWA--VANIER","025","U","OTTAWA","11","2","26","32","8","1","0","0","80","236","École élémentaire publique Francojeunesse"
"065","OTTAWA--VANIER","026","U","OTTAWA","16","0","38","57","12","1","0","0","124","309","St. Joseph Roman Catholic Church"
"065","OTTAWA--VANIER","027","U","OTTAWA","11","2","43","91","24","0","0","0","171","391","St. Joseph Roman Catholic Church"
"065","OTTAWA--VANIER","028","U","OTTAWA","15","0","20","40","11","0","0","0","86","192","St. Joseph Roman Catholic Church"
"065","OTTAWA--VANIER","029","U","OTTAWA","10","0","27","47","16","0","0","0","100","291","St. Joseph Roman Catholic Church"
"065","OTTAWA--VANIER","030","U","OTTAWA","..........................NO POLL HELD..........................","","","","","","","","","",""
"065","OTTAWA--VANIER","031A","U","OTTAWA","2","0","17","90","37","2","0","0","148","419","Centre de services Guigues"
"065","OTTAWA--VANIER","031B","U","OTTAWA","5","1","16","72","23","0","0","0","117","592","Centre de services Guigues"
"065","OTTAWA--VANIER","032","U","OTTAWA","11","0","27","66","25","0","0","0","129","554","Centre de services Guigues"
"065","OTTAWA--VANIER","033","U","OTTAWA","9","0","25","75","12","1","0","0","122","372","Patro d' Ottawa"
"065","OTTAWA--VANIER","034","U","OTTAWA","12","0","29","54","10","0","0","0","105","251","Patro d' Ottawa"
"065","OTTAWA--VANIER","035","U","OTTAWA","8","0","27","58","6","0","0","0","99","240","Patro d' Ottawa"
"065","OTTAWA--VANIER","036","U","OTTAWA","3","4","18","60","19","0","0","0","104","266","Patro d' Ottawa"
"065","OTTAWA--VANIER","037","U","OTTAWA","1","0","17","62","16","0","0","0","96","243","Patro d' Ottawa"
"065","OTTAWA--VANIER","038","U","OTTAWA","6","0","26","36","6","0","0","0","74","206","Patro d' Ottawa"
"065","OTTAWA--VANIER","039","U","OTTAWA","0","0","16","13","4","0","0","0","33","217","Patro d' Ottawa"
"065","OTTAWA--VANIER","040","U","OTTAWA","2","0","15","22","7","0","0","0","46","197","Centre de services Guigues"
"065","OTTAWA--VANIER","041","U","OTTAWA","7","0","31","82","29","0","0","0","149","609","Centre de services Guigues"
"065","OTTAWA--VANIER","042","U","OTTAWA","3","0","11","26","12","0","0","0","52","214","Centre de services Guigues"
"065","OTTAWA--VANIER","043","U","OTTAWA","2","2","20","54","12","0","0","0","90","334","Routhier Community Centre"
"065","OTTAWA--VANIER","044","U","OTTAWA","1","1","23","34","6","0","0","0","65","219","Centre de services Guigues"
"065","OTTAWA--VANIER","045","U","OTTAWA","7","0","18","28","10","1","0","0","64","242","Centre de services Guigues"
"065","OTTAWA--VANIER","046","U","OTTAWA","5","2","12","39","6","0","0","0","64","257","Patro d' Ottawa"
"065","OTTAWA--VANIER","047","U","OTTAWA","3","0","30","59","17","2","1","0","112","268","Patro d' Ottawa"
"065","OTTAWA--VANIER","048","U","OTTAWA","16","1","27","70","9","0","0","0","123","283","Patro d' Ottawa"
"065","OTTAWA--VANIER","049","U","OTTAWA","7","2","23","62","10","0","0","0","104","270","Patro d' Ottawa"
"065","OTTAWA--VANIER","050","U","OTTAWA","2","4","20","21","7","0","0","1","55","305","Routhier Community Centre"
"065","OTTAWA--VANIER","051","U","OTTAWA","2","1","28","47","22","0","0","0","100","385","Routhier Community Centre"
"065","OTTAWA--VANIER","052","U","OTTAWA","7","0","28","66","10","1","0","0","112","267","Routhier Community Centre"
"065","OTTAWA--VANIER","053","U","OTTAWA","4","1","28","58","9","0","0","0","100","296","Routhier Community Centre"
"065","OTTAWA--VANIER","054","U","OTTAWA","4","1","11","43","11","0","0","0","70","184","Routhier Community Centre"
"065","OTTAWA--VANIER","055","U","OTTAWA","7","1","29","64","12","0","0","0","113","313","Routhier Community Centre"
"065","OTTAWA--VANIER","056","U","OTTAWA","5","0","24","44","6","0","0","0","79","209","Routhier Community Centre"
"065","OTTAWA--VANIER","057","U","OTTAWA","7","4","28","48","28","1","0","0","116","268","Routhier Community Centre"
"065","OTTAWA--VANIER","058","U","OTTAWA","13","0","24","68","14","0","0","0","119","253","Routhier Community Centre"
"065","OTTAWA--VANIER","059","U","OTTAWA","4","1","28","60","16","1","0","0","110","307","Routhier Community Centre"
"065","OTTAWA--VANIER","060","U","OTTAWA","13","0","34","63","13","1","0","0","124","291","Routhier Community Centre"
