ED_CODE,ED_NAME,POLL_NUMBER,RURAL_INDICATOR,PLACE_NAME,BYRNE,CHIARELLI,DENLEY,HILL,PACHECO,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION
66,OTTAWA WEST--NEPEAN,1,U,OTTAWA,23,67,109,8,1,0,0,0,208,373,Villa Lucia
66,OTTAWA WEST--NEPEAN,2,U,OTTAWA,17,74,52,4,2,1,0,0,150,309,Villa Lucia
66,OTTAWA WEST--NEPEAN,3,U,OTTAWA,40,74,87,3,0,0,0,0,204,388,Villa Lucia
66,OTTAWA WEST--NEPEAN,4,U,OTTAWA,36,90,90,10,0,3,0,0,229,401,Villa Lucia
66,OTTAWA WEST--NEPEAN,5,U,OTTAWA,21,95,91,6,2,0,2,0,217,380,Villa Lucia
66,OTTAWA WEST--NEPEAN,6,U,OTTAWA,26,83,106,7,0,0,0,0,222,410,Villa Lucia
66,OTTAWA WEST--NEPEAN,7,U,OTTAWA,26,105,74,11,0,0,0,0,216,348,Lakeview Public School
66,OTTAWA WEST--NEPEAN,8,U,OTTAWA,20,80,62,3,1,0,0,0,166,260,Lakeview Public School
66,OTTAWA WEST--NEPEAN,9,U,OTTAWA,16,63,67,2,1,1,0,0,150,248,Lakeview Public School
66,OTTAWA WEST--NEPEAN,10,U,OTTAWA,19,84,52,2,0,1,0,0,158,352,Bayshore Public School
66,OTTAWA WEST--NEPEAN,11,U,OTTAWA,17,26,10,3,0,1,0,0,57,228,Bayshore Recreation Centre
66,OTTAWA WEST--NEPEAN,12,U,OTTAWA,21,34,18,4,0,3,0,0,80,322,Bayshore Recreation Centre
66,OTTAWA WEST--NEPEAN,13,U,OTTAWA,32,62,21,1,1,0,0,1,118,408,Bayshore Recreation Centre
66,OTTAWA WEST--NEPEAN,14,U,OTTAWA,9,9,12,1,0,0,0,0,31,109,Bayshore Public School
66,OTTAWA WEST--NEPEAN,15,U,OTTAWA,13,17,10,0,0,1,0,0,41,200,Bayshore Recreation Centre
66,OTTAWA WEST--NEPEAN,16,U,OTTAWA,21,42,33,2,3,0,0,0,101,301,Bayshore Catholic School
66,OTTAWA WEST--NEPEAN,17,U,OTTAWA,22,58,37,2,0,1,0,0,120,281,Dr. F. J. Mcdonald Catholic School
66,OTTAWA WEST--NEPEAN,18,U,OTTAWA,19,53,54,5,1,0,0,0,132,372,Bayshore Catholic School
66,OTTAWA WEST--NEPEAN,19,U,OTTAWA,19,69,58,6,0,2,1,0,155,402,Foster Farm Community Centre
66,OTTAWA WEST--NEPEAN,20,U,OTTAWA,21,40,54,5,2,0,0,0,122,339,Foster Farm Community Centre
66,OTTAWA WEST--NEPEAN,21,U,OTTAWA,15,68,2,3,0,2,0,0,90,336,Foster Farm Community Centre
66,OTTAWA WEST--NEPEAN,22,U,OTTAWA,22,48,34,4,0,0,1,0,109,302,Foster Farm Community Centre
66,OTTAWA WEST--NEPEAN,23,U,OTTAWA,18,65,64,8,1,1,0,0,157,346,Britannia United Church
66,OTTAWA WEST--NEPEAN,24,U,OTTAWA,17,60,12,1,2,0,0,0,92,302,Michelle Heights Community Centre
66,OTTAWA WEST--NEPEAN,25,U,OTTAWA,30,47,39,11,0,0,0,0,127,341,Michelle Heights Community Centre
66,OTTAWA WEST--NEPEAN,26,U,OTTAWA,38,94,68,13,1,0,0,0,214,426,Dr. F. J. Mcdonald Catholic School
66,OTTAWA WEST--NEPEAN,27,U,OTTAWA,20,17,20,1,0,1,0,0,59,203,Dr. F. J. Mcdonald Catholic School
66,OTTAWA WEST--NEPEAN,28,U,OTTAWA,14,47,2,1,2,0,0,0,66,275,Dr. F. J. Mcdonald Catholic School
66,OTTAWA WEST--NEPEAN,29,U,OTTAWA,27,60,33,9,0,0,0,0,129,250,Ron Kolbus Lakeside Centre
66,OTTAWA WEST--NEPEAN,30,U,OTTAWA,11,66,42,11,0,0,0,0,130,243,Ron Kolbus Lakeside Centre
66,OTTAWA WEST--NEPEAN,31,U,OTTAWA,33,48,33,7,0,0,0,0,121,321,Ron Kolbus Lakeside Centre
66,OTTAWA WEST--NEPEAN,32,U,OTTAWA,22,33,32,5,1,0,0,0,93,229,Ron Kolbus Lakeside Centre
66,OTTAWA WEST--NEPEAN,33,U,OTTAWA,31,62,38,9,0,0,0,1,141,297,Ron Kolbus Lakeside Centre
66,OTTAWA WEST--NEPEAN,34,U,OTTAWA,47,43,47,7,1,0,0,0,145,353,Ron Kolbus Lakeside Centre
66,OTTAWA WEST--NEPEAN,35,U,OTTAWA,29,50,26,5,1,1,0,0,112,316,Regina Street Public School
66,OTTAWA WEST--NEPEAN,36,U,OTTAWA,31,109,72,4,0,0,0,0,216,401,Regina Street Public School
66,OTTAWA WEST--NEPEAN,37,U,OTTAWA,25,64,50,12,1,0,0,0,152,288,Severn Public School
66,OTTAWA WEST--NEPEAN,38,U,OTTAWA,27,44,29,6,1,0,0,0,107,350,Britannia United Church
66,OTTAWA WEST--NEPEAN,39,U,OTTAWA,26,63,71,12,1,0,0,0,173,332,Britannia United Church
66,OTTAWA WEST--NEPEAN,40,U,OTTAWA,25,43,56,8,5,1,0,0,138,398,Britannia United Church
66,OTTAWA WEST--NEPEAN,41,U,OTTAWA,24,69,63,10,0,0,0,0,166,355,Severn Public School
66,OTTAWA WEST--NEPEAN,42,U,OTTAWA,31,72,76,5,1,0,0,0,185,323,Severn Public School
66,OTTAWA WEST--NEPEAN,43,U,OTTAWA,20,52,119,8,2,1,0,0,202,318,Severn Public School
66,OTTAWA WEST--NEPEAN,44,U,OTTAWA,32,70,65,3,0,0,0,0,170,401,Severn Public School
66,OTTAWA WEST--NEPEAN,45,U,OTTAWA,10,62,47,13,0,0,1,0,133,231,Woodroffe High School
66,OTTAWA WEST--NEPEAN,46,U,OTTAWA,21,57,71,12,2,0,0,0,163,344,St. Paul's Presbyterian Church
66,OTTAWA WEST--NEPEAN,47,U,OTTAWA,17,85,81,12,0,0,1,0,196,365,Woodroffe High School
66,OTTAWA WEST--NEPEAN,48,U,OTTAWA,23,80,52,8,1,1,0,0,165,379,Ottawa Reformed Presbyterian Church
66,OTTAWA WEST--NEPEAN,49,U,OTTAWA,22,101,61,13,3,0,2,0,202,430,Ottawa Reformed Presbyterian Church
66,OTTAWA WEST--NEPEAN,50,U,OTTAWA,34,68,50,17,1,1,0,0,171,317,Ottawa Reformed Presbyterian Church
66,OTTAWA WEST--NEPEAN,51,U,OTTAWA,46,68,76,17,2,0,0,0,209,405,Our Lady of Fatima Church
66,OTTAWA WEST--NEPEAN,52,U,OTTAWA,19,17,21,1,1,0,0,0,59,264,Ottawa Reformed Presbyterian Church
66,OTTAWA WEST--NEPEAN,53,U,OTTAWA,31,90,57,11,1,0,0,0,190,363,Our Lady of Fatima Church
66,OTTAWA WEST--NEPEAN,54,U,OTTAWA,33,80,42,8,3,0,1,1,168,363,Our Lady of Fatima Church
66,OTTAWA WEST--NEPEAN,55,U,OTTAWA,27,96,57,8,1,0,0,0,189,350,Our Lady of Fatima Church
66,OTTAWA WEST--NEPEAN,56,U,OTTAWA,23,57,45,3,0,0,0,0,128,389,Bromley Road Baptist Church
66,OTTAWA WEST--NEPEAN,57,U,OTTAWA,34,114,52,4,0,1,0,0,205,379,Bromley Road Baptist Church
66,OTTAWA WEST--NEPEAN,58,U,OTTAWA,30,79,52,6,0,0,0,0,167,375,St. Paul's Presbyterian Church
66,OTTAWA WEST--NEPEAN,59,U,OTTAWA,25,93,91,18,1,1,0,0,229,401,St. Paul's Presbyterian Church
66,OTTAWA WEST--NEPEAN,60,U,OTTAWA,24,85,85,8,0,0,0,0,202,370,St. Paul's Presbyterian Church
66,OTTAWA WEST--NEPEAN,61,U,OTTAWA,29,84,60,5,1,1,0,1,181,378,St. Paul's Presbyterian Church
66,OTTAWA WEST--NEPEAN,62,U,OTTAWA,22,65,62,3,1,0,0,0,153,356,Bromley Road Baptist Church
66,OTTAWA WEST--NEPEAN,63,U,OTTAWA,12,59,60,4,1,0,0,0,136,330,Bromley Road Baptist Church
66,OTTAWA WEST--NEPEAN,64,U,OTTAWA,16,38,36,1,0,0,0,0,91,246,St. Paul High School
66,OTTAWA WEST--NEPEAN,65,U,OTTAWA,13,53,108,2,2,0,0,0,178,345,St. Paul High School
66,OTTAWA WEST--NEPEAN,66,U,OTTAWA,8,113,91,8,1,0,0,0,221,362,St. Paul High School
66,OTTAWA WEST--NEPEAN,67,U,OTTAWA,15,102,75,4,0,0,0,0,196,364,St. Paul High School
66,OTTAWA WEST--NEPEAN,68,U,OTTAWA,16,83,53,2,1,0,0,0,155,310,St. Paul High School
66,OTTAWA WEST--NEPEAN,69,U,OTTAWA,34,95,95,5,2,2,0,0,233,434,St. Paul High School
66,OTTAWA WEST--NEPEAN,70,U,OTTAWA,32,37,45,3,1,0,0,0,118,292,Grant Alternative School
66,OTTAWA WEST--NEPEAN,71,U,OTTAWA,13,31,19,1,0,0,0,0,64,278,Grant Alternative School
66,OTTAWA WEST--NEPEAN,72,U,OTTAWA,36,37,48,7,2,0,0,0,130,358,Grant Alternative School
66,OTTAWA WEST--NEPEAN,73,U,OTTAWA,30,19,35,3,0,0,0,0,87,267,Grant Alternative School
66,OTTAWA WEST--NEPEAN,74,U,OTTAWA,31,98,92,4,1,1,0,0,227,390,Pinecrest Public School
66,OTTAWA WEST--NEPEAN,75,U,OTTAWA,27,63,83,3,0,0,0,0,176,361,Pinecrest Public School
66,OTTAWA WEST--NEPEAN,76,U,OTTAWA,26,85,69,7,1,0,0,0,188,368,Pinecrest Public School
66,OTTAWA WEST--NEPEAN,77,U,OTTAWA,37,67,84,6,3,0,0,0,197,406,Academie Jeanne d' Arc
