"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","EISEN","HARDEMAN","HILDERLEY","STEWART-MOTT","VANDERHOEVEN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"067","OXFORD","001A","U","LAKESIDE","31","79","50","6","1","1","0","0","168","311","Lakeside Resort"
"067","OXFORD","001B","U","LAKESIDE","32","82","42","8","0","0","0","0","164","313","Lakeside Resort"
"067","OXFORD","002","U","EMBRO","40","112","66","7","4","0","0","0","229","429","Zorra Highland Park Public School"
"067","OXFORD","003","U","EMBRO","24","91","60","7","3","1","1","0","187","337","Zorra Highland Park Public School"
"067","OXFORD","004","U","KINTORE","39","111","60","10","1","0","0","0","221","386","A. J. Baker Public School"
"067","OXFORD","005","U","EMBRO","21","101","48","14","2","0","0","0","186","375","Embro Community Centre"
"067","OXFORD","006","U","EMBRO","22","127","53","10","2","0","0","0","214","421","Embro Community Centre"
"067","OXFORD","007","U","THAMESFORD","39","123","76","8","1","0","0","0","247","457","Thamesford Public Library"
"067","OXFORD","008","U","EMBRO","26","107","49","10","1","0","0","0","193","449","Embro Community Centre"
"067","OXFORD","009","U","THAMESFORD","43","101","57","7","2","0","0","0","210","475","Thamesford Public Library"
"067","OXFORD","010A","U","THAMESFORD","29","70","53","2","0","0","0","1","155","303","Thamesford Recreation Centre"
"067","OXFORD","010B","U","THAMESFORD","31","80","36","7","1","0","0","0","155","315","Thamesford Recreation Centre"
"067","OXFORD","011A","U","THAMESFORD","26","91","31","3","0","0","0","0","151","310","Thamesford Recreation Centre"
"067","OXFORD","011B","U","THAMESFORD","17","82","24","4","0","0","0","0","127","291","Thamesford Recreation Centre"
"067","OXFORD","012","U","INGERSOLL","42","114","38","8","6","0","0","0","208","587","Fusion Centre"
"067","OXFORD","013","U","BEACHVILLE","35","118","35","11","1","1","0","0","201","445","Colombo Club of Oxford"
"067","OXFORD","014","U","TAVISTOCK","18","92","55","5","1","0","0","0","171","406","Tavistock Memorial Hall"
"067","OXFORD","015","U","TAVISTOCK","18","82","28","8","4","0","0","0","140","351","Tavistock Memorial Hall"
"067","OXFORD","016","U","TAVISTOCK","29","94","46","1","1","1","0","0","172","435","Tavistock Public School"
"067","OXFORD","017","U","TAVISTOCK","38","97","67","4","0","0","0","0","206","465","Tavistock Public School"
"067","OXFORD","018","U","TAVISTOCK","19","134","63","3","4","2","0","0","225","525","Tavistock Memorial Hall"
"067","OXFORD","019","U","TAVISTOCK","14","94","43","2","2","0","0","0","155","299","Tavistock Memorial Hall"
"067","OXFORD","020","U","HICKSON","26","196","57","8","0","1","0","1","289","527","Hickson Public School"
"067","OXFORD","021","U","HICKSON","38","140","55","9","1","0","0","0","243","513","Hickson Public School"
"067","OXFORD","022","U","INNERKIP","27","160","69","3","1","0","0","0","260","542","Innerkip Community Centre"
"067","OXFORD","023","U","WOODSTOCK","18","151","64","4","0","0","0","0","237","412","Woodstock Soccer Club"
"067","OXFORD","024A","U","WOODSTOCK","22","89","45","8","0","0","0","0","164","387","Woodstock Soccer Club"
"067","OXFORD","024B","U","WOODSTOCK","18","97","40","8","1","0","1","0","165","371","Woodstock Soccer Club"
"067","OXFORD","025","U","BRIGHT","26","102","46","3","3","0","0","0","180","428","Bright Community Centre and Fire Hall"
"067","OXFORD","026","U","PLATTSVILLE","28","139","54","10","3","1","0","0","235","478","Plattsville and District Public School"
"067","OXFORD","027","U","PLATTSVILLE","40","130","64","2","1","0","0","0","237","482","Plattsville and District Public School"
"067","OXFORD","028","U","PLATTSVILLE","39","97","39","8","3","0","0","0","186","404","Plattsville and District Public School"
"067","OXFORD","029","U","PLATTSVILLE","36","129","59","4","0","0","0","0","228","508","Plattsville and District Public School"
"067","OXFORD","030","U","INNERKIP","23","154","63","10","0","1","0","0","251","513","Innerkip Community Centre"
"067","OXFORD","031","U","DRUMBO","27","101","75","7","3","1","0","0","214","424","Drumbo Agricultural Society Hall"
"067","OXFORD","032","U","DRUMBO","45","135","53","7","2","0","0","2","244","526","Blenheim District Public School"
"067","OXFORD","033","U","DRUMBO","27","62","45","7","1","1","0","0","143","298","Drumbo Agricultural Society Hall"
"067","OXFORD","034","U","PRINCETON","55","184","65","15","2","1","0","0","322","710","St. Francis Catholic School"
"067","OXFORD","035","U","PRINCETON","14","56","28","8","2","0","0","0","108","271","St. Francis Catholic School"
"067","OXFORD","036","U","INNERKIP","28","101","31","8","0","0","0","0","168","418","Innerkip Community Centre"
"067","OXFORD","037","U","PRINCETON","21","98","23","3","1","0","0","0","146","399","St. Francis Catholic School"
"067","OXFORD","038","U","WOODSTOCK","28","139","107","12","4","1","0","0","291","549","Woodstock Soccer Club"
"067","OXFORD","039","U","WOODSTOCK","28","113","66","3","6","1","0","0","217","440","Northdale Public School"
"067","OXFORD","040","U","WOODSTOCK","28","120","70","10","1","1","0","0","230","478","Northdale Public School"
"067","OXFORD","041","U","WOODSTOCK","24","91","56","10","0","0","0","0","181","439","Northdale Public School"
"067","OXFORD","042","U","WOODSTOCK","27","54","54","5","0","0","0","0","140","489","Royal Canadian Legion Branch 55"
"067","OXFORD","043","U","WOODSTOCK","26","64","59","1","1","0","0","0","151","423","Algonquin Public School"
"067","OXFORD","044","U","WOODSTOCK","27","155","57","6","2","1","0","0","248","400","800 Chieftain"
"067","OXFORD","045","U","WOODSTOCK","26","116","62","4","1","0","0","0","209","387","700 Chieftain"
"067","OXFORD","046","U","WOODSTOCK","17","33","30","3","0","1","0","0","84","291","St. Michael's Catholic School"
"067","OXFORD","047","U","WOODSTOCK","26","79","36","7","2","0","0","0","150","429","Algonquin Public School"
"067","OXFORD","048","U","WOODSTOCK","28","25","14","3","2","1","0","0","73","301","St. Michael's Catholic School"
"067","OXFORD","049","U","WOODSTOCK","35","69","49","2","2","0","1","0","158","361","St. Michael's Catholic School"
"067","OXFORD","050","U","WOODSTOCK","30","94","58","7","3","0","0","0","192","368","Algonquin Public School"
"067","OXFORD","051","U","WOODSTOCK","16","94","67","7","0","0","0","0","184","392","Covenant Christian Reformed Church"
"067","OXFORD","052","U","WOODSTOCK","17","95","54","9","2","0","0","0","177","400","Covenant Christian Reformed Church"
"067","OXFORD","053","U","WOODSTOCK","9","74","43","5","0","0","0","0","131","334","Covenant Christian Reformed Church"
"067","OXFORD","054","U","WOODSTOCK","30","114","82","8","1","0","0","0","235","517","Covenant Christian Reformed Church"
"067","OXFORD","055","U","WOODSTOCK","26","89","74","5","1","0","0","1","196","471","Covenant Christian Reformed Church"
"067","OXFORD","056","U","WOODSTOCK","18","73","85","5","0","0","0","0","181","441","Caw Local 636"
"067","OXFORD","057","U","WOODSTOCK","26","76","57","6","2","0","0","0","167","429","Caw Local 636"
