"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BABULA","DINOVO","GANETAKOS","LUU","PASTERNAK","RADEJEWSKY","ROJAS","TAR","TROTTIER","ZAUGG","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"068","PARKDALE--HIGH PARK","001","U","TORONTO","1","33","2","0","29","0","0","0","0","1","0","0","0","66","267","3725 Dundas Street West"
"068","PARKDALE--HIGH PARK","002","U","TORONTO","0","58","16","0","21","1","3","1","0","0","1","0","0","101","387","Warren Park Public School"
"068","PARKDALE--HIGH PARK","003","U","TORONTO","0","91","49","0","72","0","1","1","7","0","3","0","0","224","463","Warren Park Public School"
"068","PARKDALE--HIGH PARK","004","U","TORONTO","0","127","40","1","92","0","1","0","8","1","1","0","1","272","503","Warren Park Public School"
"068","PARKDALE--HIGH PARK","005","U","TORONTO","0","111","41","0","87","1","0","0","9","0","0","0","0","249","459","Warren Park Public School"
"068","PARKDALE--HIGH PARK","006","U","TORONTO","1","76","29","0","114","1","0","0","4","0","1","0","0","226","434","Jane/Dundas Branch Library"
"068","PARKDALE--HIGH PARK","007","U","TORONTO","0","101","23","1","63","0","0","1","5","0","0","0","0","194","351","Jane/Dundas Branch Library"
"068","PARKDALE--HIGH PARK","008","U","TORONTO","0","105","19","0","75","1","0","0","8","0","0","0","0","208","416","King George Public School"
"068","PARKDALE--HIGH PARK","009","U","TORONTO","0","126","38","1","86","1","0","0","8","0","0","1","0","261","500","King George Public School"
"068","PARKDALE--HIGH PARK","010","U","TORONTO","1","94","25","0","72","0","0","0","4","0","1","0","0","197","399","James Culnan Catholic School"
"068","PARKDALE--HIGH PARK","011","U","TORONTO","0","118","34","0","128","0","1","0","5","0","1","0","0","287","522","James Culnan Catholic School"
"068","PARKDALE--HIGH PARK","012","U","TORONTO","1","137","41","1","125","1","1","0","9","0","1","0","0","317","579","James Culnan Catholic School"
"068","PARKDALE--HIGH PARK","013","U","TORONTO","0","102","40","0","101","1","1","0","7","0","0","0","0","252","436","Humbercrest United Church"
"068","PARKDALE--HIGH PARK","014","U","TORONTO","0","54","74","0","109","0","0","0","7","0","1","0","0","245","457","Humbercrest United Church"
"068","PARKDALE--HIGH PARK","015","U","TORONTO","0","75","33","0","138","0","1","0","9","0","0","0","0","256","462","Humbercrest United Church"
"068","PARKDALE--HIGH PARK","016","U","TORONTO","0","80","46","0","107","0","1","0","11","0","0","0","0","245","486","Humbercrest United Church"
"068","PARKDALE--HIGH PARK","017","U","TORONTO","0","85","15","0","113","0","0","0","10","0","0","0","0","223","451","St. James Catholic Church"
"068","PARKDALE--HIGH PARK","018","U","TORONTO","0","82","34","0","95","0","1","0","6","0","1","0","0","219","416","St. James Catholic Church"
"068","PARKDALE--HIGH PARK","019","U","TORONTO","1","100","18","0","102","0","0","0","3","0","1","0","0","225","425","St. James Catholic Church"
"068","PARKDALE--HIGH PARK","020","U","TORONTO","0","113","33","0","107","1","2","1","14","0","0","0","0","271","456","Runnymede United Church"
"068","PARKDALE--HIGH PARK","021","U","TORONTO","2","115","39","0","130","0","0","0","5","0","0","0","0","291","513","Runnymede United Church"
"068","PARKDALE--HIGH PARK","022","U","TORONTO","0","101","38","0","108","1","0","0","4","0","0","0","0","252","489","Runnymede United Church"
"068","PARKDALE--HIGH PARK","023","U","TORONTO","0","90","34","0","88","1","0","0","6","0","2","0","0","221","452","Humbercrest United Church"
"068","PARKDALE--HIGH PARK","024","U","TORONTO","0","59","48","2","109","0","0","0","1","2","0","0","2","223","412","Humbercrest United Church"
"068","PARKDALE--HIGH PARK","025","U","TORONTO","0","43","21","1","81","0","0","0","3","0","0","1","0","150","400","Farmer Memorial Baptist Church"
"068","PARKDALE--HIGH PARK","026","U","TORONTO","0","73","35","0","90","2","0","0","6","0","0","0","0","206","454","Farmer Memorial Baptist Church"
"068","PARKDALE--HIGH PARK","027","U","TORONTO","0","85","41","0","113","0","1","0","6","0","2","0","0","248","495","Runnymede United Church"
"068","PARKDALE--HIGH PARK","028","U","TORONTO","1","94","29","0","105","0","1","0","2","0","0","0","0","232","438","Runnymede United Church"
"068","PARKDALE--HIGH PARK","029","U","TORONTO","0","73","32","0","113","0","1","0","13","0","1","0","0","233","488","Swansea Town Hall"
"068","PARKDALE--HIGH PARK","030","U","TORONTO","0","74","30","0","83","1","0","0","3","0","1","0","0","192","402","Swansea Town Hall"
"068","PARKDALE--HIGH PARK","031","U","TORONTO","0","72","31","0","105","0","0","0","11","1","0","0","0","220","445","Swansea Town Hall"
"068","PARKDALE--HIGH PARK","032","U","TORONTO","0","65","26","0","89","1","1","1","9","0","0","0","0","192","437","Swansea Town Hall"
"068","PARKDALE--HIGH PARK","033","U","TORONTO","0","64","40","0","82","0","0","0","4","0","0","0","0","190","422","Swansea Town Hall"
"068","PARKDALE--HIGH PARK","034","U","TORONTO","0","75","55","0","83","0","3","0","10","0","1","0","0","227","467","Farmer Memorial Baptist Church"
"068","PARKDALE--HIGH PARK","035","U","TORONTO","0","62","42","0","95","1","0","0","2","1","0","0","0","203","440","Farmer Memorial Baptist Church"
"068","PARKDALE--HIGH PARK","036","U","TORONTO","0","53","50","0","85","0","2","0","3","1","0","0","0","194","405","Farmer Memorial Baptist Church"
"068","PARKDALE--HIGH PARK","037","U","TORONTO","0","69","50","1","105","0","2","1","6","0","3","0","0","237","478","Swansea Town Hall"
"068","PARKDALE--HIGH PARK","038","U","TORONTO","0","77","55","0","80","0","0","0","7","0","0","0","0","219","505","Swansea Community Recreation Centre"
"068","PARKDALE--HIGH PARK","039","U","TORONTO","0","31","50","0","66","0","2","0","9","0","0","0","1","159","379","Swansea Community Recreation Centre"
"068","PARKDALE--HIGH PARK","040","U","TORONTO","1","92","24","0","68","0","2","0","2","0","0","0","0","189","497","Swansea Community Recreation Centre"
"068","PARKDALE--HIGH PARK","041","U","TORONTO","0","65","22","0","56","0","0","0","2","0","1","1","0","147","483","Swansea Community Recreation Centre"
"068","PARKDALE--HIGH PARK","042","U","TORONTO","0","52","35","0","95","1","2","0","6","0","0","0","0","191","412","Swansea Community Recreation Centre"
"068","PARKDALE--HIGH PARK","043","U","TORONTO","0","54","25","0","99","0","0","0","6","1","0","0","0","185","423","Swansea Town Hall"
"068","PARKDALE--HIGH PARK","044","U","TORONTO","0","85","9","1","48","1","0","0","3","0","1","0","0","148","438","King George Public School"
"068","PARKDALE--HIGH PARK","045","U","TORONTO","0","79","10","1","56","0","0","0","8","0","1","1","0","156","435","King George Public School"
"068","PARKDALE--HIGH PARK","046","U","TORONTO","0","72","18","0","40","3","1","1","10","0","0","0","1","146","370","King George Public School"
"068","PARKDALE--HIGH PARK","047","U","TORONTO","0","110","22","0","92","0","0","0","5","0","0","0","0","229","452","James Culnan Catholic School"
"068","PARKDALE--HIGH PARK","048","U","TORONTO","1","99","14","1","92","0","1","0","5","0","0","0","0","213","465","James Culnan Catholic School"
"068","PARKDALE--HIGH PARK","049","U","TORONTO","0","108","25","0","120","0","1","0","9","0","0","0","0","263","533","Annette Community Recreation Centre"
"068","PARKDALE--HIGH PARK","050","U","TORONTO","2","111","31","0","72","0","1","1","14","0","2","0","0","234","506","Annette Community Recreation Centre"
"068","PARKDALE--HIGH PARK","051","U","TORONTO","1","83","9","1","42","0","0","0","5","0","0","0","1","142","335","Annette Community Recreation Centre"
"068","PARKDALE--HIGH PARK","052","U","TORONTO","0","133","10","1","58","1","1","0","5","1","1","0","0","211","517","Lucy McCormick School"
"068","PARKDALE--HIGH PARK","053","U","TORONTO","1","113","14","0","64","0","2","0","12","0","0","0","0","206","474","Annette Community Recreation Centre"
"068","PARKDALE--HIGH PARK","054","U","TORONTO","0","114","20","0","84","0","0","0","5","0","0","0","0","223","469","Annette Library"
"068","PARKDALE--HIGH PARK","055","U","TORONTO","0","96","16","0","78","0","1","0","7","0","2","3","0","203","483","Annette Library"
"068","PARKDALE--HIGH PARK","056","U","TORONTO","1","98","15","0","90","0","0","0","8","0","0","0","0","212","438","Annette Community Recreation Centre"
"068","PARKDALE--HIGH PARK","057","U","TORONTO","0","97","37","0","108","0","0","0","5","0","0","0","1","248","477","Annette Community Recreation Centre"
"068","PARKDALE--HIGH PARK","058","U","TORONTO","0","83","17","0","95","0","1","0","5","1","0","0","0","202","432","Annette Community Recreation Centre"
"068","PARKDALE--HIGH PARK","059","U","TORONTO","0","78","19","0","123","2","0","0","10","0","0","0","1","233","433","Runnymede United Church"
"068","PARKDALE--HIGH PARK","060","U","TORONTO","0","80","35","0","103","0","0","0","7","0","0","1","0","226","449","St. John's Anglican Church West Toronto"
