"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","MILLER","RICHTER","STIVRINS","WATERS","ZYGANIUK","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"069","PARRY SOUND--MUSKOKA","001","R","RESTOULE","128","10","2","32","65","0","0","0","237","386","Restoule Community Centre"
"069","PARRY SOUND--MUSKOKA","002","R","PORT LORING","83","7","0","33","24","0","0","0","147","272","Argyle Public School"
"069","PARRY SOUND--MUSKOKA","003","R","PORT LORING","68","2","0","9","8","0","0","0","87","165","Argyle Public School"
"069","PARRY SOUND--MUSKOKA","004","R","PORT LORING","95","3","0","44","24","0","0","0","166","287","Argyle Public School"
"069","PARRY SOUND--MUSKOKA","005","R","BRITT","55","4","0","32","38","1","0","0","130","344","Britt Public School"
"069","PARRY SOUND--MUSKOKA","006","R","POINTE AU BARIL","88","6","1","21","11","0","0","0","127","252","Pointe Au Baril Community Centre"
"069","PARRY SOUND--MUSKOKA","007","R","DUNCHURCH","86","9","0","18","24","0","0","0","137","255","Hagerman Dunchurch Community Centre"
"069","PARRY SOUND--MUSKOKA","008","R","DUNCHURCH","145","7","1","57","66","1","0","0","277","497","Hagerman Dunchurch Community Centre"
"069","PARRY SOUND--MUSKOKA","009","R","DUNCHURCH","37","1","0","12","15","0","0","0","65","253","Hagerman Dunchurch Community Centre"
"069","PARRY SOUND--MUSKOKA","010","R","MAGNETAWAN","153","11","2","31","58","1","2","0","258","451","Magnetawan Community Centre"
"069","PARRY SOUND--MUSKOKA","011","R","MAGNETAWAN","86","8","0","20","23","0","0","0","137","287","Magnetawan Community Centre"
"069","PARRY SOUND--MUSKOKA","012","R","MCKELLAR","92","11","4","37","38","0","0","0","182","428","McKellar Community Centre"
"069","PARRY SOUND--MUSKOKA","013","R","MCKELLAR","96","7","1","36","44","0","0","0","184","371","McKellar Community Centre"
"069","PARRY SOUND--MUSKOKA","014","R","PARRY SOUND","46","3","0","13","22","0","0","0","84","209","Waubamik Community Centre"
"069","PARRY SOUND--MUSKOKA","015","R","PARRY SOUND","67","4","1","23","37","0","0","0","132","288","Waubamik Community Centre"
"069","PARRY SOUND--MUSKOKA","016","R","PARRY SOUND","60","2","2","22","24","0","0","0","110","245","Waubamik Community Centre"
"069","PARRY SOUND--MUSKOKA","017","R","NOBEL","68","7","2","15","21","0","0","0","113","227","Carling Recreation Centre"
"069","PARRY SOUND--MUSKOKA","018","R","NOBEL","59","10","1","29","31","1","0","0","131","273","Carling Recreation Centre"
"069","PARRY SOUND--MUSKOKA","019","R","NOBEL","82","2","0","27","34","0","0","0","145","294","Carling Recreation Centre"
"069","PARRY SOUND--MUSKOKA","020","R","PARRY SOUND","64","7","1","39","12","0","0","0","123","296","Parry Sound YMCA"
"069","PARRY SOUND--MUSKOKA","021","R","PARRY SOUND","73","4","1","30","24","0","0","0","132","371","Parry Sound YMCA"
"069","PARRY SOUND--MUSKOKA","022","R","PARRY SOUND","47","6","1","34","22","1","0","0","111","259","Parry Sound YMCA"
"069","PARRY SOUND--MUSKOKA","023","R","PARRY SOUND","66","6","1","20","16","0","0","0","109","248","Parry Sound YMCA"
"069","PARRY SOUND--MUSKOKA","024","R","PARRY SOUND","109","11","4","31","33","1","0","0","189","549","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","025","R","PARRY SOUND","60","8","1","21","24","0","0","0","114","346","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","026","R","PARRY SOUND","52","10","2","14","36","1","0","0","115","348","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","027","R","PARRY SOUND","35","5","0","20","19","0","0","0","79","299","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","028","R","PARRY SOUND","70","3","2","31","41","1","0","0","148","446","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","029","R","PARRY SOUND","49","5","0","27","28","1","0","0","110","377","Bobby Orr Community Centre"
"069","PARRY SOUND--MUSKOKA","030","R","PARRY SOUND","45","3","0","19","25","0","0","0","92","269","Bobby Orr Community Centre"
