"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DESJARDINS","DEVRIES","PAPENBURG","PETTAPIECE","SMINK","WILKINSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"070","PERTH--WELLINGTON","001","U","CLIFFORD","8","10","49","74","1","67","0","1","0","210","456","Clifford Public Library"
"070","PERTH--WELLINGTON","002","U","CLIFFORD","3","4","35","67","0","51","0","0","0","160","335","Clifford Public Library"
"070","PERTH--WELLINGTON","003","U","HARRISTON","9","4","21","101","0","60","0","0","0","195","404","Harriston Minto Community Complex"
"070","PERTH--WELLINGTON","004","U","HARRISTON","8","4","25","74","1","54","0","1","0","167","402","Harriston Minto Community Complex"
"070","PERTH--WELLINGTON","005","U","HARRISTON","11","2","28","86","0","57","0","0","0","184","368","Harriston Minto Community Complex"
"070","PERTH--WELLINGTON","006","U","HARRISTON","2","3","40","112","1","73","0","0","0","231","451","Harriston Minto Community Complex"
"070","PERTH--WELLINGTON","007","U","HARRISTON","2","2","17","69","1","70","0","0","0","161","338","Harriston Minto Community Complex"
"070","PERTH--WELLINGTON","008","U","HARRISTON","7","7","38","104","0","62","0","1","1","220","464","Harriston Minto Community Complex"
"070","PERTH--WELLINGTON","009","U","HARRISTON","4","5","40","74","1","58","1","1","0","184","464","Harriston Minto Community Complex"
"070","PERTH--WELLINGTON","010","U","HARRISTON","0","4","10","39","0","53","0","0","0","106","296","Harriston Minto Community Complex"
"070","PERTH--WELLINGTON","011","U","PALMERSTON","5","6","40","83","2","65","1","0","0","202","475","Palmerston and District Community Centre"
"070","PERTH--WELLINGTON","012","U","PALMERSTON","8","7","30","50","1","35","0","0","0","131","376","Palmerston and District Community Centre"
"070","PERTH--WELLINGTON","013","U","PALMERSTON","4","6","25","40","0","52","0","0","1","128","303","Palmerston and District Community Centre"
"070","PERTH--WELLINGTON","014","U","PALMERSTON","3","6","31","74","1","81","0","0","0","196","459","Palmerston and District Community Centre"
"070","PERTH--WELLINGTON","015","U","MOUNT FOREST","2","7","24","85","0","53","0","0","0","171","413","Mount Forest and District Sports Complex"
"070","PERTH--WELLINGTON","016","U","MOUNT FOREST","6","4","34","83","0","49","0","0","0","176","518","Mount Forest and District Sports Complex"
"070","PERTH--WELLINGTON","017A","U","MOUNT FOREST","2","2","29","46","0","39","1","0","0","119","299","Mount Forest and District Sports Complex"
"070","PERTH--WELLINGTON","017B","U","MOUNT FOREST","0","1","15","36","0","45","0","0","0","97","257","Mount Forest and District Sports Complex"
"070","PERTH--WELLINGTON","018","U","MOUNT FOREST","3","2","16","62","1","53","0","0","0","137","336","Mount Forest and District Sports Complex"
"070","PERTH--WELLINGTON","019","U","MOUNT FOREST","8","4","23","47","0","39","0","0","0","121","500","Mount Forest and District Sports Complex"
"070","PERTH--WELLINGTON","020","U","MOUNT FOREST","4","4","33","62","1","54","1","0","0","159","428","Mount Forest and District Sports Complex"
"070","PERTH--WELLINGTON","021","U","MOUNT FOREST","5","2","40","72","0","32","0","0","0","151","413","Mount Forest and District Sports Complex"
"070","PERTH--WELLINGTON","022","U","MOUNT FOREST","3","1","26","46","0","79","0","0","0","155","400","Mount Forest and District Sports Complex"
