"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BEAMISH","LEAL","LONG","NICKLE","RANNEY","WILSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"071","PETERBOROUGH","001","U","APSLEY","0","7","0","10","0","13","0","0","0","30","57","Anchorage Marina"
"071","PETERBOROUGH","002","U","HAVELOCK","3","18","0","16","0","19","0","0","0","56","159","Moore's Residence"
"071","PETERBOROUGH","003","U","LAKEFIELD","0","9","1","12","0","19","0","0","0","41","148","Irwin Inn"
"071","PETERBOROUGH","004","U","CORDOVA MINES","6","33","1","54","0","86","0","0","0","180","315","Cordova Mines Community Centre"
"071","PETERBOROUGH","005","U","HAVELOCK","10","37","0","41","1","82","0","0","0","171","368","Havelock-Belmont Public School"
"071","PETERBOROUGH","006","U","LAKEFIELD","4","35","0","20","0","57","0","0","0","116","249","Irwin Inn"
"071","PETERBOROUGH","007","U","WARSAW","2","28","1","30","0","35","0","0","0","96","234","Douro-Dummer Municipal Office"
"071","PETERBOROUGH","008","U","WARSAW","2","43","0","30","0","41","0","0","0","116","285","Douro-Dummer Municipal Office"
"071","PETERBOROUGH","009","U","YOUNGS POINT","7","43","0","37","0","71","0","0","2","160","353","Linwood Homes Ltd"
"071","PETERBOROUGH","010","U","LAKEFIELD","3","51","0","27","0","66","0","0","0","147","352","Wesley United Church"
"071","PETERBOROUGH","011","U","LAKEFIELD","3","64","0","42","0","66","1","0","0","176","335","Wesley United Church"
"071","PETERBOROUGH","012","U","YOUNGS POINT","4","72","1","50","0","69","0","2","0","198","421","Linwood Homes Ltd"
"071","PETERBOROUGH","013","U","LAKEFIELD","4","49","0","27","0","50","0","1","0","131","311","Wesley United Church"
"071","PETERBOROUGH","014","U","CURVE LAKE","5","33","1","58","0","25","0","0","0","122","327","Curve Lake First Nation Community Centre"
"071","PETERBOROUGH","015","U","CURVE LAKE","1","39","1","56","0","14","0","0","0","111","336","Curve Lake First Nation Community Centre"
"071","PETERBOROUGH","016","U","YOUNGS POINT","2","53","0","32","0","68","0","0","0","155","400","Linwood Homes Ltd"
"071","PETERBOROUGH","017","U","LAKEFIELD","5","57","0","55","0","56","0","0","0","173","369","Ridpath Junior Public School"
"071","PETERBOROUGH","018","U","LAKEFIELD","6","50","0","28","0","63","0","0","0","147","328","Ridpath Junior Public School"
"071","PETERBOROUGH","019","U","WARSAW","4","51","0","26","0","49","0","0","0","130","322","Warsaw Public School"
"071","PETERBOROUGH","020","U","WARSAW","2","66","1","47","0","60","1","0","0","177","312","Warsaw Public School"
"071","PETERBOROUGH","021","U","NORWOOD","2","49","0","40","1","51","0","0","0","143","397","Norwood District Public School"
"071","PETERBOROUGH","022","U","HAVELOCK","3","26","0","24","0","53","1","0","0","107","319","Havelock-Belmont Public School"
"071","PETERBOROUGH","023","U","HAVELOCK","9","51","1","44","0","118","0","0","0","223","445","Belmont Women's Institute Hall"
"071","PETERBOROUGH","024","U","HAVELOCK","4","20","0","31","0","50","0","0","0","105","185","Belmont Women's Institute Hall"
"071","PETERBOROUGH","025","U","HAVELOCK","4","40","0","51","1","96","2","0","0","194","466","Belmont Women's Institute Hall"
"071","PETERBOROUGH","026","U","ENNISMORE","0","59","0","26","0","66","0","0","0","151","350","St. Martin's Roman Catholic Church Hall"
"071","PETERBOROUGH","027","U","ENNISMORE","2","45","0","47","0","76","0","0","0","170","381","St. Martin's Roman Catholic Church Hall"
"071","PETERBOROUGH","028","U","ENNISMORE","5","52","0","31","0","72","0","0","0","160","357","St. Martin's Roman Catholic Church Hall"
"071","PETERBOROUGH","029","U","ENNISMORE","2","69","0","33","0","62","0","1","0","167","390","St. Martin's School"
"071","PETERBOROUGH","030","U","ENNISMORE","6","105","0","35","0","70","0","0","0","216","421","St. Martin's Roman Catholic Church Hall"
"071","PETERBOROUGH","031","U","ENNISMORE","2","75","0","40","0","54","0","0","0","171","446","St. Martin's School"
"071","PETERBOROUGH","032","U","ENNISMORE","1","53","0","51","0","52","0","0","0","157","407","St. Martin's School"
"071","PETERBOROUGH","033","U","ENNISMORE","2","52","1","37","0","55","0","0","0","147","337","St. Martin's School"
"071","PETERBOROUGH","034","U","ENNISMORE","4","56","0","37","0","94","0","0","0","191","373","Causeway Christian Assembly"
"071","PETERBOROUGH","035","U","ENNISMORE","0","67","0","27","0","75","0","0","0","169","395","Causeway Christian Assembly"
"071","PETERBOROUGH","036","U","BRIDGENORTH","0","58","0","25","0","64","0","1","0","148","345","Chemong Public School"
"071","PETERBOROUGH","037","U","BRIDGENORTH","4","83","0","37","0","78","0","0","0","202","438","Chemong Public School"
"071","PETERBOROUGH","038","U","BRIDGENORTH","2","46","0","30","0","44","0","0","0","122","296","Chemong Public School"
"071","PETERBOROUGH","039","U","BRIDGENORTH","7","43","1","41","0","51","1","0","3","147","317","Chemong Public School"
"071","PETERBOROUGH","040","U","BRIDGENORTH","3","60","0","35","0","67","0","0","0","165","358","Chemong Public School"
"071","PETERBOROUGH","041","U","BRIDGENORTH","1","69","0","29","0","65","0","0","0","164","377","Chemong Public School"
"071","PETERBOROUGH","042","U","LAKEFIELD","1","41","0","26","0","59","0","0","0","127","310","St. Paul's School, Lakefield"
"071","PETERBOROUGH","043","U","LAKEFIELD","1","44","2","38","0","33","1","0","0","119","329","St. Paul's School, Lakefield"
"071","PETERBOROUGH","044","U","PETERBOROUGH","6","62","0","38","1","70","1","0","0","178","390","Wayside Academy"
"071","PETERBOROUGH","045","U","LAKEFIELD","5","34","0","46","0","55","0","0","0","140","356","St. Paul's School, Lakefield"
"071","PETERBOROUGH","046","U","LAKEFIELD","11","43","0","45","0","58","0","0","0","157","358","St. Paul's School, Lakefield"
"071","PETERBOROUGH","047","U","LAKEFIELD","2","65","0","58","0","33","1","0","0","159","312","St. Paul's School, Lakefield"
"071","PETERBOROUGH","048","U","LAKEFIELD","0","42","0","36","0","35","1","0","0","114","338","St. Paul's School, Lakefield"
"071","PETERBOROUGH","049","U","LAKEFIELD","5","85","1","48","0","50","0","0","0","189","352","Ridpath Junior Public School"
"071","PETERBOROUGH","050","U","LAKEFIELD","2","39","0","35","0","45","0","0","0","121","333","Ridpath Junior Public School"
"071","PETERBOROUGH","051","U","LAKEFIELD","0","65","0","37","0","63","0","0","0","165","370","Ridpath Junior Public School"
