"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CARIÑO","GAUDET","MACCHARLES","SMITH","THOMAS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"072","PICKERING--SCARBOROUGH EAST","001A","U","PICKERING","25","28","45","5","0","2","0","0","105","304","Glengrove Public School"
"072","PICKERING--SCARBOROUGH EAST","001B","U","PICKERING","20","39","53","6","2","0","0","0","120","302","Glengrove Public School"
"072","PICKERING--SCARBOROUGH EAST","002","U","PICKERING","35","38","55","3","0","0","0","0","131","426","Glengrove Public School"
"072","PICKERING--SCARBOROUGH EAST","003","U","PICKERING","32","49","50","4","2","1","0","0","138","428","Glengrove Public School"
"072","PICKERING--SCARBOROUGH EAST","004","U","PICKERING","31","46","49","10","1","0","0","0","137","407","Glengrove Public School"
"072","PICKERING--SCARBOROUGH EAST","005","U","PICKERING","30","33","70","1","1","0","0","0","135","506","City of Pickering, City Hall"
"072","PICKERING--SCARBOROUGH EAST","006","U","PICKERING","18","15","22","0","1","0","0","0","56","317","City of Pickering, City Hall"
"072","PICKERING--SCARBOROUGH EAST","007","U","PICKERING","25","39","36","5","2","1","0","0","108","376","Glengrove Public School"
"072","PICKERING--SCARBOROUGH EAST","008","U","PICKERING","29","46","39","5","3","0","0","0","122","379","Glengrove Public School"
"072","PICKERING--SCARBOROUGH EAST","009","U","PICKERING","30","67","76","3","0","0","0","0","176","441","Vaughan Willard Public School"
"072","PICKERING--SCARBOROUGH EAST","010","U","PICKERING","28","88","67","7","0","0","0","0","190","387","Vaughan Willard Public School"
"072","PICKERING--SCARBOROUGH EAST","011","U","PICKERING","26","62","112","3","2","0","0","0","205","472","Vaughan Willard Public School"
"072","PICKERING--SCARBOROUGH EAST","012","U","PICKERING","17","64","66","5","3","1","0","0","156","397","Vaughan Willard Public School"
"072","PICKERING--SCARBOROUGH EAST","013","U","PICKERING","30","62","62","8","5","1","0","0","168","451","Vaughan Willard Public School"
"072","PICKERING--SCARBOROUGH EAST","014","U","PICKERING","44","79","79","8","1","0","0","1","212","434","Vaughan Willard Public School"
"072","PICKERING--SCARBOROUGH EAST","015","U","PICKERING","43","60","91","15","3","0","1","0","213","445","Vaughan Willard Public School"
"072","PICKERING--SCARBOROUGH EAST","016A","U","PICKERING","21","48","50","3","0","0","0","0","122","279","William Dunbar Public School"
"072","PICKERING--SCARBOROUGH EAST","016B","U","PICKERING","25","42","58","1","1","0","1","0","128","252","William Dunbar Public School"
"072","PICKERING--SCARBOROUGH EAST","017","U","PICKERING","44","78","80","7","0","0","0","0","209","483","William Dunbar Public School"
"072","PICKERING--SCARBOROUGH EAST","018","U","PICKERING","17","72","92","4","2","1","0","0","188","429","William Dunbar Public School"
"072","PICKERING--SCARBOROUGH EAST","019","U","PICKERING","30","81","103","5","0","0","0","0","219","475","William Dunbar Public School"
"072","PICKERING--SCARBOROUGH EAST","020A","U","PICKERING","10","61","51","2","1","0","0","0","125","260","William Dunbar Public School"
"072","PICKERING--SCARBOROUGH EAST","020B","U","PICKERING","18","39","55","5","0","0","0","0","117","266","William Dunbar Public School"
"072","PICKERING--SCARBOROUGH EAST","021","U","PICKERING","35","90","71","7","0","0","0","0","203","459","William Dunbar Public School"
"072","PICKERING--SCARBOROUGH EAST","022","U","PICKERING","18","57","92","3","0","1","0","1","172","477","William Dunbar Public School"
"072","PICKERING--SCARBOROUGH EAST","023","U","PICKERING","34","77","96","7","0","0","0","0","214","462","William Dunbar Public School"
"072","PICKERING--SCARBOROUGH EAST","024A","U","PICKERING","20","45","40","4","0","1","0","0","110","268","William Dunbar Public School"
"072","PICKERING--SCARBOROUGH EAST","024B","U","PICKERING","11","46","39","6","0","0","0","0","102","246","William Dunbar Public School"
"072","PICKERING--SCARBOROUGH EAST","025","U","PICKERING","24","75","85","5","1","0","0","0","190","460","Gandatsetiagon Public School"
"072","PICKERING--SCARBOROUGH EAST","026","U","PICKERING","23","64","95","12","1","3","0","0","198","473","St. Marguerite Bourgeoys Catholic School"
"072","PICKERING--SCARBOROUGH EAST","027","U","PICKERING","16","47","66","4","0","0","0","0","133","458","Dunbarton High School"
"072","PICKERING--SCARBOROUGH EAST","028","U","PICKERING","32","71","68","6","0","0","0","0","177","422","Gandatsetiagon Public School"
"072","PICKERING--SCARBOROUGH EAST","029","U","PICKERING","29","68","110","1","4","0","0","0","212","447","Gandatsetiagon Public School"
"072","PICKERING--SCARBOROUGH EAST","030","U","PICKERING","27","69","107","2","0","0","0","0","205","437","Gandatsetiagon Public School"
"072","PICKERING--SCARBOROUGH EAST","031","U","PICKERING","36","81","108","10","1","2","0","0","238","475","St. Marguerite Bourgeoys Catholic School"
"072","PICKERING--SCARBOROUGH EAST","032","U","PICKERING","26","61","80","11","0","1","0","0","179","387","St. Marguerite Bourgeoys Catholic School"
"072","PICKERING--SCARBOROUGH EAST","033","U","PICKERING","26","15","50","3","0","0","1","0","95","350","St. Mary Catholic Secondary School"
"072","PICKERING--SCARBOROUGH EAST","034","U","PICKERING","24","57","93","6","0","0","0","0","180","439","St. Mary Catholic Secondary School"
"072","PICKERING--SCARBOROUGH EAST","035","U","PICKERING","28","52","90","6","0","2","0","0","178","464","St. Mary Catholic Secondary School"
"072","PICKERING--SCARBOROUGH EAST","036","U","PICKERING","28","59","89","2","2","0","0","0","180","461","St. Marguerite Bourgeoys Catholic School"
"072","PICKERING--SCARBOROUGH EAST","037A","U","PICKERING","6","40","47","3","0","0","0","0","96","263","St. Marguerite Bourgeoys Catholic School"
"072","PICKERING--SCARBOROUGH EAST","037B","U","PICKERING","15","31","38","2","3","0","0","1","90","259","St. Marguerite Bourgeoys Catholic School"
"072","PICKERING--SCARBOROUGH EAST","038A","U","PICKERING","19","36","51","4","1","1","0","0","112","298","Dunbarton High School"
"072","PICKERING--SCARBOROUGH EAST","038B","U","PICKERING","15","36","68","0","2","0","0","0","121","290","Dunbarton High School"
"072","PICKERING--SCARBOROUGH EAST","039","U","PICKERING","17","51","79","6","1","0","0","0","154","450","Dunbarton High School"
"072","PICKERING--SCARBOROUGH EAST","040","U","PICKERING","25","53","107","4","0","0","0","0","189","468","St. Mary Catholic Secondary School"
"072","PICKERING--SCARBOROUGH EAST","041","U","PICKERING","22","70","97","4","0","2","0","0","195","454","St. Mary Catholic Secondary School"
"072","PICKERING--SCARBOROUGH EAST","042","U","PICKERING","21","80","74","7","0","0","0","0","182","448","St. Mary Catholic Secondary School"
"072","PICKERING--SCARBOROUGH EAST","043","U","PICKERING","36","75","97","3","2","1","0","0","214","464","St. Mary Catholic Secondary School"
"072","PICKERING--SCARBOROUGH EAST","044","U","PICKERING","21","76","91","7","0","1","0","0","196","455","St. Mary Catholic Secondary School"
"072","PICKERING--SCARBOROUGH EAST","045","U","PICKERING","28","66","101","10","2","0","0","0","207","493","Highbush Public School"
"072","PICKERING--SCARBOROUGH EAST","046","U","PICKERING","45","82","80","7","2","2","0","0","218","451","Highbush Public School"
"072","PICKERING--SCARBOROUGH EAST","047A","U","PICKERING","17","41","40","2","2","0","0","0","102","279","Highbush Public School"
"072","PICKERING--SCARBOROUGH EAST","047B","U","PICKERING","16","34","37","2","1","0","0","0","90","248","Highbush Public School"
"072","PICKERING--SCARBOROUGH EAST","048","U","PICKERING","24","26","58","9","1","0","0","0","118","317","Altona Forest Public School"
"072","PICKERING--SCARBOROUGH EAST","049","U","PICKERING","33","60","116","4","4","2","0","0","219","475","Altona Forest Public School"
"072","PICKERING--SCARBOROUGH EAST","050","U","PICKERING","21","65","99","5","3","1","0","0","194","430","Altona Forest Public School"
"072","PICKERING--SCARBOROUGH EAST","051","U","PICKERING","28","53","89","6","1","0","0","0","177","485","Highbush Public School"
"072","PICKERING--SCARBOROUGH EAST","052","U","PICKERING","24","48","69","6","0","0","0","0","147","350","Highbush Public School"
