"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DOMBROWSKY","FORD","HAYES","HULL","SKINNER","SMITH","TUCK","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"073","PRINCE EDWARD--HASTINGS","001","U","MAYNOOTH","18","0","11","1","2","17","0","0","0","1","50","271","Municipality of Hastings Highlands"
"073","PRINCE EDWARD--HASTINGS","002","U","MAYNOOTH","30","1","40","4","4","40","1","0","0","0","120","373","Municipality of Hastings Highlands"
"073","PRINCE EDWARD--HASTINGS","003","U","COMBERMERE","53","4","32","4","0","100","0","0","0","0","193","398","Bangor Community Centre"
"073","PRINCE EDWARD--HASTINGS","004","U","MAYNOOTH","28","1","20","2","0","59","1","0","0","0","111","323","Municipality of Hastings Highlands"
"073","PRINCE EDWARD--HASTINGS","005","U","MAYNOOTH","38","1","35","5","0","67","1","0","1","0","148","414","Municipality of Hastings Highlands"
"073","PRINCE EDWARD--HASTINGS","006","U","BANCROFT","40","0","72","10","0","127","0","1","1","0","251","597","Carlow Community Centre"
"073","PRINCE EDWARD--HASTINGS","007","U","BANCROFT","73","0","58","3","1","84","0","0","0","0","219","458","Bird's Creek Public School"
"073","PRINCE EDWARD--HASTINGS","008","U","BANCROFT","34","0","41","5","0","80","0","2","0","0","162","387","Bird's Creek Public School"
"073","PRINCE EDWARD--HASTINGS","009","U","BANCROFT","39","0","33","1","0","48","0","2","0","0","123","387","Bird's Creek Public School"
"073","PRINCE EDWARD--HASTINGS","010","U","BANCROFT","68","3","45","1","1","96","0","1","0","0","215","594","Royal Canadian Legion - Branch 181"
"073","PRINCE EDWARD--HASTINGS","011","U","BANCROFT","49","1","42","5","2","74","0","0","0","0","173","463","Royal Canadian Legion - Branch 181"
"073","PRINCE EDWARD--HASTINGS","012","U","BANCROFT","50","1","51","3","1","53","0","0","0","0","159","392","Royal Canadian Legion - Branch 181"
"073","PRINCE EDWARD--HASTINGS","013","U","BANCROFT","49","0","40","8","0","75","0","0","0","0","172","449","Royal Canadian Legion - Branch 181"
"073","PRINCE EDWARD--HASTINGS","014","U","BANCROFT","38","0","30","4","0","79","0","0","0","0","151","472","Royal Canadian Legion - Branch 181"
"073","PRINCE EDWARD--HASTINGS","015","U","BANCROFT","14","0","20","4","0","51","0","0","0","0","89","441","Mayo Community Centre"
"073","PRINCE EDWARD--HASTINGS","016","U","BANCROFT","62","0","67","8","2","117","0","1","1","0","258","597","Faraday Township Community Centre"
"073","PRINCE EDWARD--HASTINGS","017","U","L'AMABLE","71","2","40","8","0","122","0","0","0","0","243","593","Dungannon Recreation Centre"
"073","PRINCE EDWARD--HASTINGS","018","U","COE HILL","44","1","35","1","0","69","0","0","0","1","151","385","Wollaston Towmship Community Centre"
"073","PRINCE EDWARD--HASTINGS","019","U","GILMOUR","67","3","42","9","2","60","1","1","1","0","186","372","Township of Tudor and Cashel"
"073","PRINCE EDWARD--HASTINGS","020","U","COE HILL","69","0","38","6","2","83","0","0","0","2","200","443","Wollaston Towmship Community Centre"
"073","PRINCE EDWARD--HASTINGS","021","U","GILMOUR","14","1","22","4","0","27","0","0","0","0","68","370","Township of Tudor and Cashel"
"073","PRINCE EDWARD--HASTINGS","022","U","MADOC","42","2","37","7","0","62","3","1","1","0","155","437","Township of Madoc Recreation Centre"
"073","PRINCE EDWARD--HASTINGS","023","U","MADOC","61","5","39","4","1","121","1","0","0","0","232","585","Queensborough Community Centre"
"073","PRINCE EDWARD--HASTINGS","024","U","MARMORA","55","3","41","4","2","64","0","0","0","0","169","392","Municipality of Marmora and Lake"
"073","PRINCE EDWARD--HASTINGS","025","U","MARMORA","55","2","32","5","1","65","0","1","0","0","161","424","Marmora Pentecostal Church"
"073","PRINCE EDWARD--HASTINGS","026","U","MARMORA","63","0","24","8","5","70","0","0","0","0","170","502","Municipality of Marmora and Lake"
"073","PRINCE EDWARD--HASTINGS","027","U","MARMORA","53","3","44","4","0","81","0","0","0","0","185","412","Marmora Pentecostal Church"
"073","PRINCE EDWARD--HASTINGS","028","U","MARMORA","47","1","36","8","2","56","0","0","0","0","150","402","Deloro Community Hall"
"073","PRINCE EDWARD--HASTINGS","029","U","MADOC","53","4","32","9","0","60","0","0","0","0","158","367","Township of Madoc Recreation Centre"
"073","PRINCE EDWARD--HASTINGS","030","U","MADOC","51","0","29","5","1","62","0","0","0","0","148","477","Arts Centre Hastings"
"073","PRINCE EDWARD--HASTINGS","031","U","TWEED","83","2","44","10","0","69","0","0","0","0","208","522","Actinolite Recreation Centre"
"073","PRINCE EDWARD--HASTINGS","032","U","MARMORA","41","0","42","1","0","81","2","2","0","0","169","449","Marmora Pentecostal Church"
"073","PRINCE EDWARD--HASTINGS","033","U","MARMORA","24","1","29","1","0","59","0","0","0","0","114","378","Marmora Pentecostal Church"
"073","PRINCE EDWARD--HASTINGS","034","U","MADOC","26","0","26","1","0","57","0","0","0","0","110","360","Arts Centre Hastings"
"073","PRINCE EDWARD--HASTINGS","035","U","MADOC","68","0","33","10","1","61","0","0","1","0","174","454","Arts Centre Hastings"
"073","PRINCE EDWARD--HASTINGS","036","U","MADOC","65","0","21","4","4","55","3","0","1","0","153","504","Arts Centre Hastings"
"073","PRINCE EDWARD--HASTINGS","037","U","SPRINGBROOK","49","1","71","4","1","137","0","0","0","0","263","526","Stirling-Rawdon Community Hall"
"073","PRINCE EDWARD--HASTINGS","038","U","MADOC","51","1","49","4","0","106","0","0","0","0","211","496","Huntingdon Veterans Community Hall"
"073","PRINCE EDWARD--HASTINGS","039","U","TWEED","62","0","31","5","1","77","1","1","0","0","178","489","Tweed Public Library"
"073","PRINCE EDWARD--HASTINGS","040","U","TWEED","92","0","35","6","0","70","0","1","0","0","204","487","Tweed Agricultural Building"
"073","PRINCE EDWARD--HASTINGS","041","U","TWEED","79","0","27","3","1","54","0","2","0","0","166","511","Tweed Agricultural Building"
"073","PRINCE EDWARD--HASTINGS","042","U","TWEED","63","0","19","3","0","58","3","0","0","0","146","454","Tweed Agricultural Building"
"073","PRINCE EDWARD--HASTINGS","043","U","SPRINGBROOK","48","1","37","6","0","92","0","0","0","0","184","439","Stirling-Rawdon Community Hall"
"073","PRINCE EDWARD--HASTINGS","044","U","MADOC","90","5","20","4","1","97","1","0","0","0","218","477","Huntingdon Veterans Community Hall"
"073","PRINCE EDWARD--HASTINGS","045","U","TWEED","70","1","42","5","0","84","2","0","0","0","204","474","Tweed Public Library"
"073","PRINCE EDWARD--HASTINGS","046","U","TWEED","79","0","21","5","1","73","0","0","1","1","181","521","Tweed Agricultural Building"
"073","PRINCE EDWARD--HASTINGS","047","U","STIRLING","49","0","21","8","0","123","0","0","0","0","201","444","Stirling Rotary Club"
"073","PRINCE EDWARD--HASTINGS","048","U","STIRLING","37","0","14","5","1","67","0","0","1","0","125","380","Stirling Rotary Club"
"073","PRINCE EDWARD--HASTINGS","049","U","STIRLING","54","0","35","4","0","81","0","0","0","0","174","441","Stirling Rotary Club"
"073","PRINCE EDWARD--HASTINGS","050","U","STIRLING","47","0","19","7","0","54","1","0","0","0","128","392","Stirling Rotary Club"
"073","PRINCE EDWARD--HASTINGS","051","U","STIRLING","64","0","34","4","1","98","0","0","0","0","201","458","Stirling Rotary Club"
"073","PRINCE EDWARD--HASTINGS","052","U","ROSLIN","64","1","23","7","1","77","1","0","0","0","174","417","Moira Hall"
"073","PRINCE EDWARD--HASTINGS","053","U","THOMASBURG","56","0","47","5","0","89","0","0","0","0","197","425","Thomasburg Community Hall"
"073","PRINCE EDWARD--HASTINGS","054","U","THOMASBURG","69","0","29","8","0","73","1","0","0","0","180","488","Thomasburg Community Hall"
"073","PRINCE EDWARD--HASTINGS","055","U","MARLBANK","58","3","38","5","4","73","0","0","0","0","181","430","St. Matthew's Anglican Church Hall"
"073","PRINCE EDWARD--HASTINGS","056","U","ROSLIN","59","2","24","1","1","90","0","0","0","0","177","520","Moira Hall"
"073","PRINCE EDWARD--HASTINGS","057","U","ROSLIN","77","1","29","5","0","84","0","0","0","0","196","451","Moira Hall"
"073","PRINCE EDWARD--HASTINGS","058","U","FOXBORO","80","1","24","3","0","90","0","0","0","0","198","506","Foxboro Senior Elementary School"
"073","PRINCE EDWARD--HASTINGS","059","U","CORBYVILLE","48","2","30","6","3","108","1","0","0","0","198","564","River Inn Corbyville"
"073","PRINCE EDWARD--HASTINGS","060","U","FOXBORO","55","0","28","4","1","145","0","0","0","0","233","491","Foxboro Senior Elementary School"
"073","PRINCE EDWARD--HASTINGS","061","U","FOXBORO","61","0","22","5","1","125","0","0","0","0","214","476","Foxboro Senior Elementary School"
"073","PRINCE EDWARD--HASTINGS","062","U","CORBYVILLE","79","1","30","5","0","116","0","0","0","0","231","518","River Inn Corbyville"
"073","PRINCE EDWARD--HASTINGS","063","U","BELLEVILLE","109","2","29","2","1","122","0","1","0","0","266","668","Belleville Christian School"
"073","PRINCE EDWARD--HASTINGS","064","U","CORBYVILLE","73","1","19","4","3","93","0","0","1","2","196","541","River Inn Corbyville"
"073","PRINCE EDWARD--HASTINGS","065","U","SHANNONVILLE","65","4","45","6","2","103","1","0","0","0","226","570","Tyendinaga Public School"
"073","PRINCE EDWARD--HASTINGS","066","U","MARYSVILLE","99","1","31","10","0","76","0","1","0","0","218","484","Holy Name of Mary School"
"073","PRINCE EDWARD--HASTINGS","067","U","BELLEVILLE","112","2","18","5","1","99","1","0","0","0","238","626","Belleville Christian School"
"073","PRINCE EDWARD--HASTINGS","068","U","CORBYVILLE","56","1","27","5","0","108","2","1","0","0","200","557","River Inn Corbyville"
"073","PRINCE EDWARD--HASTINGS","069","U","SHANNONVILLE","47","1","18","2","0","94","1","1","1","0","165","526","Tyendinaga Public School"
"073","PRINCE EDWARD--HASTINGS","070","U","SHANNONVILLE","70","2","34","4","2","111","0","0","0","0","223","502","Tyendinaga Public School"
"073","PRINCE EDWARD--HASTINGS","071","U","BELLEVILLE","44","2","11","3","0","28","0","0","0","0","88","322","George Vanier Catholic School"
"073","PRINCE EDWARD--HASTINGS","072","U","BELLEVILLE","44","1","22","9","1","60","0","0","0","0","137","379","George Vanier Catholic School"
"073","PRINCE EDWARD--HASTINGS","073","U","BELLEVILLE","33","1","22","1","0","58","0","2","0","0","117","454","George Vanier Catholic School"
"073","PRINCE EDWARD--HASTINGS","074","U","BELLEVILLE","62","0","19","6","0","75","0","0","0","0","162","414","George Vanier Catholic School"
"073","PRINCE EDWARD--HASTINGS","075","U","BELLEVILLE","77","0","20","10","1","57","0","0","0","0","165","399","Maranatha Church"
"073","PRINCE EDWARD--HASTINGS","076","U","BELLEVILLE","82","0","31","4","0","67","0","0","0","0","184","426","George Vanier Catholic School"
"073","PRINCE EDWARD--HASTINGS","077","U","BELLEVILLE","60","1","23","5","0","64","0","1","0","0","154","461","Maranatha Church"
"073","PRINCE EDWARD--HASTINGS","078","U","BELLEVILLE","55","1","42","1","1","75","0","1","0","0","176","485","Maranatha Church"
"073","PRINCE EDWARD--HASTINGS","079","U","BELLEVILLE","57","0","25","1","0","75","0","0","0","0","158","454","The Banquet Centre"
"073","PRINCE EDWARD--HASTINGS","080","U","BELLEVILLE","85","2","18","2","1","69","0","0","0","0","177","420","Maranatha Church"
"073","PRINCE EDWARD--HASTINGS","081","U","BELLEVILLE","62","3","16","7","0","76","0","0","0","0","164","405","Maranatha Church"
"073","PRINCE EDWARD--HASTINGS","082","U","BELLEVILLE","72","1","31","3","0","73","2","0","0","0","182","398","Maranatha Church"
"073","PRINCE EDWARD--HASTINGS","083","U","BELLEVILLE","71","0","26","4","0","76","0","0","0","0","177","389","Maranatha Church"
"073","PRINCE EDWARD--HASTINGS","084","U","BELLEVILLE","45","2","32","3","0","54","0","0","0","0","136","366","Prince of Wales Public School"
"073","PRINCE EDWARD--HASTINGS","085","U","BELLEVILLE","74","0","21","6","0","57","1","0","0","0","159","383","Prince of Wales Public School"
"073","PRINCE EDWARD--HASTINGS","086","U","BELLEVILLE","36","5","30","10","0","55","1","0","0","0","137","488","The Banquet Centre"
"073","PRINCE EDWARD--HASTINGS","087","U","BELLEVILLE","84","7","19","2","0","58","0","1","0","0","171","465","Quinte Secondary School"
"073","PRINCE EDWARD--HASTINGS","088","U","BELLEVILLE","56","6","25","6","1","81","1","0","0","0","176","577","Quinte Secondary School"
"073","PRINCE EDWARD--HASTINGS","089","U","BELLEVILLE","67","1","26","2","0","41","1","0","0","0","138","537","Quinte Secondary School"
"073","PRINCE EDWARD--HASTINGS","090","U","BELLEVILLE","1","0","1","0","0","0","0","0","1","0","3","117","Centennial Secondary School"
"073","PRINCE EDWARD--HASTINGS","091","U","BELLEVILLE","77","0","25","5","0","98","1","1","0","0","207","485","Centennial Secondary School"
"073","PRINCE EDWARD--HASTINGS","092","U","BELLEVILLE","122","1","37","5","0","100","0","0","0","0","265","530","Greek Community Banquet Hall"
"073","PRINCE EDWARD--HASTINGS","093","U","BELLEVILLE","83","1","13","3","0","50","0","0","0","0","150","524","Greek Community Banquet Hall"
"073","PRINCE EDWARD--HASTINGS","094","U","BELLEVILLE","31","0","27","2","1","40","0","0","0","0","101","465","Greek Community Banquet Hall"
"073","PRINCE EDWARD--HASTINGS","095","U","BELLEVILLE","48","0","24","7","2","62","0","0","0","0","143","464","Christ Church"
"073","PRINCE EDWARD--HASTINGS","096","U","BELLEVILLE","22","0","20","1","0","37","0","0","0","0","80","400","Greek Community Banquet Hall"
"073","PRINCE EDWARD--HASTINGS","097","U","BELLEVILLE","26","1","24","1","0","40","0","1","0","0","93","440","Greek Community Banquet Hall"
"073","PRINCE EDWARD--HASTINGS","098","U","BELLEVILLE","22","0","37","1","0","56","1","1","0","0","118","376","Prince of Wales Public School"
"073","PRINCE EDWARD--HASTINGS","099","U","BELLEVILLE","42","0","33","2","1","39","0","0","0","0","117","441","The Banquet Centre"
"073","PRINCE EDWARD--HASTINGS","100","U","BELLEVILLE","59","0","34","5","1","59","0","1","0","0","159","424","The Banquet Centre"
"073","PRINCE EDWARD--HASTINGS","101","U","BELLEVILLE","57","1","29","5","0","51","0","1","0","0","144","550","The Banquet Centre"
"073","PRINCE EDWARD--HASTINGS","102","U","BELLEVILLE","80","1","22","0","2","77","1","0","0","0","183","511","Belleville and District Fish and Game Club"
"073","PRINCE EDWARD--HASTINGS","103","U","BELLEVILLE","81","1","26","8","0","60","0","0","2","0","178","461","Belleville and District Fish and Game Club"
"073","PRINCE EDWARD--HASTINGS","104","U","BELLEVILLE","38","1","25","4","0","100","0","0","0","0","168","391","Belleville and District Fish and Game Club"
"073","PRINCE EDWARD--HASTINGS","105","U","BELLEVILLE","67","0","25","9","0","60","1","0","0","0","162","454","Centennial Secondary School"
"073","PRINCE EDWARD--HASTINGS","106","U","BELLEVILLE","42","0","15","0","1","18","0","1","0","0","77","261","Centennial Secondary School"
"073","PRINCE EDWARD--HASTINGS","107","U","BELLEVILLE","68","1","25","4","0","47","0","0","0","0","145","396","Centennial Secondary School"
"073","PRINCE EDWARD--HASTINGS","108","U","BELLEVILLE","116","3","31","5","1","84","1","1","0","0","242","518","Centennial Secondary School"
"073","PRINCE EDWARD--HASTINGS","109","U","BELLEVILLE","48","0","24","2","0","26","0","1","0","0","101","412","St. Thomas Anglican Church Parish Centre"
"073","PRINCE EDWARD--HASTINGS","110","U","BELLEVILLE","57","0","48","3","2","61","0","1","0","0","172","498","Senior Citizen Complex - Wellington Arms"
"073","PRINCE EDWARD--HASTINGS","111","U","BELLEVILLE","30","0","28","6","1","45","1","0","0","0","111","527","St. Thomas Anglican Church Parish Centre"
"073","PRINCE EDWARD--HASTINGS","112","U","BELLEVILLE","29","2","28","7","0","57","0","0","0","0","123","438","Christ Church"
"073","PRINCE EDWARD--HASTINGS","113","U","BELLEVILLE","35","6","17","6","0","40","1","1","0","1","107","371","St. Thomas Anglican Church Parish Centre"
"073","PRINCE EDWARD--HASTINGS","114","U","BELLEVILLE","79","2","33","8","2","51","0","1","0","0","176","453","St. Thomas Anglican Church Parish Centre"
"073","PRINCE EDWARD--HASTINGS","115","U","BELLEVILLE","86","0","24","9","0","59","0","0","1","0","179","490","The Banquet Centre"
"073","PRINCE EDWARD--HASTINGS","116","U","BELLEVILLE","105","2","33","2","0","31","1","0","0","0","174","465","Foster Ward Community Centre"
"073","PRINCE EDWARD--HASTINGS","117","U","BELLEVILLE","79","2","32","7","1","58","1","2","0","0","182","474","Senior Citizens Complex Birchview Place"
"073","PRINCE EDWARD--HASTINGS","118","U","BELLEVILLE","95","1","44","5","0","48","4","1","0","0","198","543","Foster Ward Community Centre"
"073","PRINCE EDWARD--HASTINGS","119","U","BELLEVILLE","57","1","42","8","2","64","1","0","0","0","175","440","The Banquet Centre"
"073","PRINCE EDWARD--HASTINGS","120","U","BELLEVILLE","75","1","29","1","0","52","1","0","0","0","159","437","Foster Ward Community Centre"
"073","PRINCE EDWARD--HASTINGS","121","U","BELLEVILLE","108","1","28","9","1","57","0","0","0","0","204","523","Foster Ward Community Centre"
"073","PRINCE EDWARD--HASTINGS","122","U","BELLEVILLE","75","0","29","9","0","48","0","0","1","0","162","397","Eastminster United Church"
"073","PRINCE EDWARD--HASTINGS","123","U","BELLEVILLE","85","0","37","7","0","57","1","0","0","0","187","471","Eastminster United Church"
"073","PRINCE EDWARD--HASTINGS","124","U","BELLEVILLE","69","0","37","7","1","50","0","0","0","0","164","422","Eastminster United Church"
"073","PRINCE EDWARD--HASTINGS","125","U","BELLEVILLE","72","1","24","5","0","58","0","0","0","0","160","449","Foster Ward Community Centre"
"073","PRINCE EDWARD--HASTINGS","126","U","BELLEVILLE","119","0","43","12","0","84","0","1","0","0","259","455","Emmanuel Residence"
"073","PRINCE EDWARD--HASTINGS","127","U","BELLEVILLE","117","3","33","7","0","66","2","1","2","0","231","498","Holy Trinity Lutheran Church"
"073","PRINCE EDWARD--HASTINGS","128","U","BELLEVILLE","115","4","38","10","2","66","0","1","0","0","236","468","Holy Trinity Lutheran Church"
"073","PRINCE EDWARD--HASTINGS","129","U","BELLEVILLE","81","1","48","11","3","76","1","1","0","0","222","488","East Plaza Court Senior Complex"
"073","PRINCE EDWARD--HASTINGS","130","U","BELLEVILLE","114","1","20","6","1","77","0","1","0","1","221","458","Holy Trinity Lutheran Church"
"073","PRINCE EDWARD--HASTINGS","131","U","BELLEVILLE","126","0","28","6","2","73","0","0","0","0","235","516","Holy Trinity Lutheran Church"
"073","PRINCE EDWARD--HASTINGS","132","U","BELLEVILLE","53","0","28","7","2","49","0","0","0","0","139","437","Holy Trinity Lutheran Church"
"073","PRINCE EDWARD--HASTINGS","133","U","BELLEVILLE","61","0","34","2","1","87","1","0","0","0","186","413","Belleville and District Fish and Game Club"
"073","PRINCE EDWARD--HASTINGS","134","U","SHANNONVILLE","34","1","28","3","0","61","1","0","0","0","128","373","Tyendinaga Public School"
"073","PRINCE EDWARD--HASTINGS","135A","U","TYENDINAGA","39","2","56","8","0","36","0","0","0","0","141","584","Orange Lodge Hall"
"073","PRINCE EDWARD--HASTINGS","135B","U","TYENDINAGA","30","1","34","0","0","34","0","0","0","0","99","533","Orange Lodge Hall"
"073","PRINCE EDWARD--HASTINGS","136","U","MARYSVILLE","103","0","34","6","0","72","0","1","0","0","216","443","Holy Name of Mary School"
"073","PRINCE EDWARD--HASTINGS","137","U","DESERONTO","49","1","42","6","3","74","0","0","0","0","175","421","Deseronto Community Centre"
"073","PRINCE EDWARD--HASTINGS","138","U","DESERONTO","45","0","40","5","0","62","0","0","0","0","152","445","Deseronto Community Centre"
"073","PRINCE EDWARD--HASTINGS","139","U","DESERONTO","46","0","43","9","1","58","0","2","0","0","159","436","Deseronto Community Centre"
"073","PRINCE EDWARD--HASTINGS","140","U","CARRYING PLACE","82","0","46","5","2","129","0","0","0","0","264","454","Carrying Place Fire Hall"
"073","PRINCE EDWARD--HASTINGS","141","U","CARRYING PLACE","74","3","20","19","0","103","0","0","0","0","219","403","Carrying Place Fire Hall"
"073","PRINCE EDWARD--HASTINGS","142","U","BELLEVILLE","74","5","28","13","1","89","0","0","0","0","210","407","Massassaga-Rednersville School"
"073","PRINCE EDWARD--HASTINGS","143","U","BELLEVILLE","151","0","55","13","2","166","1","4","0","0","392","916","Massassaga-Rednersville School"
"073","PRINCE EDWARD--HASTINGS","144","U","BELLEVILLE","65","2","17","4","2","101","0","0","0","0","191","341","Rossmore Fire Hall"
"073","PRINCE EDWARD--HASTINGS","145","U","BELLEVILLE","118","0","29","9","0","120","0","0","0","0","276","523","Rossmore Fire Hall"
"073","PRINCE EDWARD--HASTINGS","146","U","DEMORESTVILLE","61","0","31","23","0","101","0","0","0","0","216","369","Friendship United Church"
"073","PRINCE EDWARD--HASTINGS","147","U","DEMORESTVILLE","72","2","47","28","2","111","0","2","1","0","265","525","Friendship United Church"
"073","PRINCE EDWARD--HASTINGS","148","U","DEMORESTVILLE","88","0","46","26","2","81","2","0","0","0","245","490","Friendship United Church"
"073","PRINCE EDWARD--HASTINGS","149","U","HILLIER","40","1","41","21","0","121","0","0","0","0","224","454","Hillier Town Hall"
"073","PRINCE EDWARD--HASTINGS","150","U","BELLEVILLE","24","0","30","10","5","64","0","1","0","0","134","422","Massassaga-Rednersville School"
"073","PRINCE EDWARD--HASTINGS","151","U","BELLEVILLE","80","0","33","8","0","96","1","0","0","0","218","491","Massassaga-Rednersville School"
"073","PRINCE EDWARD--HASTINGS","152","U","HILLIER","49","0","25","13","0","72","0","0","0","0","159","431","Hillier Town Hall"
"073","PRINCE EDWARD--HASTINGS","153","U","BELLEVILLE","26","0","13","5","1","35","0","1","0","0","81","255","Massassaga-Rednersville School"
"073","PRINCE EDWARD--HASTINGS","154","U","HILLIER","67","0","44","24","1","98","0","2","0","0","236","478","Hillier Town Hall"
"073","PRINCE EDWARD--HASTINGS","155","U","WELLINGTON","53","1","16","21","2","87","2","1","0","0","183","466","Wellington District Community Centre"
"073","PRINCE EDWARD--HASTINGS","156","U","BLOOMFIELD","61","0","34","21","2","103","1","0","0","0","222","511","Bloomfield Town Hall"
"073","PRINCE EDWARD--HASTINGS","157","U","WELLINGTON","79","1","23","15","0","58","1","0","0","0","177","208","Wellington District Community Centre"
"073","PRINCE EDWARD--HASTINGS","158","U","WELLINGTON","58","0","51","46","0","78","1","0","0","0","234","345","Wellington District Community Centre"
"073","PRINCE EDWARD--HASTINGS","159","U","WELLINGTON","60","0","37","25","0","79","1","0","0","0","202","462","Wellington District Community Centre"
"073","PRINCE EDWARD--HASTINGS","160","U","WELLINGTON","46","0","30","32","0","75","2","0","0","0","185","413","Wellington District Community Centre"
"073","PRINCE EDWARD--HASTINGS","161","U","BLOOMFIELD","48","0","20","18","3","94","0","0","0","0","183","351","Bloomfield Town Hall"
"073","PRINCE EDWARD--HASTINGS","162","U","PICTON","61","1","29","32","0","65","1","0","0","0","189","407","Masonic Temple - Picton"
"073","PRINCE EDWARD--HASTINGS","163","U","PICTON","49","0","25","11","0","59","1","0","0","0","145","420","Masonic Temple - Picton"
"073","PRINCE EDWARD--HASTINGS","164","U","PICTON","61","0","29","15","1","57","0","0","0","0","163","477","Queen Elizabeth Public School"
"073","PRINCE EDWARD--HASTINGS","165","U","PICTON","38","0","28","10","2","65","1","0","0","0","144","437","Prince Edward Community Centre Hall"
"073","PRINCE EDWARD--HASTINGS","166","U","PICTON","18","0","18","9","1","17","0","0","0","0","63","211","Queen Elizabeth Public School"
"073","PRINCE EDWARD--HASTINGS","167","U","PICTON","50","1","22","28","0","49","1","0","0","0","151","408","Queen Elizabeth Public School"
"073","PRINCE EDWARD--HASTINGS","168","U","PICTON","36","0","18","17","0","53","0","0","0","0","124","371","Prince Edward Community Centre Hall"
"073","PRINCE EDWARD--HASTINGS","169","U","PICTON","58","1","21","22","0","51","0","0","0","0","153","460","Elks Lodge Hall"
"073","PRINCE EDWARD--HASTINGS","170","U","PICTON","50","1","39","26","1","60","0","0","0","1","178","496","Prince Edward Community Centre Hall"
"073","PRINCE EDWARD--HASTINGS","171","U","PICTON","52","1","25","41","0","68","0","0","0","0","187","542","North Marysburg Community Hall"
"073","PRINCE EDWARD--HASTINGS","172","U","CHERRY VALLEY","71","0","34","27","0","69","2","1","1","0","205","449","Athol Town Hall"
"073","PRINCE EDWARD--HASTINGS","173","U","PICTON","61","0","47","13","0","72","0","0","0","0","193","644","Masonic Temple - Picton"
