ED_CODE,ED_NAME,POLL_NUMBER,RURAL_INDICATOR,PLACE_NAME,DOUGHERTY,JONES,O'LEARY,REID,YAKABUSKI,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION
74,RENFREW--NIPISSING--PEMBROKE,1,U,DEUX RIVIÉRES,.......................COMBINED WITH POLL 018.......................,,,,,,,,,,John and Trudy Miller Residence
74,RENFREW--NIPISSING--PEMBROKE,2,U,STONECLIFFE,13,0,13,0,62,1,0,0,89,157,"Head, Clara, Maria Municipal Hall"
74,RENFREW--NIPISSING--PEMBROKE,3,U,DEEP RIVER,14,2,32,0,107,0,0,0,155,331,Point Alexander Municipal Auditorium
74,RENFREW--NIPISSING--PEMBROKE,4,U,DEEP RIVER,17,1,40,0,82,1,0,1,142,317,Point Alexander Municipal Auditorium
74,RENFREW--NIPISSING--PEMBROKE,5,U,DEEP RIVER,26,3,68,1,78,0,0,0,176,398,Faith Lutheran Church
74,RENFREW--NIPISSING--PEMBROKE,6,U,DEEP RIVER,17,1,56,1,64,0,1,1,141,325,Faith Lutheran Church
74,RENFREW--NIPISSING--PEMBROKE,7,U,DEEP RIVER,15,4,77,0,101,0,0,0,197,344,Faith Lutheran Church
74,RENFREW--NIPISSING--PEMBROKE,8,U,DEEP RIVER,22,1,79,1,70,0,0,0,173,374,Faith Lutheran Church
74,RENFREW--NIPISSING--PEMBROKE,9,U,DEEP RIVER,26,2,37,0,42,1,0,1,109,314,Faith Lutheran Church
74,RENFREW--NIPISSING--PEMBROKE,10,U,DEEP RIVER,18,0,22,1,28,2,0,0,71,185,Deep River Town Hall
74,RENFREW--NIPISSING--PEMBROKE,11,U,DEEP RIVER,20,3,26,0,51,0,0,0,100,248,Deep River Town Hall
74,RENFREW--NIPISSING--PEMBROKE,12,U,DEEP RIVER,17,2,40,3,71,0,0,1,134,293,Deep River Town Hall
74,RENFREW--NIPISSING--PEMBROKE,13,U,DEEP RIVER,19,4,51,0,66,0,0,0,140,324,Deep River Town Hall
74,RENFREW--NIPISSING--PEMBROKE,14,U,DEEP RIVER,21,2,68,1,64,1,0,0,157,313,Deep River Town Hall
74,RENFREW--NIPISSING--PEMBROKE,15,U,CHALK RIVER,17,2,39,1,123,0,1,0,183,496,Chalk River Lions Hall
74,RENFREW--NIPISSING--PEMBROKE,16,U,CHALK RIVER,20,1,51,1,76,0,0,0,149,381,Chalk River Lions Hall
74,RENFREW--NIPISSING--PEMBROKE,17,U,CHALK RIVER,22,6,41,1,121,0,0,0,191,456,Chalk River Lions Hall
74,RENFREW--NIPISSING--PEMBROKE,18,U,PETAWAWA,9,1,12,3,67,0,0,0,92,486,Rex Plex Building S-117
74,RENFREW--NIPISSING--PEMBROKE,19,U,PETAWAWA,14,1,13,0,74,0,0,0,102,359,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,20,U,PETAWAWA,9,2,2,0,34,0,1,0,48,210,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,21,U,PETAWAWA,6,2,15,0,51,0,0,0,74,248,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,22,U,PETAWAWA,17,2,13,1,59,1,0,0,93,308,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,23,U,PETAWAWA,7,1,11,0,43,0,0,0,62,204,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,24,U,PETAWAWA,13,1,13,0,59,0,0,0,86,301,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,25,U,PETAWAWA,16,2,15,1,78,0,0,0,112,318,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,026A,U,PETAWAWA,8,1,7,1,28,0,0,0,45,317,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,026B,U,PETAWAWA,6,1,9,0,32,0,0,0,48,313,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,27,U,PETAWAWA,7,0,18,0,51,0,0,0,76,351,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,28,U,PETAWAWA,13,3,24,1,62,0,0,0,103,398,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,29,U,PETAWAWA,8,0,12,1,66,0,0,0,87,387,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,30,U,PETAWAWA,8,2,17,0,40,0,0,0,67,227,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,31,U,PETAWAWA,12,0,18,1,46,1,0,0,78,317,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,32,U,PETAWAWA,12,6,29,1,79,1,0,0,128,391,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,33,U,PETAWAWA,11,1,28,0,87,0,0,0,127,415,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,34,U,PETAWAWA,5,4,35,0,88,0,0,0,132,390,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,35,U,PETAWAWA,14,2,21,0,89,0,0,0,126,350,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,36,U,PETAWAWA,4,1,27,1,85,1,0,0,119,361,Petawawa Civic Centre
74,RENFREW--NIPISSING--PEMBROKE,37,U,PEMBROKE,12,1,17,1,89,0,0,0,120,435,Mount Zion United Church
74,RENFREW--NIPISSING--PEMBROKE,38,U,PEMBROKE,10,2,15,0,76,1,0,0,104,388,Mount Zion United Church
74,RENFREW--NIPISSING--PEMBROKE,39,U,PEMBROKE,5,0,14,0,106,1,0,0,126,384,Mount Zion United Church
74,RENFREW--NIPISSING--PEMBROKE,40,U,PEMBROKE,20,2,18,0,134,0,0,0,174,402,Mount Zion United Church
74,RENFREW--NIPISSING--PEMBROKE,41,U,PEMBROKE,8,0,22,0,66,0,0,0,96,349,Centre scolaire catholique Jeanne-Lajoie
74,RENFREW--NIPISSING--PEMBROKE,42,U,PEMBROKE,10,1,4,0,18,0,0,0,33,292,Centre scolaire catholique Jeanne-Lajoie
74,RENFREW--NIPISSING--PEMBROKE,43,U,PEMBROKE,5,0,8,0,54,0,0,0,67,328,Centre scolaire catholique Jeanne-Lajoie
74,RENFREW--NIPISSING--PEMBROKE,44,U,PEMBROKE,7,0,14,1,26,0,0,0,48,349,Centre scolaire catholique Jeanne-Lajoie
74,RENFREW--NIPISSING--PEMBROKE,45,U,PEMBROKE,11,1,13,0,68,1,0,0,94,369,Centre scolaire catholique Jeanne-Lajoie
74,RENFREW--NIPISSING--PEMBROKE,46,U,PEMBROKE,3,0,13,0,76,0,0,0,92,313,Pembroke Area Community Centre
74,RENFREW--NIPISSING--PEMBROKE,47,U,PEMBROKE,2,1,18,2,47,0,0,0,70,343,Centre scolaire catholique Jeanne-Lajoie
74,RENFREW--NIPISSING--PEMBROKE,48,U,PEMBROKE,1,1,9,0,17,0,0,0,28,160,Centre scolaire catholique Jeanne-Lajoie
74,RENFREW--NIPISSING--PEMBROKE,49,U,PEMBROKE,19,1,24,3,41,0,0,0,88,381,Centre scolaire catholique Jeanne-Lajoie
74,RENFREW--NIPISSING--PEMBROKE,50,U,PEMBROKE,4,0,9,0,25,0,0,0,38,279,Marguerite Centre
