"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CHAMBERLAIN","DEMJEN","DEVITA","GUPTA","MORIDI","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"075","RICHMOND HILL","001","U","RICHMOND HILL","4","0","21","55","67","1","0","0","148","392","Trillium Woods Elementary School"
"075","RICHMOND HILL","002","U","RICHMOND HILL","1","4","24","59","56","1","0","0","145","372","Trillium Woods Elementary School"
"075","RICHMOND HILL","003","U","RICHMOND HILL","2","2","32","71","99","0","0","0","206","490","Trillium Woods Elementary School"
"075","RICHMOND HILL","004","U","RICHMOND HILL","2","1","19","85","69","0","0","0","176","486","Trillium Woods Elementary School"
"075","RICHMOND HILL","005","U","RICHMOND HILL","3","0","21","70","62","0","0","0","156","390","St. Theresa of Lisieux Catholic High School"
"075","RICHMOND HILL","006A","U","RICHMOND HILL","2","1","15","52","65","1","0","0","136","328","St. Theresa of Lisieux Catholic High School"
"075","RICHMOND HILL","006B","U","RICHMOND HILL","4","1","9","46","42","0","0","0","102","262","St. Theresa of Lisieux Catholic High School"
"075","RICHMOND HILL","007","U","RICHMOND HILL","9","2","13","72","77","0","1","0","174","485","Trillium Woods Elementary School"
"075","RICHMOND HILL","008","U","RICHMOND HILL","6","2","15","69","61","0","0","0","153","398","Trillium Woods Elementary School"
"075","RICHMOND HILL","009","U","RICHMOND HILL","4","2","10","59","72","0","0","0","147","358","Trillium Woods Elementary School"
"075","RICHMOND HILL","010","U","RICHMOND HILL","4","1","23","57","101","1","0","0","187","444","St. Theresa of Lisieux Catholic High School"
"075","RICHMOND HILL","011","U","RICHMOND HILL","1","2","23","65","56","1","0","0","148","415","St. Theresa of Lisieux Catholic High School"
"075","RICHMOND HILL","012","U","RICHMOND HILL","7","1","26","72","79","0","0","0","185","411","St. Theresa of Lisieux Catholic High School"
"075","RICHMOND HILL","013","U","RICHMOND HILL","4","0","11","62","60","0","0","0","137","381","Father Henri Nouwen Catholic School"
"075","RICHMOND HILL","014","U","RICHMOND HILL","4","4","13","58","57","1","0","0","137","371","Father Henri Nouwen Catholic School"
"075","RICHMOND HILL","015","U","RICHMOND HILL","3","5","18","50","54","1","0","0","131","417","Father Henri Nouwen Catholic School"
"075","RICHMOND HILL","016","U","RICHMOND HILL","3","2","16","71","60","1","1","0","154","387","Father Henri Nouwen Catholic School"
"075","RICHMOND HILL","017","U","RICHMOND HILL","1","0","19","78","84","3","0","0","185","515","Father Henri Nouwen Catholic School"
"075","RICHMOND HILL","018","U","RICHMOND HILL","3","3","18","85","105","0","0","0","214","483","Silver Pines Public School"
"075","RICHMOND HILL","019A","U","RICHMOND HILL","0","1","18","55","41","1","0","0","116","298","Silver Pines Public School"
"075","RICHMOND HILL","019B","U","RICHMOND HILL","9","1","20","49","47","0","0","0","126","305","Silver Pines Public School"
"075","RICHMOND HILL","020","U","RICHMOND HILL","3","1","11","55","74","0","0","0","144","342","Silver Pines Public School"
"075","RICHMOND HILL","021","U","RICHMOND HILL","5","2","7","77","86","0","0","1","178","522","Silver Pines Public School"
"075","RICHMOND HILL","022","U","RICHMOND HILL","1","1","10","63","83","0","0","0","158","449","St. Mary Immaculate Elementary School"
"075","RICHMOND HILL","023","U","RICHMOND HILL","5","1","23","51","89","3","0","0","172","443","St. Mary Immaculate Elementary School"
"075","RICHMOND HILL","024","U","RICHMOND HILL","2","0","28","30","53","0","0","1","114","308","St. Mary Immaculate Elementary School"
"075","RICHMOND HILL","025","U","RICHMOND HILL","4","1","9","100","64","3","0","0","181","438","St. Mary Immaculate Elementary School"
"075","RICHMOND HILL","026","U","RICHMOND HILL","10","2","26","44","98","2","1","0","183","454","St. Mary Immaculate Elementary School"
"075","RICHMOND HILL","027","U","RICHMOND HILL","9","1","23","46","89","0","0","0","168","424","M. L. McConaghy Centre - # 101 & 103"
"075","RICHMOND HILL","028","U","RICHMOND HILL","7","2","9","33","50","0","0","0","101","301","M. L. McConaghy Centre - # 101 & 103"
"075","RICHMOND HILL","029","U","RICHMOND HILL","4","2","12","68","104","1","0","0","191","447","M. L. McConaghy Centre - # 101 & 103"
"075","RICHMOND HILL","030","U","RICHMOND HILL","9","1","28","97","101","1","0","0","237","466","Pleasantville Public School"
"075","RICHMOND HILL","031","U","RICHMOND HILL","9","0","24","95","96","0","0","0","224","444","Pleasantville Public School"
"075","RICHMOND HILL","032","U","RICHMOND HILL","19","0","11","76","82","0","1","0","189","472","M. L. McConaghy Centre - # 101 & 103"
"075","RICHMOND HILL","033","U","RICHMOND HILL","2","1","21","45","61","0","1","0","131","363","M. L. McConaghy Centre - # 101 & 103"
"075","RICHMOND HILL","034","U","RICHMOND HILL","13","0","36","43","73","1","0","1","167","432","M. L. McConaghy Centre - # 101 & 103"
"075","RICHMOND HILL","035","U","RICHMOND HILL","8","1","25","66","110","1","0","0","211","442","Pleasantville Public School"
"075","RICHMOND HILL","036","U","RICHMOND HILL","14","3","25","55","66","0","0","0","163","403","Pleasantville Public School"
"075","RICHMOND HILL","037","U","RICHMOND HILL","17","2","21","63","83","0","0","0","186","489","Pleasantville Public School"
"075","RICHMOND HILL","038","U","RICHMOND HILL","2","0","25","70","67","0","0","0","164","442","M. L. McConaghy Centre - # 101 & 103"
"075","RICHMOND HILL","039","U","RICHMOND HILL","1","0","7","65","69","0","2","0","144","447","M. L. McConaghy Centre - # 101 & 103"
"075","RICHMOND HILL","040","U","RICHMOND HILL","5","0","15","71","62","2","1","0","156","336","M. L. McConaghy Centre - # 101 & 103"
