"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BELLOWS","BRADLEY","CLARKE","LOWELL","MOORADIAN","RADICK","UNRAU","WAZIRUDDIN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"076","ST. CATHARINES","001","U","ST CATHARINES","109","81","0","39","1","0","0","1","1","0","0","232","537","Club Lasalle"
"076","ST. CATHARINES","002","U","ST CATHARINES","71","68","2","50","12","0","0","0","0","0","0","203","507","Club Lasalle"
"076","ST. CATHARINES","003","U","ST CATHARINES","100","94","0","36","7","0","0","1","1","0","0","239","421","Club Lasalle"
"076","ST. CATHARINES","004","U","ST CATHARINES","105","125","0","42","7","1","0","1","1","0","0","282","482","Club Lasalle"
"076","ST. CATHARINES","005","U","ST CATHARINES","68","109","0","40","10","0","0","0","1","0","0","228","408","Club Lasalle"
"076","ST. CATHARINES","006","U","ST CATHARINES","92","132","0","32","8","0","0","0","0","0","0","264","476","Club Lasalle"
"076","ST. CATHARINES","007","U","ST CATHARINES","87","117","0","17","6","0","0","0","0","0","0","227","429","St. John Ukrainian Catholic Church"
"076","ST. CATHARINES","008","U","ST CATHARINES","89","85","0","27","1","0","0","0","1","0","0","203","428","St. John Ukrainian Catholic Church"
"076","ST. CATHARINES","009","U","ST CATHARINES","72","77","0","16","10","0","0","0","0","1","0","176","338","St. John Ukrainian Catholic Church"
"076","ST. CATHARINES","010","U","ST CATHARINES","78","93","1","38","0","0","0","0","2","0","0","212","429","St. John Ukrainian Catholic Church"
"076","ST. CATHARINES","011","U","ST CATHARINES","126","106","0","32","4","0","0","0","0","0","0","268","472","St. John Ukrainian Catholic Church"
"076","ST. CATHARINES","012","U","ST CATHARINES","90","107","1","25","4","0","0","0","0","0","0","227","477","St. John Ukrainian Catholic Church"
"076","ST. CATHARINES","013","U","ST CATHARINES","60","117","0","20","4","0","0","0","2","0","0","203","437","St. John Ukrainian Catholic Church"
"076","ST. CATHARINES","014","U","ST CATHARINES","117","106","1","31","1","0","0","0","0","0","0","256","542","St. John Ukrainian Catholic Church"
"076","ST. CATHARINES","015","U","ST CATHARINES","84","99","0","28","6","0","0","0","0","0","0","217","481","St. John Ukrainian Catholic Church"
"076","ST. CATHARINES","016","U","ST CATHARINES","100","110","2","32","9","1","0","0","0","0","0","254","538","St. Ann Catholic Elementary School"
"076","ST. CATHARINES","017","U","ST CATHARINES","92","108","0","38","13","0","0","0","0","0","1","252","525","St. Ann Catholic Elementary School"
"076","ST. CATHARINES","018","U","ST CATHARINES","76","156","0","29","1","0","0","0","1","1","0","264","472","St. Ann Catholic Elementary School"
"076","ST. CATHARINES","019","U","ST CATHARINES","110","106","0","27","3","0","0","0","2","0","0","248","492","St. Ann Catholic Elementary School"
"076","ST. CATHARINES","020","U","ST CATHARINES","112","68","1","19","3","0","0","0","0","0","0","203","388","Bethany Community Church"
"076","ST. CATHARINES","021","U","ST CATHARINES","126","108","2","18","5","2","0","0","2","0","0","263","537","Bethany Community Church"
"076","ST. CATHARINES","022","U","ST CATHARINES","130","116","1","29","6","0","0","0","0","1","0","283","533","St. Ann Catholic Elementary School"
"076","ST. CATHARINES","023","U","ST CATHARINES","135","128","2","18","2","0","0","0","0","0","0","285","506","Lakeport Secondary School"
"076","ST. CATHARINES","024","U","ST CATHARINES","109","85","2","32","8","0","0","0","2","0","0","238","557","Lakeport Secondary School"
"076","ST. CATHARINES","025","U","ST CATHARINES","104","130","0","42","3","0","0","0","2","0","0","281","554","Lakeport Secondary School"
"076","ST. CATHARINES","026","U","ST CATHARINES","98","77","1","60","9","0","0","0","0","0","0","245","562","Lakeport Secondary School"
"076","ST. CATHARINES","027","U","ST CATHARINES","76","80","0","47","7","0","0","2","1","0","0","213","506","Lakeport Secondary School"
"076","ST. CATHARINES","028A","U","ST CATHARINES","50","65","1","22","1","1","0","0","0","0","0","140","315","Club Heidelberg"
"076","ST. CATHARINES","028B","U","ST CATHARINES","52","58","1","18","3","0","0","0","1","0","0","133","302","Club Heidelberg"
"076","ST. CATHARINES","029","U","ST CATHARINES","115","97","0","37","2","0","0","0","0","1","0","252","531","Club Heidelberg"
"076","ST. CATHARINES","030","U","ST CATHARINES","67","75","0","56","4","0","2","0","0","0","0","204","514","Club Heidelberg"
"076","ST. CATHARINES","031","U","ST CATHARINES","126","124","0","51","8","0","0","1","2","0","0","312","541","St. Columba Church"
"076","ST. CATHARINES","032","U","ST CATHARINES","124","110","0","47","6","0","0","1","2","0","0","290","573","St. Columba Church"
"076","ST. CATHARINES","033","U","ST CATHARINES","85","86","0","34","6","0","0","0","1","1","0","213","465","St. Columba Church"
"076","ST. CATHARINES","034","U","ST CATHARINES","77","95","0","40","11","0","0","0","0","0","1","224","422","Governor Simcoe Secondary School"
