"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","HOSKINS","HYNES","KITTREDGE","MCGIRR","PINTO","RITA","VALLANCE","VAN VELDHUYSEN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"077","ST. PAUL'S","001","U","TORONTO","2","2","0","0","0","0","0","0","0","0","0","4","54","St. Hilda's Towers"
"077","ST. PAUL'S","002","U","TORONTO","42","10","1","9","0","1","0","1","1","0","0","65","349","St. Hilda's Towers"
"077","ST. PAUL'S","003","U","TORONTO","88","51","2","7","0","0","0","4","0","2","0","154","431","Fairbank Memorial Community Centre"
"077","ST. PAUL'S","004","U","TORONTO","106","40","6","26","3","0","1","4","3","0","0","189","465","Fairbank Memorial Community Centre"
"077","ST. PAUL'S","005","U","TORONTO","91","44","5","22","1","0","0","5","0","2","0","170","442","Fairbank Memorial Community Centre"
"077","ST. PAUL'S","006","U","TORONTO","81","29","3","35","0","0","0","4","0","0","0","152","379","Fairbank Memorial Community Centre"
"077","ST. PAUL'S","007","U","TORONTO","71","31","5","18","1","1","0","4","1","0","0","132","403","Fairbank Memorial Community Centre"
"077","ST. PAUL'S","008","U","TORONTO","71","64","2","27","1","0","0","6","0","0","0","171","519","Fairbank Memorial Community Centre"
"077","ST. PAUL'S","009","U","TORONTO","114","48","6","14","1","3","1","3","4","0","1","195","368","Doug Saunders Apartment(s)"
"077","ST. PAUL'S","010","U","TORONTO","75","37","1","17","0","1","0","4","2","0","0","137","426","Doug Saunders Apartment(s)"
"077","ST. PAUL'S","011","U","TORONTO","81","47","1","27","1","0","1","3","0","0","0","161","338","Maria A. Shchuka Library"
"077","ST. PAUL'S","012","U","TORONTO","89","34","1","23","2","1","0","1","0","0","0","151","394","Maria A. Shchuka Library"
"077","ST. PAUL'S","013","U","TORONTO","104","40","3","28","1","0","0","7","0","0","0","183","470","Maria A. Shchuka Library"
"077","ST. PAUL'S","014","U","TORONTO","86","33","0","27","2","1","0","3","0","1","0","153","414","Vaughan Road Academy"
"077","ST. PAUL'S","015","U","TORONTO","121","69","2","33","0","2","0","9","0","0","0","236","536","Vaughan Road Academy"
"077","ST. PAUL'S","016","U","TORONTO","41","24","2","15","0","0","0","3","0","1","0","86","205","Vaughan Road Academy"
"077","ST. PAUL'S","017","U","TORONTO","102","35","2","4","2","0","0","0","1","0","0","146","366","Vaughan Road Academy"
"077","ST. PAUL'S","018","U","TORONTO","113","39","3","40","1","3","0","7","0","0","0","206","400","Beth Shalom Synagogue"
"077","ST. PAUL'S","019","U","TORONTO","87","24","0","30","1","0","0","6","0","1","0","149","293","Cedarvale Community School"
"077","ST. PAUL'S","020","U","TORONTO","104","30","2","27","0","0","0","2","1","0","0","166","367","Vaughan Road Academy"
"077","ST. PAUL'S","021","U","TORONTO","67","17","4","17","1","1","0","7","1","0","0","115","347","Cedarvale Community School"
"077","ST. PAUL'S","022","U","TORONTO","103","41","1","25","0","0","0","3","2","0","0","175","406","Humewood Public School"
"077","ST. PAUL'S","023","U","TORONTO","121","48","3","23","0","2","0","6","1","1","0","205","379","St. Alphonsus Separate School"
"077","ST. PAUL'S","024","U","TORONTO","136","72","0","15","0","1","0","3","0","0","0","227","432","St. Alphonsus Separate School"
"077","ST. PAUL'S","025","U","TORONTO","108","55","3","12","1","0","0","6","0","0","0","185","335","St. Alphonsus Separate School"
"077","ST. PAUL'S","026","U","TORONTO","58","25","0","8","1","0","0","3","1","0","0","96","253","St. Matthew's Bracondale House"
"077","ST. PAUL'S","027","U","TORONTO","107","64","5","25","1","0","0","8","1","0","0","211","397","Humewood Public School"
"077","ST. PAUL'S","028","U","TORONTO","113","58","0","18","1","0","0","8","2","0","0","200","357","Humewood Public School"
