"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BAILEY","BARRY","BRUZIEWICZ","FALBY","VERMETTE","WHITE","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"078","SARNIA--LAMBTON","001","U","POINT EDWARD","85","66","15","1","1","33","0","0","0","201","385","Point Edward Community Centre"
"078","SARNIA--LAMBTON","002","U","SARNIA","59","67","7","0","4","48","0","0","0","185","386","Kinsmen Community Centre"
"078","SARNIA--LAMBTON","003","U","SARNIA","137","86","3","0","2","31","3","0","1","263","437","Kinsmen Community Centre"
"078","SARNIA--LAMBTON","004","U","SARNIA","93","71","2","0","2","25","0","0","0","193","375","Lakeroad Public Elementary School"
"078","SARNIA--LAMBTON","005","U","SARNIA","161","67","5","2","3","17","0","0","0","255","462","Lakeroad Public Elementary School"
"078","SARNIA--LAMBTON","006","U","SARNIA","93","52","2","0","0","64","1","0","0","212","420","Kinsmen Community Centre"
"078","SARNIA--LAMBTON","007","U","SARNIA","69","38","14","0","4","64","0","0","0","189","402","Kinsmen Community Centre"
"078","SARNIA--LAMBTON","008","U","SARNIA","99","53","3","0","2","57","0","0","0","214","394","Lakeroad Public Elementary School"
"078","SARNIA--LAMBTON","009","U","SARNIA","69","65","6","0","2","55","0","0","0","197","426","Lakeroad Public Elementary School"
"078","SARNIA--LAMBTON","010","U","SARNIA","96","46","7","0","1","54","0","0","0","204","398","Lakeroad Public Elementary School"
"078","SARNIA--LAMBTON","011","U","SARNIA","115","59","3","0","3","25","0","0","0","205","398","Cathcart Boulevard Public Elementary School"
"078","SARNIA--LAMBTON","012","U","POINT EDWARD","94","63","2","0","3","58","0","0","0","220","424","Point Edward Community Centre"
"078","SARNIA--LAMBTON","013","U","POINT EDWARD","105","32","9","3","3","70","1","1","0","224","419","Point Edward Community Centre"
"078","SARNIA--LAMBTON","014","U","SARNIA","75","71","10","0","2","40","2","0","0","200","395","Church of Christ"
"078","SARNIA--LAMBTON","015","U","SARNIA","98","59","10","1","0","45","0","0","0","213","417","Church of Christ"
"078","SARNIA--LAMBTON","016","U","SARNIA","71","33","6","2","4","75","0","0","0","191","364","Church of Christ"
"078","SARNIA--LAMBTON","017","U","SARNIA","74","56","5","0","3","37","0","0","0","175","373","Church of Christ"
"078","SARNIA--LAMBTON","018","U","SARNIA","100","66","6","1","2","63","0","0","1","239","410","Church of Christ"
"078","SARNIA--LAMBTON","019","U","SARNIA","83","54","4","0","2","41","1","0","0","185","405","Northern Collegiate Secondary School"
"078","SARNIA--LAMBTON","020","U","SARNIA","96","55","10","3","1","51","0","1","0","217","425","Northern Collegiate Secondary School"
"078","SARNIA--LAMBTON","021","U","SARNIA","75","62","7","2","1","51","0","0","0","198","398","Northern Collegiate Secondary School"
"078","SARNIA--LAMBTON","022","U","SARNIA","69","62","3","2","5","51","0","0","0","192","393","Northern Collegiate Secondary School"
"078","SARNIA--LAMBTON","023","U","SARNIA","79","65","6","2","0","34","0","0","0","186","355","Cathcart Boulevard Public Elementary School"
"078","SARNIA--LAMBTON","024","U","SARNIA","105","82","3","1","2","24","0","1","0","218","367","Cathcart Boulevard Public Elementary School"
"078","SARNIA--LAMBTON","025","U","SARNIA","74","60","4","0","1","23","0","0","0","162","396","Cathcart Boulevard Public Elementary School"
"078","SARNIA--LAMBTON","026","U","SARNIA","95","59","2","0","4","24","0","0","0","184","375","Northern Collegiate Secondary School"
"078","SARNIA--LAMBTON","027","U","SARNIA","64","24","6","2","2","39","0","0","0","137","304","Lighthouse Community Church"
