"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","HUNT","MACMICHAEL","ORAZIETTI","ROSS","TURNER","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"079","SAULT STE. MARIE","001","U","SAULT STE MARIE","0","5","109","35","18","0","0","0","167","335","R. M. Moore Public School"
"079","SAULT STE. MARIE","002","U","SAULT STE MARIE","2","7","80","24","21","1","0","0","135","317","R. M. Moore Public School"
"079","SAULT STE. MARIE","003","U","SAULT STE MARIE","1","5","94","43","40","1","0","0","184","407","R. M. Moore Public School"
"079","SAULT STE. MARIE","004","U","SAULT STE MARIE","0","4","91","67","25","0","0","0","187","548","R. M. Moore Public School"
"079","SAULT STE. MARIE","005","U","SAULT STE MARIE","3","1","168","48","30","0","0","0","250","547","Isabel Fletcher Public School"
"079","SAULT STE. MARIE","006","U","SAULT STE MARIE","2","5","62","38","18","0","0","0","125","281","Greenwood Public School"
"079","SAULT STE. MARIE","007","U","SAULT STE MARIE","0","4","102","51","31","0","1","0","189","395","Isabel Fletcher Public School"
"079","SAULT STE. MARIE","008","U","SAULT STE MARIE","0","1","95","47","18","0","0","0","161","384","Isabel Fletcher Public School"
"079","SAULT STE. MARIE","009","U","SAULT STE MARIE","0","1","106","54","36","1","0","0","198","554","Holy Family School"
"079","SAULT STE. MARIE","010","U","SAULT STE MARIE","0","1","101","108","20","2","0","0","232","530","Holy Family School"
"079","SAULT STE. MARIE","011","U","SAULT STE MARIE","1","1","130","55","21","0","1","0","209","467","Holy Family School"
"079","SAULT STE. MARIE","012","U","SAULT STE MARIE","2","3","110","83","29","0","0","0","227","541","H.M. Robbins Public School"
"079","SAULT STE. MARIE","013","U","SAULT STE MARIE","0","3","112","62","26","0","0","0","203","404","H.M. Robbins Public School"
"079","SAULT STE. MARIE","014","U","SAULT STE MARIE","0","6","95","77","13","0","0","0","191","501","H.M. Robbins Public School"
"079","SAULT STE. MARIE","015","U","SAULT STE MARIE","2","3","55","76","10","0","1","0","147","474","H.M. Robbins Public School"
"079","SAULT STE. MARIE","016","U","SAULT STE MARIE","1","2","97","60","35","1","0","0","196","432","H.M. Robbins Public School"
"079","SAULT STE. MARIE","017","U","SAULT STE MARIE","0","3","75","53","8","0","0","0","139","463","Korah Collegiate"
"079","SAULT STE. MARIE","018","U","SAULT STE MARIE","0","2","91","65","15","1","0","0","174","506","Korah Collegiate"
"079","SAULT STE. MARIE","019","U","SAULT STE MARIE","1","0","50","61","6","0","0","0","118","326","Our Lady of Lourdes Catholic School"
"079","SAULT STE. MARIE","020","U","SAULT STE MARIE","0","3","97","64","21","2","0","0","187","472","St. Theresa Catholic School"
"079","SAULT STE. MARIE","021","U","SAULT STE MARIE","1","4","80","35","13","0","0","0","133","336","Our Lady of Lourdes Catholic School"
"079","SAULT STE. MARIE","022","U","SAULT STE MARIE","0","3","84","77","15","1","0","0","180","488","St. Theresa Catholic School"
"079","SAULT STE. MARIE","023","U","SAULT STE MARIE","1","2","96","63","7","1","0","0","170","391","Wm. Merrifield V.C. Public School"
"079","SAULT STE. MARIE","024","U","SAULT STE MARIE","0","2","65","70","16","0","0","0","153","465","Wm. Merrifield V.C. Public School"
"079","SAULT STE. MARIE","025","U","SAULT STE MARIE","2","2","68","87","16","1","0","0","176","510","Wm. Merrifield V.C. Public School"
"079","SAULT STE. MARIE","026","U","SAULT STE MARIE","1","4","119","47","26","0","0","0","197","425","St. Theresa Catholic School"
"079","SAULT STE. MARIE","027","U","SAULT STE MARIE","1","8","71","46","16","2","0","0","144","313","St. John Catholic School"
"079","SAULT STE. MARIE","028","U","SAULT STE MARIE","0","1","61","28","13","1","0","0","104","306","St. John Catholic School"
"079","SAULT STE. MARIE","029","U","SAULT STE MARIE","0","1","105","32","18","1","0","0","157","367","St. John Catholic School"
