"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AHUJA","CHEN","CHOI","MCLARTY","THOMPSON","WALL","WONG","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"080","SCARBOROUGH--AGINCOURT","001","U","TORONTO","0","51","18","2","4","0","103","0","1","0","179","433","St. Henry Catholic School"
"080","SCARBOROUGH--AGINCOURT","002","U","TORONTO","0","33","25","1","2","0","67","0","0","0","128","428","St. Henry Catholic School"
"080","SCARBOROUGH--AGINCOURT","003","U","TORONTO","0","43","25","7","6","1","62","1","1","0","146","408","St. Henry Catholic School"
"080","SCARBOROUGH--AGINCOURT","004","U","TORONTO","0","66","17","1","13","0","91","2","1","0","191","493","St. Henry Catholic School"
"080","SCARBOROUGH--AGINCOURT","005","U","TORONTO","0","50","16","2","8","0","81","0","0","0","157","432","St. Henry Catholic School"
"080","SCARBOROUGH--AGINCOURT","006","U","TORONTO","1","54","33","3","8","0","92","0","0","0","191","575","Good Shepherd Community Church"
"080","SCARBOROUGH--AGINCOURT","007","U","TORONTO","1","81","21","4","2","0","107","0","0","0","216","579","Good Shepherd Community Church"
"080","SCARBOROUGH--AGINCOURT","008","U","TORONTO","0","72","24","0","8","0","96","1","1","0","202","543","Good Shepherd Community Church"
"080","SCARBOROUGH--AGINCOURT","009","U","TORONTO","1","61","21","2","5","1","89","0","1","0","181","527","Good Shepherd Community Church"
"080","SCARBOROUGH--AGINCOURT","010","U","TORONTO","0","62","17","2","1","0","70","0","0","0","152","422","Terry Fox Public School"
"080","SCARBOROUGH--AGINCOURT","011","U","TORONTO","1","52","12","0","5","0","80","2","1","0","153","492","Terry Fox Public School"
"080","SCARBOROUGH--AGINCOURT","012","U","TORONTO","0","40","22","2","1","2","81","3","3","0","154","463","L'Amoreaux Community Centre"
"080","SCARBOROUGH--AGINCOURT","013","U","TORONTO","1","71","18","0","5","0","73","0","1","0","169","411","Terry Fox Public School"
"080","SCARBOROUGH--AGINCOURT","014","U","TORONTO","2","50","10","0","4","1","71","1","0","0","139","402","Terry Fox Public School"
"080","SCARBOROUGH--AGINCOURT","015","U","TORONTO","0","65","16","2","2","0","75","0","0","0","160","404","Terry Fox Public School"
"080","SCARBOROUGH--AGINCOURT","016","U","TORONTO","1","28","14","4","1","1","80","0","0","0","129","315","Terry Fox Public School"
"080","SCARBOROUGH--AGINCOURT","017","U","TORONTO","0","44","15","0","1","0","66","2","2","0","130","420","L'Amoreaux Community Centre"
"080","SCARBOROUGH--AGINCOURT","018","U","TORONTO","0","38","20","0","4","0","64","1","0","0","127","416","L'Amoreaux Community Centre"
"080","SCARBOROUGH--AGINCOURT","019","U","TORONTO","2","61","31","2","1","0","75","0","0","0","172","453","L'Amoreaux Community Centre"
"080","SCARBOROUGH--AGINCOURT","020","U","TORONTO","0","73","14","0","4","0","82","0","0","0","173","469","Kennedy Public School"
"080","SCARBOROUGH--AGINCOURT","021","U","TORONTO","1","69","14","1","6","1","86","0","1","0","179","509","Kennedy Public School"
"080","SCARBOROUGH--AGINCOURT","022","U","TORONTO","0","87","20","0","5","1","82","0","0","0","195","475","Kennedy Public School"
"080","SCARBOROUGH--AGINCOURT","023","U","TORONTO","1","79","14","4","4","0","96","0","0","0","198","571","Kennedy Public School"
"080","SCARBOROUGH--AGINCOURT","024","U","TORONTO","1","65","16","4","2","0","65","1","1","0","155","471","Kennedy Public School"
"080","SCARBOROUGH--AGINCOURT","025","U","TORONTO","0","70","12","3","8","1","67","2","0","0","163","378","L'Amoreaux Community Centre"
"080","SCARBOROUGH--AGINCOURT","026","U","TORONTO","0","33","6","1","0","2","61","0","0","0","103","435","L'Amoreaux Community Centre"
"080","SCARBOROUGH--AGINCOURT","027","U","TORONTO","2","43","6","2","0","2","41","0","0","0","96","404","L'Amoreaux Community Centre"
"080","SCARBOROUGH--AGINCOURT","028","U","TORONTO","1","20","43","13","1","1","102","2","0","0","183","595","Epiphany of Our Lord Catholic Academy"
"080","SCARBOROUGH--AGINCOURT","029","U","TORONTO","3","51","45","3","1","1","67","1","0","0","172","482","Epiphany of Our Lord Catholic Academy"
"080","SCARBOROUGH--AGINCOURT","030","U","TORONTO","3","31","35","4","0","0","69","1","0","0","143","395","Epiphany of Our Lord Catholic Academy"
"080","SCARBOROUGH--AGINCOURT","031","U","TORONTO","2","36","33","2","1","0","58","0","0","0","132","511","Epiphany of Our Lord Catholic Academy"
"080","SCARBOROUGH--AGINCOURT","032","U","TORONTO","3","55","27","3","3","0","88","2","1","0","182","384","Beverly Glen Junior Public School"
"080","SCARBOROUGH--AGINCOURT","033","U","TORONTO","0","59","18","2","4","0","99","2","0","0","184","455","Beverly Glen Junior Public School"
"080","SCARBOROUGH--AGINCOURT","034","U","TORONTO","1","69","46","1","4","0","103","1","1","0","226","567","Beverly Glen Junior Public School"
"080","SCARBOROUGH--AGINCOURT","035","U","TORONTO","1","56","44","0","4","0","67","1","0","0","173","433","Beverly Glen Junior Public School"
"080","SCARBOROUGH--AGINCOURT","036","U","TORONTO","1","41","45","4","4","0","81","0","0","0","176","421","Beverly Glen Junior Public School"
"080","SCARBOROUGH--AGINCOURT","037","U","TORONTO","1","29","40","2","7","0","77","1","0","0","157","402","Beverly Glen Junior Public School"
"080","SCARBOROUGH--AGINCOURT","038","U","TORONTO","0","57","38","2","9","0","94","0","0","5","205","522","Brookmill Boulevard Junior Public School"
"080","SCARBOROUGH--AGINCOURT","039","U","TORONTO","1","27","39","8","8","0","71","0","0","0","154","381","Brookmill Boulevard Junior Public School"
