"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DRIVER","DUGUID","MATHURIN","MOLE","WILLIAMS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"081","SCARBOROUGH CENTRE","001","U","TORONTO","0","85","36","2","54","0","0","0","177","401","Church of St. Andrew"
"081","SCARBOROUGH CENTRE","002","U","TORONTO","3","97","23","3","69","1","0","0","196","434","Terraview Learning Centre Aka Pharmacy"
"081","SCARBOROUGH CENTRE","003","U","TORONTO","3","97","38","4","42","0","1","0","185","430","Toronto Chinese Methodist Church"
"081","SCARBOROUGH CENTRE","004","U","TORONTO","0","88","47","5","53","0","0","0","193","460","Toronto Chinese Methodist Church"
"081","SCARBOROUGH CENTRE","005","U","TORONTO","1","69","27","1","34","0","1","0","133","367","Glamorgan Junior Public School"
"081","SCARBOROUGH CENTRE","006","U","TORONTO","0","45","25","2","38","0","0","0","110","343","Birkdale Community Centre"
"081","SCARBOROUGH CENTRE","007","U","TORONTO","1","94","38","6","46","1","0","0","186","416","St. Andrew's Public School"
"081","SCARBOROUGH CENTRE","008","U","TORONTO","0","89","34","8","38","1","1","0","171","455","Blue Danube Apartment(s)"
"081","SCARBOROUGH CENTRE","009","U","TORONTO","0","47","33","1","19","1","0","0","101","318","Church of St. Andrew"
"081","SCARBOROUGH CENTRE","010","U","TORONTO","4","101","37","6","42","0","1","0","191","411","Terraview Learning Centre Aka Pharmacy"
"081","SCARBOROUGH CENTRE","011","U","TORONTO","3","69","26","4","63","0","0","0","165","380","Terraview-Willowfield Public School"
"081","SCARBOROUGH CENTRE","012","U","TORONTO","3","180","83","3","93","0","1","0","363","899","Terraview-Willowfield Public School"
"081","SCARBOROUGH CENTRE","013","U","TORONTO","..........................NO POLL HELD..........................","","","","","","","","","",""
"081","SCARBOROUGH CENTRE","014","U","TORONTO",".......................COMBINED WITH POLL 012.......................","","","","","","","","","","Ellesmere Statton Public School"
"081","SCARBOROUGH CENTRE","015A","U","TORONTO","0","68","19","1","38","0","0","0","126","375","Ellesmere Statton Public School"
"081","SCARBOROUGH CENTRE","015B","U","TORONTO","1","55","33","0","19","0","0","0","108","292","Ellesmere Statton Public School"
"081","SCARBOROUGH CENTRE","016","U","TORONTO","1","89","47","0","33","2","0","0","172","467","Ellesmere Statton Public School"
"081","SCARBOROUGH CENTRE","017","U","TORONTO","2","66","54","0","26","3","1","0","152","415","Dorset Park Baptist Church"
"081","SCARBOROUGH CENTRE","018","U","TORONTO","1","63","35","3","28","0","0","0","130","316","Terraview-Willowfield Public School"
"081","SCARBOROUGH CENTRE","019","U","TORONTO","0","56","29","0","24","0","0","0","109","344","Birkdale Community Centre"
"081","SCARBOROUGH CENTRE","020","U","TORONTO","2","106","37","4","49","1","0","0","199","414","Edgewood Public School"
"081","SCARBOROUGH CENTRE","021","U","TORONTO","0","55","36","2","33","1","0","0","127","362","Birkdale Community Centre"
"081","SCARBOROUGH CENTRE","022","U","TORONTO","0","70","40","1","32","0","1","0","144","392","Maryvale Public School"
"081","SCARBOROUGH CENTRE","023","U","TORONTO","3","108","43","7","49","0","0","0","210","384","Maryvale Public School"
"081","SCARBOROUGH CENTRE","024","U","TORONTO","1","109","33","7","54","1","1","0","206","421","Maryvale Public School"
