"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","APELBAUM","BEST","ELLIS","OLIVER","POCHKHANAWALA","URBAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"082","SCARBOROUGH--GUILDWOOD","001","U","TORONTO","9","73","32","0","6","51","2","1","0","174","574","Woburn Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","002","U","TORONTO","0","0","0","0","0","0","0","0","0","0","32","Woburn Collegiate Institute"
"082","SCARBOROUGH--GUILDWOOD","003","U","TORONTO","10","88","28","1","1","43","1","0","0","172","528","Woburn Collegiate Institute"
"082","SCARBOROUGH--GUILDWOOD","004","U","TORONTO","12","88","9","2","0","35","0","0","0","146","427","Woburn Collegiate Institute"
"082","SCARBOROUGH--GUILDWOOD","005","U","TORONTO","6","142","101","1","2","61","1","1","0","315","712","Woburn Collegiate Institute"
"082","SCARBOROUGH--GUILDWOOD","006","U","TORONTO","2","57","79","0","0","14","1","0","0","153","364","Highcastle Public School"
"082","SCARBOROUGH--GUILDWOOD","007","U","TORONTO","2","106","92","1","4","23","1","0","0","229","400","Highcastle Public School"
"082","SCARBOROUGH--GUILDWOOD","008","U","TORONTO","1","100","99","0","0","14","0","0","0","214","407","Highcastle Public School"
"082","SCARBOROUGH--GUILDWOOD","009","U","TORONTO","3","98","50","0","4","42","0","0","0","197","400","Highcastle Public School"
"082","SCARBOROUGH--GUILDWOOD","010","U","TORONTO","1","96","84","0","1","36","0","0","0","218","483","Military Trail Public School"
"082","SCARBOROUGH--GUILDWOOD","011","U","TORONTO","3","99","52","2","1","41","2","0","1","201","486","Military Trail Public School"
"082","SCARBOROUGH--GUILDWOOD","012","U","TORONTO","1","93","41","1","2","39","1","0","0","178","469","Military Trail Public School"
"082","SCARBOROUGH--GUILDWOOD","013","U","TORONTO","3","86","56","0","2","24","1","0","0","172","362","Military Trail Public School"
"082","SCARBOROUGH--GUILDWOOD","014","U","TORONTO","5","112","74","0","0","37","3","1","0","232","657","Henry Hudson Senior Public School"
"082","SCARBOROUGH--GUILDWOOD","015","U","TORONTO","2","90","38","0","2","50","0","0","0","182","579","Military Trail Public School"
"082","SCARBOROUGH--GUILDWOOD","016","U","TORONTO","1","77","27","1","1","34","1","0","1","143","362","Tam Heather Curling and  Tennis Club"
"082","SCARBOROUGH--GUILDWOOD","017","U","TORONTO","4","96","12","1","6","50","2","1","0","172","542","Rhona Towers"
"082","SCARBOROUGH--GUILDWOOD","018","U","TORONTO","1","24","2","0","0","10","0","0","0","37","163","Military Trail Public School"
"082","SCARBOROUGH--GUILDWOOD","019","U","TORONTO","4","80","55","2","3","40","0","0","0","184","417","Bellmere Public School"
"082","SCARBOROUGH--GUILDWOOD","020","U","TORONTO","0","59","10","0","1","31","1","0","0","102","287","Woburn Village Co-Operative Homes"
"082","SCARBOROUGH--GUILDWOOD","021","U","TORONTO","6","68","28","0","2","25","1","0","0","130","406","Scarborough Centennial Recreation Centre"
"082","SCARBOROUGH--GUILDWOOD","022","U","TORONTO","1","95","44","1","0","42","1","0","0","184","404","Bellmere Public School"
"082","SCARBOROUGH--GUILDWOOD","023","U","TORONTO","4","95","45","0","0","37","0","0","0","181","440","Bellmere Public School"
"082","SCARBOROUGH--GUILDWOOD","024","U","TORONTO","2","104","48","1","4","19","0","0","0","178","503","Bellmere Public School"
"082","SCARBOROUGH--GUILDWOOD","025","U","SCARBOROUGH","4","138","83","0","4","42","1","0","0","272","511","William Tredway Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","026","U","SCARBOROUGH","0","70","72","0","1","36","1","1","0","181","412","William Tredway Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","027","U","SCARBOROUGH","4","77","58","1","1","33","3","0","0","177","406","William Tredway Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","028","U","SCARBOROUGH","1","126","59","1","3","47","1","0","0","238","513","William Tredway Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","029","U","SCARBOROUGH","1","55","36","0","0","33","2","1","0","128","310","William Tredway Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","030","U","TORONTO","8","95","32","2","0","42","0","0","0","179","600","Church of the Master"
"082","SCARBOROUGH--GUILDWOOD","031","U","TORONTO","2","64","50","0","2","31","2","1","0","152","391","Woburn Collegiate Institute"
"082","SCARBOROUGH--GUILDWOOD","032","U","TORONTO","4","80","29","0","0","50","2","0","0","165","425","Woburn Collegiate Institute"
"082","SCARBOROUGH--GUILDWOOD","033","U","TORONTO","1","93","62","1","0","32","0","0","1","190","409","Churchill Heights Public School"
"082","SCARBOROUGH--GUILDWOOD","034","U","TORONTO","0","91","64","3","0","41","1","0","0","200","417","Churchill Heights Public School"
"082","SCARBOROUGH--GUILDWOOD","035","U","TORONTO","2","76","66","0","8","43","2","0","0","197","453","Churchill Heights Public School"
"082","SCARBOROUGH--GUILDWOOD","036","U","TORONTO","1","109","59","2","2","43","4","0","0","220","462","Churchill Heights Public School"
"082","SCARBOROUGH--GUILDWOOD","037","U","TORONTO","4","86","75","1","1","42","1","0","0","210","424","St. Barbara Catholic School"
"082","SCARBOROUGH--GUILDWOOD","038","U","TORONTO","5","100","79","0","0","24","0","2","0","210","445","Golf Road Junior School"
"082","SCARBOROUGH--GUILDWOOD","039","U","TORONTO","3","98","72","2","1","45","1","0","0","222","566","St. Barbara Catholic School"
"082","SCARBOROUGH--GUILDWOOD","040","U","TORONTO","2","59","73","0","0","32","0","1","0","167","421","Heather Heights Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","041","U","TORONTO","0","101","32","0","1","48","3","0","0","185","377","Henry Hudson Senior Public School"
"082","SCARBOROUGH--GUILDWOOD","042","U","TORONTO","2","96","72","1","1","41","2","1","0","216","473","Heather Heights Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","043","U","TORONTO","1","167","77","2","3","52","2","2","0","306","556","Heather Heights Junior Public School"
"082","SCARBOROUGH--GUILDWOOD","044","U","TORONTO","2","93","49","0","7","46","0","0","0","197","435","George B Little Public School"
"082","SCARBOROUGH--GUILDWOOD","045","U","TORONTO","0","70","55","0","3","39","0","2","0","169","370","George B Little Public School"
"082","SCARBOROUGH--GUILDWOOD","046","U","TORONTO","1","62","68","1","1","29","0","1","0","163","401","Golf Road Junior School"
"082","SCARBOROUGH--GUILDWOOD","047","U","TORONTO","0","71","63","0","1","55","0","0","0","190","398","George B Little Public School"
"082","SCARBOROUGH--GUILDWOOD","048","U","TORONTO","1","94","40","1","1","40","0","1","0","178","390","Golf Road Junior School"
"082","SCARBOROUGH--GUILDWOOD","049","U","TORONTO","0","111","80","1","8","46","1","0","0","247","497","Curran Hall Community Centre"
"082","SCARBOROUGH--GUILDWOOD","050","U","TORONTO","1","99","71","0","0","36","1","2","0","210","534","West Hill Public School"
