"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BALKISSOON","KIM","LIAO","ROSCH","SHAN","SINGH","WALKER","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"083","SCARBOROUGH--ROUGE RIVER","001","U","TORONTO","30","50","0","1","18","0","2","0","1","0","102","358","Port Royal Public School"
"083","SCARBOROUGH--ROUGE RIVER","002","U","TORONTO","54","57","1","0","21","2","1","0","0","0","136","357","Port Royal Public School"
"083","SCARBOROUGH--ROUGE RIVER","003","U","TORONTO","43","42","3","0","26","2","0","0","1","0","117","386","Port Royal Public School"
"083","SCARBOROUGH--ROUGE RIVER","004","U","TORONTO","52","28","2","0","31","2","2","0","1","0","118","365","Port Royal Public School"
"083","SCARBOROUGH--ROUGE RIVER","005","U","TORONTO","49","38","3","0","21","3","0","0","0","0","114","360","Port Royal Public School"
"083","SCARBOROUGH--ROUGE RIVER","006","U","TORONTO","77","50","1","0","33","0","0","2","2","0","165","435","St. Rene Goupil Catholic School"
"083","SCARBOROUGH--ROUGE RIVER","007","U","TORONTO","62","51","1","0","31","0","3","0","1","0","149","430","St. Rene Goupil Catholic School"
"083","SCARBOROUGH--ROUGE RIVER","008","U","TORONTO","65","53","0","1","37","4","0","0","0","0","160","422","Port Royal Public School"
"083","SCARBOROUGH--ROUGE RIVER","009","U","TORONTO","60","43","2","0","46","1","1","0","1","0","154","397","St. Rene Goupil Catholic School"
"083","SCARBOROUGH--ROUGE RIVER","010","U","TORONTO","75","49","1","1","46","3","0","0","3","0","178","388","St. Rene Goupil Catholic School"
"083","SCARBOROUGH--ROUGE RIVER","011","U","TORONTO","40","41","0","0","19","1","0","0","0","0","101","379","Milliken Public School"
"083","SCARBOROUGH--ROUGE RIVER","012","U","TORONTO","57","35","1","0","10","3","0","0","0","0","106","315","Milliken Public School"
"083","SCARBOROUGH--ROUGE RIVER","013","U","TORONTO","76","59","2","4","23","0","1","1","2","0","168","419","Milliken Public School"
