"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BERARDINETTI","BLANCO-RUIBAL","BUDD","CHOPOWICK","MCKIM","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"084","SCARBOROUGH SOUTHWEST","001","U","SCARBOROUGH","86","0","54","21","11","0","0","0","172","402","Courcelette Public School"
"084","SCARBOROUGH SOUTHWEST","002","U","SCARBOROUGH","96","0","45","58","10","1","0","0","210","383","Courcelette Public School"
"084","SCARBOROUGH SOUTHWEST","003","U","SCARBOROUGH","66","0","42","31","8","1","0","0","148","312","Courcelette Public School"
"084","SCARBOROUGH SOUTHWEST","004","U","SCARBOROUGH","104","0","53","50","14","1","0","0","222","418","Courcelette Public School"
"084","SCARBOROUGH SOUTHWEST","005","U","SCARBOROUGH","97","0","48","52","12","0","0","0","209","376","Courcelette Public School"
"084","SCARBOROUGH SOUTHWEST","006","U","SCARBOROUGH","95","2","62","61","8","1","0","0","229","421","Blantyre Public School"
"084","SCARBOROUGH SOUTHWEST","007","U","SCARBOROUGH","105","1","57","53","5","1","0","0","222","409","Blantyre Public School"
"084","SCARBOROUGH SOUTHWEST","008","U","SCARBOROUGH","87","0","73","39","7","0","1","0","207","433","Blantyre Public School"
"084","SCARBOROUGH SOUTHWEST","009","U","SCARBOROUGH","76","2","86","26","7","0","0","0","197","371","Blantyre Public School"
"084","SCARBOROUGH SOUTHWEST","010","U","SCARBOROUGH","78","1","73","37","7","1","1","0","198","362","Blantyre Public School"
"084","SCARBOROUGH SOUTHWEST","011","U","SCARBOROUGH","104","1","53","55","5","0","1","0","219","428","Blantyre Public School"
"084","SCARBOROUGH SOUTHWEST","012","U","TORONTO","66","1","66","27","4","1","0","0","165","316","Birchcliff Bluffs United Church"
"084","SCARBOROUGH SOUTHWEST","013","U","TORONTO","72","0","63","33","4","0","0","0","172","352","Birchcliff Bluffs United Church"
"084","SCARBOROUGH SOUTHWEST","014","U","TORONTO","56","0","45","22","1","0","0","0","124","251","Birchcliff Bluffs United Church"
"084","SCARBOROUGH SOUTHWEST","015","U","SCARBOROUGH","81","3","54","50","5","0","0","0","193","412","Royal Canadian Legion Branch 13"
"084","SCARBOROUGH SOUTHWEST","016","U","SCARBOROUGH","81","0","79","42","7","0","0","0","209","446","Royal Canadian Legion Branch 13"
"084","SCARBOROUGH SOUTHWEST","017","U","SCARBOROUGH","85","2","62","61","4","0","0","0","214","431","Royal Canadian Legion Branch 13"
"084","SCARBOROUGH SOUTHWEST","018","U","SCARBOROUGH","66","2","89","35","7","0","1","0","200","423","Royal Canadian Legion Branch 13"
"084","SCARBOROUGH SOUTHWEST","019","U","SCARBOROUGH","85","1","81","45","4","2","0","0","218","445","Royal Canadian Legion Branch 13"
"084","SCARBOROUGH SOUTHWEST","020","U","TORONTO","32","1","60","33","1","0","0","0","127","300","Birchmount Community Centre"
"084","SCARBOROUGH SOUTHWEST","021","U","TORONTO","62","1","55","44","1","0","0","0","163","328","Birchmount Community Centre"
"084","SCARBOROUGH SOUTHWEST","022","U","TORONTO","83","1","44","46","5","0","0","0","179","340","Birchmount Community Centre"
"084","SCARBOROUGH SOUTHWEST","023","U","SCARBOROUGH","60","4","78","51","4","0","0","0","197","428","Birch Cliff Heights Public School"
"084","SCARBOROUGH SOUTHWEST","024","U","SCARBOROUGH","81","2","51","24","4","0","0","0","162","337","Birch Cliff Heights Public School"
"084","SCARBOROUGH SOUTHWEST","025","U","SCARBOROUGH","65","1","50","57","6","1","1","0","181","410","Birch Cliff Heights Public School"
"084","SCARBOROUGH SOUTHWEST","026","U","SCARBOROUGH","66","0","48","25","4","0","0","0","143","443","Birch Cliff Heights Public School"
"084","SCARBOROUGH SOUTHWEST","027","U","SCARBOROUGH","51","2","68","51","14","0","0","0","186","392","Birch Cliff Heights Public School"
