"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","KENWELL","MATTHEWS","SCHREINER","WILSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"085","SIMCOE--GREY","001","U","THORNBURY","48","13","16","92","0","0","1","170","338","Beaver Valley Community School"
"085","SIMCOE--GREY","002","U","THORNBURY","44","27","35","83","2","2","0","193","437","Beaver Valley Community School"
"085","SIMCOE--GREY","003","U","THORNBURY","29","9","16","35","0","0","0","89","210","Beaver Valley Community School"
"085","SIMCOE--GREY","004","U","THORNBURY","52","23","15","65","0","0","0","155","309","Beaver Valley Community School"
"085","SIMCOE--GREY","005","U","THORNBURY","26","35","29","62","0","0","0","152","299","Beaver Valley Community School"
"085","SIMCOE--GREY","006","U","THORNBURY","33","27","20","58","0","0","0","138","270","Beaver Valley Community School"
"085","SIMCOE--GREY","007","U","THORNBURY","30","16","22","49","0","2","0","119","283","Beaver Valley Community School"
"085","SIMCOE--GREY","008","U","THORNBURY","58","19","21","72","0","0","0","170","304","Beaver Valley Community School"
"085","SIMCOE--GREY","009","U","THORNBURY","47","27","35","144","0","0","0","253","561","Leonard E. Shore Memorial Library"
"085","SIMCOE--GREY","010","U","THORNBURY","41","13","9","51","0","0","0","114","310","Leonard E. Shore Memorial Library"
"085","SIMCOE--GREY","011","U","COLLINGWOOD","91","26","22","145","0","0","0","284","673","Toronto Ski Club"
"085","SIMCOE--GREY","012","U","COLLINGWOOD","41","18","19","74","0","0","0","152","344","Toronto Ski Club"
"085","SIMCOE--GREY","013","U","COLLINGWOOD","13","14","17","59","1","1","0","105","345","Toronto Ski Club"
"085","SIMCOE--GREY","014","U","COLLINGWOOD","30","10","21","46","1","0","0","108","259","Toronto Ski Club"
"085","SIMCOE--GREY","015","U","COLLINGWOOD","57","26","24","114","0","0","0","221","540","Toronto Ski Club"
"085","SIMCOE--GREY","016","U","COLLINGWOOD","34","1","6","45","0","0","0","86","266","Cranberry Resort"
"085","SIMCOE--GREY","017","U","COLLINGWOOD","23","8","13","62","0","0","0","106","289","Cranberry Resort"
"085","SIMCOE--GREY","018","U","COLLINGWOOD","49","15","13","63","1","0","0","141","336","Collingwood Public Library"
"085","SIMCOE--GREY","019","U","COLLINGWOOD","49","16","15","57","0","0","0","137","314","Cranberry Resort"
"085","SIMCOE--GREY","020","U","COLLINGWOOD","42","22","20","60","0","0","0","144","358","Cranberry Resort"
"085","SIMCOE--GREY","021","U","COLLINGWOOD","11","8","2","41","0","0","0","62","177","Collingwood Public Library"
"085","SIMCOE--GREY","022","U","COLLINGWOOD","93","25","17","122","0","0","0","257","604","Jean Vanier Catholic High School"
"085","SIMCOE--GREY","023A","U","COLLINGWOOD","34","18","6","53","1","0","0","112","327","Jean Vanier Catholic High School"
"085","SIMCOE--GREY","023B","U","COLLINGWOOD","28","16","13","38","0","0","0","95","339","Jean Vanier Catholic High School"
"085","SIMCOE--GREY","024","U","COLLINGWOOD","24","27","20","50","0","0","0","121","434","Royal Canadian Legion Branch 63"
"085","SIMCOE--GREY","025","U","COLLINGWOOD","29","29","14","45","1","0","0","118","457","Royal Canadian Legion Branch 63"
"085","SIMCOE--GREY","026","U","COLLINGWOOD","20","26","16","56","0","0","0","118","388","Royal Canadian Legion Branch 63"
"085","SIMCOE--GREY","027","U","COLLINGWOOD","53","22","28","79","0","0","0","182","443","Royal Canadian Legion Branch 63"
"085","SIMCOE--GREY","028","U","COLLINGWOOD","50","23","22","62","0","0","0","157","435","Royal Canadian Legion Branch 63"
"085","SIMCOE--GREY","029","U","COLLINGWOOD","28","24","10","56","1","0","0","119","349","Jean Vanier Catholic High School"
"085","SIMCOE--GREY","030","U","COLLINGWOOD","36","16","29","75","1","0","0","157","404","Jean Vanier Catholic High School"
"085","SIMCOE--GREY","031","U","COLLINGWOOD","24","14","20","78","0","0","0","136","366","Jean Vanier Catholic High School"
"085","SIMCOE--GREY","032","U","COLLINGWOOD","56","19","11","81","0","0","0","167","508","Trinity United Church"
"085","SIMCOE--GREY","033","U","COLLINGWOOD","32","25","31","68","1","0","0","157","384","Trinity United Church"
"085","SIMCOE--GREY","034","U","COLLINGWOOD","40","12","15","78","1","0","0","146","358","Trinity United Church"
"085","SIMCOE--GREY","035","U","COLLINGWOOD","37","22","21","75","0","0","0","155","425","Trinity United Church"
"085","SIMCOE--GREY","036","U","COLLINGWOOD","44","11","18","44","0","0","0","117","291","Trinity United Church"
"085","SIMCOE--GREY","037","U","COLLINGWOOD","34","31","16","72","0","0","0","153","377","Royal Canadian Legion Branch 63"
"085","SIMCOE--GREY","038","U","COLLINGWOOD","38","38","15","56","0","0","0","147","432","Royal Canadian Legion Branch 63"
"085","SIMCOE--GREY","039","U","COLLINGWOOD","33","14","10","60","0","0","0","117","340","Royal Canadian Legion Branch 63"
"085","SIMCOE--GREY","040","U","COLLINGWOOD","53","11","10","79","0","0","0","153","396","Christ Our Hope Lutheran Church"
"085","SIMCOE--GREY","041","U","COLLINGWOOD","29","18","19","73","0","0","0","139","415","Collingwood Leisure Time Club"
"085","SIMCOE--GREY","042","U","COLLINGWOOD","31","29","27","69","2","1","0","159","483","Collingwood Leisure Time Club"
"085","SIMCOE--GREY","043","U","COLLINGWOOD","37","26","43","105","0","0","0","211","525","Collingwood Leisure Time Club"
"085","SIMCOE--GREY","044","U","COLLINGWOOD","18","18","29","59","0","0","0","124","306","Collingwood Leisure Time Club"
