"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DUNLOP","LARSEN","MIDDLETON","STUBBINS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"086","SIMCOE NORTH","001","U","CHRISTIAN ISLAND","42","28","61","6","1","0","0","138","327","Beausoleil First Nation/Christian Island"
"086","SIMCOE NORTH","002","U","PENETANGUISHENE","41","23","22","15","1","0","0","102","245","James Keating Elementary School"
"086","SIMCOE NORTH","003","U","PENETANGUISHENE","82","37","16","19","0","1","0","155","319","École élémentaire catholique Sainte Croix"
"086","SIMCOE NORTH","004","U","PENETANGUISHENE","40","34","19","31","0","0","0","124","297","École élémentaire catholique Sainte Croix"
"086","SIMCOE NORTH","005","U","PENETANGUISHENE","32","16","14","17","0","0","0","79","831","James Keating Elementary School"
"086","SIMCOE NORTH","006","U","PENETANGUISHENE","52","33","24","9","0","0","1","119","165","James Keating Elementary School"
"086","SIMCOE NORTH","007","U","PENETANGUISHENE","67","50","28","22","1","0","0","168","354","École élémentaire catholique Sainte Croix"
"086","SIMCOE NORTH","008","U","PENETANGUISHENE","77","63","61","27","2","0","0","230","489","École élémentaire catholique Sainte Croix"
"086","SIMCOE NORTH","009","U","PENETANGUISHENE","56","31","27","5","0","0","0","119","317","James Keating Elementary School"
"086","SIMCOE NORTH","010","U","PENETANGUISHENE","72","71","48","20","0","0","0","211","525","École élémentaire catholique Sainte Croix"
"086","SIMCOE NORTH","011","U","PERKINSFIELD","82","42","18","27","0","0","0","169","451","The Place Community Centre"
"086","SIMCOE NORTH","012","U","PENETANGUISHENE","49","18","29","19","2","0","0","117","182","James Keating Elementary School"
"086","SIMCOE NORTH","013","U","PERKINSFIELD","80","34","31","5","1","0","1","152","331","The Place Community Centre"
"086","SIMCOE NORTH","014","U","PERKINSFIELD","98","48","42","15","0","1","1","205","478","The Place Community Centre"
"086","SIMCOE NORTH","015","U","PERKINSFIELD","78","43","29","19","1","0","0","170","457","The Place Community Centre"
"086","SIMCOE NORTH","016","U","WYEBRIDGE","59","33","17","9","0","0","0","118","304","Wyebridge Community Centre"
"086","SIMCOE NORTH","017","U","WYEBRIDGE","71","47","25","12","0","0","0","155","484","Wyebridge Community Centre"
"086","SIMCOE NORTH","018","U","WYEVALE","91","19","21","13","0","0","0","144","285","Wyevale Central Public School"
"086","SIMCOE NORTH","019","U","WYEVALE","119","67","44","14","0","1","0","245","541","Wyevale Central Public School"
"086","SIMCOE NORTH","020","U","WYEVALE","158","37","39","14","0","0","0","248","443","Wyevale Central Public School"
"086","SIMCOE NORTH","021","U","WYEVALE","139","66","26","10","2","0","0","243","490","Wyevale Central Public School"
"086","SIMCOE NORTH","022","U","WYEBRIDGE","90","28","35","21","0","0","0","174","361","Wyebridge Community Centre"
"086","SIMCOE NORTH","023","U","PENETANGUISHENE","72","49","34","20","0","0","0","175","471","Burkevale Protestant Separate School"
"086","SIMCOE NORTH","024","U","PENETANGUISHENE","73","38","26","17","0","0","0","154","385","Knights of Huronia"
"086","SIMCOE NORTH","025","U","PENETANGUISHENE","103","54","18","24","0","0","0","199","555","Penetanguishene Secondary School"
"086","SIMCOE NORTH","026","U","PENETANGUISHENE","60","36","20","19","0","0","0","135","390","Burkevale Protestant Separate School"
"086","SIMCOE NORTH","027","U","PENETANGUISHENE","45","58","35","11","0","0","0","149","396","Knights of Huronia"
"086","SIMCOE NORTH","028","U","PENETANGUISHENE","47","25","26","7","0","0","0","105","322","Burkevale Protestant Separate School"
"086","SIMCOE NORTH","029","U","PENETANGUISHENE","42","29","29","9","0","0","0","109","351","Burkevale Protestant Separate School"
"086","SIMCOE NORTH","030","U","PENETANGUISHENE","75","49","25","6","2","0","0","157","417","Knights of Huronia"
"086","SIMCOE NORTH","031","U","PENETANGUISHENE","31","25","22","3","1","0","0","82","380","Knights of Huronia"
"086","SIMCOE NORTH","032","U","PENETANGUISHENE","26","23","21","8","1","0","0","79","364","Knights of Huronia"
"086","SIMCOE NORTH","033","U","PENETANGUISHENE","38","17","32","10","0","0","0","97","390","James Keating Elementary School"
"086","SIMCOE NORTH","034","U","PENETANGUISHENE","37","34","36","10","0","0","0","117","420","Royal Canadian Legion #68 Penetanguishene"
"086","SIMCOE NORTH","035","U","PENETANGUISHENE","48","27","33","6","0","0","0","114","318","Royal Canadian Legion #68 Penetanguishene"
"086","SIMCOE NORTH","036","U","PENETANGUISHENE","46","43","30","15","0","0","0","134","358","Royal Canadian Legion #68 Penetanguishene"
"086","SIMCOE NORTH","037","U","PENETANGUISHENE","66","55","36","17","0","0","0","174","419","Penetanguishene Secondary School"
"086","SIMCOE NORTH","038","U","PENETANGUISHENE","74","45","18","4","0","0","0","141","306","Royal Canadian Legion #68 Penetanguishene"
"086","SIMCOE NORTH","039","U","PENETANGUISHENE","125","64","13","10","0","0","0","212","568","Penetanguishene Secondary School"
"086","SIMCOE NORTH","040","U","PENETANGUISHENE","44","23","9","8","1","0","1","86","337","Penetanguishene Secondary School"
"086","SIMCOE NORTH","041","U","PENETANGUISHENE","41","33","23","6","0","0","0","103","428","Penetanguishene Secondary School"
"086","SIMCOE NORTH","042","U","MIDLAND","32","18","28","6","1","0","0","85","347","Mundy's Bay Public School"
"086","SIMCOE NORTH","043","U","MIDLAND","54","8","20","11","1","0","0","94","283","Sacred Heart Elementary School"
"086","SIMCOE NORTH","044","U","MIDLAND","56","17","27","12","0","0","0","112","328","Sacred Heart Elementary School"
"086","SIMCOE NORTH","045","U","MIDLAND","37","7","20","4","0","0","0","68","304","North Simcoe Sports and Recreation Centre"
"086","SIMCOE NORTH","046","U","MIDLAND","43","22","23","19","0","0","0","107","294","North Simcoe Sports and Recreation Centre"
"086","SIMCOE NORTH","047","U","MIDLAND","27","19","40","12","0","0","2","100","335","Sacred Heart Elementary School"
"086","SIMCOE NORTH","048","U","MIDLAND","15","5","17","5","0","0","0","42","220","North Simcoe Sports and Recreation Centre"
"086","SIMCOE NORTH","049","U","MIDLAND","45","20","28","6","1","0","0","100","343","Sacred Heart Elementary School"
"086","SIMCOE NORTH","050","U","MIDLAND","45","18","23","8","0","0","0","94","377","Mundy's Bay Public School"
"086","SIMCOE NORTH","051","U","MIDLAND","46","35","19","10","0","0","0","110","340","Mundy's Bay Public School"
"086","SIMCOE NORTH","052","U","MIDLAND","71","34","8","6","0","0","0","119","343","Mundy's Bay Public School"
"086","SIMCOE NORTH","053","U","MIDLAND","40","32","33","9","1","0","1","116","338","Mundy's Bay Public School"
"086","SIMCOE NORTH","054","U","MIDLAND","48","40","15","6","1","1","0","111","355","Mundy's Bay Public School"
"086","SIMCOE NORTH","055","U","MIDLAND","90","39","15","13","0","0","0","157","351","Mundy's Bay Public School"
"086","SIMCOE NORTH","056","U","MIDLAND","22","19","16","0","0","0","0","57","218","Mundy's Bay Public School"
"086","SIMCOE NORTH","057","U","MIDLAND","52","49","20","3","0","0","0","124","341","Mundy's Bay Public School"
"086","SIMCOE NORTH","058","U","MIDLAND","45","29","23","13","0","0","0","110","282","North Simcoe Sports and Recreation Centre"
"086","SIMCOE NORTH","059","U","MIDLAND","52","18","25","17","0","0","0","112","346","North Simcoe Sports and Recreation Centre"
"086","SIMCOE NORTH","060","U","MIDLAND","69","38","25","12","0","0","0","144","382","Sacred Heart Elementary School"
"086","SIMCOE NORTH","061","U","MIDLAND","58","31","16","8","0","0","1","114","361","St. Theresa Catholic High School"
"086","SIMCOE NORTH","062","U","MIDLAND","64","26","28","3","0","0","0","121","334","North Simcoe Sports and Recreation Centre"
"086","SIMCOE NORTH","063","U","MIDLAND","64","28","23","6","1","0","0","122","343","North Simcoe Sports and Recreation Centre"
"086","SIMCOE NORTH","064","U","MIDLAND","88","24","31","17","0","0","0","160","440","North Simcoe Sports and Recreation Centre"
"086","SIMCOE NORTH","065","U","MIDLAND","60","36","22","4","0","0","0","122","382","North Simcoe Sports and Recreation Centre"
"086","SIMCOE NORTH","066","U","MIDLAND","58","18","31","4","0","0","0","111","298","North Simcoe Sports and Recreation Centre"
"086","SIMCOE NORTH","067","U","MIDLAND","74","34","29","6","1","0","0","144","365","St. Theresa Catholic High School"
"086","SIMCOE NORTH","068","U","MIDLAND","69","39","26","12","0","0","0","146","362","St. Theresa Catholic High School"
