"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DONNELLY","MACDONALD","MACDONALD","MCDONELL","REIST","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","001","R","MOUNTAIN","2","31","25","91","7","0","0","0","156","362","Mountain Community Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","002","R","MOUNTAIN","2","34","27","86","4","0","0","0","153","314","Mountain Community Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","003","R","MOUNTAIN","3","20","9","74","2","0","0","0","108","418","Mountain Community Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","004","R","MOREWOOD","1","29","42","102","4","0","0","0","178","454","Morewood Community Centre"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","005","R","MOREWOOD","5","33","32","87","3","0","0","0","160","328","Morewood Community Centre"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","006","R","MOREWOOD","2","26","15","110","3","1","0","0","157","354","Morewood Community Centre"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","007","R","MOUNTAIN","1","35","15","128","7","0","0","0","186","409","Mountain Community Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","008","R","WINCHESTER","2","13","22","84","2","0","0","0","123","280","North Dundas Township Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","009","R","WINCHESTER","1","17","25","95","2","0","0","0","140","402","North Dundas Township Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","010","R","MOREWOOD","2","20","32","106","3","0","0","0","163","410","Morewood Community Centre"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","011","R","WINCHESTER","2","30","26","85","2","0","0","0","145","310","Winchester Public School"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","012","R","WINCHESTER","1","30","19","91","4","1","0","1","147","367","Winchester Public School"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","013","R","WINCHESTER","0","37","27","104","1","1","0","0","170","435","Winchester Public School"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","014","R","WINCHESTER","2","25","16","74","10","0","0","0","127","368","Winchester Public School"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","015","R","WINCHESTER","2","23","25","49","1","0","0","0","100","302","North Dundas Township Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","016","R","SOUTH MOUNTAIN","1","26","32","141","4","1","0","0","205","351","Nationview Public School"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","017","R","SOUTH MOUNTAIN","1","27","35","125","4","0","0","0","192","382","Nationview Public School"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","018","R","SOUTH MOUNTAIN","0","22","22","117","2","1","0","0","164","326","Nationview Public School"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","019","R","WINCHESTER","1","19","14","57","3","1","0","0","95","411","North Dundas Township Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","020","R","CHESTERVILLE","3","15","17","89","0","0","0","0","124","292","Royal Canadian Legion - Chesterville"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","021","R","CHESTERVILLE","2","28","19","72","2","2","1","0","126","340","Royal Canadian Legion - Chesterville"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","022","R","CHESTERVILLE","4","26","27","150","5","0","0","0","212","448","Royal Canadian Legion - Chesterville"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","023","R","CHESTERVILLE","3","29","24","113","7","0","0","0","176","373","Royal Canadian Legion - Chesterville"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","024","R","BRINSTON","1","15","19","92","2","1","0","0","130","318","Matilda Township Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","025","R","BRINSTON","3","16","16","156","2","1","0","0","194","405","Matilda Township Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","026","R","WILLIAMSBURG","1","20","10","104","3","0","0","0","138","337","Williamsburg Fire Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","027","R","SOUTH DUNDAS","1","39","34","117","5","0","0","0","196","385","Dunbar Recreation Centre"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","028","R","SOUTH DUNDAS","4","33","19","117","6","0","0","1","180","395","Dunbar Recreation Centre"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","029","R","BRINSTON","1","21","29","105","6","1","0","0","163","383","Matilda Township Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","030","R","BRINSTON","1","12","25","113","7","0","0","0","158","322","Matilda Township Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","031","R","WILLIAMSBURG","0","30","36","146","1","0","0","0","213","434","Williamsburg Fire Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","032","R","WILLIAMSBURG","1","28","27","117","3","0","0","0","176","369","Williamsburg Fire Hall"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","033","R","IROQUOIS","1","25","33","122","4","0","0","0","185","418","Iroquois Civic Centre"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","034","R","IROQUOIS","1","24","11","80","2","0","0","0","118","304","Iroquois Civic Centre"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","035A","R","IROQUOIS","2","22","24","85","4","0","0","0","137","353","Iroquois Civic Centre"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","035B","R","IROQUOIS","3","32","21","98","2","1","0","0","157","345","Iroquois Civic Centre"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","036","R","IROQUOIS","1","17","34","101","3","0","0","0","156","291","Iroquois Civic Centre"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","037","R","MORRISBURG","1","27","39","109","0","0","0","0","176","455","Morrisburg Public School"
"087","STORMONT--DUNDAS--SOUTH GLENGARRY","038","R","MORRISBURG","0","15","20","62","2","1","1","0","101","260","McIntosh Country Inn and Conference Centre"
