"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BARTOLUCCI","LABELLE","LOEWENBERG","MURPHY MARKETOS","POPESCU","ROGERSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"088","SUDBURY","001","U","COPPER CLIFF","59","15","51","0","0","6","0","0","0","131","279","McClelland Community Centre"
"088","SUDBURY","002","U","COPPER CLIFF","61","19","82","0","0","4","0","0","0","166","382","McClelland Community Centre"
"088","SUDBURY","003","U","COPPER CLIFF","36","13","84","0","0","3","0","0","0","136","314","McClelland Community Centre"
"088","SUDBURY","004","U","COPPER CLIFF","12","7","65","0","0","2","0","0","0","86","250","Copper Cliff Apartments"
"088","SUDBURY","005","U","COPPER CLIFF","46","9","51","1","0","10","0","0","0","117","276","McClelland Community Centre"
"088","SUDBURY","006","U","COPPER CLIFF","57","7","40","0","0","1","0","0","0","105","264","McClelland Community Centre"
"088","SUDBURY","007","U","SUDBURY","29","8","37","1","0","4","0","0","0","79","239","Gatchell Public School"
"088","SUDBURY","008","U","SUDBURY","60","9","52","0","0","2","2","1","0","126","290","Gatchell Public School"
"088","SUDBURY","009","U","SUDBURY","46","7","53","0","0","5","0","0","0","111","259","Gatchell Public School"
"088","SUDBURY","010","U","SUDBURY","41","4","33","0","0","2","1","0","0","81","313","Delky Dozzi Community Centre"
"088","SUDBURY","011","U","SUDBURY","41","6","41","0","0","3","0","0","0","91","225","Delky Dozzi Community Centre"
"088","SUDBURY","012","U","SUDBURY","44","13","49","0","1","5","1","0","0","113","306","Princess Anne Public School"
"088","SUDBURY","013","U","SUDBURY","100","21","70","1","0","3","0","0","1","196","443","Princess Anne Public School"
"088","SUDBURY","014","U","SUDBURY","53","5","63","0","0","9","0","0","0","130","323","Princess Anne Public School"
"088","SUDBURY","015","U","SUDBURY","48","4","60","5","0","4","0","0","0","121","322","Princess Anne Public School"
"088","SUDBURY","016","U","SUDBURY","40","9","41","0","0","10","1","0","0","101","303","Jubilee Centre"
"088","SUDBURY","017","U","SUDBURY","26","4","35","1","0","7","1","0","0","74","243","Jubilee Centre"
"088","SUDBURY","018","U","SUDBURY","39","5","32","1","0","3","0","0","1","81","225","Trinity Lutheran Church"
"088","SUDBURY","019","U","SUDBURY","38","8","50","3","0","6","0","2","0","107","293","Trinity Lutheran Church"
"088","SUDBURY","020","U","SUDBURY","39","15","63","0","0","5","0","0","0","122","347","Trinity Lutheran Church"
"088","SUDBURY","021","U","SUDBURY","39","14","54","0","0","1","0","0","0","108","223","Trinity Lutheran Church"
"088","SUDBURY","022","U","SUDBURY","48","14","43","0","0","5","0","0","0","110","365","Elm West Playground"
"088","SUDBURY","023","U","SUDBURY","66","18","33","1","0","5","0","0","0","123","275","Elm West Playground"
"088","SUDBURY","024","U","SUDBURY","68","18","64","0","0","4","0","0","1","155","418","Elm West Playground"
"088","SUDBURY","025","U","SUDBURY","47","18","50","0","1","1","1","0","0","118","300","Elm West Playground"
"088","SUDBURY","026","U","SUDBURY","50","23","57","1","0","2","1","0","0","134","416","Lansdowne Public School"
"088","SUDBURY","027","U","SUDBURY","45","5","55","1","0","4","1","1","0","112","417","Jubilee Centre"
"088","SUDBURY","028","U","SUDBURY","50","8","58","0","0","5","0","0","0","121","336","Public Library - Main Branch"
"088","SUDBURY","029","U","SUDBURY","38","15","67","0","1","6","1","0","0","128","379","Grace Family Church"
"088","SUDBURY","030","U","SUDBURY","41","14","46","0","0","2","0","0","0","103","267","College Notre Dame"
"088","SUDBURY","031","U","SUDBURY","45","11","55","2","0","1","0","0","0","114","343","École secondaire du Sacre-Coeur"
"088","SUDBURY","032","U","SUDBURY","28","6","46","0","0","1","0","0","0","81","283","École secondaire du Sacre-Coeur"
"088","SUDBURY","033","U","SUDBURY","19","1","36","0","2","0","0","0","0","58","229","École St Joseph"
"088","SUDBURY","034","U","SUDBURY","49","8","64","2","0","10","1","0","0","134","343","Lansdowne Public School"
"088","SUDBURY","035","U","SUDBURY","12","5","35","0","1","5","0","0","0","58","174","Lansdowne Public School"
"088","SUDBURY","036","U","SUDBURY","26","8","32","0","0","4","0","0","0","70","170","Public Library - Main Branch"
"088","SUDBURY","037","U","SUDBURY","24","8","75","1","3","1","0","0","0","112","351","Grace Family Church"
"088","SUDBURY","038","U","SUDBURY","28","9","32","0","0","0","0","0","0","69","209","Grace Family Church"
"088","SUDBURY","039","U","SUDBURY","17","6","42","1","0","2","0","0","0","68","211","École St Joseph"
"088","SUDBURY","040","U","SUDBURY","35","9","31","0","0","1","0","0","0","76","211","Queen Elizabeth II Public School"
"088","SUDBURY","041","U","SUDBURY","20","9","51","1","1","0","0","0","0","82","296","École St Joseph"
"088","SUDBURY","042","U","SUDBURY","22","3","29","2","0","1","0","0","0","57","201","Balmoral Apartments"
"088","SUDBURY","043","U","SUDBURY","31","9","65","0","0","1","0","0","0","106","295","Balmoral Apartments"
"088","SUDBURY","044","U","SUDBURY","17","0","52","0","0","2","0","0","0","71","226","Balmoral Apartments"
"088","SUDBURY","045","U","SUDBURY","55","20","49","2","0","1","0","0","0","127","285","Queen Elizabeth II Public School"
"088","SUDBURY","046","U","SUDBURY","26","2","30","0","0","0","0","0","0","58","241","Queen Elizabeth II Public School"
"088","SUDBURY","047","U","SUDBURY","30","11","47","0","0","1","1","0","0","90","230","École secondaire Macdonald-Cartier"
"088","SUDBURY","048","U","SUDBURY","0","0","0","0","0","0","0","0","0","0","145","École secondaire Macdonald-Cartier"
"088","SUDBURY","049","U","SUDBURY","28","6","52","0","0","2","0","0","0","88","307","École secondaire Macdonald-Cartier"
"088","SUDBURY","050","U","SUDBURY","19","8","22","0","0","3","0","0","0","52","120","École secondaire Macdonald-Cartier"
"088","SUDBURY","051","U","SUDBURY","21","6","40","0","0","2","0","0","0","69","289","École secondaire Macdonald-Cartier"
"088","SUDBURY","052","U","SUDBURY","80","20","54","3","0","3","1","0","0","161","402","Club Amical du New Sudbury"
"088","SUDBURY","053","U","SUDBURY","58","16","78","0","0","4","0","0","0","156","323","Ernie Checkeris Public School"
"088","SUDBURY","054","U","SUDBURY","102","41","55","0","0","5","0","0","0","203","427","Club Amical du New Sudbury"
"088","SUDBURY","055","U","SUDBURY","62","23","66","0","0","7","0","0","0","158","322","Ernie Checkeris Public School"
"088","SUDBURY","056","U","SUDBURY","19","9","41","0","0","0","0","0","0","69","277","Ernie Checkeris Public School"
"088","SUDBURY","057","U","SUDBURY","79","19","64","0","0","5","1","0","0","168","353","Carl A. Nesbitt Public School"
"088","SUDBURY","058","U","SUDBURY","65","32","79","1","0","3","1","1","0","182","346","Ernie Checkeris Public School"
"088","SUDBURY","059","U","SUDBURY","85","20","66","0","0","4","2","0","0","177","376","Carl A. Nesbitt Public School"
"088","SUDBURY","060","U","SUDBURY","33","15","34","1","1","0","0","0","0","84","308","St. Stephen's on the Hill United Church"
"088","SUDBURY","061","U","SUDBURY","78","12","65","2","0","6","1","0","0","164","318","St. Stephen's on the Hill United Church"
"088","SUDBURY","062","U","SUDBURY","118","26","67","1","0","2","0","1","0","215","441","St. Stephen's on the Hill United Church"
"088","SUDBURY","063","U","SUDBURY","90","30","77","2","0","9","0","0","0","208","371","Club Amical du New Sudbury"
