"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BALFOUR","DUNCAN","FARBER","GORMAN","HACKELBERG","SHURMAN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"089","THORNHILL","001","U","THORNHILL","3","1","36","1","9","25","0","0","0","75","384","North Thornhill Community Centre"
"089","THORNHILL","002","U","THORNHILL","8","1","34","2","10","57","0","1","0","113","291","Dufferin Clark Community Centre"
"089","THORNHILL","003","U","THORNHILL","5","5","47","1","17","34","2","0","0","111","269","Dufferin Clark Community Centre"
"089","THORNHILL","004","U","THORNHILL","5","1","44","1","19","46","2","0","0","118","387","Forest Run Public School"
"089","THORNHILL","005","U","THORNHILL","2","2","44","3","7","65","0","0","0","123","387","Forest Run Public School"
"089","THORNHILL","006","U","THORNHILL","1","1","37","0","19","32","1","0","0","91","291","Forest Run Public School"
"089","THORNHILL","007","U","THORNHILL","4","3","54","0","16","64","1","0","0","142","416","Forest Run Public School"
"089","THORNHILL","008","U","THORNHILL","5","1","54","0","18","54","1","1","0","134","439","Forest Run Public School"
"089","THORNHILL","009","U","THORNHILL","6","0","63","0","21","53","1","1","0","145","472","Forest Run Public School"
"089","THORNHILL","010","U","THORNHILL","5","4","82","0","29","91","1","0","0","212","510","Forest Run Public School"
"089","THORNHILL","011","U","THORNHILL","6","0","55","0","17","70","2","0","0","150","433","Forest Run Public School"
"089","THORNHILL","012","U","THORNHILL","2","4","69","1","16","51","0","0","0","143","475","Forest Run Public School"
"089","THORNHILL","013","U","THORNHILL","3","1","51","0","29","76","0","0","0","160","384","Forest Run Public School"
"089","THORNHILL","014","U","THORNHILL","4","4","72","1","31","60","2","0","0","174","447","Forest Run Public School"
"089","THORNHILL","015","U","THORNHILL","2","6","72","2","13","115","2","0","0","212","665","North Thornhill Community Centre"
"089","THORNHILL","016","U","THORNHILL","1","4","46","0","6","67","0","0","0","124","370","North Thornhill Community Centre"
"089","THORNHILL","017","U","THORNHILL","2","3","67","0","31","113","0","0","0","216","603","North Thornhill Community Centre"
"089","THORNHILL","018","U","THORNHILL","2","2","67","0","11","92","0","0","0","174","445","North Thornhill Community Centre"
"089","THORNHILL","019","U","THORNHILL","3","2","67","1","7","102","1","0","0","183","472","North Thornhill Community Centre"
"089","THORNHILL","020","U","THORNHILL","2","4","35","2","4","71","1","0","0","119","336","North Thornhill Community Centre"
"089","THORNHILL","021","U","THORNHILL","1","0","42","0","9","42","0","0","0","94","259","Thornhill Woods Public School"
"089","THORNHILL","022","U","THORNHILL","2","0","22","0","5","61","1","0","0","91","429","Thornhill Woods Public School"
"089","THORNHILL","023","U","THORNHILL","6","0","73","2","21","79","0","1","0","182","550","North Thornhill Community Centre"
"089","THORNHILL","024","U","THORNHILL","2","4","77","1","12","97","0","0","0","193","422","North Thornhill Community Centre"
"089","THORNHILL","025","U","THORNHILL","4","3","57","0","16","84","0","0","0","164","366","Thornhill Woods Public School"
"089","THORNHILL","026","U","THORNHILL","2","0","42","0","2","60","0","0","0","106","355","Thornhill Woods Public School"
"089","THORNHILL","027","U","THORNHILL","2","1","57","0","3","111","0","0","0","174","471","Thornhill Woods Public School"
"089","THORNHILL","028","U","THORNHILL","0","0","52","0","8","83","0","0","0","143","367","Thornhill Woods Public School"
"089","THORNHILL","029","U","THORNHILL","2","0","52","0","7","49","0","0","0","110","367","Bakersfield Public School"
