"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","GILBERT","KOZORYS","MAURO","MCMENEMY","MILNES","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"090","THUNDER BAY--ATIKOKAN","001","U","ATIKOKAN","30","76","52","1","3","1","1","0","164","496","Royal Canadian Legion Branch 145"
"090","THUNDER BAY--ATIKOKAN","002","U","ATIKOKAN","18","53","39","1","3","1","1","0","116","499","Royal Canadian Legion Branch 145"
"090","THUNDER BAY--ATIKOKAN","003","U","ATIKOKAN","36","59","61","0","6","0","0","0","162","518","Royal Canadian Legion Branch 145"
"090","THUNDER BAY--ATIKOKAN","004","U","ATIKOKAN","15","60","34","0","2","0","0","0","111","453","The Pioneer Centre"
"090","THUNDER BAY--ATIKOKAN","005","U","ATIKOKAN","27","54","47","0","1","0","0","0","129","331","The Pioneer Centre"
"090","THUNDER BAY--ATIKOKAN","006","R","ATIKOKAN","22","33","14","0","0","0","0","0","69","135","Niobe Lake Fire Hall"
"090","THUNDER BAY--ATIKOKAN","007","R","UPSALA","..........................NO POLL HELD..........................","","","","","","","","","",""
"090","THUNDER BAY--ATIKOKAN","008","R","UPSALA","38","17","10","1","0","0","1","0","67","130","Upsala Recreation and Community Hall"
"090","THUNDER BAY--ATIKOKAN","009","R","SHEBANDOWAN","24","12","28","0","1","0","0","0","65","92","Shebandowan Community Centre"
"090","THUNDER BAY--ATIKOKAN","010","R","RAITH","4","1","9","0","0","0","0","0","14","22","Julie Vacca's Res"
"090","THUNDER BAY--ATIKOKAN","011","R","KAKABEKA FALLS","64","129","58","2","6","1","0","0","260","671","Conmee Community Centre"
"090","THUNDER BAY--ATIKOKAN","012","R","NOLALU","35","76","28","0","6","0","0","0","145","287","Nolalu Community Centre"
"090","THUNDER BAY--ATIKOKAN","013","R","KAKABEKA FALLS","53","120","47","1","2","0","1","0","224","560","O'Connor Community Centre"
"090","THUNDER BAY--ATIKOKAN","014","R","MURILLO","53","100","60","0","4","0","1","0","218","557","Murillo Community Hall"
"090","THUNDER BAY--ATIKOKAN","015","R","KAKABEKA FALLS","44","52","59","1","2","1","0","0","159","484","Redeemer Lutheran Church"
"090","THUNDER BAY--ATIKOKAN","016","R","MURILLO","75","60","59","1","2","0","0","1","198","429","Murillo Community Hall"
"090","THUNDER BAY--ATIKOKAN","017","R","MURILLO","52","73","59","4","5","2","0","0","195","512","Murillo Community Hall"
"090","THUNDER BAY--ATIKOKAN","018","R","MURILLO","49","50","58","0","4","0","0","0","161","313","Nor-West Arena Recreation Centre"
"090","THUNDER BAY--ATIKOKAN","019","R","THUNDER BAY","42","50","41","0","5","0","0","0","138","449","Neebing Mun Office"
"090","THUNDER BAY--ATIKOKAN","020","R","KAKABEKA FALLS","35","77","26","0","5","0","0","0","143","274","Whitefish Valley School"
"090","THUNDER BAY--ATIKOKAN","021","U","KAKABEKA FALLS","33","59","27","0","7","0","1","0","127","338","Whitefish Valley School"
"090","THUNDER BAY--ATIKOKAN","022","U","THUNDER BAY","50","71","31","1","3","0","0","0","156","406","Neebing Mun Office"
"090","THUNDER BAY--ATIKOKAN","023","U","THUNDER BAY","69","89","62","0","3","1","0","0","224","529","Neebing Mun Office"
"090","THUNDER BAY--ATIKOKAN","024","R","THUNDER BAY","51","75","52","1","4","0","0","0","183","493","North McIntyre Recreation Centre"
"090","THUNDER BAY--ATIKOKAN","025","U","THUNDER BAY","36","56","75","0","1","0","0","0","168","480","North McIntyre Recreation Centre"
"090","THUNDER BAY--ATIKOKAN","026","U","THUNDER BAY","46","53","84","1","2","0","0","0","186","451","North McIntyre Recreation Centre"
"090","THUNDER BAY--ATIKOKAN","027","U","THUNDER BAY","48","65","76","0","6","0","0","0","195","497","North McIntyre Recreation Centre"
"090","THUNDER BAY--ATIKOKAN","028","U","THUNDER BAY","38","61","69","0","2","0","0","0","170","491","North McIntyre Recreation Centre"
"090","THUNDER BAY--ATIKOKAN","029","U","THUNDER BAY","42","35","47","0","0","0","0","0","124","420","North McIntyre Recreation Centre"
"090","THUNDER BAY--ATIKOKAN","030","U","THUNDER BAY","45","26","89","1","0","0","0","0","161","466","North McIntyre Recreation Centre"
"090","THUNDER BAY--ATIKOKAN","031","U","THUNDER BAY","47","51","115","1","4","0","0","0","218","460","Woodcrest School"
"090","THUNDER BAY--ATIKOKAN","032","U","THUNDER BAY","63","66","135","1","3","0","1","0","269","593","Woodcrest School"
"090","THUNDER BAY--ATIKOKAN","033","U","THUNDER BAY","43","44","70","0","7","0","1","0","165","448","Woodcrest School"
"090","THUNDER BAY--ATIKOKAN","034","U","THUNDER BAY","29","44","84","1","3","0","0","0","161","436","Woodcrest School"
"090","THUNDER BAY--ATIKOKAN","035","U","THUNDER BAY","44","32","84","1","1","0","0","0","162","424","Woodcrest School"
"090","THUNDER BAY--ATIKOKAN","036","U","THUNDER BAY","60","39","64","0","1","0","0","0","164","375","Woodcrest School"
"090","THUNDER BAY--ATIKOKAN","037","U","THUNDER BAY","66","57","77","1","1","0","0","0","202","510","Thunder Bay Seventh Day Adventist Church"
"090","THUNDER BAY--ATIKOKAN","038","U","THUNDER BAY","54","71","96","1","3","1","0","0","226","536","Thunder Bay Seventh Day Adventist Church"
"090","THUNDER BAY--ATIKOKAN","039","R","THUNDER BAY","98","98","111","0","4","0","0","0","311","759","Rosslyn Village Community Centre"
"090","THUNDER BAY--ATIKOKAN","040","R","THUNDER BAY","110","42","57","0","1","1","0","0","211","441","Rosslyn Village Community Centre"
"090","THUNDER BAY--ATIKOKAN","041","U","THUNDER BAY","63","60","79","1","1","1","0","0","205","439","Vickers Heights Community Centre"
"090","THUNDER BAY--ATIKOKAN","042","U","THUNDER BAY","46","47","61","2","2","0","0","0","158","372","West Arthur Community Centre"
"090","THUNDER BAY--ATIKOKAN","043","U","THUNDER BAY","66","64","81","0","3","0","0","0","214","457","North Neebing Community Centre"
"090","THUNDER BAY--ATIKOKAN","044","U","THUNDER BAY","47","71","94","0","2","0","0","0","214","429","North Neebing Community Centre"
"090","THUNDER BAY--ATIKOKAN","045","U","THUNDER BAY","44","93","76","0","4","0","0","0","217","470","North Neebing Community Centre"
"090","THUNDER BAY--ATIKOKAN","046","U","THUNDER BAY","72","80","75","1","0","0","0","0","228","469","Vickers Heights Community Centre"
"090","THUNDER BAY--ATIKOKAN","047","U","THUNDER BAY","44","65","64","1","1","0","0","0","175","408","Vickers Heights Community Centre"
"090","THUNDER BAY--ATIKOKAN","048","U","THUNDER BAY","49","58","96","1","1","2","0","0","207","457","West Arthur Community Centre"
