"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","GALLO","GRAVELLE","KYLE","LEBLANC","MANTIS","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"091","THUNDER BAY--SUPERIOR NORTH","001","U","COLLINS","0","2","1","1","11","0","0","0","15","23","Bernier Stokes Elementary School"
"091","THUNDER BAY--SUPERIOR NORTH","002","U","ARMSTRONG STATION","3","19","0","0","10","0","0","0","32","90","Armstrong Public School"
"091","THUNDER BAY--SUPERIOR NORTH","003","U","ARMSTRONG STATION","0","34","1","13","18","0","0","0","66","159","Armstrong Public School"
"091","THUNDER BAY--SUPERIOR NORTH","004","U","AROLAND","0","44","0","0","22","0","0","0","66","170","Johnny Therriault School"
"091","THUNDER BAY--SUPERIOR NORTH","005","U","NAKINA","0","40","2","12","52","0","0","0","106","358","Sunrise Club"
"091","THUNDER BAY--SUPERIOR NORTH","006","U","JELLICOE","0","8","0","11","4","0","1","0","24","47","Jellicoe Fire Hall"
"091","THUNDER BAY--SUPERIOR NORTH","007","U","GERALDTON","3","35","1","13","36","1","0","0","89","347","Geraldton Community Centre"
"091","THUNDER BAY--SUPERIOR NORTH","008","U","GERALDTON","0","35","1","12","44","0","0","0","92","376","Geraldton Community Centre"
"091","THUNDER BAY--SUPERIOR NORTH","009","U","GERALDTON","0","51","2","14","45","0","0","0","112","365","Geraldton Community Centre"
"091","THUNDER BAY--SUPERIOR NORTH","010","U","GERALDTON","1","41","2","13","44","0","0","0","101","312","Geraldton Community Centre"
"091","THUNDER BAY--SUPERIOR NORTH","011","U","GERALDTON","1","42","1","11","31","0","0","0","86","257","Geraldton Community Centre"
"091","THUNDER BAY--SUPERIOR NORTH","012","U","LONGLAC","0","20","4","0","11","0","0","0","35","223","Long Lake 58 Community Centre"
"091","THUNDER BAY--SUPERIOR NORTH","013","U","LONGLAC","0","43","3","8","54","1","0","0","109","354","École secondaire Chateau Jeunesse"
"091","THUNDER BAY--SUPERIOR NORTH","014","U","LONGLAC","1","52","1","16","37","0","0","0","107","311","École secondaire Chateau Jeunesse"
"091","THUNDER BAY--SUPERIOR NORTH","015","U","LONGLAC","0","58","4","16","47","0","0","0","125","425","École secondaire Chateau Jeunesse"
"091","THUNDER BAY--SUPERIOR NORTH","016","U","LONGLAC","0","13","1","1","15","0","0","0","30","77","Ginoogaming First Nation Band Office"
"091","THUNDER BAY--SUPERIOR NORTH","017","U","CARAMAT","0","7","0","2","14","0","0","0","23","66","Caramat Community Centre"
"091","THUNDER BAY--SUPERIOR NORTH","018","U","GULL BAY","0","9","2","1","15","0","0","0","27","140","Gull River 55 Recreation Centre"
"091","THUNDER BAY--SUPERIOR NORTH","019","U","BEARDMORE","0","38","0","11","30","1","0","0","80","200","Beardmore Elementary School"
"091","THUNDER BAY--SUPERIOR NORTH","020","U","MACDIARMID","0","18","1","1","12","0","0","0","32","116","Rocky Bay First Nation - Medical Centre"
"091","THUNDER BAY--SUPERIOR NORTH","021","U","NIPIGON","0","76","7","41","105","1","0","0","230","563","Nipigon Legion"
"091","THUNDER BAY--SUPERIOR NORTH","022","U","PASS LAKE","0","66","4","17","46","0","0","1","134","255","Salem Lutheran Church"
"091","THUNDER BAY--SUPERIOR NORTH","023","U","DORION","0","52","1","19","48","0","0","0","120","272","Dorion Public School"
"091","THUNDER BAY--SUPERIOR NORTH","024","U","DORION","1","24","1","13","51","0","0","0","90","183","Hurkett Community Centre"
"091","THUNDER BAY--SUPERIOR NORTH","025","U","RED ROCK","0","68","3","18","65","0","0","0","154","370","Red Rock Recreation Centre"
"091","THUNDER BAY--SUPERIOR NORTH","026","U","RED ROCK","1","68","1","9","44","0","0","0","123","320","Red Rock Recreation Centre"
"091","THUNDER BAY--SUPERIOR NORTH","027","U","NIPIGON","0","52","1","19","70","0","0","0","142","360","Nipigon Legion"
"091","THUNDER BAY--SUPERIOR NORTH","028","U","NIPIGON","0","48","5","19","49","0","0","0","121","382","Nipigon Legion"
"091","THUNDER BAY--SUPERIOR NORTH","029","U","NIPIGON","0","13","1","4","43","0","0","0","61","178","Lake Helen First Nation Resource Centre"
"091","THUNDER BAY--SUPERIOR NORTH","030","U","PAYS PLAT","0","13","3","0","17","0","0","0","33","73","Pays Plat 51 Community Hall"
"091","THUNDER BAY--SUPERIOR NORTH","031","U","ROSSPORT","0","29","3","11","15","1","0","0","59","92","Rossport Community Hall"
"091","THUNDER BAY--SUPERIOR NORTH","032","U","SCHREIBER","1","94","1","32","51","0","1","0","180","401","Schreiber Recreation Centre"
"091","THUNDER BAY--SUPERIOR NORTH","033","U","SCHREIBER","1","96","0","24","88","1","0","0","210","484","Schreiber Recreation Centre"
"091","THUNDER BAY--SUPERIOR NORTH","034","U","TERRACE BAY","0","73","1","17","44","0","0","0","135","318","Terrace Bay Cultural Centre"
"091","THUNDER BAY--SUPERIOR NORTH","035","U","TERRACE BAY","0","86","1","27","52","0","0","0","166","379","Terrace Bay Cultural Centre"
"091","THUNDER BAY--SUPERIOR NORTH","036","U","TERRACE BAY","1","87","2","35","78","0","0","0","203","479","Terrace Bay Cultural Centre"
"091","THUNDER BAY--SUPERIOR NORTH","037","U","MARATHON","1","34","3","22","53","0","0","0","113","349","Lakeview Community Hall"
"091","THUNDER BAY--SUPERIOR NORTH","038","U","MARATHON","1","29","1","12","52","1","0","0","96","369","Lakeview Community Hall"
"091","THUNDER BAY--SUPERIOR NORTH","039","U","MARATHON","0","55","3","20","60","1","0","0","139","417","Lakeview Community Hall"
"091","THUNDER BAY--SUPERIOR NORTH","040","U","MARATHON","1","38","3","15","69","0","0","0","126","373","Lakeview Community Hall"
"091","THUNDER BAY--SUPERIOR NORTH","041","U","MARATHON","1","51","5","15","51","0","0","0","123","352","Lakeview Community Hall"
"091","THUNDER BAY--SUPERIOR NORTH","042","U","MARATHON","2","30","4","18","60","0","0","0","114","364","Lakeview Community Hall"
"091","THUNDER BAY--SUPERIOR NORTH","043","U","MARATHON","1","32","5","14","48","0","1","0","101","383","Lakeview Community Hall"
"091","THUNDER BAY--SUPERIOR NORTH","044","U","MARATHON",".......................COMBINED WITH POLL 037.......................","","","","","","","","","","Lakeview Community Hall"
"091","THUNDER BAY--SUPERIOR NORTH","045","U","HERON BAY","0","37","2","3","42","0","0","0","84","305","Pic River Community Centre"
"091","THUNDER BAY--SUPERIOR NORTH","046","U","KAMINISTIQUIA","0","34","4","29","84","1","0","0","152","291","Kam Community Centre"
"091","THUNDER BAY--SUPERIOR NORTH","047","U","THUNDER BAY","0","79","5","60","89","1","0","0","234","508","Gorham and Ware School"
"091","THUNDER BAY--SUPERIOR NORTH","048","U","THUNDER BAY","0","64","7","29","67","1","0","0","168","293","Gorham and Ware School"
"091","THUNDER BAY--SUPERIOR NORTH","049","U","THUNDER BAY","0","21","5","21","44","0","0","0","91","296","Gorham and Ware School"
"091","THUNDER BAY--SUPERIOR NORTH","050","U","THUNDER BAY","1","29","2","25","66","0","0","0","123","397","East Gorham Fire Hall-Main Hall"
"091","THUNDER BAY--SUPERIOR NORTH","051","U","THUNDER BAY","1","30","0","11","17","0","0","0","59","189","East Gorham Fire Hall-Main Hall"
"091","THUNDER BAY--SUPERIOR NORTH","052","U","THUNDER BAY","2","99","2","72","68","0","0","0","243","534","MacGregor Recreation Centre"
"091","THUNDER BAY--SUPERIOR NORTH","053","U","THUNDER BAY","3","101","3","56","58","0","0","0","221","482","MacGregor Recreation Centre"
"091","THUNDER BAY--SUPERIOR NORTH","054","U","THUNDER BAY","0","107","2","61","38","0","0","0","208","424","MacGregor Recreation Centre"
"091","THUNDER BAY--SUPERIOR NORTH","055","U","THUNDER BAY","1","55","2","19","50","1","0","0","128","382","Current River Community Centre"
"091","THUNDER BAY--SUPERIOR NORTH","056","U","THUNDER BAY","1","74","4","19","78","0","0","0","176","447","Current River Community Centre"
