ED_CODE,ED_NAME,POLL_NUMBER,RURAL_INDICATOR,PLACE_NAME,AULBROOK,BONIN,COURVILLE,DANESE,VANTHOF,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION
92,TIMISKAMING--COCHRANE,1,U,COCHRANE,36,44,2,0,73,1,0,0,156,549,Aileen Wright English Catholic School
92,TIMISKAMING--COCHRANE,2,U,COCHRANE,11,9,3,1,12,0,0,0,36,111,Aileen Wright English Catholic School
92,TIMISKAMING--COCHRANE,3,U,COCHRANE,19,30,3,1,38,0,0,0,91,346,Aileen Wright English Catholic School
92,TIMISKAMING--COCHRANE,4,U,COCHRANE,19,33,5,2,36,0,1,0,96,391,Aileen Wright English Catholic School
92,TIMISKAMING--COCHRANE,5,U,COCHRANE,25,46,8,2,50,2,0,0,133,469,Aileen Wright English Catholic School
92,TIMISKAMING--COCHRANE,6,U,COCHRANE,25,38,9,0,62,1,0,0,135,511,Tim Horton Event Centre
92,TIMISKAMING--COCHRANE,7,U,COCHRANE,27,34,6,2,70,1,1,0,141,410,Tim Horton Event Centre
92,TIMISKAMING--COCHRANE,8,U,COCHRANE,24,39,7,1,73,0,0,0,144,483,Tim Horton Event Centre
92,TIMISKAMING--COCHRANE,9,U,COCHRANE,19,37,2,1,80,0,0,0,139,490,Tim Horton Event Centre
92,TIMISKAMING--COCHRANE,10,U,COCHRANE,43,32,9,1,107,0,0,0,192,396,Tim Horton Event Centre
92,TIMISKAMING--COCHRANE,11,U,COCHRANE,.......................COMBINED WITH POLL 010.......................,,,,,,,,,,Taykwa Tagamou Nation (New Post )
92,TIMISKAMING--COCHRANE,12,U,IROQUOIS FALLS,32,23,6,4,130,1,0,0,196,610,Access Transit Building
92,TIMISKAMING--COCHRANE,13,U,IROQUOIS FALLS,23,25,2,2,53,0,0,0,105,364,Access Transit Building
92,TIMISKAMING--COCHRANE,14,U,IROQUOIS FALLS,24,18,2,1,73,0,0,0,118,364,Access Transit Building
92,TIMISKAMING--COCHRANE,15,U,IROQUOIS FALLS,17,16,3,3,78,0,0,0,117,378,Access Transit Building
92,TIMISKAMING--COCHRANE,16,U,IROQUOIS FALLS A,24,22,2,3,109,0,0,0,160,515,Aquatic Fitness Complex
92,TIMISKAMING--COCHRANE,17,U,IROQUOIS FALLS A,28,25,3,4,91,0,0,0,151,441,Aquatic Fitness Complex
92,TIMISKAMING--COCHRANE,18,U,IROQUOIS FALLS A,18,34,4,5,78,0,1,0,140,521,Aquatic Fitness Complex
